Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate-N (mg/L),Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,6.5,8.15,461,3.4,5.5,0.42,12,40,,,29,32,84,42,22,3,Less than  1,146,32,16,36,24,254,195,15,0.56,0.52,11,0.6,23.95,0.86
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5.1,8.51,441,4.5,2.2,,NIL,28,,,2.89,8,158,44,48,Less than  1,Less than  1,202,39.2,25.27,28,23,266,190,8,0.01,0.1,3,0.76,19.34,0.7
13,River Godavari,"River Godavari at Mancherial (BM-Jan, Apr & Oct)",5,8.52,440,3,3.8,,NIL,12,,,7.2,12,160,38,45,Less than  1,Less than 1,164,29.6,21.87,25,28,272,186,8,0.08,0.5,3,0.76,26.33,0.95
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5,8.39,542,3,4,,NIL,23,,,6.79,10,160,65,31,Less than  1,Less than  1,180,31.2,24.79,27,41,310,230,6,0.01,0.5,3,0.9,32.34,1.32
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,4.9,8.49,604,3,4.2,,NIL,16,,,2,10,162,52,32,Less than  1,Less than  1,210,35.2,29.65,34,30,344,259,12,0,0.6,3,0.88,23.13,0.9
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,4.9,7.76,712,3,5,,NIL,11,,,6.98,4,182,68,24,Less than  1,Less than  1,226,40,30.62,38,46,410,310,21,0.48,0.2,4,0.59,29.9,1.33
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,4.9,8.18,912,4,5.6,,NIL,52,,,15.1,10,225,90,27,Less than  1,Less than  1,274,52.8,34.51,40,68,534,391,10,0.04,0.2,4,0.99,34.34,1.78
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6.2,8.44,420,3,0.4,,NIL,32,,,6,8,134,36,16,Less than  1,Less than  1,146,38,12.39,15,35,247,175,11,0.05,Less than 0.1,2.78,0.69,33.44,1.26
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",6,8.3,468,4,0.8,,NIL,36,,,9,7,154,38,20,Less than  1,Less than  1,155,30,19.44,12,39,284,200,24,0.03,Less than 0.01,4,0.77,34.23,1.36
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,6,8.34,265,2,0.58,,Nil,120,,,7,10,110,12,10,Less than  1,Less than  1,105,22,12.15,8,13,159,111,4,0.01,Less than 0.01,1,0.82,20.84,0.55
