Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium %,SAR
2360,River Godavari,River Godavari at Basara,7.2,7.41,446,2.1,4,0.18,Less than 2,12,,,,13,12,94,62,12,2.3,Less than 1,Less than 0.01,139.05,26,18,10,18,246,179,8,Less than 0.01,0.31,Less than 0.01,2,0.08,21.54,0.66
4255,River Godavari,Ali sagar Reservoir,7,7.23,395,2.1,2,0.23,Less than 2,8,,,,10,8,72,50,16,3,Less than 1,Less than 0.01,108,25,11,4,15,220,153,7,Less than 0.01,0.35,Less than 0.01,3,0.09,22.52,0.63
4227,River Godavari,"Pochara Water Falls, Adilabad",7.5,7.14,556,2.1,6,0.21,Less than 2,11,,,,14,12,120,82,10,1.9,Less than 1,Less than 0.01,188.72,36,24,11,18,322.48,238,11,Less than 0.01,0.32,Less than 0.01,2,0.1,16.89,0.57
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5.4,7.99,518,2.1,0.68,Not Analysed,3.6,32,,,,8,Less than 1,170,59,10,Less than 1,Not Analysed,Not Analysed,210,44,24.3,24,31,330,,6,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,23.97,0.93
13,River Godavari,River Godavari at Mancherial,5.2,7.89,526,3,0.78,Not Analysed,2,26,,,,10,Less than 1,155,56,12,Less than 1,Not Analysed,Not Analysed,180,40,19.44,28,38,336,,8,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,31.04,1.23
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",2.2,11.28,1216,4,3.2,Not Analysed,3.7,40,,,,16,65,260,160,18,2.4,Not Analysed,Not Analysed,340,74,37.66,98,116,768,,16,1.42,Not Analysed,0.3,3,1.81,42.17,2.73
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,5.4,7.72,492,3,1.26,Not Analysed,2,26,,,,10,Less than 1,160,50,14,Less than 1,Not Analysed,Not Analysed,186,36,23.33,26,32,320,,6,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,26.83,1.02
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,5.2,7.66,520,3,2.5,Not Analysed,3.6,32,,,,10,Less than 1,190,40,20,Less than 1,Not Analysed,Not Analysed,210,48,21.87,26,29,338,,8,Less than 0.01,Not Analysed,Less than 0.01,2.4,Less than 0.01,22.74,0.87
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5.2,7.94,538,3,2.04,Not Analysed,2,26,,,,8,Less than 1,160,62,14,Less than 1,Not Analysed,Not Analysed,190,36,24.3,20,36,348,,8,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,28.76,1.13
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,4.6,7.87,622,4,2.2,Not Analysed,3.7,34,,,,12,Less than 1,240,44,26,Less than 1,Not Analysed,Not Analysed,260,58.4,27.7,29,32,390,,10,Less than 0.01,Not Analysed,Less than 0.01,2.4,Less than 0.01,20.82,0.86
