Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,"River Godavari at Basara (V & M), Nirmal District",Nirmal,6.6,7.62,620,1.3,3,0.03,5.6,24,4,,,,5,8,148,80,14,2.8,0.4,0.01,220.23,105,42,115.23,28,14,25,356,220.72,10,,0.05,0.5,3,0.2,19.55,0.73
5105,River Godavari,"River Godavari Pushkar Ghat , Mancherial (V&M), Mancherial (D)",Mancherial,6.2,7.5,752,2,2,0.04,6,41,4.5,,,,2,5,160,106,22,3.9,0.4,0.01,261.69,130,52,131.69,32,14,27,428,269.64,10,,0.05,0.5,5,0.2,17.99,0.73
4255,River Godavari,"River Godavari- Ali sagar Reservior Ali Sagar, Thanakalan (V), Yedapally (M), Nizamabad (D)",Nizamabad,6.4,7.56,510,1.5,4,0.12,6,22,3.7,,,,8,5,120,70,18,3.3,0.4,0.01,178.77,80,32,98.77,24,10,22,292,189.8,12,,0.1,0.5,5,0.2,20.56,0.72
4227,River Godavari,"River Godavari- Pochera Water Falls, Pochera (V), Boath (M), Adilabad (D)",Adilabad,6.5,7.78,972,1.8,4,0.08,3.6,21,1.8,,,,3,8,184,130,15,2.8,0.4,0.01,316.38,160,64,156.38,38,16,31,552,369.84,10,,0.05,0.5,3,0.22,17.42,0.76
2361,River Godavari,"River Godavari-River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu, Mancherial (D)",Mancherial,5.1,8.29,608,1.8,0.3,,Less than 1.8,32,Less than 1.8,,,,6,5,145,64,12,1.5,0.4,0.04,152,94,37.6,58,14.09,36,,378,,12,0.2,,0.5,,0.31,,
13,River Godavari,"River Godavari at Mancherial (V&M), Mancherial(D)",Mancherial,5,8.27,600,1.2,0.3,,Less than 1.8,33,Less than 1.8,,,,4.8,5,150,58,16,1.5,0.4,0.04,160,97,38.8,63,15.31,36,,372,,15,0.2,,0.5,,0.2,,
3054,River Godavari,"River Godavari - Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,4.6,10.71,1216,2,0.3,,Less than 1.8,48,Less than 1.8,,,,8,40,305,125,24,3.36,0.4,0.39,320,202.0,80.8,118,28.67,74,,766,,27,1.9,,0.5,,0.2,,
2362,River Godavari,"River Godavari-D/s at Ramagundam near FCI intake well, Peddapalli",Peddapalli,5,8.44,610,1,0.3,,Less than 1.8,31,Less than 1.8,,,,9.2,10,180,56,8,1.5,0.4,0.05,192,120,48,72,17.5,32,,378,,10,0.2,,0.5,,0.2,,
2363,River Godavari,"River Godavari at Godavarikhani near bathing ghat , Peddapalli",Peddapalli,5,7.85,617,1.2,0.36,,Less than 1.8,49,Less than 1.8,,,,6.2,5,175,54,12,1.5,0.4,0.02,188,116.0,46.4,72,17.5,31,,376,,24,0.2,,0.5,,0.2,,
2364,River Godavari,"River Godavari at Ramagundam upstream near dam, Peddapalli",Peddapalli,5.5,7.76,612,1.1,0.3,,Less than 1.8,43,Less than 1.8,,,,8.6,5,158,58,8,1.5,0.4,0.01,162,98,39.2,64,15.55,28,,368,,10,0.2,,0.5,,0.51,,
