Station code,water_bodies,Station name,District,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,
2360,River Godavari,River Godavari at Basara,Nirmal,,8,7.78,737,3.5,25,BDL,3.6,25,2,,,,3,22,160,90,40,BDL,4,BDL,195,44,110,21,85,52,65,449.57,319.19,6,,BDL,BDL,5.1,0.32,41.16,2.02,
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,,7.6,7.73,887,3.3,22,BDL,2,21,Less than 1.8,,,,3.1,26,165,105,28,BDL,4,BDL,235,54,135,24,100,35,45,514,364.94,6,,BDL,BDL,6.5,0.21,28.87,1.28,
4255,River Godavari,Ali sagar Reservoir,Nizamabad,,6.6,7.89,668,3.1,24,BDL,3.7,22,1.8,,,,2.8,22,145,85,24,BDL,3,BDL,215.23,40,100,28,115.23,28,35,407.48,289.31,6,,BDL,BDL,3.9,0.17,25.76,1.04,
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,,7.2,8.05,645,3.1,24,0.11,5.6,26,3.7,4.5,,,2.6,18,220,95,20,BDL,3,BDL,305.49,58,145,39,160.49,29,21,393.45,279.35,7,,BDL,BDL,2.9,0.15,12.92,0.52,
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Peddapalli,,6.2,8.24,548,1.8,0.5,,Less than 1.8,39,Less than 1.8,,,,12,5,172,54,20,1.5,0.4,,195,46,115,19.44,80,32,#,340,220,10,0.53,#,0.5,#,0.53,,,
13,River Godavari,River Godavari at Mancherial,Peddapalli,,6.2,8.08,551,1.8,0.5,,Less than 1.8,46,Less than 1.8,,,,12,5,174,59,24,1.5,0.4,,205,56,140,15.79,65,35,#,344,230,10,0.42,#,0.5,#,0.32,,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,,6.1,7.74,780,2,2.2,,14,220,2,,,,19,5,212,100,56,6.72,1.12,,235,56.8,142,22.6,93,37,#,490,340,14,0.63,#,0.5,#,0.69,,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,,6.2,7.58,892,1.8,1.4,,Less than 1.8,33,Less than 1.8,,,,10,5,240,98,32,1.5,0.4,,245,68,170,18.22,75,28,#,556,370,10,0.41,#,0.5,#,0.7,,,
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,Ramagundem,,6.2,7.39,1588,2.2,4,,6.8,94,Less than 1.8,,,,21,5,342,255,38,8.4,5.6,,460,128,320,34.02,140,51,#,968,630,16,0.82,#,0.5,#,1.06,,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,,6.2,7.71,889,2,4.5,,Less than 1.8,49,Less than 1.8,,,,14,5,220,102,28,1.5,0.4,,295,80,200,23.09,95,56,#,560,370,10,0.33,#,0.5,#,0.61,,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,,6.1,8.23,1191,2,4.8,,Less than 1.8,46,Less than 1.8,,,,16,5,280,140,36,1.5,0.4,,320,88,220,24.3,100,60,#,726,490,12,0.43,#,0.5,#,0.74,,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,,6.1,7.75,1317,2,0.9,,Less than 1.8,47,Less than 1.8,,,,13,5,320,182,32,1.5,0.4,,275,76,190,20.66,85,20,#,820,540,11,0.53,#,0.5,#,0.62,,,14.0
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,,6.3,7.85,556,1.8,0.5,,Less than 1.8,22,Less than 1.8,,,,12,5,130,49,5,1.5,0.4,,240,52,130,26.73,110,91,#,330,220,14,0.43,#,0.5,#,0.57,,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,,6.3,7.82,510,1,0.5,,Less than 1.8,39,Less than 1.8,,,,8,5,155,56,8,1.5,0.4,,195,48,120,18.22,75,36,#,304,200,10,0.28,#,0.5,#,0.34,,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,,6.3,7.88,508,1,1.6,,Less than 1.8,27,Less than 1.8,,,,9,5,150,59,8,1.5,10.4,,170,38,95,18.22,75,10,#,300,195,12,0.31,#,0.5,#,0.37,,,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,,6.3,8.24,353,1.4,0.3,,Less than 1.8,39,Less than 1.8,,,,10,5,115,27,20,1.5,0.4,,155,42,105,12.15,50,16,#,210,140,10,0.32,#,0.5,#,0.87,,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,,6.2,7.94,344,1.8,0.36,,Less than 1.8,46,Less than 1.8,,,,8,5,104,28,26,1.5,0.4,,150,38,95,13.37,55,42,#,206,150,10,0.34,#,0.5,#,0.85,,,
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,,6.2,7.39,417,1.8,0.6,,Less than 1.8,49,Less than 1.8,,,,12,5,120,27,26,1.5,0.4,,155,36,90,15.79,65,63,#,250,160,10,0.42,#,0.5,#,0.76,,,
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,,6.2,8.37,424,1.2,2.4,,Less than 1.8,33,Less than 1.8,,,,16,6,102,51,24,1.5,0.4,,150,32,80,17.01,70,28,#,262,170,10,1.07,#,0.5,#,0.65,,,
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,,6,7.99,874,2,0.3,,Less than 1.8,70,Less than 1.8,,,,15,5,214,123,36,2.24,0.56,,240,68,170,17.01,70,58,#,550,360,12,1.17,#,0.5,#,0.68,,,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Jayashankar Bhoopalpalli,,4.7,7.46,784,1,0.3,,Less than 1.8,40,Less than 1.8,,,,21,5,160,114,12,1.5,0.4,,195,42,105,21.87,90,72,#,468,320,18,0.26,#,0.5,#,0.76,,,
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,,6,8.1,564,1.6,0.4,,Less than 1.8,39,Less than 1.8,,,,9,5,132,78,20,1.5,0.4,,220,58.4,146,17.98,74,39,#,340,220,10,0.53,#,0.5,#,0.59,,,
4258,River Manjeera,"Singoor Dam Reservoir,",Sangareddy,,7.4,8.12,656,2.8,25,0.08,3.6,22,2,,,,2.7,10,200,82,20,BDL,4,BDL,259.92,48,120,34,139.92,32,36,400.16,284.11,6,,BDL,BDL,3.8,0.15,22.89,0.97,
1157,River Manjeera,River Manjeera at Raipally,Sangareddy,,6.8,7.29,623,2.6,20,0.04,4,32,1.8,,,,3,12,210,95,24,BDL,5,BDL,299.92,64,160,34,139.92,45,34,380.03,269.82,5,,0.14,BDL,4.7,BDL,19.53,0.86,
