Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,7.2,6.81,460,2.1,8,0.16,Less than 1.8,21,,,,22,20,88,52,10,6,0.0,108,24,12,25,26,270,194,18,,0.6,0.09,7,0.25,32.21,1.08
4255,River Godavari,Ali sagar Reservior,6.9,7.39,385,1.9,7,0.21,Less than 1.8,24,,,,10,16,68,36,6,4,0.02,82,18,9,17,19,232,180,10,,0.2,0.09,5,0.31,31.72,0.91
4227,River Godavari,"Pochara Water Falls, Adilabad",6.4,7.46,485,1.8,9,0.28,Less than 1.8,21,,,,7,24,84,50,10,4,0.02,130,26,16,28,19,298,212,17,,0.49,0.09,6,0.36,22.86,0.72
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5.8,8.37,540,3,0.43,,Less than 1.8,20,,,,8,14,200,46,14,4,,210,40.8,26.24,20,32,340,,8,0.04,,0.09,3,0.42,24.43,0.96
13,River Godavari,River Godavari at Mancherial,5.4,8.43,741,3,0.42,,Less than 1.8,14,,,,1.92,18,240,62,20,4,,255,48,32.8,32,48,440,,10,0.04,,0.09,2,0.51,28.7,1.3
2364,River Godavari,River Godavari at Ramagundam upstream near dam,6,8.26,643,3,0.43,,Less than 1.8,12,,,,1.69,12,220,46,22,4,,235,34.4,36.21,26,36,422,,18,0.02,,0.09,3,0.99,24.54,1.02
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",4,9.67,982,5,0.53,,Less than 1.8,17,,,,12,42,245,120,26,4,,265,42.4,38.64,76,102,608,,36,0.16,,0.09,6,0.7,44.67,2.71
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,5,8.24,734,3,0.44,,Less than 1.8,32,,,,8,10,180,96,14,4,,202,39.2,25.27,52,76,456,,10,0.28,,0.09,2,0.64,44.52,2.32
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,4.8,7.89,873,4,1.8,,Less than 1.8,32,,,,6,BDL,185,120,12,4,,195,31.2,28.43,66,104,541,,18,0.38,,0.09,4,0.87,52.86,3.23
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,4,8.04,921,3,2.62,,Less than 1.8,58,,,,5.29,BDL,210,124,16,4,,240,50.4,27.7,60,96,571,,10,0.15,,0.09,2,0.5,46.1,2.69
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",5.8,8.2,420,3,0,,Less than 1.8,58,,,,8,10,140,44,12,4,,165,32,20.66,20,26,254,,8,0.04,,0.09,2,0.4,25.1,0.88
