Station code,water_bodies,Station name,District,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,,6.8,6.99,946,3.4,18,0.04,5.5,22,3.6,,,,3.6,20,205,107,32,8,BDL,BDL,300,180,120,72,29,75,52,577,403.9,6,,0.07,BDL,3.5,0.31,27.02,1.18
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,,6.9,7.65,1139,3.5,35,0.15,6.1,20,3.7,,,,4,28,254,134,36,8,BDL,BDL,395.49,235,160.49,94,39,78,52,670,469.0,8,,0.06,BDL,4.1,0.42,21.92,1.04
4255,River Godavari,Ali sagar Reservoir,Nizamabad,,6.7,7.86,769,3.3,23,0.06,4.5,24,Less than 1.8,,,,2.9,20,158,84,30,8,BDL,BDL,220,135,85,54,21,37,38,469.09,328.36,7,,0.11,BDL,3.5,0.35,26.68,1.0
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,,6.6,7.94,762,3.4,21,0.07,6,1.8,1.8,,,,5.1,24,156,88,32,6,BDL,BDL,235,150,85,60,21,49,37,464.82,325.37,9,,0.18,BDL,3.7,0.31,24.93,0.92
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Peddapalli,,6,8.25,649,1.6,,,Less than 1.8,33,Less than 1.8,,,,6,5,172,66,24,1.5,0.4,,179,37.6,94,20.66,,44,,410,300,10,0.58,,0.5,,0.43,,
0013,River Godavari,River Godavari at Mancherial,Peddapalli,,6,8.23,658,1.6,,,Less than 1.8,27,Less than 1.8,,,,5,5,178,55,28,1.5,0.4,,180,39.2,98,19.93,,45,,414,300,10,0.62,,0.5,,0.53,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,,3.6,10.52,1102,2.8,,,9.2,280,Less than 1.8,,,,9,15,252,130,44,5.6,1.49,,290,64,160,31.59,,98,,726,510,14,1.05,,0.5,,0.89,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,,6,8.27,882,1.6,,,Less than 1.8,33,Less than 1.8,,,,8,5,250,75,28,1.5,0.4,,252,54.4,136,28.19,,56,,556,380,10,0.62,,0.5,,0.48,,
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,Ramagundem,,6.1,8.48,852,1.8,,,3.6,120,Less than 1.8,,,,9,5,222,82,32,1.5,0.4,,226,49.6,124,24.79,,62,,536,370,16,0.68,,0.5,,0.63,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,,5.9,8.29,849,2,,,Less than 1.8,39,Less than 1.8,,,,7,5,232,78,30,1.5,0.4,,240,52.8,132,26.24,,49,,534,380,12,0.67,,0.5,,0.55,,
