Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate-N (mg/L),Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Lead (Pb),Cadmium (Cd),Copper (Cu),Zinc (Zn),Total Chromium (T. Cr),Nickel (Ni),Iron (Fe)
2360,River Godavari,River Godavari at Basara,6.9,8.11,468,3,10,0.4,75,170,,,28,30,162,82,41,12,1.2,251,48,32,65,31,356,207,20,0.56,0.58,28,0.6,18.9,0.85,BDL,,BDL,BDL,BDL,BDL,BDL
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5.34,8.12,438,3,1,,22,500,,,5,0,150,36,28,1,,152,28,19.93,10,28,250,205,8,1.07,0.22,3,0.49,27.96,0.98,0.02,ND,ND,0.01,ND,ND,0.11
13,River Godavari,"River Godavari at Mancherial (BM-Jan, Apr & Oct)",4.55,7.86,439,3,2,,24,500,,,4.12,0,150,32,36,2,,160,30.4,20.41,16,25,274,223,8,1.2,0.21,3,0.61,24.79,0.86,0.02,ND,ND,0.01,ND,ND,ND
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5.04,8.16,437,2,2.1,,23,550,,,4.3,23,154,36,22,1,,172,28,24.79,18,25,281,228,13,1.3,0.24,3,0.44,23.48,0.83,0.28,ND,0.04,ND,ND,ND,0.01
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,4.35,7.9,513,2,1.8,,24,550,,,7.2,0,150,37,14,1,,172,28.8,24.3,48,39,329,261,7,1.22,0.26,3,0.44,32.37,1.29,0.24,ND,ND,0.01,ND,ND,0.64
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,2.07,7.44,786,3,3.1,,25,500,,,8.4,0,230,92,45,0.5,,240,44,31.59,51,78,520,412,11,0.92,0.28,7,0.81,40.36,2.18,0.17,ND,ND,0.03,ND,ND,0.01
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,6.03,7.72,1120,2,0.17,,24,576,,,3,0,345,82,15,2,,310,64,36.45,72,115,540,435,10,1.15,0.2,0.5,1.11,44.44,2.83,0.02,ND,ND,0.1,ND,ND,ND
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6.2,7.8,391,2,0.28,,25,150,,,8.06,0,130,28,10,0,,155,36,15.79,12,22,252,205,8,0.03,1.6,2,0.89,23.19,0.77,ND,ND,ND,0.07,ND,ND,ND
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",5,7.92,412,3,1.2,,24,200,,,6,12,140,62,12,0,,165,34,19.44,38,44,275,218,10,0.03,1.2,3,0.96,36.03,1.48,ND,ND,ND,ND,ND,ND,ND
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,5.7,8.17,372,2,1,,23,1400,,,6,15,112,41,16,0,,125,24,15.79,18,28,248,202,9,1.38,0.2,2,0.15,32.16,1.09,0.17,ND,ND,0.06,ND,ND,0.15
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,4.9,8.08,380,3,1.2,,26,1050,,,6.9,10,114,43,18,0,,128,25.6,15.55,22,30,260,212,10,0.61,0.2,2,0.44,33.18,1.15,0.17,ND,0.02,0.08,ND,ND,ND
2369,River Godavari,River Godavari at Burgampahad,5.34,7.67,446,3,0.66,,25,1850,,,7.3,11,142,52,26,1.4,,150,27.2,19.93,32,40,360,292,11,1.15,0.3,6,0.32,35.4,1.42,0.17,ND,0.04,0.03,ND,ND,ND
1158,River Godavari,"River Maneru at Somanpally (BM-Jan, Apr & Oct)",2.67,5.96,394,2,0,,25,550,,,5.3,0,80,38,10,3,,144,30.4,16.52,38,15,220,179,6,1.2,0.22,9.6,0.09,17.18,0.54,0.02,ND,ND,0.1,ND,ND,ND
1215,River Godavari,River Maneru at Thummala cheruvu/Madannapet,6,7.49,340,4,1.44,,28,350,,,10,9,120,26,20,0,,126,24,16.04,9,21,226,178,20,0.04,Less than 0.1,2,0.59,26.08,0.81,0.06,ND,0.06,0.01,ND,ND,0.4
1157,River Godavari,River Manjeera at Raipally,7.8,7.27,491,5,14,0.67,75,775,,,26,29,89,42,29,26,1,169,38,18,18,15,287,226,34,0.36,0.29,6,0.55,15.51,0.5,BDL,BDL,BDL,BDL,BDL,BDL,3.6
1781,River Godavari,Manjeera at Ganapathi sugars,6.4,7.62,534,3,16,0.55,125,1550,,,34,20,78,65,26,15,1,167,34,20,16,26,308,242,28,0.43,0.28,8,0.58,24.04,0.87,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2374,River Godavari,U/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu,6.8,7.5,1132,4.5,20,0.4,100,800,,,36,22,240,120,30,4,1.2,278,52,36,35,72,563,453,27,0.28,0.4,9,0.6,34.93,1.87,BDL,BDL,BDL,BDL,BDL,BDL,2.38
2375,River Godavari,D/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu,6.5,7.21,1766,5,21,0.58,150,1300,,,50,32,294,142,39,3.5,1,445,129,50,82,102,864,689,210,0.45,0.56,16,0.82,32.11,2.09,BDL,BDL,BDL,BDL,BDL,BDL,5.56
2372,River Godavari,Kinnerasani after confluence of KTPS ash pond effluents,3.8,8.12,485,4,0.2,,24,375,,,26,20,138,51,18,1.4,,168,33.6,20.41,28,32,280,227,30,1.3,0.2,5,0.88,28.39,1.07,0.17,ND,ND,0.08,ND,ND,0.06
2373,River Godavari,Kunavaram at Sabari,6.1,7.5,134,1,0.26,,27,50,,,3.2,0,42,12,6,0,,58,14.4,5.35,6,4,88,73,4,1.38,Less than 0.1,1,0.01,12.74,0.23,0.01,ND,ND,ND,ND,ND,ND
3080,River Godavari,U/s of Karakavagu at Paloncha,4.8,7.72,756,3,0.9,,25,1400,,,14,0,195,76,14,0,,225,96,31.35,2,54,395,319,10,1.22,0.3,3,0.67,33.75,1.56,0.17,ND,ND,0.1,ND,ND,ND
3081,River Godavari,D/s of Karakavagu at Paloncha,4.3,7.93,672,4,2,,25,1600,,,16,0,198,60,22,0,,230,101,32.08,44,52,502,325,12,1.3,0.3,4,0.84,32.31,1.49,0.17,ND,ND,0.14,ND,ND,0.25
2349,River Godavari,Nakka vagu at Bachugudem,4,7.08,1676,14,27,0.55,100,1750,,,42,36,286,210,70,15,1.2,393,122,50,60,80,967,771,38,0.59,0.62,18,0.69,29.34,1.75,BDL,,BDL,BDL,BDL,BDL,5.4
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",6.53,10.78,960,5,2.8,,25,500,,,5.6,20,220,120,23,5,,235,60,20.66,51,74,560,443,9,1.22,0.2,9,1.02,39.38,2.09,0.2,ND,0.01,0.05,ND,ND,ND
1784,River Krishna,River Krishna at Thangadi,6.4,8.02,952,3,14.04,,25,1000,,,12,0,260,65,32,2.6,,325,184,27.95,127,86,428,345,6,0.17,1.6,2.1,0.98,36,2.07,ND,ND,ND,0.01,ND,ND,ND
39,River Krishna,"River Krishna at Gadwal bridge (BM-Jan, Apr & Oct)",6.6,8.13,984,2,1.85,,25,700,,,10.22,4,240,60,40,1,,325,105,46.17,110,80,420,339,2,0.03,3,1.9,0.86,35,1.92,ND,ND,ND,0.04,ND,ND,ND
1465,River Krishna,River krishna at wadepally,6,8.35,1342,3,20,0.62,125,975,,,30,25,132,182,23,5,1,299,87,20,60,78,791,635,18,0.52,0.4,8,0.55,35,1.96,BDL,,BDL,0.11,BDL,0.02,11.9
1172,River Musi,"U/s of Musi at Gandipet (Osmansagar lake) (BM-Jan, Apr & Oct)",4.9,7.64,335,2,0.92,,25,500,,,2.16,0,105,35,23,0.4,,120,20,17.01,10,21,201,162,3,0.06,0.25,5,0.35,26,0.83,ND,ND,ND,0.04,ND,ND,0.01
2339,River Musi,River Musi at Nagole,NIL,7.62,1480,24,9.2,,500,4500,,,36.4,0,475,180,185,1.6,,320,120,53.46,60,130,726,583,46,3,0.9,16,0.89,34,2.47,ND,ND,ND,0.01,ND,ND,ND
