Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Free Ammonia (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Orthophosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium (Cd),Copper (Cu),Lead (Pb),Total Chromium (T. Cr),Nickel (Ni),Zinc (Zn),Iron (Fe)
2360,River Godavari,River Godavari at Basara,6.8,7.14,480,2.4,8,0.19,Less than 1.8,24,5.7,0.69, NA,23,24,102,58,8,4.4,0.02,140,30,16,30,25,286,246,19,,0.8,0.09,7,0.31,26.71,0.9,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4255,River Godavari,Ali sagar Reservior,7.1,7.49,453,2.1,6,0.29,Less than 1.8,17,5,0.8, NA,12,20,72,40,10,6,0.02,98,21,11,16,15,261,182,13,,0.27,0.09,5,0.35,23.92,0.7,BDL,0.0,0.32,BDL,BDL,0.3,2.7,12.5
4227,River Godavari,"Pochara Water Falls, Adilabad",6.5,7.12,532,2.2,10,0.31,Less than 1.8,25,5.3,0.62, NA,9,28,90,52,11,1.2,0.02,144,28,18,30,16,309,205,21,,0.35,0.09,6,0.42,18.71,0.6,BDL,BDL,BDL,BDL,BDL,BDL,BDL,3.7
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5.2,8,580,3,0.52,,Less than 1.8,20,,,,6,BDL,190,52,14,4,,195,52,15.79,18,40,360,,6,0.1,,0.09,2,0.46,30.56,0.88,,Less than 0.003,Less than 0.004,0.01,Less than 0.005,Less than 0.012,0.06,0.21
13,River Godavari,River Godavari at Mancherial,5,7.92,760,3,0.6,,Less than 1.8,21,,,,4,BDL,230,72,12,4,,260,66,23.09,36,50,460,,8,0.08,,0.09,2,0.59,29.28,0.95,,Less than 0.003,Less than 0.004,Less than 0.012,Less than 0.005,Less than 0.012,0.07,Less than 0.005
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5.6,7.92,620,3,0.46,,Less than 1.8,12,,,,4,BDL,215,42,20,4,,220,50,23.09,28,38,372,,10,0.02,,0.09,2,0.6,27.07,0.79,,Less than 0.003,Less than 0.004,0.01,Less than 0.005,Less than 0.012,0.09,0.26
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",4,9.62,1082,5,0.48,,Less than 1.8,32,,,,16,25,260,130,24,2.4,,285,52,37.66,80,111,702,,42,0.2,,0.09,4,0.8,45.41,2.02,,Less than 0.003,Less than 0.004,0.13,Less than 0.005,Less than 0.012,0.01,0.04
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,4.8,8.2,782,3,0.44,,Less than 1.8,33,,,,6,10,178,102,12,4,,208,60,14.09,56,80,486,,12,0.4,,0.09,2,0.56,45.23,1.71,,Less than 0.003,Less than 0.004,Less than 0.012,Less than 0.005,Less than 0.012,0.03,Less than 0.005
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,4.6,7.52,1110,4,2,,Less than 1.8,58,,,,14,BDL,250,150,16,4,,265,58,29.16,82,128,690,,20,0.48,,0.09,4,0.9,50.74,2.42,,Less than 0.003,Less than 0.004,0.01,Less than 0.005,Less than 0.012,0.05,0.09
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",5.6,8.12,442,3,0,,Less than 1.8,33,,,,10,BDL,135,38,12,4,,150,34,15.79,28,30,286,,8,0.12,,0.09,2,0.42,29.95,0.75,,Less than 0.003,Less than 0.004,Less than 0.012,Less than 0.005,Less than 0.012,0.09,0.14
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",5.2,8.05,496,3,0.28,,Less than 1.8,58,,,,12,BDL,140,51,14,4,,160,30,20.66,30,38,320,,10,0.62,,0.09,2,0.52,33.69,0.92,,Less than 0.003,Less than 0.004,Less than 0.012,Less than 0.005,Less than 0.012,0.14,0.19
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,5,7.62,426,3,0.6,,Less than 1.8,20,,,,6,BDL,135,38,12,4,,145,32,15.79,18,28,268,,8,0.02,,0.09,3,0.5,29.02,0.71,,Less than 0.003,0.03,0.14,Less than 0.005,Less than 0.012,0.12,0.22
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,4.6,7.98,510,3,0.78,,Less than 1.8,26,,,,10,BDL,145,50,16,4,,160,26,23.09,32,40,318,,10,0.06,,0.09,2,0.58,34.85,0.97,,Less than 0.003,0.01,0.01,Less than 0.005,Less than 0.012,0.03,0.14
