Station code,water_bodies,Station name,District,RO,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
2360,River Godavari,River Godavari at Basara,Nirmal,Nizamabad,6.3,6.96,589,2.1,7,0.15,4,25,3.6,7,0.71,,11,20,136,84,28,5.29,0.1,Less than 0.01,196,36,26,13,21,349,243.6,7,,0.1,0.1,5,0.1,18.23,0.65,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4255,River Godavari,Ali sagar Reservoir,Nizamabad,Nizamabad,6.1,7.19,493,2.1,5,0.11,3.7,24,2,7.6,0.77,,9,16,124,68,24,5,0.1,Less than 0.01,168,34,20,8,18,293,202.17,9,,0.1,0.1,3,0.1,18.52,0.6,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,Nizamabad,6.2,7.32,645,2.1,7,0.13,5.5,27,4,,,,7,16,144,82,21,5,0.1,Less than 0.01,200,38,26,10,20,365,237.25,6,,0.1,0.1,4,0.1,17.26,0.61,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,Ramagundam,6.1,8.32,510,2.1,0.53,,Less than 1.8,15,Less than 1.8,,,,5,10,150,58,24,5,0.1,Less than 0.01,165,42,14.58,32,38,336,220,5,0.29,,0.1,4.27,0.1,32.54,1.28,,BDL,BDL,0.5,0.2,0.1,0.02,0.1
13,River Godavari,River Godavari at Mancherial,Mancherial,Ramagundam,6.2,8.25,534,2.1,0.26,,Less than 1.8,12,Less than 1.8,,,,5,10,140,51,19,5,0.1,Less than 0.01,160,44,12.15,38,45,320,240,5,0.22,,0.1,4.14,0.1,37.09,1.54,,BDL,BDL,0.5,0.2,0.1,0.01,0.27
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,Ramagundam,4.6,9,1088,4,0.61,,Less than 1.8,49,Less than 1.8,,,,11.4,33,210,158,54,5,0.1,Less than 0.01,245,60,23.09,72,118,610,440,16,0.28,,0.1,14.52,0.1,49.21,3.27,,BDL,0.03,0.5,0.2,0.1,0.02,0.1
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,Ramagundam,4.9,8.25,530,2.1,0.88,,Less than 1.8,21,Less than 1.8,,,,5,10,145,56,24,5,0.1,Less than 0.01,165,48,10.94,32,36,318,200,6,0.26,,0.1,3.98,0.1,31.44,1.22,,BDL,BDL,0.5,0.2,0.1,0.02,0.1
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,Ramagundam,4.4,8.21,526,2.1,0.57,,Less than 1.8,24,Less than 1.8,,,,6.3,10,170,46,24,5,0.1,Less than 0.01,190,72,5,26,32,326,240,10,0.26,,0.1,3.74,0.1,25.28,0.98,,BDL,BDL,0.5,0.2,0.1,0.01,0.17
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,Ramagundam,6.1,8.39,534,2.1,0.89,,Less than 1.8,10,Less than 1.8,,,,5.7,13,160,58,28,5,0.1,Less than 0.01,185,50,14.58,42,45,315,260,11,0.2,,0.1,4.72,0.1,33.78,1.44,,BDL,BDL,0.5,0.2,0.1,0.04,0.2
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,Ramagundam,6,8.19,600,2.1,0.5,,Less than 1.8,14,Less than 1.8,,,,5,5,155,53,20,5,0.1,Less than 0.01,170,42,15.79,32,38,340,260,5,0.28,,0.1,3.66,0.1,32.0,1.26,,BDL,BDL,0.5,0.2,0.1,0.03,0.27
