Station code,water_bodies,Station name,District,RO,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,Nizamabad,6.1,7.12,625,2.1,6,0.13,6,27,4,,,,13,24,136,102,26,5,0.1,Less than 0.01,216,40,28,15,24,389,291,8,,0.1,0.1,7,0.1,18.78,0.71
4255,River Godavari,Ali sagar Reservoir,Nizamabad,Nizamabad,6,7.31,587,2.1,5,0.14,4,26,3.6,,,,11,20,130,82,28,5,0.1,Less than 0.01,184,38,22,11,21,367,268,10,,0.1,0.1,5,0.1,19.12,0.67
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,Nizamabad,6.1,7.4,669,2.1,5,0.12,6,31,4,,,,9,20,124,86,24,5,0.1,Less than 0.01,172,36,20,10,27,371,278,7,,0.1,0.1,5,0.1,24.62,0.89
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,Ramagundam,5.6,8.02,587,2.5,0.55,,Less than 1.8,11,Less than 1.8,,,,,5,145,63,20,5,0.1,Less than 0.01,160,34,18.22,36,53,344,220,7,0.12,,0.1,3.34,0.1,41.08,1.82
13,River Godavari,River Godavari at Mancherial,Mancherial,Ramagundam,5.4,7.94,588,2.9,0.32,,Less than 1.8,11,Less than 1.8,,,,,5,148,78,28,5,0.1,Less than 0.01,210,52,19.44,48,48,382,280,8,0.1,,0.1,3.28,0.1,32.65,1.44
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,Ramagundam,5.1,9.55,1298,3.2,1,,Less than 1.8,70,Less than 1.8,,,,,30,260,162,38,5,0.1,Less than 0.01,331,88,27,94,99,744,520,10,0.32,,0.1,12.4,0.1,38.19,2.36
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,Ramagundam,5.4,8.01,584,2.1,0.86,,Less than 1.8,49,Less than 1.8,,,,,5,140,65,16,5,0.1,Less than 0.01,150,42,10.94,34,54,342,240,9,0.17,,0.1,4.92,0.1,42.8,1.91
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,Ramagundam,5.3,8,544,2.4,0.92,,Less than 1.8,20,Less than 1.8,,,,,5,150,54,16,5,0.1,Less than 0.01,160,44,12.15,28,44,320,220,6,0.18,,0.1,3.43,0.1,36.69,1.51
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,Ramagundam,5.6,7.9,731,2.1,0.9,,Less than 1.8,11,Less than 1.8,,,,,5,180,73,19,5,0.1,Less than 0.01,210,60,14.58,44,54,412,280,8,0.2,,0.1,5.67,0.1,35.0,1.62
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,Ramagundam,5.4,7.62,647,2.8,0.33,,Less than 1.8,17,Less than 1.8,,,,,5,165,78,24,5,0.1,Less than 0.01,190,50,15.79,47,60,410,260,10,0.22,,0.1,4.88,0.1,39.83,1.89
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,Warangal,5.7,8.16,428,2.1,0.18,,Less than 1.8,22,Less than 1.8,,,,,5,122,32,16,5,0.1,Less than 0.01,128,34.4,10.21,23,24,214,160,10,0.1,,0.1,3.26,0.3,28.22,0.92
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,Warangal,5.8,7.99,412,2.1,0.18,,Less than 1.8,15,Less than 1.8,,,,,5,142,32,15,5,0.1,Less than 0.01,145,40,10.94,18,22,235,160,7,0.12,,0.1,2.92,0.33,24.26,0.79
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,Warangal,5.8,8.02,384,2.1,0.26,,Less than 1.8,21,Less than 1.8,,,,,5,138,32,16,5,0.1,Less than 0.01,134,37.6,9.72,16,27,238,160,8,0.18,,0.1,3.48,0.31,29.7,1.01
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,Kothagudem,5.6,7.89,444,2.1,0.58,,Less than 1.8,14,Less than 1.8,,,,,5,130,46,26,5,0.1,Less than 0.01,146,44,8.75,21,27,263,185,14,0.28,,0.1,3.08,0.12,28.07,0.97
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,Kothagudem,5,7.75,407,2.2,0.28,,Less than 1.8,39,Less than 1.8,,,,,5,130,35,24,5,0.1,Less than 0.01,160,48,9.72,23,22,268,180,15,0.16,,0.1,3.82,0.15,22.43,0.76
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,Kothagudem,4.2,7.44,740,2.8,0.62,,Less than 1.8,25,Less than 1.8,,,,,5,158,59,22,5,0.1,Less than 0.01,202,53,17.01,32,31,412,320,16,0.24,,0.1,3.97,0.14,24.43,0.95
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,Ramagundam,4.9,7.77,474,2.1,0.32,,Less than 1.8,7,Less than 1.8,,,,,5,150,48,16,5,0.1,Less than 0.01,180,51.2,12.64,24,26,298,180,11,0.1,,0.1,3.23,0.1,23.42,0.84
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,Karimnagar,4.6,7.37,913,2.1,2.5,,7,58,Less than 1.8,,,,,5,205,133,24,5,0.1,Less than 0.01,280,72,24.3,78,88,602,570,18,0.12,,0.1,5.89,0.1,39.85,2.28
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,Ramagundam,4.7,7.99,812,2.9,0.99,,12,130,Less than 1.8,,,,,5,170,109,25,5,0.1,Less than 0.01,230,56,21.87,65,69,492,360,12,0.42,,0.1,3.28,0.1,38.93,1.97
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Bhadradri Kothagudem ,Warangal,4,8.36,778,3.2,0.2,,4,36,Less than 1.8,,,,,10,266,56,42,5,0.1,Less than 0.01,240,48,29.16,34,60,458,320,16,0.1,,0.1,4.86,0.62,34.49,1.68
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,Ramagundam,Sample was  not Collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4258,River Manjeera,"Singoor Dam Reservoir,",Sangareddy,Sangareddy,6.2,7.05,458,2.1,5,0.11,4,25,2,,,,9,12,82,66,27,5,0.1,Less than 0.01,136,28,16,8,14,279,167,6,,0.09,0.1,5,0.1,17.54,0.52
1157,River Manjeera,River Manjeera at Raipally,Sangareddy,ZL-RCP,Sample was not collected as it was in dry condition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781,River Manjeera,Manjeera at Ganapathi sugars,Sangareddy,ZL-RCP,Sample was not collected as it was in dry condition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,Sangareddy,ZL-RCP,6,7.11,1459,2.6,15,0.16,6.8,49,3.7,,,,15,28,208,108,32,5.6,0.1,Less than 0.01,280,56,34,14,27,789,592,14,,0.16,0.1,9,0.13,16.68,0.7
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,Sangareddy,ZL-RCP,5.7,7.13,1583,3,18,0.17,6.1,46,4,,,,17,32,214,116,41,6.2,0.1,Less than 0.01,282,60,32,17,35,895,610,17,,0.19,0.1,11,0.16,20.37,0.9
2349,River Manjeera,Nakka vagu at Bachugudem,Sangareddy,ZL-RCP,1.3,7.2,1971,9,19,0.19,26,150,14,,,,24,36,310,218,82,14.6,0.1,Less than 0.01,460,92,56,29,59,1096,757,19,,0.23,0.04,15,0.25,21.0,1.19
4226,River Manjeera,River Manjeera at Yedu Payala Temple,Medak,R.C.Puram,5.9,7.16,637,3,6,0.14,Less than 1.8,31,BDL,,,,9,20,136,84,30,5.6,0.1,Less than 0.01,188,36,24,10,22,356,267,15,,0.11,0.1,7,0.13,19.38,0.69
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,Bhadradri Kothagudem ,Kothagudem,4.6,7.42,494,2.8,0.56,,Less than 1.8,17,Less than 1.8,,,,,5,115,41,28,5,0.1,Less than 0.01,130,36,9.72,26,30,281,211,28,0.26,,0.1,2.74,0.12,32.73,1.14
3080,River Kinneresani,U/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,Kothagudem,4,7.6,675,3.2,0.32,,Less than 1.8,22,Less than 1.8,,,,,5,168,86,36,5,0.1,Less than 0.01,190,52,14.58,35,56,380,287,14,0.28,,0.1,4.08,0.24,38.32,1.76
3081,River Kinneresani,D/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,Kothagudem,5.2,7.81,506,2.1,0.34,,Less than 1.8,26,Less than 1.8,,,,,5,145,50,18,5,0.1,Less than 0.01,170,40.8,16.52,34,36,302,180,20,0.32,,0.1,4.29,0.1,30.74,1.2
1784,River Krishna ,River Krishna at Thangadi,Mahaboobnagar,Hyderabad ,4.4,8.03,1520,2.4,2.6,,21,350,Less than 1.8,,,,,5,295,192,32,5,0.1,Less than 0.01,320,66,37.66,128,182,860,580,14,0.18,,0.1,2.2,0.6,54.92,4.41
39,River Krishna ,River Krishna at Gadwal bridge,Mahaboobnagar,Hyderabad ,4.2,7.32,1518,2.8,3,,27,430,Less than 1.8,,,,,5,320,202,34,5,0.1,Less than 0.01,355,78,38.88,130,180,920,660,16,0.14,,0.1,2.4,0.9,52.08,4.14
4225,River Krishna ,"Jogulamba Temple, Gadwal",Jogulamba Gadwal,Hyderabad ,3.6,7.78,1488,4.2,2.6,,33,430,Less than 1.8,,,,,5,285,188,63,5,0.1,Less than 0.01,360,78,40.09,122,142,830,570,19,0.2,,0.1,3,0.9,45.76,3.24
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,Nalgonda,Nalgonda,6.1,7.06,645,3,7,0.15,4,31,2,,,,16,16,124,82,28,5,0.1,Less than 0.01,176,34,22,9,23,361,264,11,,0.14,0.1,6,0.18,21.33,0.75
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",Nalgonda,Nalgonda,6,7.19,661,2.6,5,0.12,6,33,4,,,,10,12,132,78,24,5,0.1,Less than 0.01,184,36,24,7,18,384,257,13,,0.16,0.1,5,0.14,16.61,0.57
1465,River Krishna ,Confluence of River Krishna & River Musi at at Wadapally,Nalgonda,Nalgonda,5.5,7.2,1125,3.2,9,0.15,6.8,41,6,,,,17,20,208,142,32,5.6,0.1,Less than 0.01,296,66,32,16,40,628,445,16,,0.21,0.1,10,0.28,21.84,1.01
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",Suryapet,Nalgonda,5.7,7.01,994,3,8,0.11,8.1,46,5.5,,,,11,20,192,120,31,5.6,0.1,Less than 0.01,254,56,28,13,37,598,402,15,,0.18,0.1,9,0.31,23.07,1.0
1215,River Krishna ,River Munneru at Thummala cheruvu/Madannapet,Warangal Rural,Warangal,4.6,8.36,333,2.1,0.28,,Less than 1.8,11,Less than 1.8,,,,,10,105,29,23,5,0.1,Less than 0.01,115,29.6,9.96,18,23,190,110,17,0.1,,0.1,3.02,0.43,29.52,0.93
4250,River Krishna ,"Palair Reservoir, Khammam",Khammam,Kothagudem,4.5,7.79,412,2.2,0.2,,Less than 1.8,12,Less than 1.8,,,,,5,130,51,24,5,0.1,Less than 0.01,140,38,10.94,24,32,240,120,11,0.26,,0.1,3.38,0.13,32.44,1.17
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",Khammam,Kothagudem,5,7.68,810,2.1,0.26,,Less than 1.8,24,Less than 1.8,,,,,5,210,94,28,5,0.1,Less than 0.01,230,58,20.66,42,69,448,340,18,0.22,,0.1,4.86,0.23,38.73,1.97
