Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,7,8.06,1176,3,22,0.32,2,32,  -,  -,42,36,198,96,22,15,0.8,219,40,29,58,62,881,710,29,0.59,0.69,15,0.54,35.96,1.81
4255,River Godavari,"Ali sagar Reservior Project area , Alisagar (V), Yedapally (M), Nizamabad Dist.",6,7.76,429,1,3,0.04,Nil,20,  -,  -,9,12,122,36,9,8,0.3,121.77,24,15,14,24,329,267,7,0.04,2.15,3,0.17,29.23,0.94
4227,River Godavari,"Pochara Water Falls, Adilabad",5,7.92,710,2,8,2.34,Nil,18,  -,  -,7,18,182,32,14,11,0.2,161.62,35,18,18,20,543,430,10,0.09,1.08,4,0.23,20.6,0.68
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",4.7,8.39,488,3,0.45,,NIL,34,,,1.4,15,168,68,29,1,Less than 0.1,200,40.8,23.81,20,39,375,297,2,0.01,0.19,4,0.58,29.24,0.85
13,River Godavari,"River Godavari at Mancherial (BM-Jan, Apr & Oct)",5.8,8.51,427,4,0.28,,NIL,26,,,1.02,10,166,32,36,1,Less than 0.1,144,29.6,17.01,15,38,323,253,3,0.02,0.2,4,0.73,35.65,0.97
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5.9,8.73,418,3,0.4,,NIL,19,,,1.5,15,174,27,22,1,Less than 0.1,140,36,12.15,17,41,318,258,6,0.02,0.22,4,0.85,38.05,1.07
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",4.8,9.88,822,4,0.69,,NIL,17,,,16.6,20,166,92,43,2,0.1,195,34,26.73,34,58,642,509,15,0.03,0.24,14,1.14,37.19,1.28
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,4.4,8.49,553,3,0.48,,NIL,42,,,5.21,10,166,66,29,1.4,Less than 0.1,188,37.6,22.84,22,44,421,331,4,0.04,0.22,5,0.96,32.98,0.99
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,2.3,7.68,612,6,4.6,,NIL,68,,,7.16,0,210,66,40,2,,180,37.6,20.9,28,68,475,384,10,1.1,0.2,8,1.56,43.72,1.56
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6,8.12,295,2,1,,NIL,36,,,2,0,105,22,12,1.4,,125,24,15.79,10,14,224,183,3,0.15,0.2,4,1.53,18.96,0.38
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",5.8,8.16,314,3,0.75,,NIL,44,,,2,0,110,28,14,1.4,,126,32,11.18,14,16,243,198,5,0.15,0.22,5,1.02,20.8,0.44
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,6,7.31,309,3,0.07,,NIL,40,,,3.63,0,108,26,20,1,,110,20,14.58,10,24,238,193,6,0.05,0.19,4,0.7,31.19,0.7
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,4.6,7.38,502,3,0.15,,NIL,56,,,6.12,0,220,42,24,1,,232,51.2,25.27,20,32,394,310,24,0.12,0.18,2,0.97,22.87,0.65
2369,River Godavari,River Godavari at Burgampahad,4.2,7.35,481,3,0.22,,NIL,22,,,3.21,0,116,40,27,1,Less than 0.1,124,27.2,13.61,21,34,372,294,7,0.1,0.1,6,1.04,35.95,0.94
4256,River Godavari,"Lower Manair Dam, Karimnagar",5.7,8.15,366,1,7.5,,NIL,22,,,9.11,0,122,48,40,1.4,Less than 0.1,140,29.6,16.04,6,24,281,220,10,0.11,0.1,5,0.44,26.27,0.62
1158,River Godavari,"River Maneru at Somanpally (BM-Jan, Apr & Oct)",Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4257,River Godavari,"Manair River (Downstream of Municipal dump site, Karimnagar)",Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,River Godavari,River Maneru at Thummala cheruvu/Madannapet,6.1,7.2,328,4,0.49,,NIL,20,,,22,0,102,40,51,BDL,Less than 0.1,108,25.6,10.69,7,31,257,199,10,0.12,0.12,2,0.42,37.87,0.92
4249,River Godavari,"Rangasamudram, Warangal",2.8,7.62,1620,11,0.6,,NIL,44,,,18,0,345,258,110,BDL,Less than 0.1,385,102,31.59,92,198,1251,991,20,0.12,0.2,12,2,51.81,3.1
1157,River Godavari,River Manjeera at Raipally,7.98,7.8,335,2,11,0.75,2,29,  -,  -,32,27,56,24,15,20,Less than 0.1,81.18,16,10,9,10,257,196,36,0.46,0.39,2,0.59,20.51,0.48
4258,River Godavari,"Singur Dam Reservoir, Sangareddy",6.3,8.3,422,  -,15,0.25,Nil,15,  -,  -,24,22,110,38,6,20,Less than 0.1,146,32,16,15,18,319,259,36,0.42,0.39,3,0.53,20.63,0.65
1781,River Godavari,Manjeera at Ganapathi sugars,6.4,7.83,442,2,11,0.45,3,52,  -,  -,49,28,82,72,12,18,Less than 0.1,135.89,28,16,18,24,334,264,30,0.59,0.46,5,0.55,26.7,0.89
2374,River Godavari,U/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu,6.2,7.32,1586,5,34,0.6,4,52,  -,  -,46,22,280,154,36,19,Less than 0.1,311.19,80,27,48,118,1204,958,28,0.9,0.59,14,0.76,43.7,2.9
2375,River Godavari,D/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu,6.5,7.28,1493,4,41,0.7,3,74,  -,  -,50,30,250,152,31,17,Less than 0.1,286.33,75,24,45,120,1135,902,225,0.68,0.64,15,0.65,46,3.08
4226,River Godavari,"River Manjeera at Yedu Payala Temple, Medak District",7.1,7.27,728,3,14,0.08,2,10,  -,  -,3,20,164,58,41,2,Less than 0.1,166.33,27,24,24,23,563,443,14,0.1,0.85,7,0.55,22.08,0.77
2372,River Godavari,Kinnerasani after confluence of KTPS ash pond effluents,4.5,7.6,490,2,0.15,,NIL,22,,,13.21,0,148,46,16,1,Less than 0.1,165,40.8,15.31,28,38,371,299,15,0.2,0.26,8,1.26,32.04,0.91
2373,River Godavari,Kunavaram at Sabari,6.9,7.34,85,BDL,0.01,,NIL,20,,,0.45,0,30,7,12,BDL,Less than 0.1,34,7.2,3.89,2,5,65,50,4,0.05,0.09,1,0.87,23.55,0.26
4250,River Godavari,"Palair Reservoir, Khammam",5.3,7.04,426,3,14,,NIL,26,,,3.42,0,125,46,43,BDL,Less than 0.1,145,23.2,21.14,26,35,318,251,9,0.32,0.1,2,1.11,34.02,0.89
4251,River Godavari,"D/S of Munneru River, Prakash Nagar, Khammam",2.1,7.12,563,7,0.25,,NIL,26,,,10.8,0,126,82,51,BDL,Less than 0.1,146,33.6,15.07,41,65,437,353,30,0.07,0.12,3,0.7,48.53,1.65
3080,River Godavari,U/s of Karakavagu at Paloncha,3.9,7.38,406,5,0.74,,NIL,30,,,2.07,0,102,62,47,BDL,Less than 0.1,124,32,10.69,28,34,311,251,8,0.17,0.2,4,1.09,36.4,0.94
3081,River Godavari,D/s of Karakavagu at Paloncha,3.2,7.13,578,6,0.23,,NIL,46,,,8.47,0,140,76,59,1,Less than 0.1,180,41.6,18.47,38,46,446,352,45,0.1,0.22,6,0.83,34.76,1.05
2349,River Godavari,Nakka vagu at Bachugudem,4.9,7.46,1540,15,40,0.64,Nil,24,  -,  -,35,25,346,166,50,21,Less than 0.1,322.22,63,40,47,110,1189,947,42,0.59,0.69,16,0.77,41,2.66
1784,River Krishna,River Krishna at Thangadi,5.05,8.15,1286,4,12,,NIL,46,,,6,0,240,173,62,2,Less than 0.1,270,56,31.59,85,140,987,784,27,0.53,0.26,4,1.4,52.52,2.62
39,River Krishna,"River Krishna at Gadwal bridge (BM-Jan, Apr & Oct)",5.4,8.17,1180,4,1,,NIL,48,,,5,0,220,160,48,1.4,Less than 0.1,260,58,27.95,90,130,912,724,20,0.68,0.26,4,2,51.6,2.48
4255,River Krishna,"Ali sagar Reservior Project area , Alisagar (V), Yedapally (M), Nizamabad Dist.",6,7.76,429,1,3,0.04,Nil,20,  -,  -,9,12,122,36,9,9,Less than 0.1,121.77,24,15,14,24,331,269,7,0.04,2.15,3,0.17,29.23,0.94
4259,River Krishna,Sample from Nagarjuna Sagar Dam Spill way,6.5,8.52,682,4,2,0.51,Nil,28,  -,  -,3,12,158,52,15,9,Less than 0.1,190.16,25,31,54,33,519,411,5,0.07,1.74,3,0.41,26.84,1.04
1465,River Krishna,River krishna at wadapally,7.8,8.62,1748,4,20,0.8,4,39,  -,  -,32,32,212,192,48,19,Less than 0.1,365.6,82,39,79,102,1257,1001,28,0.55,0.6,9,0.69,36.91,2.31
