Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,,,,
2360,River Godavari,River Godavari at Basara,Nirmal,7.2,6.78,1117,3.2,21,0.05,4,21,3.6,,,,2.5,12,270,135,34,6,BDL,BDL,360,104,260,24,100,52,62,680,470,7,,0.09,BDL,3.1,0.17,27.02,1.18,,,,
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,7.1,7.03,720,3,26,0.06,3.7,20,2,,,,2.8,16,215,125,32,5,BDL,BDL,296,78,196,24,100,38,52,497,318,5,,0.07,BDL,3.2,0.3,27.43,1.14,,,,
4255,River Godavari,Ali sagar Reservoir,Nizamabad,7,6.72,673,2.6,21,0.03,4,24,3.7,,,,2.9,12,185,92,28,4,BDL,BDL,248,64,162,21,86.44,30,41,420,287,7,,0.07,BDL,2.5,0.21,26.23,0.99,,,,
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,6.8,7.37,790,3,19,0.1,6.1,24,4.5,4.5,,,3.9,20,270,119,29,8,BDL,BDL,340,88,220,29,120,38,45,490,302,12,,0.13,BDL,3,0.24,22.11,0.93,,,,
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Peddapalli,6,8.5,736,1.8,1.2,,Less than 1.8,47,1.8,,,,8,8,180,69,28,1.5,0.4,#,188,48,120,16.52,68,48,#,456,320,10,0.43,,0.5,#,0.55,#,#,,,,
0013,River Godavari,River Godavari at Mancherial,Peddapalli,6,8.33,731,1.8,1.3,,Less than 1.8,40,Less than 1.8,,,,6,5,184,70,28,1.5,0.4,#,192,49.6,124,16.52,68,52,#,460,310,10,0.35,,0.5,#,0.67,#,#,,,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,5.9,9.37,890,1.8,1.4,,6.1,140,2,,,,28,15,240,113,30,3.36,0.58,#,260,55.2,138,29.65,122,38,#,550,380,46,0.85,,0.5,#,0.8,#,#,,,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,5.9,7.95,935,2,1.8,,Less than 1.8,46,Less than 1.8,,,,6,5,248,106,32,1.5,0.4,#,268,64,160,26.24,108,46,#,590,410,10,0.49,,0.5,#,0.58,#,#,,,,
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,Ramagundem,1.3,6.3,1446,2.2,6.64,,21,350,Less than 1.8,,,,14,5,270,201,40,6.72,1.42,#,330,79.2,198,32.08,132,98,#,910,650,18,0.8,,0.5,#,1.16,#,#,,,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,5.8,7.89,1092,2,1.9,,Less than 1.8,47,Less than 1.8,,,,9,5,274,120,32,1.5,0.4,#,286,70.4,176,26.73,110,50,#,666,460,14,0.47,,0.5,#,0.89,#,#,,,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,5.9,8.06,976,1.8,1,,Less than 1.8,41,Less than 1.8,,,,8,5,250,99,28,1.5,0.4,#,266,64.8,162,25.27,104,61,#,620,410,12,0.73,,0.5,#,0.7,#,#,,,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,5.9,8.52,777,1.8,1.2,,Less than 1.8,46,Less than 1.8,,,,6,8,200,84,30,1.5,0.4,#,208,52,130,18.95,78,47,#,476,330,10,0.99,,0.5,#,0.67,#,#,,,,
