Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,6.5,7.1,915,3.2,23,0.05,5.5,20,4,,,,3.6,24,185,113,36,12,,,300,175,125,70,30,96,36,516,361.2,6,,0.07,BDL,3.5,0.32,20.45,0.83
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,7,7.34,713,2.9,22,0.08,6,21,3.7,,,,4.2,16,150,82,30,10,,,225.0,145,80.0,58,19.44,51,20,408,285.6,8,,0.09,BDL,2.1,0.35,15.98,0.51
4255,River Godavari,Ali sagar Reservoir,Nizamabad,6.5,6.92,608,3.2,10,0.06,4.5,24,Less than 1.8,,,,3,20,140.0,84,36,10,,,189.96,120,69.96,48,17,40,24,364.8,255.36,8,,0.12,BDL,3,0.21,21.14,0.67
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,6.2,7.53,788,3.3,13,0.12,6,21,2,,,,4.4,16,210.0,87,36,8,,,220,130,90,52,22,37,28,455,318.5,9,,0.38,BDL,2.4,0.35,21.31,0.75
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Peddapalli,6.2,7.7,568,1.6,1.86,,Less than 1.8,33,Less than 1.8,,,,5,5,155,55,28,1.5,0.4,,154,82,72,32.8,17.5,32,#,362,,10,0.36,,0.5,#,0.48,,
0013,River Godavari,River Godavari at Mancherial,Peddapalli,6.2,7.83,602,1.6,2.8,,Less than 1.8,27,Less than 1.8,,,,4,5,166,58,24,1.5,0.4,,160,86,74,34.4,17.98,30,#,386,,10,0.43,,0.5,#,0.53,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,3.2,10.01,1008,1.8,1.88,,17,280,2,,,,12,10,248,122,28,3.36,0.92,,264,140,124,56,30.13,82,#,614,,16,1.48,,0.5,#,0.85,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,6.1,7.61,573,1.8,0.99,,Less than 1.8,24,Less than 1.8,,,,4,5,166,52,36,1.5,0.4,,140,76,64,30.4,15.55,24,#,336,,10,0.33,,0.5,#,0.44,,
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,Ramagundem,4.8,6.72,848,1.8,3.8,,2,24,Less than 1.8,,,,3,5,140,135,36,2.24,0.4,,164,74,90,29.6,21.87,57,#,526,,10,0.45,,0.5,#,0.84,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,6.1,7.56,568,1.6,0.84,,Less than 1.8,33,Less than 1.8,,,,5,5,148,51,20,1.5,0.4,,142,78,64,31.2,15.55,42,#,342,,10,0.35,,0.5,#,0.46,,
