Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,7,7.11,935,3.6,18,0.08,3.6,25,2,,,,2.8,10,244,124,38,6,BDL,BDL,324,96,240,20,84,56,58,562,394,8,,0.08,BDL,2.9,0.12,27.83,1.4
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,6.8,7.6,617,2.9,24,0.05,2,21,Less than 1.8,,,,2.5,15,196,110,28,5,BDL,BDL,248,70,175,18,73,32,48,375,268,6,,0.09,BDL,3,0.36,29.13,1.32
4255,River Godavari,Ali sagar Reservoir,Nizamabad,7.2,7.12,652,2.4,16,0.04,3.7,22,2,,,,3.2,10,194,96,26,4,BDL,BDL,243.83,58,145,24,99,26,46,398,282,9,,0.06,BDL,2,0.2,28.77,1.28
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,6.9,7.29,750,2.9,18,0.14,5.6,26,3.7,,,,3.4,16,240,110,27,5,BDL,BDL,300,80,200,24,100,36,42,462,330,10,,0.1,BDL,3.1,0.2,23.1,1.05
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Peddapalli,6.4,8.34,536,1.2,0.63,,Less than 1.8,46,Less than 1.8,,,,8,10,140,47,20,1.5,0.4,,180,38,95,20.66,85,36,#,334,220,11,1.12,,0.5,,0.43,#,#
0013,River Godavari,River Godavari at Mancherial,Peddapalli,6.4,8.1,676,1.2,0.63,,Less than 1.8,49,Less than 1.8,,,,12,5,160,64,24,1.5,0.4,,225,48,120,25.52,105,60,#,428,280,10,1.4,,0.5,,0.52,#,#
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,6.4,11.34,1176,1.2,0.65,,12,280,Less than 1.8,,,,14,20,290,132,24,3.36,0.4,,320,68,170,36.45,150,88,#,720,480,11,2.23,,0.5,,0.75,#,#
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,6.3,8.16,954,1.4,0.91,,Less than 1.8,70,Less than 1.8,,,,12,5,250,83,28,1.5,0.4,,330,88,220,26.73,110,76,#,580,300,18,1.84,,0.5,,0.55,#,#
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,Ramagundem,6.2,7,1201,2,1.77,,Less than 1.8,46,Less than 1.8,,,,16,5,280,127,32,5.6,1.12,,390,82,205,44.95,185,92,730,730,510,10,2.28,,0.5,,0.64,#,#
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,6.3,7.84,977,1.4,1.22,,Less than 1.8,94,Less than 1.8,,,,10,5,280,83,24,1.5,0.4,,305,80,200,25.52,105,62,#,620,430,12,1.62,,0.5,,0.61,#,#
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,6.4,8.01,1017,1.2,0.64,,Less than 1.8,70,Less than 1.8,,,,10,5,265,86,20,1.5,0.4,,335,96,240,23.09,95,74,#,630,420,10,1.98,,0.5,,0.63,#,#
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,6.4,7.96,861,1.2,0.65,,Less than 1.8,79,Less than 1.8,,,,8,5,202,88,24,1.5,0.4,,245,58,145,24.3,100,62,#,530,360,10,1.58,,0.5,,0.65,#,#
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,6.4,7.92,278.2,1.2,2.84,,Less than 1.8,17,Less than 1.8,,,,15,5,90,22,20,1.5,0.4,,155,34,85,17.01,70,10,#,176,120,14,1.86,,0.5,,0.25,#,#
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,6.4,8,242.9,1,0.69,,Less than 1.8,32,Less than 1.8,,,,12,5,90,20,8,1.5,0.4,,120,30,75,10.94,45,10,#,150,100,10.03,0.82,,0.5,,0.2,#,#
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,6.4,8.02,242,1,0.64,,Less than 1.8,40,Less than 1.8,,,,13,5,95,15,8,1.5,0.4,,100,22,55,10.94,45,12,#,152,110,10,0.86,,0.5,,0.2,#,#
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.4,7.78,288,1,0.62,,Less than 1.8,33,Less than 1.8,,,,16,5,95,28,8,1.5,0.4,,140,30,75,15.79,65,12,#,180,120,25,0.2,,0.5,,0.2,#,#
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.4,7.9,286,1,0.65,,Less than 1.8,39,Less than 1.8,,,,17,5,115,17,8,1.5,0.4,,130,32,80,12.15,50,14,#,182,120,21,0.22,,0.5,,0.2,#,#
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,6.4,7.88,322,1,0.69,,Less than 1.8,46,Less than 1.8,,,,20,5,102,25,12,1.5,0.4,,155,34,85,17.01,70,20,#,202,140,55,0.32,,0.5,,0.26,#,#
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,6,8.07,420,1,0.85,,Less than 1.8,70,Less than 1.8,,,,8,5,160,37,16,1.5,0.4,,175,36,90,20.66,85,16,#,260,180,10,0.2,,0.5,,0.38,#,#
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,Dried,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,#,#
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,Dried,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,#,#
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Jayashankar Bhoopalpalli,5.2,7.77,902,1.8,4.3,,Less than 1.8,32,Less than 1.8,,,,16,5,200,98,36,1.5,0.4,,245,62,155,21.87,90,68,#,562,390,19,2.57,,0.5,,0.34,#,#
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,Dried,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,#,#
4258,River Manjeera,"Singoor Dam Reservoir,",Sangareddy,7,7.81,634,2.2,21,0.09,3.6,20,1.8,,,,2.8,12,208,108,18,4,BDL,BDL,252.36,68,170,20,82,34,54,386,274,6,,0.05,BDL,2.2,0.16,31.43,1.48
1157,River Manjeera,River Manjeera at Raipally,Sangareddy,6.8,7.2,690,2.5,27,0.02,4.5,36,2,,,,2.6,15,192,100,22,4,BDL,BDL,296,80,200,23,96,46,38,420,294,7,,0.09,BDL,4,0.1,21.54,0.96
1781,River Manjeera,Manjeera at Ganapathi sugars,Sangareddy,6.2,7.18,650,2.8,17,0.08,5.5,34,2,,,,3.2,16,212,65,26,5,BDL,BDL,236,62,155,20,81,56,49,395,278,6,,0.11,BDL,3.1,0.28,30.54,1.38
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,Sangareddy,6.4,7.22,1002,3,21,0.04,6,31,3.7,,,,3,20,194,106,32,6,BDL,BDL,283.83,74,185,24,99,58,49,602,430,9,,0.15,BDL,3.2,0.2,26.92,1.26
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,Sangareddy,6.7,7.26,910,3.2,23,0.08,6.1,36,4,,,,3.4,16,196,182,36,5,BDL,BDL,392,84,210,44,182,60,42,556,393,10,,0.12,BDL,3.1,0.44,18.69,0.92
2349,River Manjeera,Nakka vagu at Bachugudem,Sangareddy,5.1,7.96,1690,5.4,35,0.14,7.8,79,5.5,,,,4,24,408,245,60,7,BDL,BDL,660,172,430,56,230,86,97,1040,726,9,,0.1,BDL,4.2,0.1,23.97,1.64
4226,River Manjeera,River Manjeera at Yedu Payala Temple,Medak,6.8,6.93,939,2.4,32,0.08,5.5,63,3.6,,,,2,20,208,132,20,5,BDL,BDL,331.78,80,200,32,132,58,44,568,396,12,,0.14,BDL,4.5,0.26,22.0,1.05
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,Bhadradri Kothagudem ,6,8.26,474,2,0.78,,Less than 1.8,32,Less than 1.8,,,,14,10,155,37,32,1.5,0.4,,220,46,115,25.52,105,28,#,298,180,10,0.26,,0.5,,0.41,#,#
3080,River Kinneresani,U/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,6.1,7.72,641,1.2,0.87,,Less than 1.8,46,Less than 1.8,,,,14,5,180,58,16,1.5,0.4,,230,54,135,23.09,95,32,#,390,270,22,1.2,,0.5,,0.29,#,#
3081,River Kinneresani,D/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,6.2,7.92,476,1.2,0.55,,Less than 1.8,70,Less than 1.8,,,,18,5,185,32,20,1.5,0.4,,200,42,105,23.09,95,30,#,296,190,26,0.3,,0.5,,0.39,#,#
1784,River Krishna ,River Krishna at Thangadi,Mahaboobnagar,6.4,7.82,954,1.8,3.1,,4.5,110,Less than 1.8,,,,14,5,230,108,24,3.36,0.4,,240,56,140,24.3,100,48,#,580,380,34,3.38,,0.5,,0.94,#,#
0039,River Krishna ,River Krishna at Gadwal bridge,Mahaboobnagar,6.4,8.04,1270,1.8,3.4,,2,170,Less than 1.8,,,,16,5,260,176,24,2.28,0.4,,285,64,160,30.38,125,62,#,774,520,25,3.96,,0.5,,0.92,#,#
4225,River Krishna ,"Jogulamba Temple, Gadwal",Jogulamba Gadwal,6.4,7.23,1397,1.6,2.45,,2,94,Less than 1.8,,,,20,5,270,196,22,1.68,0.4,,285,78,195,21.87,90,84,#,854,540,64,3.2,,0.5,,0.62,#,#
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,Nalgonda,7.4,7.44,920,2.6,24,0.09,3.6,25,1.8,,,,3.2,12,212,124,24,4,BDL,BDL,312,60,150,39,162,54,45,552,385,8,,0.12,BDL,4,0.18,23.55,1.11
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",Nalgonda,6.6,7.41,901,3,18,0.12,6,34,3.7,,,,4,20,218,192,32,5,BDL,BDL,412,86,215,48,197,42,56,574,410,12,,0.22,BDL,4,BDL,22.47,1.2
1465,River Krishna ,Confluence of River Krishna & River Musi at at Wadapally,Nalgonda,5.9,7.45,1312,3.2,35,0.32,6.8,38,4,,,,3.6,16,216,224,30,4,BDL,BDL,468,112,280,46,188,51,64,793,554,13,,0.18,BDL,4,0.27,22.59,1.28
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",Suryapet,6,7.49,1368,3,27,0.24,6.1,40,3.7,,,,3.2,24,264,144,28,4,BDL,BDL,376,90,225,37,151,46,54,842,590,10,,0.24,BDL,5,0.4,23.34,1.21
4250,River Krishna ,"Palair Reservoir, Khammam",Khammam,6,7.34,794,1,1.28,,11,280,Less than 1.8,,,,12,5,195,84,12,3.36,0.4,,235,54,135,24.3,100,52,#,490,340,10,2.16,,0.5,,0.42,#,#
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",Khammam,6.1,7.25,385,1,1.33,,14,220,Less than 1.8,,,,16,5,160,29,8,1.5,0.56,,170,36,90,19.44,80,12,#,240,160,10,1.06,,0.5,,0.29,#,#
5108,River Krishna ,River Krishna Before Confluence of River Musi at Wadapally (V),Nalgonda,6.6,7.55,948,2.2,19,0.15,4.5,36,2,,,,3.5,16,284,140,21,4,BDL,BDL,380,92,230,36,150,47,58,570,406,12,,0.16,BDL,5,0.17,24.6,1.29
5109,River Krishna ,River Krishna After Confluence of River Musi at Wadapally (V),Nalgonda,6.8,7.47,1410,3,38,0.2,5.5,34,2,,,,3,20,280,264,32,6,BDL,BDL,563.55,120,300,64,264,69,90,868,612,10,,0.22,BDL,5.2,0.29,25.44,1.64
5110,River Krishna ,River Krishna at Pulichintala Reservoir at Chinthalapalem,Suryapet,6.9,7.32,1350,3.6,26,0.18,4.5,40,1.8,,,,3.6,12,270,224,40,6,BDL,BDL,452.37,92,230,54,222,51,67,820,565,11,,0.25,BDL,5.6,0.3,23.96,1.37
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,Hyderabad,0.3,7.42,1270,10,9.51,,21,540,6.1,,,,18,5,200,178,124,11.2,2.24,,205,48,120,20.66,85,118,#,780,530,10,3.6,,0.5,,1.04,#,#
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Medchal Malkajgiri,0.3,7.39,1253,14,12.26,,26,430,4,,,,22,5,355,127,220,9.52,4.48,,180,38,95,20.66,85,102,#,790,550,14,3.48,,0.6,,1.24,#,#
2339,River Musi,River Musi at Nagole,Shamshabad,0.3,7.63,1338,8,13.78,,21,540,8.1,,,,26,5,300,147,73,14.5,3.36,,420,108,270,36.45,150,86,#,830,560,21,4.86,,0.5,,1.28,#,#
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",Yadadri Bhuvanagiri,0.3,7.68,1467,6,18.69,,70,430,7.8,,,,27,5,350,158,77,11.2,2.24,,390,94,235,37.66,155,72,#,910,680,33,4.6,,0.5,,1.32,#,#
4660,River Musi,River Musi at Peerajadiguda,Suryapet,0.3,7.51,1182,8,12.26,,17,350,4.5,,,,34,5,320,125,104,14.5,2.8,,340,88,220,29.16,120,84,#,732,500,48,4.4,,0.5,,1.28,#,#
1173,River Musi,D/s. of Musi at Pratapasingaram,Rangareddy,0.3,7.35,1351,12,6.8,,21,350,2,,,,30,5,330,132,151,14,4.48,,345,78,195,36.45,150,92,#,850,580,88,3.8,,0.5,,1.16,#,#
4657,River Musi,River Musi at Pillapalli,Rangareddy-I,1.9,7.45,1388,5.2,4.6,,26,430,4.5,,,,22,5,360,137,68,7.84,2.8,,370,96,240,31.59,130,68,#,860,600,19,3.2,,0.5,,1.31,#,#
4254,River Musi,River Musi sample at Rudravelly bridge,Yadadri Bhuvanagiri,6.1,6.83,1527,4,30,0.14,6.1,70,4.5,,,,4,12,280,262,42,6,BDL,BDL,556,116,290,64,266,55,86,944,676,12,,0.2,BDL,6,0.15,24.88,1.58
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",Yadadri Bhuvanagiri,5.9,6.99,1620,3.6,34,0.15,6.8,79,5.5,,,,5.8,24,336,252,34,6,BDL,BDL,571.79,120,300,66,272,61,79,979,692,10,,0.16,BDL,7.6,0.22,22.7,1.43
3082,River Musi,River Musi at Solipet (Kasaniguda),Suryapet,6.3,7.65,1595,2.8,36,0.12,6,58,3.7,,,,6.2,20,376,287,30,5,BDL,BDL,652,132,330,78,322,58,102,994,676,15,,0.23,BDL,8,0.29,25.0,1.73
5106,River Musi,River Musi at Bheemaram Bridge,Nalgonda,7,7.16,1995,4,38,0.1,6,43,4.5,,,,3.1,20,288,280,36,5,BDL,BDL,608.26,128,320,70,288,82,96,1214,862,13,,0.31,BDL,6,0.4,25.2,1.69
5107,River Musi,River Musi Before Confluence of River Krishna at Wadapally,Nalgonda,6.9,7.51,1883,3.8,32,0.19,5.5,34,3.7,,,,3.2,24,296,252,35,7,BDL,BDL,580.02,120,300,68,280,92,80,1146,802,10,,0.18,BDL,7.2,0.48,22.69,1.44
1172,Lakes & Tanks,U/s of Musi at Gandipet (Osmansagar lake),Shamshabad,6.2,8.45,529,1.2,1.3,,Less than 1.8,79,Less than 1.8,,,,7,10,160,51,24,1.5,0.4,,190,44,110,19.44,80,38,#,320,220,95,0.26,,0.5,,0.2,#,#
2358,Lakes & Tanks,Mallapur tank,Medchal Malkajgiri,0.3,8.36,8960,14,18.8,,47,920,11,,,,17,5,950,1744,202,9.52,3.92,,1026,236,590,105.95,436,640,#,5640,3950,10,5.8,,0.68,,1.46,#,#
1789,Lakes & Tanks,Himayathsagar lake,RR-shamshabad,6.2,8.29,672,1.2,1.77,,Less than 1.8,40,Less than 1.8,,,,10,6,185,64,28,1.5,0.4,,220,48,120,24.3,100,38,#,416,280,10,0.32,,0.5,,0.28,#,#
3069,Lakes & Tanks,"Shameerpet lake, Shameerpet",Medchal Malkajgiri,6,7.66,738,2,2.9,,Less than 1.8,94,Less than 1.8,,,,8,5,175,113,37,1.68,0.4,,225,48,120,25.52,105,30,#,450,310,87,1.02,,0.5,,0.47,#,#
3078,Lakes & Tanks,"Pragathinagar cheruvu, Kukatpally",Medchal Malkajgiri,0.3,7.52,1138,6,10.2,,17,350,4.5,,,,24,5,220,135,124,7.84,1.68,,260,74,185,18.22,75,112,#,716,470,52,4.86,,0.5,,0.88,#,#
2340,Lakes & Tanks,Lakshminarayana cheruvu,Medchal Malkajgiri,0.3,7.63,1718,8,7.96,,21,350,6.8,,,,24,5,420,213,127,8.4,2.8,,460,116,290,41.31,170,92,1066,1066,720,41,3.27,,0.5,,0.96,#,#
4229,Lakes & Tanks,Neknampur Lake,RR-shamshabad,0.3,7.68,1425,8,14.9,,32,430,4,,,,23,5,370,162,96,11.2,2.8,,395,82,205,46.17,190,38,#,870,600,38,3.87,,0.5,,0.94,#,#
1780,Lakes & Tanks,Gandigudem Tank,Sangareddy,5.8,7.2,2012,4,50,0.25,5.5,63,3.7,,,,7,20,440,336,44,6,BDL,BDL,680,160,400,68,280,76,82,1209,834,14,,0.28,BDL,8.6,0.18,20.43,1.36
