Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,6.8,8.1,763,2,3,0.08,5.6,20,4,,,,8,16,108,113,16,3.36,0.4,0.01,216,110,44,106,26,36,17,444.07,267,10,,0.06,0.5,5,0.2,14.22,0.5
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,6.3,8.13,492,1.6,5,0.02,6.8,36,4.5,,,,6,20,128,89,15,2.8,0.4,0.01,160,98,39,61.73,15,10,20,310,192,10,,0.05,0.5,4,0.2,21.2,0.7
4255,River Godavari,Ali sagar Reservoir,Nizamabad,6.4,7.84,331,1.2,2,0.07,4.5,30,1.8,,,,5,12,72,54,13,2.24,0.4,0.01,164,90,36,74.07,18,16,12,220,136,10,,0.1,0.5,6,0.2,17.8,0.49
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,6.2,8.21,805,2,2,0.05,5.5,24,2,,,,7,24,205,138,18,3.36,0.4,0.01,300,175,70,125,30,52,24,483.81,302,10,,0.05,0.5,5,0.2,14.63,0.6
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,6,7.78,351,1.2,0.76,,Less than 1.8,33,Less than 1.8,N.A,N.A,N.A,8.9,5,75,42,8,1.5,0.4,0.06,85,50,20,35,8.5,22,,218,,10,0.41,,0.5,,0.55,,
0013,River Godavari,River Godavari at Mancherial,Mancherial,6.1,7.61,342,1.1,0.78,,Less than 1.8,32,Less than 1.8,N.A,N.A,N.A,10,5,65,40,12,1.5,0.4,0.01,75,45,18,30,7.29,28,,198,,10,0.26,,0.5,,0.62,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,6,10.46,1052,1.2,0.86,,Less than 1.8,31,Less than 1.8,N.A,N.A,N.A,8,30,230,128,16,3.36,0.48,0.46,240,145,58,95,23.09,58,,620,,26,1.62,,0.5,,0.66,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,6.1,8.26,379,1.1,0.72,,Less than 1.8,27,Less than 1.8,N.A,N.A,N.A,6,10,80,48,12,1.5,0.4,0.04,85,50,20,35,8.5,21,,218,,10,1.12,,0.5,,0.62,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,6,7.42,470,1,0.7,,Less than 1.8,33,Less than 1.8,N.A,N.A,N.A,4,5,95,62,8,1.5,0.4,0.01,105,60,24,45,10.94,29,,272,,10,0.96,,0.5,,0.66,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,6.2,7.48,349,1,0.96,,Less than 1.8,38,Less than 1.8,N.A,N.A,N.A,6,5,65,50,5,1.5,0.4,0.01,75,45,18,30,7.29,18,,206,,10,0.48,,0.5,,0.68,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,6,7.5,464,1,1,,Less than 1.8,40,Less than 1.8,N.A,N.A,N.A,8,5,95,58,8,1.5,0.4,0.01,105,60,24,45,10.94,28,,274,,10,0.92,,0.5,,0.66,,
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,6,8.03,461,1.8,0.46,,4,41,Less than 1.8,N.A,N.A,N.A,12,5,95,52,8,1.5,0.4,0.02,105,60,24,45,10.94,34,,276,,10,0.2,,0.5,,0.76,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,6.2,7.73,163,1,0.52,,Less than 1.8,27,Less than 1.8,N.A,N.A,N.A,7,5,30,25,5,1.5,0.4,0.01,35,20,8,15,3.65,9,,96,,10,0.2,,0.5,,0.55,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,6.2,7.5,172,1,0.42,,Less than 1.8,42,Less than 1.8,N.A,N.A,N.A,8,5,30,27,8,1.5,0.4,0.01,38,22,8.8,16,3.89,10,,100,,10,0.2,,0.5,,0.36,,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.2,7.74,226,1,0.3,,2,27,Less than 1.8,N.A,N.A,N.A,12,5,45,32,5,1.5,0.4,0.01,50,26,10.4,24,5.83,7,,138,,20,1.86,,0.5,,0.52,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.1,7.66,228,1,0.32,,4,38,Less than 1.8,N.A,N.A,N.A,18,5,50,28,8,1.5,0.4,0.01,55,32,12.8,23,5.59,9,,140,,22,2.2,,0.5,,0.66,,
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,6,7.73,279,1,1.1,,Less than 1.8,34,Less than 1.8,N.A,N.A,N.A,7,5,55,38,8,1.5,0.4,0.01,60,35,14,25,6.08,14,,160,,14,1.26,,0.5,,0.4,,
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,6,7.99,356,1,1.1,,Less than 1.8,46,Less than 1.8,N.A,N.A,N.A,10,5,70,48,5,1.5,0.4,0.02,90,48,19.2,42,10.21,18,,214,,10,1.2,,0.5,,0.63,,
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,5.8,7.34,414,2,3.8,,11,48,2,N.A,N.A,N.A,10,5,85,50,28,1.5,0.4,0.01,95,55,22,40,9.72,22,,252,,10,2.2,,0.5,,1,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,6,7.61,418,1.1,3.6,,9,41,4,N.A,N.A,N.A,8,5,80,51,12,1.5,0.4,0.01,90,50,20,40,9.72,30,,242,,10,1.56,,0.5,,0.99,,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Bhadradri Kothagudem ,6,8.36,406,1.2,0.55,,Less than 1.8,25,Less than 1.8,N.A,N.A,N.A,17,10,85,52,12,1.5,0.4,0.04,95,54,21.6,41,9.96,20,,248,,10,0.46,,0.5,,0.88,,
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,6,7.78,503,1.2,1.2,,Less than 1.8,33,Less than 1.8,N.A,N.A,N.A,6,5,120,59,16,1.5,0.4,0.02,130,75,30,55,13.37,34,,302,,10,0.82,,0.5,,0.86,,
4258,River Manjeera,"Singoor Dam Reservoir,",Sangareddy,6.8,8.16,483,1.7,5,0.06,3.6,17,Less than 1.8,,,,8,12,98,58,14,2.24,0.4,0.01,116,75,30,41.15,10,15,12,284.49,178,10,,0.07,0.5,2,0.2,18.04,0.48
1157,River Manjeera,River Manjeera at Raipally,Sangareddy,6.4,7.46,456,2,4,0.12,5.5,39,3.7,,,,10,8,89,74,19,3.36,0.4,0.01,140,100,40,40,10,20,15,255.36,162,10,,0.12,0.5,2,0.2,18.51,0.55
1781,River Manjeera,Manjeera at Ganapathi sugars,Sangareddy,5.6,7.49,582,2.5,7,0.16,8.3,58,5.5,,,,8,28,132,93,23,3.92,0.4,0.01,190,108,43,82.3,20,28,16,343.38,216,12,,0.15,0.5,6,0.22,15.0,0.51
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,Sangareddy,6.3,7.2,686,2.8,3,0.11,8.1,36,6.1,,,,9,20,168,89,27,5.04,0.4,0.01,196,130,52,65.84,16,27,20,384.16,246,14,,0.12,0.5,5,0.2,17.71,0.62
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,Sangareddy,6.1,7.42,762,3,5,0.09,6.8,41,4.5,,,,11,28,178,103,30,5.6,0.4,0.01,240,150,60,90,22,48,19,439.67,280,13,,0.08,0.5,4,0.3,14.41,0.53
2349,River Manjeera,Nakka vagu at Bachugudem,Sangareddy,2.8,7.65,984,4,5,0.1,12,110,7.8,,,,15,32,206,122,43,7.84,0.4,0.01,300,155,62,145,35,68,21,592.37,380,17,,0.15,0.5,5,0.25,13.03,0.53
4226,River Manjeera,River Manjeera at Yedu Payala Temple,Medak,6.8,7.54,783,1.8,6,0.08,2,22,BDL,,,,12,16,200,108,20,3.36,0.4,0.01,298,165,66,133,32,70,20,488.59,310,12,,0.09,0.5,2,0.22,12.71,0.51
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,Bhadradri Kothagudem ,6,7.69,406,1,0.46,,Less than 1.8,39,Less than 1.8,N.A,N.A,N.A,8,5,80,56,12,1.5,0.4,0.01,90,50,20,40,9.72,21,,260,,16,0.96,,0.5,,0.42,,
3080,River Kinneresani,U/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,6.1,7.82,618,1.1,0.32,,Less than 1.8,33,Less than 1.8,N.A,N.A,N.A,8,5,135,72,16,1.5,0.4,0.02,145,75,30,70,17.01,38,,384,,12,0.2,,0.5,,0.36,,
3081,River Kinneresani,D/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,6,7.46,603,1,0.38,,Less than 1.8,38,Less than 1.8,N.A,N.A,N.A,6,5,140,74,12,1.5,0.4,0.01,148,80,32,68,16.52,28,,376,,10,0.4,,0.5,,0.38,,
1784,River Krishna ,River Krishna at Thangadi,Mahaboobnagar,6.1,8.17,573,1,1.1,,Less than 1.8,120,Less than 1.8,N.A,N.A,N.A,16,5,120,64,12,1.5,0.4,0.03,130,75,30,55,13.37,55,,348,,12,0.2,,0.5,,0.66,,
0039,River Krishna ,River Krishna at Gadwal bridge,Mahaboobnagar,6.1,8.06,569,1,0.88,,Less than 1.8,48,Less than 1.8,N.A,N.A,N.A,2.8,5,130,66,16,1.5,0.4,0.03,140,85,34,55,13.37,33,,356,,14,0.2,,0.5,,0.38,,
4225,River Krishna ,"Jogulamba Temple, Gadwal",Jogulamba Gadwal,6,7.73,596,1.1,0.92,,2,46,Less than 1.8,N.A,N.A,N.A,6.6,5,140,71,8,1.5,0.4,0.02,150,90,36,60,14.58,42,,374,,12,0.2,,0.5,,0.46,,
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,Nalgonda,6.5,7.94,786,2,3,0.22,4.5,24,3.6,,,,13,24,158,104,19,3.36,0.4,0.01,240,165,66,75,18,66,26,451.16,377,10,,0.1,0.5,5,0.26,18.74,0.73
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",Nalgonda,6.3,7.8,753,2.2,5,0.14,7.8,49,4.5,,,,15,32,180,92,23,3.92,0.4,0.01,222,140,56,82.3,20,35,20,459.33,368,12,,0.06,0.5,4,0.22,16.07,0.58
1465,River Krishna ,Confluence of River Krishna & River Musi at at Wadapally,Nalgonda,5.7,8.24,1127,3,6,0.26,9.2,34,5.5,,,,11,36,290,192,29,5.6,0.4,0.01,470,280,112,190,46,104,30,704.38,388,15,,0.05,0.5,5,0.2,12.07,0.6
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",Suryapet,6.1,7.92,1080,3,5,0.18,6.8,41,4,,,,14,16,260,187,27,5.04,0.4,0.01,390,250,100,139.92,34,60,26,702,482,18,,0.1,0.5,6,0.2,12.46,0.57
4250,River Krishna ,"Palair Reservoir, Khammam",Khammam,6.1,7.73,462,1,0.42,,Less than 1.8,33,Less than 1.8,N.A,N.A,N.A,8,5,100,54,8,1.5,0.4,0.02,110,65,26,45,10.94,28,,274,,10,1.2,,0.5,,0.4,,
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",Khammam,6,7.67,418,1.1,0.68,,2,42,Less than 1.8,N.A,N.A,N.A,10,5,90,52,12,1.5,0.4,0.01,100,60,24,40,9.72,22,,246,,14,0.86,,0.5,,0.56,,
5108,River Krishna ,River Krishna Before Confluence of River Musi at Wadapally (V),Nalgonda,6.2,8.01,888,2.7,6,0.12,6.1,39,4.5,,,,10,12,180,110,24,4.48,0.4,0.01,264,160,64,104,25,46,18,501.72,465,12,,0.05,0.5,5,0.2,12.71,0.48
5109,River Krishna ,River Krishna After Confluence of River Musi at Wadapally (V),Nalgonda,6,8.39,925,2.4,4,0.13,5.5,46,3.7,,,,9,16,200,148,22,3.92,0.4,0.01,352,220,88,131.69,32,88,20,599.4,386,11,,0.12,0.5,5,0.22,10.84,0.46
5110,River Krishna ,River Krishna at Pulichintala Reservoir at Chinthalapalem,Suryapet,6.6,8.2,828,2,5,0.18,4.5,41,1.8,,,,16,20,168,118,21,3.92,0.4,0.01,270,155,62,115.23,28,54,20,490,304,10,,0.07,0.5,4,0.2,13.66,0.53
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,Hyderabad,2.2,6.99,570,2,1.2,,11,430,2,N.A,N.A,N.A,10,5,130,64,31,2.24,0.4,0.02,140,86,34.4,54,13.12,38,,346,,12,3.56,,0.5,,0.5,,
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Medchal Malkajgiri,1.7,7.28,674,4,1.8,,17,350,4,N.A,N.A,N.A,10,5,150,74,47,5.6,1.72,0.02,160,92,36.8,68,16.52,44,,412,,18,3.8,,0.5,,0.92,,
2339,River Musi,River Musi at Nagole,Shamshabad,0.5,7.36,779,4,2.6,,20,430,4,N.A,N.A,N.A,12,5,175,91,43,7.84,3.41,0.05,185,112,44.8,73,17.74,54,,466,,24,3.28,,0.5,,0.98,,
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",Yadadri Bhuvanagiri,0.3,7.84,1560,6,3.2,,21,430,4,N.A,N.A,N.A,10,5,370,186,47,6.72,1.63,0.07,385,240,96,145,35.23,115,,966,,32,3.1,,0.5,,0.78,,
4660,River Musi,River Musi at Peerajadiguda,Suryapet,2,7.21,685,2.1,2.2,,26,540,2,N.A,N.A,N.A,8,5,145,76,31,3.36,0.48,0.01,155,90,36,65,15.79,46,,418,,10,3.9,,0.5,,0.86,,
1173,River Musi,D/s. of Musi at Pratapasingaram,Rangareddy,2.6,7.51,605,2.5,2,,21,350,4,N.A,N.A,N.A,12,5,115,78,35,2.24,0.4,0.01,105,62,24.8,43,10.45,38,,364,,16,3.96,,0.5,,0.92,,
4657,River Musi,River Musi at Pillapalli,Rangareddy-I,3.2,7.3,702,2.2,3.8,,32,350,2,N.A,N.A,N.A,10,5,150,83,31,3.36,0.51,0.01,165,95,38,70,17.01,49,,442,,12,3.62,,0.5,,1,,
4254,River Musi,River Musi sample at Rudravelly bridge,Yadadri Bhuvanagiri,5.9,7.39,1070,4,6,0.06,7.8,110,5.5,,,,12,30,252,148,44,7.84,0.4,0.01,348,200,80,148.15,36,82,27,644.14,388,16,,0.16,0.5,8,0.2,14.09,0.63
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",Yadadri Bhuvanagiri,6.4,8.04,1253,3.8,5,0.1,9.2,120,6.1,,,,14,32,302,167,47,8.4,0.4,0.01,384,210,84,174,42,84,35,765,482,12,,0.1,0.5,5,0.26,16.38,0.78
3082,River Musi,River Musi at Solipet (Kasaniguda),Suryapet,6.7,8.17,1282,4,5,0.05,7.8,79,4,,,,17,20,232,162,38,6.72,0.4,0.01,360,196,78,164,40,80,36,750,465,18,,0.12,0.5,6,0.25,17.59,0.83
5106,River Musi,River Musi at Bheemaram Bridge,Nalgonda,6.2,7.98,1028,4,6,0.22,6.1,39,4,,,,13,20,238,148,37,6.72,0.4,0.01,336,212,85,124,30,70,33,608,377,14,,0.08,0.5,5,0.22,17.35,0.78
5107,River Musi,River Musi Before Confluence of River Krishna at Wadapally,Nalgonda,6.5,7.96,929,3,5,0.04,8.2,47,5.6,,,,15,24,196,153,28,5.04,0.4,0.01,292,144,58,148,36,52,34,550,368,18,,0.12,0.5,6,0.2,19.33,0.85
1172,Lakes & Tanks ,U/s of Musi at Gandipet (Osmansagar lake),Shamshabad,6.4,7.93,409,1,0.42,,Less than 1.8,42,Less than 1.8,N.A,N.A,N.A,8,5,90,58,8,1.5,0.4,0.02,90,56,22.4,34,8.26,19,,248,,10,0.2,,0.5,,0.48,,
1215,Lakes & Tanks ,Madannapet Lake,Warangal Rural,5.5,7.59,234,1.6,0.62,,1.8,43,Less than 1.8,N.A,N.A,N.A,10,5,45,32,8,1.5,0.4,0.01,56,32,12.8,24,5.83,13,,138,,10,0.62,,0.5,,0.58,,
1780,Lakes & Tanks ,Gandigudem Tank,Sangareddy,5.8,7.49,1786,3.6,9,0.26,5.5,84,3.6,,,,12,36,244,212,37,6.72,0.4,0.01,380,224,90,156.38,38,86,54,930,577,10,,0.15,0.5,10,0.22,22.98,1.2
2358,Lakes & Tanks ,Mallapur tank,Medchal Malkajgiri,0.3,7.35,3880,10,12.8,,63,920,9,N.A,N.A,N.A,12,5,600,718,172,15.68,9.69,0.01,1035,652,260.8,383,93.07,452,,2444,,28,3.19,,0.5,,1.18,,
2347,Lakes & Tanks ,Asani Kunta,Sangareddy,NIL,7.18,6100,83,20,0.38,10,170,6.1,,,,180,44,1130,680,312,58.8,0.4,0.01,1600,870,348,730,177,192,110,3680,2310,80,,0.1,0.5,62,0.72,12.49,1.2
1783,Lakes & Tanks ,Kistareddypet Tank,Sangareddy,5.7,7.46,2482,4,12,0.18,12,38,5.5,,,,18,28,484,522,41,7.28,0.4,0.01,830,475,190,355,86,142,78,1500,975,10,,0.18,0.5,25,0.2,16.48,1.18
2348,Lakes & Tanks ,Khazipally Tank,Sangareddy,5.6,7.18,1989,2,12,0.15,2,11,Less than 1.8,,,,24,40,364,187,20,3.36,0.4,0.01,440,235,94,205,50,98,62,1243,750,14,,0.16,0.5,22,0.28,22.36,1.29
4243,Lakes & Tanks ,"Isnapur Tank,",Sangareddy,4.8,6.41,4286,8,14,0.24,7.8,79,4,,,,28,20,804,521,78,14.56,0.4,0.01,1070,625,250,445,108,122,120,2580,1670,13,,0.13,0.5,28,0.42,19.01,1.59
4302,Lakes & Tanks ,Rudraram Tank,Sangareddy,5.2,7.16,2313,6,13,0.14,7.8,47,4.5,,,,12,32,314,290,46,8.4,0.4,0.01,530,275,110,255.14,62,102,60,1445.62,930,12,,0.2,0.5,12,0.2,19.33,1.13
4240,Lakes & Tanks ,"Muthangi Tank,",Sangareddy,5.9,7.48,1424,2.8,10,0.1,8.3,41,3.6,,,,20,28,264,182,30,5.6,0.4,0.01,368,200,80,168,41,70,45,840,520,11,,0.16,0.5,5,0.3,20.9,1.03
4241,Lakes & Tanks ,"Chitkul Tank,",Sangareddy,5.6,7.09,1811,3,12,0.18,6.8,70,4.5,,,,18,36,270,241,35,6.16,0.4,0.01,436,240,96,196,48,98,42,1070,620,13,,0.14,0.5,15,0.34,16.8,0.87
4242,Lakes & Tanks ,"Lakadaram Cheruvu,",Sangareddy,5.5,7.26,1710,4,17,0.26,8.3,39,6.1,,,,16,52,261,208,42,7.84,0.4,0.01,540,255,102,285,69,90,66,998,625,16,,0.12,0.5,5,0.28,20.36,1.23
4246,Lakes & Tanks ,Pashamylaram Tank,Sangareddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Lakes & Tanks ,Himayathsagar lake,RR-shamshabad,6.3,7.78,441,1,0.96,,Less than 1.8,43,Less than 1.8,N.A,N.A,N.A,8,5,90,52,8,1.5,0.4,0.01,95,55,22,40,9.72,28,,264,,10,2.36,,0.5,,0.39,,
3069,Lakes & Tanks ,"Shameerpet lake, Shameerpet",Medchal Malkajgiri,5.6,7.73,635,2.6,1.2,,Less than 1.8,48,Less than 1.8,N.A,N.A,N.A,8,5,135,78,35,1.5,0.4,0.01,145,122,48.8,23,5.59,36,,386,,10,0.32,,0.5,,0.76,,
3078,Lakes & Tanks ,"Pragathinagar cheruvu, Kukatpally",Medchal Malkajgiri,3,7.52,707,3.6,4.8,,41,430,1.8,N.A,N.A,N.A,12,5,155,76,47,3.36,1.32,0.03,165,95,38,70,17.01,44,,430,,16,3.36,,0.5,,1.1,,
2340,Lakes & Tanks ,Lakshminarayana cheruvu,Medchal Malkajgiri,4.2,7.7,1346,3.4,3.9,,33,350,Less than 1.8,N.A,N.A,N.A,10,5,201,233,51,4.48,1.17,0.03,340,210,84,130,31.59,144,,834,,12,1.16,,0.5,,0.92,,
1788,Lakes & Tanks ,Saroornagar Lake / Large Tank,RR-shamshabad,0.3,6.96,1259,12,4.8,,33,430,3.6,N.A,N.A,N.A,12,5,300,135,161,7.84,4.12,0.02,310,185,74,125,30.38,81,,780,,24,3.82,,0.5,,1,,
4234,Lakes & Tanks ,"Umda sagar lake, Shamshabad",RR-shamshabad,2.6,7.03,1066,6,5.2,,32,430,3.7,N.A,N.A,N.A,12,5,160,194,55,6.72,2.54,0.02,255,150,60,105,25.52,120,,660,,16,3.22,,0.5,,1.1,,
1464,Lakes & Tanks ,Bibinagar Tank,Yadadri Bhuvanagiri,5.4,7.47,1199,3,10,0.14,4.5,63,4.5,,,,18,56,196,153,31,5.6,0.4,0.01,320,190,76,130,32,77,39,720.6,470,12,,0.12,0.5,6,0.26,20.5,0.95
3068,Lakes & Tanks ,Ramappa lake,Mulugu,6.2,7.95,211,1,0.66,,Less than 1.8,26,Less than 1.8,N.A,N.A,N.A,8,5,40,32,8,1.5,0.4,0.02,45,22,8.8,23,5.59,10,,122,,10,0.2,,0.5,,0.52,,
