Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %
2360,River Godavari,River Godavari at Basara,6.8,7.26,807,2,18,0.04,4.5,20,3.7,,,,3.1,20,170,105,32,10,,,260,150,110,60,27,80,33,443,310.1,6,,0.06,BDL,3.4,0.28,21.19
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",7.5,7.57,779,3.5,24,0.09,5.6,20,3.6,,,,3.5,20,155,115,41,8,,,260,160,100,64,24,65,25,436.24,305.37,7,,0.08,BDL,2.2,0.31,17.14
4255,River Godavari,Ali sagar Reservoir,7.6,6.98,431,3.6,8,0.04,4,22,Less than 1.8,,,,2.5,12,120,67,46,8,,,160,100,60,40,15,28,20,268,187.6,8,,0.11,BDL,3.1,0.2,20.71
4227,River Godavari,"Pochara Water Falls, Adilabad",7.4,7.51,678,3,10,0.1,5.6,17,1.8,,,,4.2,12,195,81,32,9,,,200,120,80,48,19,35,25,379.68,265.78,9,,0.36,BDL,2.4,0.31,21.18
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",6.2,7.3,364,1,0.84,,Less than 1.8,25,Less than 1.8,,,,5,5,80,42,6,1.5,0.4,,75,45,18,30,7.29,26,,222,,10,0.26,,0.5,,0.3,
0013,River Godavari,River Godavari at Mancherial,6.2,7.36,360,1,2.08,,Less than 1.8,24,1.8,,,,4,5,85,44,8,1.5,0.4,,75,45,18,30,7.29,23,,219,,10,0.24,,0.5,,0.28,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",5.8,8.64,983,1.8,1.94,,11,150,2,,,,5,15,195,132,20,2.8,0.4,,205,102,40.8,103,25.03,82,,608,,10,1.06,,0.5,,0.65,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,6.1,7.26,365,1.8,0.87,,Less than 1.8,21,Less than 1.8,,,,4,5,85,47,16,1.5,0.4,,95,45,18,50,12.15,22,,224,,10,0.22,,0.5,,0.32,
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,6.1,7.28,478,1.8,1.84,,Less than 1.8,17,Less than 1.8,,,,4,5,90,68,16,1.5,0.4,,100,54,21.6,46,11.18,46,,292,,10,0.21,,0.5,,0.33,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,6.1,6.96,401,1.6,0.78,,Less than 1.8,27,Less than 1.8,,,,6,5,85,58,16,1.5,0.4,,95,50,20,45,10.94,28,,246,,14,0.28,,0.5,,0.39,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,6.1,7.24,380,1,0.82,,Less than 1.8,24,Less than 1.8,,,,3,5,90,44,12,1.5,0.4,,105,55,22,50,12.15,28,,234,,10,0.26,,0.5,,0.32,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,6.1,7.3,412,1,1.92,,Less than 1.8,21,Less than 1.8,,,,4,5,95,52,12,1.5,0.4,,98,56,22,42,10,26,,248,,10,0.28,,0.5,,0.43,
4662,River Godavari,River godavari Kaleshwaram,6.1,8.09,457,1.4,0.68,,Less than 1.8,26,Less than 1.8,,,,6,5,120,48,24,1.5,0.4,,130,65,26,55,13,32,,266,,12,0.36,,0.5,,0.44,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6.2,7.89,251,1.2,0.98,,Less than 1.8,39,Less than 1.8,,,,11,5,55,32,26,1.5,0.4,,60,35,14,25,6.08,18,,152,,13,0.92,,0.5,,0.89,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",6.2,7.88,254,1.2,0.99,,Less than 1.8,41,Less than 1.8,,,,15,5,50,36,28,1.5,0.4,,65,30,12,35,8.5,20,,156,,16,0.94,,0.5,,0.89,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,6.1,7.74,419,1.2,1.1,,Less than 1.8,34,Less than 1.8,,,,22,5,120,42,26,1.5,0.4,,140,45,80,95,60,28,,246,,26,0.72,,0.5,,0.68,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,6.1,7.4,223,1.4,1.09,,Less than 1.8,17,Less than 1.8,,,,3,5,55,26,18,1.5,0.4,,45,25,10,20,4.86,18,,136,,10,0.2,,0.5,,0.22,
2369,River Godavari,River Godavari at Burgampahad,6.2,7.66,283,1.4,1.2,,Less than 1.8,120,Less than 1.8,,,,17,5,88,32,16,1.5,0.4,,120,75,30,45,10.94,23,,178,,18,0.2,,0.5,,0.76,
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",6.2,7.33,441,1,1.12,,Less than 1.8,26,Less than 1.8,,,,4,5,105,54,8,1.5,0.4,,115,45,28,70,11,26,,268,,10,0.26,,0.5,,0.42,
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",5.9,7.28,1254,2,3.26,,Less than 1.8,32,2,,,,5,5,270,157,16,2.8,0.4,,280,165,66,115,27.95,97,,790,,10,0.33,,0.5,,0.53,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,5.8,7.55,568,2,2.84,,Less than 1.8,27,Less than 1.8,,,,6,5,120,82,28,1.5,0.4,,120,65,26,55,13.37,36,,352,,10,0.28,,0.5,,0.42,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,5.8,7.69,765,1.8,0.92,,Less than 1.8,38,Less than 1.8,,,,10,5,218,82,32,1.5,0.4,,226,114,45.6,112,27.22,46,,474,,38,0.32,,0.5,,0.38,
1158,River Maneru / Manair,River Maneru at Somanpally,5.8,6.62,680,2,3.24,,Less than 1.8,34,Less than 1.8,,,,4,5,160,80,36,1.5,0.4,,180,110,44,70,17.01,42,,416,,10,0.32,,0.5,,0.28,
4258,River Manjeera,"Singoor Dam Reservoir,",7.5,7.82,640,2.2,20,0.05,3.6,17,Less than 1.8,,,,4.5,24,130,86,20,10,,,185,100,85,40,21,37,22,358.4,250.88,10,,0.1,BDL,3.1,0.3,19.99
1157,River Manjeera,River Manjeera at Raipally,6.7,8.07,610,2.5,18,0.03,4,27,3.6,,,,3.1,10,120,81,32,8,,,200,120,80,48,19,48,18,341.6,239.12,9,,0.09,BDL,3.4,0.29,16.13
