Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
2360,River Godavari,River Godavari at Basara,7.6,7.38,441,2.1,5,0.15,BDL,11,,,,13,8,46,36,12,2.3,0.01,67.9,14,8,9,14,254,180,6,,0.29,BDL,3,0.23,29.87,0.74
4255,River Godavari,Ali sagar Reservior,7.8,7.46,298,2,2,0.11,BDL,6,,,,14,4,38,28,6,1.1,0.01,54.67,12,6,8,11,168,120,12,,0.26,BDL,2,0.29,29.55,0.65
4227,River Godavari,"Pochara Water Falls, Adilabad",7.2,7.44,424,2,4,0.13,BDL,10,,,,6,10,48,40,8,1.5,0.01,80,16,10,6,15,242,176,8,,0.23,BDL,2,0.18,27.91,0.72
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5.1,7.98,646,2,0.48,,BDL,22,,,,7,BDL,205,56,8,2.8,,250,64,21.87,22,26,380,,7,0.1,,BDL,2.02,0.84,18.29,0.51
13,River Godavari,River Godavari at Mancherial,5.6,7.98,552,3,0.38,,BDL,20,,,,4,BDL,165,54,31,2.8,,200,54,15.79,26,32,348,,6,0.08,,BDL,2,0.62,25.56,0.7
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5.8,8.34,546,3,1.27,,BDL,22,,,,4,12,175,44,10,BDL,,185,55.2,11.42,26,36,326,,4,BDL,,BDL,2,BDL,29.44,0.81
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",2.6,10.34,990,4,2.08,,BDL,32,,,,22,26,195,112,22,BDL,,252,75.2,15.55,56,79,594,,22,0.1,,0.1,4,0.26,33.28,1.14
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,5,7.31,576,3,0.89,,BDL,28,,,,11,BDL,235,51,21,5.6,,255,58,26.73,24,25,324,,14,0.12,,BDL,1.86,0.68,14.45,0.39
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,4.8,7.36,524,3,3.87,,BDL,24,,,,14,BDL,220,78,19,4.8,,240,50,27.95,36,58,478,,13,0.18,,BDL,0.98,0.71,13.96,0.36
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,4.2,8.24,544,6,2.14,,BDL,22,,,,5,10,195,43,47,4.8,,230,60,19.44,24,18,342,,12,0.28,,BDL,0.96,0.64,14.47,0.36
