Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Potassium (mg/L),Boron (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,7.5,7.21,374,2.1,3,0.13,15,47,4,,,,9,12,92,52,18,3.3,0.4,Less than 0.01,125.82,24,16,5,13,242,168,10,,0.11,2,0.5,0.2,17.94,0.5
4255,River Godavari,Ali sagar Reservoir,7.3,7.14,299,2.1,4,0.08,Less than 1.8,7,Less than 1.8,,,,8,8,72,40,16,2.8,0.4,Less than 0.01,94.36,18,12,5,12,168,115,10,,0.08,1,0.5,0.2,21.32,0.54
4227,River Godavari,"Pochara Water Falls, Adilabad",7.4,7.09,439,2.1,3,0.16,350,Greater than 1600,220,,,,7,12,96,66,14,2.2,0.4,Less than 0.01,140,26,18,5,17,254,173,10,,0.12,3,0.5,0.2,20.44,0.62
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5.4,7.81,492,2.4,0.72,,Less than 1.8,8,Less than 1.8,,,,5,5,95,36,20,1.5,0.4,Less than 0.01,134,29,15,48,32,282,,15,0.2,,2,0.5,0.2,33.59,1.2
13,River Godavari,River Godavari at Mancherial,6.6,7.92,484,2.8,0.69,,Less than 1.8,Less than 1.8,Less than 1.8,,,,5,5,80,29,23,1.5,0.4,Less than 0.01,122,24,15,68,46,308,,11,0.2,,3,0.5,0.2,44.18,1.81
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",3.9,10.89,970,3.2,1.52,,Less than 1.8,15,Less than 1.8,,,,9,30,140,97,35,1.5,0.4,Less than 0.01,210,48,21.87,122,78,663,,10,0.36,,8,0.5,0.2,43.37,2.33
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,5,7.98,494,2.6,0.82,,6,33,Less than 1.8,,,,8,5,45,32,22,1.5,0.4,Less than 0.01,110,30,8.5,64,40,314,,10,0.2,,2,0.5,0.2,43.49,1.65
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,4.6,7.78,497,2.8,0.96,,Less than 1.8,11,Less than 1.8,,,,5,5,90,29,24,1.5,0.4,Less than 0.01,115,32,8.5,66,44,318,,14,0.2,,2,0.5,0.2,44.77,1.78
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5.1,7.82,486,2.6,0.76,,Less than 1.8,6,Less than 1.8,,,,86,5,75,29,26,1.5,0.4,Less than 0.01,95,20,10.94,70,41,303,,23,0.2,,3,0.5,0.2,47.27,1.82
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,5,8.04,474,2.7,0.86,,Less than 1.8,12,Less than 1.8,,,,7,5,80,41,24,1.5,0.4,Less than 0.01,105,26,9.72,76,65,290,,8,0.2,,4,0.5,0.2,56.09,2.75
