Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
2360,River Godavari,River Godavari at Basara,7.2,7.45,387,2,3,0.18,Less than 2,10, -, -,Not analysed,8,12,40,32,10,1.9,1.2,58,10,8,6,12,224,168,7,Not analysed,0.35,Less than 0.01,2,0.18,29.99,0.68,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
4255,River Godavari,Ali sagar Reservior,7.5,7.38,234,Greater than 2,2,0.14,Less than 2,8, -, -,Not analysed,2,4,36,28,4,0.7,0.4,55,12,6,5,8,138,101,6,Not analysed,0.29,Less than 0.01,3,0.22,22.81,0.47,Less than 0.02,0.03,0.33,Less than 0.2,Less than 0.2,0.28,2.4,11.5
4227,River Godavari,"Pochara Water Falls, Adilabad",7.6,7.21,233,Greater than 2,2,0.17,Less than 2,6, -, -,Not analysed,4,Less than 1,20,16,6,1.1,0.7,36,8,4,4,3,211,94,8,Not analysed,0.27,Less than 0.01,1,0.25,14.67,0.22,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,3.1
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5.2,8.08,580,3,0.5,Not Analysed,Less than 2,20,Not analysed,Not analysed,Not analysed,6,Less than 1,195,48,8,Less than 1,Not Analysed,220,38,30.38,20,28,340,Not aNot analysedlysed,4,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,21.36,0.82,,,,,,,,
13,River Godavari,River Godavari at Mancherial,5.8,7.81,457,3,0.32,Not Analysed,Less than 2,14,Not analysed,Not analysed,Not analysed,4,Less than 1,142,48,28,Less than 1,Not Analysed,165,28,23.09,18,28,284,Not aNot analysedlysed,4,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,26.51,0.94,,,,,,,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",1.2,10.95,648,3,2.1,Not Analysed,Less than 2,34,Not analysed,Not analysed,Not analysed,22,24,186,78,20,Less than 1,Not Analysed,242,66,18.71,46,46,408,Not aNot analysedlysed,26,0.88,Not analysed,Less than 0.01,4,0.38,28.73,1.28,,,,,,,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,5.2,7.75,532,3,0.82,Not Analysed,Less than 2,22,Not analysed,Not analysed,Not analysed,8,Less than 1,216,30,19,Less than 1,Not Analysed,220,36,31.59,18,26,336,Not aNot analysedlysed,6,0.1,Not analysed,Less than 0.01,2,0.58,20.14,0.76,,,,,,,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,4.9,7.18,554,4,2,Not Analysed,Less than 2,26,Not analysed,Not analysed,Not analysed,8,Less than 1,214,32,18,Less than 1,Not Analysed,235,48,27.95,18,20,330,Not aNot analysedlysed,8,Less than 0.01,Not analysed,Less than 0.01,2,0.47,15.39,0.57,,,,,,,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5.6,8.12,536,3,1.49,Not Analysed,Less than 2,17,Not analysed,Not analysed,Not analysed,6,10,158,51,10,Less than 1,Not Analysed,166,32,20.9,28,42,345,Not aNot analysedlysed,4,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,34.99,1.41,,,,,,,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,4.4,7.63,549,3,2.4,Not Analysed,Less than 2,22,Not analysed,Not analysed,Not analysed,6,Less than 1,205,42,29,Less than 1,Not Analysed,225,44,27.95,21,28,346,Not aNot analysedlysed,8,Less than 0.01,Not analysed,Less than 0.01,2,0.62,21.0,0.81,,,,,,,,
4662,River Godavari,River godavari Kaleshwaram,6.2,7.71,404,2,1,Not Analysed,Less than 2,22,Not analysed,Not analysed,Not analysed,4,Less than 1,120,47,8,Less than 1,Not Analysed,145,32,15.79,16,26,252,Not aNot analysedlysed,6,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,27.59,0.94,,,,,,,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6.2,7.93,406,2,2,Not Analysed,Less than 2,90,Not analysed,Not analysed,Not analysed,6,Less than 1,135,35,6,Less than 1,Not Analysed,160,38,15.79,12,16,255,Not aNot analysedlysed,6,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,17.55,0.55,,,,,,,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",6,8.16,326,3,2.2,Not Analysed,Less than 2,114,Not analysed,Not analysed,Not analysed,8,Less than 1,98,34,8,Less than 1,Not Analysed,120,26,13.37,14,18,220,Not aNot analysedlysed,8,Less than 0.01,Not analysed,Less than 0.01,2,0.28,24.1,0.71,,,,,,,,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,5.2,7.93,324,3,1.04,Not Analysed,Less than 2,17,Not analysed,Not analysed,Not analysed,6,Less than 1,110,30,8,Less than 1,Not Analysed,120,30.4,10.69,12,20,190,Not aNot analysedlysed,6,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,26.1,0.79,,,,,,,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,4.6,7.8,330,3,1.92,Not Analysed,Less than 2,20,Not analysed,Not analysed,Not analysed,8,Less than 1,120,20,10,Less than 1,Not Analysed,135,33.6,12.39,16,13,206,Not aNot analysedlysed,8,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,16.98,0.49,,,,,,,,
2369,River Godavari,River Godavari at Burgampahad,5,7.76,340,3,1.4,Not Analysed,Less than 2,32,Not analysed,Not analysed,Not analysed,8,Less than 1,130,20,10,Less than 1,Not Analysed,150,32,17.01,15,10,212,Not aNot analysedlysed,8,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,12.41,0.35,,,,,,,,
2373,River Godavari,Kunavaram at Sabari,6.6,7.66,138,2,0.36,Not Analysed,Less than 2,22,Not analysed,Not analysed,Not analysed,2,Less than 1,40,16,6,Less than 1,Not Analysed,50,12,4.86,6,8,80,Not aNot analysedlysed,4,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,24.77,0.49,,,,,,,,
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",6.2,8.15,375,3,0.36,Not Analysed,Less than 2,12,Not analysed,Not analysed,Not analysed,4,Less than 1,135,24,8,Less than 1,Not Analysed,142,35.2,13.12,14,18,222,Not aNot analysedlysed,4,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,21.22,0.66,,,,,,,,
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Dried up,,,,,Not Analysed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,5.4,8.2,829,6,3.26,Not Analysed,Less than 2,20,Not analysed,Not analysed,Not analysed,6,10,220,92,30,Less than 1,Not Analysed,246,44,33.05,64,78,540,Not aNot analysedlysed,6,0.24,Not analysed,Less than 0.01,4,0.38,40.14,2.15,,,,,,,,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,5.2,7.51,758,4,0.42,Not Analysed,Less than 2,38,Not analysed,Not analysed,Not analysed,22,Less than 1,235,62,24,Less than 1,Not Analysed,260,42,37.66,42,48,460,Not aNot analysedlysed,42,0.82,Not analysed,Less than 0.01,4,0.5,28.09,1.29,,,,,,,,
1158,River Maneru / Manair,River Maneru at Somanpally,5.2,8.37,586,3,0.18,Not Analysed,Less than 2,20,Not analysed,Not analysed,Not analysed,4,8,220,42,10,Less than 1,Not Analysed,248,48,31.1,18,22,356,Not aNot analysedlysed,6,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,15.94,0.61,,,,,,,,
4258,River Manjeera,"Singoor Dam Reservoir,",6.9,7.31,436,2.1,4,0.23,Less than 2,12,5,0.8,Not analysed,6,108,47,32,12,2.2,1.4,68,14,8,16,15,253,193,11,Not analysed,0.32,Less than 0.01,2,0.27,31.5,0.79,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
1157,River Manjeera,River Manjeera at Raipally,Sample was not collected as it was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781,River Manjeera,Manjeera at Ganapathi sugars,Sample was not collected as it was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,6.5,7.36,970,2.2,6,0.27,Less than 2,41,5.3,0.62,Not analysed,14,16,124,110,16,3,1.8,181,36,22,15,39,571,446,13,Not analysed,0.36,Less than 0.01,5,0.34,31.07,1.26,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,2.09
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,6.7,7.34,910,2,4,0.21,Less than 2,39,5.7,0.57,Not analysed,11,12,116,98,14,2.7,1.6,154,32,18,11,41,523,398,21,Not analysed,0.31,Less than 0.01,3,0.29,35.94,1.43,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,2.54
2349,River Manjeera,Nakka vagu at Bachugudem,2.1,6.86,832,6,6,0.23,Less than 2,17,6.2,0.71,Not analysed,29,16,68,48,42,3.8,2.4,99,20,12,16,19,474,341,43,Not analysed,0.28,Less than 0.01,3,0.23,28.46,0.83,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,4.08
4226,River Manjeera,River Manjeera at YeduPayala Temple,7.4,7.05,730,2.6,7,0.29,Less than 2,15,6,0.77,Not analysed,12,12,44,40,20,8,5,124,25,15,18,14,409,296,9,Not analysed,0.22,Less than 0.01,4,0.31,18.96,0.54,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,0.19,Less than 0.1,0.85
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,5.8,7.56,480,3,0.98,Not Analysed,Less than 2,22,Not analysed,Not analysed,Not analysed,6,Less than 1,150, ,18,Less than 1,Not Analysed,165,32,20.66,18,31,302,Not aNot analysedlysed,20,0.24,Not analysed,Less than 0.01,3,0.7,28.4,1.05,,,,,,,,
3080,River Kinneresani,U/s of Karakavagu at Paloncha,5.6,7.45,440,3,0.92,Not Analysed,Less than 2,20,Not analysed,Not analysed,Not analysed,6.81,Less than 1,140,38,8,Less than 1,Not Analysed,160,33.6,18.47,20,24,260,Not aNot analysedlysed,6,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,24.19,0.82,,,,,,,,
3081,River Kinneresani,D/s of Karakavagu at Paloncha,5.2,7.59,543,4,1.24,Not Analysed,Less than 2,24,Not analysed,Not analysed,Not analysed,10,Less than 1,170,48,10,Less than 1,Not Analysed,185,30.4,26.49,22,34,340,Not aNot analysedlysed,8,0.06,Not analysed,Less than 0.01,3,0.59,27.98,1.08,,,,,,,,
1784,River Krishna ,River Krishna at Thangadi,6.2,7.91,640,3,0.72,Not Analysed,Less than 2,32,Not analysed,Not analysed,Not analysed,8,Less than 1,195,70,12,Less than 1,Not Analysed,250,48,31.59,24,30,372,Not aNot analysedlysed,10,Less than 0.01,Not analysed,Less than 0.01,3,Less than 0.01,20.34,0.82,,,,,,,,
39,River Krishna ,River Krishna at Gadwal bridge,6.1,8.25,542,3,0.48,Not Analysed,Less than 2,24,Not analysed,Not analysed,Not analysed,6,10,165,58,8,Less than 1,Not Analysed,210,44,24.3,28,28,310,Not aNot analysedlysed,6,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,22.16,0.84,,,,,,,,
4225,River Krishna ,"Jogulamba Temple, Gadwal",6,7.88,797,3,0.53,Not Analysed,Less than 2,21,Not analysed,Not analysed,Not analysed,8,Less than 1,240,88,12,Less than 1,Not Analysed,260,52,31.59,23,58,356,Not aNot analysedlysed,12,Less than 0.01,Not analysed,Less than 0.01,3,Less than 0.01,32.2,1.56,,,,,,,,
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,7.1,7.98,256,Greater than 2,4,0.27,Less than 2,14,5.7,0.57,Not analysed,3,8,32,28,6,1.2,0.7,63,12,8,10,6,231,110,7,Not analysed,0.18,Less than 0.01,3,0.35,16.26,0.33,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,3.76
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",7.6,7.55,315,2.1,3,0.24,Less than 2,15,4.6,0.62,Not analysed,6,4,60,48,8,1.5,0.8,94,18,12,11,14,176,123,16,Not analysed,0.23,Less than 0.01,5,0.36,23.08,0.62,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,0.01,Less than 0.1,0.63
1465,River Krishna ,Confluence of River krishna & River musi at at wadapally,7.4,7.68,840,2.2,11,0.32,Less than 2,20,5,0.8,Not analysed,14,12,124,116,10,1.9,1.1,157,33,18,29,35,487,356,12,Not analysed,0.24,Less than 0.01,7,0.41,31.37,1.21,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,0.02,0.11,9.15
4663,River Krishna ,River Krishna at Mattampally,7.2,7.95,254,Greater than 2,4,0.21,Less than 2,13,5.3,0.62,Not analysed,5,4,56,40,8,0.7,0.4,102,21,12,9,15,213,99,18,Not analysed,0.34,Less than 0.01,4,0.39,23.25,0.64,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
1215,River Krishna ,River Munneru at Thummala cheruvu/Madannapet,5.2,7.56,430,3,0.88,Not Analysed,Less than 2,26,Not analysed,Not analysed,Not analysed,10,Less than 1,120,50,18,Less than 1,Not Analysed,150,32,17.01,26,30,276,Not aNot analysedlysed,12,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,29.83,1.06,,,,,,,,
