Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Fecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD,TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
2360,River Godavari,River Godavari at Basara,7.2,7.31,338,2.1,2,0.11,6,17,Less than 1.8,7.5,0.7,,7,12,80,42,20,3.4,,,104.35,22,12,5,11,192,131,10,,0.08,0.5,2,0.2,18.19,0.47,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4255,River Godavari,Ali sagar Reservoir,7,7.49,244,2.1,2,0.07,Less than 1.8,11,Less than 1.8,6,0.66,,5,8,60,34,23,3.9,,,80,16,10,5,9,140,95,10,,0.06,0.5,1,0.2,19.09,0.43,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4227,River Godavari,"Pochara Water Falls, Adilabad",7.1,7.35,457,2.1,2,0.14,84,540,39,,,,6,16,108,58,18,2.8,,,144.04,28,18,7,15,264,183,10,,0.09,0.5,2,0.2,18.1,0.54,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5.2,8.17,463,2.8,1,,Less than 1.8,11,Less than 1.8,,,,10,5,110,50,35,1.5,0.4,Less than 0.01,125,28,13.37,33,39,293,,12,0.2,,0.5,2,0.2,39.8,1.51,,ND,BDL,BDL,ND,ND,BDL,0.06
13,River Godavari,River Godavari at Mancherial,6,7.17,475,2.1,0.99,,Less than 1.8,Less than 1.8,Less than 1.8,,,,4.8,5,105,56,28,1.5,0.4,Less than 0.01,120,26,13.37,37,44,276,,10,0.2,,0.5,2,0.2,43.7,1.74,,ND,BDL,BDL,ND,ND,BDL,0.06
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",3.6,8.98,958,3,1.82,,Less than 1.8,11,Less than 1.8,,,,5.4,30,185,136,39,1.5,0.4,Less than 0.01,230,54,23.09,91,131,630,,10,0.38,,0.5,4,0.2,54.65,3.75,,ND,BDL,BDL,ND,ND,BDL,0.1
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,4.6,8.1,466,3.1,1.12,,2,17,Less than 1.8,,,,5.2,5,80,70,39,1.5,0.4,Less than 0.01,130,34,10.94,37,47,290,,10,0.2,,0.5,2,0.2,43.42,1.79,,ND,BDL,BDL,ND,ND,BDL,0.12
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,4.2,7.86,513,3.2,1.26,,Less than 1.8,8,Less than 1.8,,,,5.4,5,105,48,37,1.5,0.4,Less than 0.01,135,36,10.94,37,44,292,,11,0.2,,0.5,2,0.2,40.92,1.64,,ND,BDL,BDL,ND,ND,BDL,0.08
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5.9,7.79,481,2.5,1.06,,Less than 1.8,Less than 1.8,Less than 1.8,,,,8,5,90,43,29,1.5,0.4,Less than 0.01,115,24,13.37,75,48,286,,27,0.2,,0.5,4,0.2,46.34,1.94,,ND,BDL,BDL,ND,ND,BDL,0.09
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,5.2,7.91,520,2.8,1.16,,Less than 1.8,8,Less than 1.8,,,,6.6,5,100,70,30,1.5,0.4,Less than 0.01,125,28,13.37,59,65,344,,10,0.2,,0.5,3,0.2,52.17,2.52,,ND,BDL,BDL,ND,ND,BDL,0.08
4662,River Godavari,River godavari Kaleshwaram,5.9,8.14,360,2.1,0.86,,Less than 1.8,8,Less than 1.8,,,,6.8,10,105,48,29,1.5,0.4,Less than 0.01,110,26,10.94,18,37,212,,35,0.2,,0.5,2,0.2,41.56,1.53,,ND,BDL,BDL,ND,ND,BDL,BDL
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6.3,8.36,317,2.1,1.22,,Less than 1.8,8,Less than 1.8,,,,15,5,55,32,19,1.5,0.4,Less than 0.01,75,14,9.72,23,33,200,,96,0.2,,0.5,2,0.2,47.89,1.65,,ND,BDL,BDL,ND,ND,BDL,BDL
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",6,8.39,321,2.2,1.28,,Less than 1.8,4,Less than 1.8,,,,12,5,55,34,20,1.5,0.4,Less than 0.01,70,16,7.29,27,39,199,,122,0.2,,0.5,2,0.2,53.75,2.02,,ND,BDL,BDL,ND,ND,BDL,BDL
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,5.6,7.81,250,2.1,0.92,,Less than 1.8,8,Less than 1.8,,,,12.4,5,55,27,15,1.5,0.4,Less than 0.01,75,14,9.72,21,25,162,,32,0.2,,0.5,2,0.2,41.04,1.25,,ND,BDL,BDL,ND,BDL,BDL,BDL
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,5.2,7.44,275,2.1,1.12,,Less than 1.8,10,Less than 1.8,,,,14.8,5,65,27,18,1.5,0.4,Less than 0.01,85,16,10.94,15,23,168,,82,0.2,,0.5,2,0.22,36.2,1.08,,ND,BDL,BDL,ND,BDL,BDL,0.07
2369,River Godavari,River Godavari at Burgampahad,5.2,8.01,312,2.7,1.16,,Less than 1.8,4,Less than 1.8,,,,10.4,5,50,30,27,1.5,0.4,Less than 0.01,75,12,10.94,25,31,190,,59,0.2,,0.5,2,0.56,46.31,1.55,,ND,BDL,BDL,ND,BDL,BDL,BDL
2373,River Godavari,Kunavaram at Sabari,6.2,7.02,120,2.1,1.22,,Less than 1.8,Less than 1.8,Less than 1.8,,,,7.4,5,30,13,14,1.5,0.4,Less than 0.01,40,8,4.86,8,11,80,,49,0.2,,0.5,1,0.58,36.54,0.75,,ND,BDL,BDL,ND,BDL,BDL,BDL
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",5.2,6.79,408,2.9,1.04,,Less than 1.8,10,Less than 1.8,,,,6.2,5,90,56,32,1.5,0.4,Less than 0.01,110,16,17.01,31,41,264,,17,0.2,,0.5,1,0.2,44.28,1.69,,ND,BDL,BDL,ND,ND,BDL,BDL
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",1.2,7.14,1320,15,7,,6,27,Less than 1.8,,,,15.2,5,220,182,125,5,0.4,Less than 0.01,250,70,18.22,110,162,742,,36,4.2,,0.5,14,0.2,56.71,4.45,,ND,BDL,BDL,ND,ND,BDL,BDL
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,3.2,8.37,621,5,1.61,,1.8,17,Less than 1.8,,,,12.6,5,150,88,61,1.5,0.4,Less than 0.01,175,36,20.66,57,74,420,,10,0.2,,0.5,2,0.2,47.38,2.42,,ND,BDL,BDL,ND,BDL,BDL,BDL
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,3.6,7.96,699,4,1.01,,11,74,6,,,,10.6,7,110,102,56,1.5,0.4,Less than 0.01,140,30,15.79,71,85,417,,58,0.2,,0.5,2,0.2,56.31,3.11,,ND,BDL,BDL,ND,ND,BDL,BDL
1158,River Maneru / Manair,"River Maneru at Somanpally (BM-Jan, Apr & Oct)",4.9,8.39,512,4,1.12,,6,27,Less than 1.8,,,,8.4,10,125,68,51,1.5,0.4,Less than 0.01,145,28,18.22,37,51,332,,10,0.2,,0.5,2,0.2,42.75,1.84,,ND,BDL,BDL,ND,ND,BDL,0.08
4258,River Manjeera,"Singoor Dam Reservoir,",7.1,7.47,203,2.1,2,0.15,Less than 1.8,14,Less than 1.8,7,0.68,,5,4,42,30,13,2.2,,,86,18,10,5,8,116,79,10,,0.05,0.5,1,0.2,16.51,0.37,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.18
1157,River Manjeera,River Manjeera at Raipally,7.1,7.31,256,2.1,2,0.12,2,13,Less than 1.8,6.5,0.63,,4,5,58,34,15,2.8,,,76.14,14,10,5,11,148,103,10,,0.08,0.5,1,0.2,23.48,0.55,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1781,River Manjeera,Manjeera at Ganapathi sugars,6.7,7.25,631,2.4,4,0.06,1.8,32,Less than 1.8,5.5,0.65,,7,5,108,66,20,3.9,,,144.04,28,18,7,21,367,257,10,,0.05,0.5,2,0.2,23.63,0.76,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
