Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
2360,River Godavari,River Godavari at Basara,Nirmal,6.6,8.22,871,1.7,5,0.08,5.6,17,3.6,,,,8,16,180,141,16,7,0.4,0.01,275,145,58,130,32,34,28,520,370,10,,0.08,0.5,3,0.13,17.74,0.59,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,6.4,8.13,698,2.3,3,0.05,6.8,32,4,,,,6,12,200,143,24,6,0.4,0.01,325,170,68,155,38,40,12,484,322,10,,0.07,0.5,2,0.17,7.31,0.23,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4255,River Godavari,Ali sagar Reservoir,Nizamabad,6.3,8.53,508,1.3,3,0.11,4,27,Less than 1.8,,,,6,12,150,90,28,5,0.4,0.01,195,115,46,80,19,28,15,330.2,234.44,10,,0.1,0.5,5,0.18,13.98,0.37,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,6.5,7.91,785,2,6,0.07,5.5,22,2,,,,5,10,152,182,36,9,0.4,0.01,290,170,68,120,29,50,30,510.25,362.28,10,,0.05,0.5,4,0.2,18.06,0.61,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,6.4,8.31,453,1,1.2,,Less than 1.8,34,Less than 1.8,N.A,N.A,N.A,6,10,85,56,8,1.5,0.4,0.05,95,55,22,40,9.72,36,,280,,10,0.86,,0.5,,0.44,,,,,,,,,,
0013,River Godavari,River Godavari at Mancherial,Mancherial,6.4,8.38,458,1.2,1.6,,Less than 1.8,38,Less than 1.8,N.A,N.A,N.A,5.8,10,100,52,12,1.5,0.4,0.05,146,90,36,56,13.61,32,,284,,10,0.2,,0.5,,0.38,,,,,,,,,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,6.2,9.46,896,1.2,1.4,,Less than 1.8,32,Less than 1.8,N.A,N.A,N.A,8.3,40,180,110,16,1.5,0.4,0.27,270,160,64,110,26.73,67,,556,,16,0.32,,0.5,,0.46,,,,,,,,,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,6.3,8.57,457,1,1,,Less than 1.8,34,Less than 1.8,N.A,N.A,N.A,8,5,95,62,8,1.5,0.4,0.08,155,95,38,60,14.58,24,,284,,10,0.42,,0.5,,0.48,,,,,,,,,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,6.3,8.53,465,1.2,1.7,,Less than 1.8,34,Less than 1.8,N.A,N.A,N.A,6.2,5,125,44,12,1.5,0.4,0.07,220,130,52,90,21.87,26,,292,,10,0.28,,0.5,,0.52,,,,,,,,,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,6.3,8.48,452,1.2,1.6,,Less than 1.8,33,Less than 1.8,N.A,N.A,N.A,5.8,10,120,47,12,1.5,0.4,0.07,190,115,46,75,18.22,28,,280,,10,0.2,,0.5,,0.43,,,,,,,,,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,6.3,8.4,486,1.2,1.2,,Less than 1.8,39,Less than 1.8,N.A,N.A,N.A,5.6,15,110,54,12,1.5,0.4,0.06,160,95,38,65,15.79,29,,302,,10,0.2,,0.5,,0.47,,,,,,,,,,
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,6.3,8.41,516,1.2,1.1,,Less than 1.8,26,Less than 1.8,N.A,N.A,N.A,6.6,15,120,56,8,1.5,0.4,0.06,150,110,44,40,9.72,28,,320,,10,0.2,,0.5,,0.78,,,,,,,,,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,6.4,8.38,315,1,0.42,,Less than 1.8,39,Less than 1.8,N.A,N.A,N.A,3.8,10,80,34,5,1.5,0.4,0.05,144,87,34.8,57,13.85,15,,190,,10,0.12,,0.5,,0.52,,,,,,,,,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,6.4,8.38,315,1,0.42,,Less than 1.8,39,Less than 1.8,N.A,N.A,N.A,3.8,10,86,28,5,11.5,0.4,0.06,144,87,34.8,57,13.85,15,,190,,10,0.12,,0.5,,0.52,,,,,,,,,,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.2,8.43,249,1.2,0.42,,Less than 1.8,31,Less than 1.8,N.A,N.A,N.A,5.6,10,68,22,12,1.5,0.4,0.06,125,72,28.8,53,12.88,11,,144,,10,0.74,,0.5,,0.47,,,,,,,,,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.4,8.35,271,1,0.44,,1.8,39,Less than 1.8,N.A,N.A,N.A,6.3,10,68,28,8,1.5,0.4,0.05,130,60,24,70,17.01,12,,164,,10,1.26,,0.5,,0.52,,,,,,,,,,
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,6.4,8.46,288,1.2,0.52,,Less than 1.8,32,Less than 1.8,N.A,N.A,N.A,5.4,10,65,33,8,1.5,0.4,0.06,115,80,32,35,8.5,14,,168,,10,0.92,,0.5,,0.46,,,,,,,,,,
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,6.3,8.46,379,1,1,,Less than 1.8,41,Less than 1.8,N.A,N.A,N.A,5.4,10,75,42,5,1.5,0.4,0.06,140,82,32.8,58,14.09,45,,234,,10,0.2,,0.5,,0.48,,,,,,,,,,
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,5,8.53,1378,2.8,1.2,,14,110,2,N.A,N.A,N.A,5.2,15,240,225,32,5.6,2.14,0.39,330,200,80,130,31.59,183,,840,,24,1.16,,0.5,,0.52,,,,,,,,,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,5.2,8.58,711,1.2,0.72,,Less than 1.8,34,Less than 1.8,N.A,N.A,N.A,6.6,10,160,81,16,1.5,0.4,0.08,270,135,54,135,32.8,48,,434,,12,0.33,,0.5,,0.72,,,,,,,,,,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Bhadradri Kothagudem ,6,8.24,935,1,1.6,,Less than 1.8,25,Less than 1.8,N.A,N.A,N.A,12.8,10,220,98,12,1.5,0.4,0.04,290,235,94,55,13.37,54,,578,,38,0.3,,0.5,,0.88,,,,,,,,,,
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,6,8.69,512,1.1,0.76,,Less than 1.8,33,Less than 1.8,N.A,N.A,N.A,7.3,20,135,49,12,1.5,0.4,0.1,202,115,46,87,21.14,29,,308,,10,0.28,,0.5,,0.36,,,,,,,,,,
4258,River Manjeera,"Singoor Dam Reservoir,",Sangareddy,6.5,8.38,570,1.7,4,0.08,3.6,15,Less than 1.8,,,,7,24,138,84,28,6,0.4,0.01,170,110,44,60,15,14,12,370.5,263.06,10,,0.07,0.5,5,0.21,12.73,0.31,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.12
1157,River Manjeera,River Manjeera at Raipally,Sangareddy,6.4,7.34,580,2.3,3,0.04,5.5,41,3.6,,,,8,16,128,74,22,6,0.4,0.01,160,100,40,60,15,26,16,377,267.67,10,,0.05,0.5,4,0.13,17.19,0.43,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
