Station code,water_bodies,Station name,District,RO,Responsible Zonal Lab,Monitoring date,Sampling time,Use of Water in Downstream,Human activities,Major polluting,Visible Effluent,Weather,Depth (mtrs.),Floating matter,Colour,Odour,Flow (m3/Sec),Water Temp. (OC),DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron,
2360,River Godavari,River Godavari at Basara,Nirmal,Nizamabad,ZL-RCP,2023-10-04 00:00:00,08:35:00,"Bathing, Fishing and Irrigation","Bating, Washing & Fishing",None,None,Clear,8 Mtrs,Yes,Clear,None,Low,23 oC,6.9,8.33,574,4.2,14,0.04,6.1,23,4,,,,2.8,12,165,75,45,6,,,180,120,48,60,15,62,38,344.4,244.52,4,,0.04,BDL,2.1,0.21,30.85,0.95,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,Nizamabad,ZL-RCP,2023-10-04 00:00:00,09:35:00,"Bathing, Washing, Fishing and Irrigation","Bating, Washing & Fishing",None,None,Clear,7 Mtrs,Yes,Clear,None,Low,24 oC,6.3,8.28,860,4.1,34,0.11,6.1,25,3.7,,,,4,24,170,105,42,10,,,270,180,72,90,22,69,32,516,366.36,7,,0.08,BDL,3.5,0.52,20.12,0.65,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4255,River Godavari,Ali sagar Reservoir,Nizamabad,Nizamabad,ZL-RCP,2023-10-04 00:00:00,10:25:00,"Fishing, Boating, Drinking Purpose and Irrigation",Fishing & Boating,None,None,Clear,8 Mtrs,Yes,Clear,None,Low,25 oC,6.2,8.19,515,3.6,20,0.06,4.5,24,Less than 1.8,,,,2.8,16,145,80,42,9,,,185,105,42,80,20,45,29,309,219.39,6,,0.13,BDL,3.2,0.39,24.68,0.74,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,Nizamabad,ZL-RCP,2023-10-05 00:00:00,10:30:00,Irrigation & Bathing, Bathing & Toursium Spot,None,None,Clear,6 Mtrs,No,Clear,None,Low,25 oC,7,8.56,644,3,26,0.08,6.1,22,2,,,,5.2,20,155,82,37,10,,,205,120,48,85,21,50,28,386.4,274.34,9,,0.21,BDL,3.6,0.32,22.3,0.67,,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Peddapalli,Ramagundam,Warangal,06.10.2023,10.50 am,"irrigation,cultivation","bathing,washing,fishing",none,none,clear,Greater than 1mt,none ,clear,odourfree,,26,6.2,7.61,398,1.6,0.86,,Less than 1.8,27,Less than 1.8,,,,8,5,118,28,26,1.5,0.4,,120,60,24,60,14.58,26,,248,,10,0.83,,0.5,,0.49,,,,,,,,,,,
0013,River Godavari,River Godavari at Mancherial,Peddapalli,Ramagundam,Warangal,06.10.2023,10.45 am,"irrigation,cultivation","bathing,washing,fishing",none,none,clear,Greater than 1mt,none ,clear,odourfree,,26,6.2,7.64,395,1.6,1.64,,Less than 1.8,24,Less than 1.8,,,,6,5,120,28,24,1.5,0.4,,122,62,24.8,60,14.58,24,,250,,10,0.56,,0.5,,0.48,,,,,,,,,,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,Ramagundam,Warangal,06.10.2023,09.55 am,others,others,industrial,none,clear,Greater than 1mt,yes,light green,odourfree,,26,5.4,9.98,848,2.8,0.89,,14,120,Less than 1.8,,,,15,5,216,94,52,3.36,0.89,,220,114,45.6,106,25.76,38,,526,,16,0.95,,0.5,,0.56,,,,,,,,,,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,Ramagundam,Warangal,06.10.2023,09.15 am,others,others,none,none,clear,Greater than 1 mt,none,light green,odourfree,,24,6.1,7.9,415,1.8,1.79,,Less than 1.8,26,Less than 1.8,,,,5,5,122,34,32,1.5,0.4,,122,64,25.6,58,14.09,24,,262,,10,0.68,,0.5,,0.56,,,,,,,,,,,
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,Ramagundem,Peddapalli,Ramagundem,06.10.2023,09.50 am,"irigation,fishing","cultivation boating,fishing",none,none,clear,Greater than  1 mt,none ,clear,odourless,,28,6.2,7.35,424,1,0.86,,Less than 1.8,22,Less than 1.8,,,,6.2,5,125,36,8,1.5,0.4,,130,88,35.2,42,10.21,28,,254,,10,0.42,,0.5,,0.5,,,,,,,,,,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,Ramagundam,Warangal,06.10.2023,09.00 am,"irrigation,fishing",fishing,none,none,cloudy,Greater than 1 mt,no,clear,odourfree,,26,6,7.77,409,2,1.68,,Less than 1.8,31,Less than 1.8,,,,6,5,120,32,36,1.5,0.4,,124,68,27.2,56,13.61,25,,256,,10,0.75,,0.5,,0.59,,,,,,,,,,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,Ramagundam,Warangal,06.10.2023,10.20 am,"irrigation,fishing",fishing,none,none,clear,Greater than 1 mt,none ,clear,odourfree,,27,6.2,7.93,392,1.2,1.05,,Less than 1.8,27,Less than 1.8,,,,5,5,118,30,20,1.5,0.4,,120,66,26.4,54,13.12,24,,250,,10,0.83,,0.5,,0.61,,,,,,,,,,,
