Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium (mg/L),Magnesium Carbonate as CaCO3,Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
2360,River Godavari,River Godavari at Basara,Nirmal,7.2,7.21,854,3.2,16,0.07,3.5,22,1.8,,,,2.6,8,240,120,30,7,BDL,BDL,305,90,225,19,80,58,61,530,376.3,7,,0.07,BDL,2.5,0.11,30.31,1.53,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,7,7.77,702,2.4,22,0.05,2,21,Less than 1.8,,,,2.6,12,192,100,24,6,BDL,BDL,250,68,170,19,80,34,49,421.2,299.05,7,,0.08,BDL,3.1,0.35,29.8,1.36,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4255,River Godavari,Ali sagar Reservoir,Nizamabad,7,7.32,563,2.3,15,0.04,3.6,21,2,,,,3,8,190,95,20,5,BDL,BDL,240,56,140,24,100,28,47,395,280.45,8,,0.07,BDL,2.1,0.18,29.83,1.33,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,7.2,7.41,682,2.8,17,0.16,5.5,24,3.6,4.5,,,3.5,12,240,92,25,5,BDL,BDL,275,78,195,19,80,38,41,450,319.5,9,,0.1,BDL,3.3,0.2,24.4,1.08,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Peddapalli,6.3,8.14,402,1,1.1,,Less than 1.8,32,Less than 1.8,,,,6,5,110,36,12,1.5,0.4,,120,30,75,10.94,45,24,#,252,110,10,0.26,,0.5,,0.2,#,#,,,,,,,,
0013,River Godavari,River Godavari at Mancherial,Peddapalli,6.3,8.03,408,1,1.1,,Less than 1.8,26,Less than 1.8,,,,6,5,160,29,16,1.5,0.4,,175,36,90,20.66,85,25,#,248,160,10,0.48,,0.5,,0.4,#,#,,,,,,,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,6,8.34,974,1.8,0.8,,11,350,Less than 1.8,,,,22,10,245,102,40,4.48,0.56,,260,84,210,12.15,50,64,#,612,380,36,0.56,,0.5,,1.16,#,#,,,,,,,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,6.2,8.12,423,1,1.3,,Less than 1.8,46,Less than 1.8,,,,10,5,130,34,16,1.5,0.4,,145,36,90,13.37,55,24,#,270,180,10,0.89,,0.5,,0.2,#,#,,,,,,,,
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,Peddapalli,6.2,7.9,495,2,2.6,,Less than 1.8,39,Less than 1.8,,,,15,5,80,74,24,1.5,0.4,,90,20,50,9.72,40,44,#,302,200,12,0.62,,0.5,,0.2,#,#,,,,,,,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,6.1,8.19,429,1.8,1.3,,Less than 1.8,33,Less than 1.8,,,,8,5,145,34,28,1.5,0.4,,165,34,85,19.44,80,36,#,266,160,10,0.76,,0.5,,0.3,#,#,,,,,,,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,6.2,8.1,908,1.2,1,,Less than 1.8,49,Less than 1.8,,,,11,5,230,104,32,1.5,0.4,,260,52,130,31.59,130,78,#,582,360,12,1.28,,0.5,,0.66,#,#,,,,,,,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,6.3,7.8,451,1,1.4,,Less than 1.8,32,Less than 1.8,,,,10,5,150,37,16,1.5,0.4,,165,34,85,19.44,80,28,#,284,180,10,0.32,,0.5,,0.26,#,#,,,,,,,,
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,6.3,7.6,471,1,1.2,,Less than 1.8,21,Less than 1.8,,,,8,5,130,48,12,1.5,0.4,,140,34,85,13.37,55,30,#,296,180,10,0.28,,0.5,,0.26,#,#,,,,,,,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,6.3,7.8,319,1,0.8,,Less than 1.8,22,Less than 1.8,,,,16,5,85,34,8,1.5,0.4,,110,22,55,13.37,55,24,#,200,120,10,0.25,,0.5,,0.36,#,#,,,,,,,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,6.3,8.25,321,1,0.8,,Less than 1.8,27,Less than 1.8,,,,18,5,80,34,8,1.5,0.4,,95,18,45,12.15,50,27,#,202,120,10,0.26,,0.5,,0.34,#,#,,,,,,,,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.2,7.93,308,1,1.7,,Less than 1.8,33,Less than 1.8,,,,12,5,85,31,8,1.5,0.4,,90,16,40,12.15,50,20,#,194,120,10,0.24,,0.5,,0.72,#,#,,,,,,,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.2,7.89,308,1,1.3,,Less than 1.8,39,Less than 1.8,,,,12,5,85,29,10,1.5,0.4,,90,16,40,12.15,50,22,#,190,120,10,0.26,,0.5,,0.89,#,#,,,,,,,,
