Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
2360,River Godavari,River Godavari at Basara,6.7,7.4,372,2.1,4,0.08,2,14,Less than  1.8,,,,8,16,88,48,22,3.9,0.4,Less than 0.01,117.58,24,14,5,12,217,151,10,,0.06,0.5,2,0.2,17.75,0.48
4255,River Godavari,Ali sagar Reservoir,6.8,7.22,268,2.1,4,0.05,Less than  1.8,13,Less than 1.8,,,,4,12,64,40,18,2.8,0.4,Less than 0.01,94.36,18,12,5,9,155,107,10,,0.05,0.5,1,0.2,16.89,0.4
4227,River Godavari,"Pochara Water Falls, Adilabad",6.7,7.18,473,2.1,4,0.11,26,84,11,,,,7,10,98,66,20,3.4,0.4,Less than 0.01,148,26,20,7,16,273,193,10,,0.08,0.5,2,0.2,18.73,0.57
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5.8,8.01,465,2.3,0.6,,Less than 1.8,13,Less than 1.8,,,,6.2,5,180,39,24,1.5,0.4,Less than 0.01,150,37,14,22,26,288,,10,0.2,,0.5,2,0.28,26.93,0.92
13,River Godavari,River Godavari at Mancherial,5.4,7.88,477,3.2,0.5,,Less than 1.8,Less than 1.8,Less than 1.8,,,,6.2,5,160,46,28,1.5,0.4,Less than 0.01,155,39,14,32,30,286,,10,0.2,,0.5,2,0.16,29.17,1.04
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",3.6,9.2,926,3,0.6,,Less than 1.8,7,Less than 1.8,,,,8,15,155,126,43,1.5,0.4,Less than 0.01,180,34,23.09,88,110,586,,16,0.26,,0.5,4,0.28,56.21,3.55
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,5.6,8.08,480,2.6,0.5,,Less than 1.8,10,Less than 1.8,,,,6.8,5,130,54,25,1.5,0.4,Less than 0.01,185,38,21.87,28,30,282,,10,0.2,,0.5,2,0.32,25.69,0.96
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,5.7,7.58,467,2.8,0.6,,Less than 1.8,10,Less than 1.8,,,,8.8,5,155,42,32,1.5,0.4,Less than 0.01,175,44,15.79,30,32,288,,10,0.2,,0.5,2,0.2,28.06,1.05
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5.4,7.72,522,3,0.6,,Less than 1.8,11,Less than 1.8,,,,9.8,5,145,43,34,1.5,0.4,Less than 0.01,165,38,17,42,34,292,,19,0.2,,0.5,2,0.17,30.5,1.15
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,5.4,7.75,532,2.8,0.7,,Less than 1.8,11,Less than 1.8,,,,5,5,140,55,28,1.5,0.4,Less than 0.01,215,54,19.44,38,42,304,,10,0.2,,0.5,2,0.2,29.47,1.24
4662,River Godavari,River godavari Kaleshwaram,5.2,7.31,386,2.6,2,,Less than 1.8,11,Less than 1.8,,,,4,6,112,32,36,1.5,0.4,Less than 0.01,120,28.8,11.66,26,29,222,,22,0.2,,0.5,2,0.2,33.86,1.15
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6.2,7.92,305,2.8,0.96,,Less than 1.8,4,Less than 1.8,,,,9,5,94,29,20,1.5,0.4,Less than 0.01,109,24,12,17,15,190,,37,0.2,,0.5,2,0.2,22.46,0.62
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",6.1,8.04,312,2.6,1.12,,Less than 1.8,8,Less than 1.8,,,,7,5,95,24,23,1.5,0.4,Less than 0.01,105,22,12.15,19,22,196,,45,0.2,,0.5,2,0.2,30.65,0.93
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,5.9,7.45,311,2.8,0.93,,Less than 1.8,11,Less than 1.8,,,,8,5,110,26,23,1.5,0.4,Less than 0.01,150,38,13.37,20,21,199,,18,0.2,,0.5,3,0.2,22.8,0.74
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,5.7,8.01,303,2.6,1.08,,Less than 1.8,6,Less than 1.8,,,,9,5,98,24,24,1.5,0.4,Less than 0.01,113,24,13,18,19,191,,34,0.2,,0.5,2,0.24,26.14,0.77
2369,River Godavari,River Godavari at Burgampahad,4.9,7.72,382,2.5,1.38,,Less than 1.8,4,Less than 1.8,,,,7,5,94,26,28,1.5,0.4,Less than 0.01,99,23,10,18,22,238,,24,0.2,,0.5,3,0.2,31.71,0.96
2373,River Godavari,Kunavaram at Sabari,6.4,7.34,140,2.2,0.8,,Less than 1.8,4,Less than 1.8,,,,10.2,5,51,8,7,1.5,0.4,Less than 0.01,65,14,7.29,5,7,78,,27,0.2,,0.5,1,0.2,18.59,0.38
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",4.9,7.56,420,3.2,0.6,,Less than 1.8,11,Less than 1.8,,,,3.6,5,105,60,47,1.5,0.4,Less than 0.01,110,24,12.15,36,52,260,,10,0.32,,0.5,3,0.2,49.69,2.15
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",3.6,7.02,1387,8,2.9,,Less than 1.8,17,Less than 1.8,,,,10,5,310,181,92,1.5,0.4,Less than 0.01,341,82,33,88,148,858,,21,1.52,,0.5,10,0.96,47.52,3.48
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,3.5,8.18,782,5,0.92,,Less than 1.8,17,Less than 1.8,,,,10,5,250,97,68,1.5,0.4,Less than 0.01,262,62,26,88,78,478,,10,0.36,,0.5,4,0.4,38.71,2.09
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,3.8,8.03,718,5,1.6,,5,40,Less than 1.8,,,,6,6,190,88,68,1.5,0.4,Less than 0.01,188,39,22,53,54,446,,28,0.2,,0.5,4,0.2,37.66,1.71
1158,River Maneru / Manair,"River Maneru at Somanpally (BM-Jan, Apr & Oct)",5.2,8.25,579,3.3,0.7,,2,13,Less than 1.8,,,,5,10,165,50,39,1.5,0.4,Less than 0.01,190,56,12.15,34,42,358,,10,0.2,,0.5,2,0.2,32.09,1.32
4258,River Manjeera,"Singoor Dam Reservoir,",6.6,7.4,239,2.1,2,0.13,Less than  1.8,11,Less than 1.8,,,,6,8,48,30,18,2.8,0.4,Less than 0.01,67.9,14,8,5,7,139,102,10,,0.07,0.5,2,0.2,17.67,0.37
1157,River Manjeera,River Manjeera at Raipally,6.7,7.46,346,2.1,2,0.14,1.8,17,Less than  1.8,,,,5,8,70,42,20,3.4,0.4,Less than 0.01,96.11,22,10,5,11,196,147,10,,0.11,0.5,2,0.2,19.42,0.49
1781,River Manjeera,Manjeera at Ganapathi sugars,6.8,7.37,568,2.6,3,0.09,2,34,1.8,,,,8,9,94,66,24,4.5,0.4,Less than 0.01,150,30,18,9,14,356,307,10,,0.06,0.5,2,0.2,16.63,0.5
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,6.9,7.29,786,2.6,4,0.12,3.6,32,4,,,,10,15,104,74,28,5,0.4,Less than 0.01,160,34,18,10,22,467,398,10,,0.09,0.5,4,0.2,22.46,0.76
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,6.8,7.26,784,3,4,0.14,4,38,2.8,,,,12,18,118,84,30,5.6,0.4,Less than 0.01,180.49,36,22,13,26,463,354,10,,0.11,0.5,5,0.2,23.11,0.84
2349,River Manjeera,Nakka vagu at Bachugudem,2.3,7.25,1209,8,6,0.17,24,220,14,,,,17,20,164,146,84,15.1,0.4,Less than 0.01,303,62,36,14,41,742,542,15,,0.14,0.5,5,0.2,22.25,1.02
4226,River Manjeera,River Manjeera at Yedu Payala Temple,6.8,7.17,414,2.1,3,0.08,Less than 1.8,24,Less than 1.8,,,,5,8,86,48,18,3.4,0.4,Less than 0.01,124,26,14,8,11,257,210,10,,0.18,0.5,2,0.2,15.96,0.43
2372,River Kinnerasani,Kinnerasani after confluence of KTPS ash pond effluents,5.4,7.95,475,2.8,0.82,,Less than 1.8,24,Less than 1.8,,,,10,5,115,36,24,1.5,0.4,Less than 0.01,190,52,14.58,24,26,301,,10,0.2,,0.5,4,0.38,22.39,0.82
3080,River Kinnerasani,U/s of Karakavagu at Paloncha,4.8,7.72,655,2.9,1.28,,Less than 1.8,4,Less than 1.8,,,,6,5,185,68,42,1.5,0.4,Less than 0.01,184,42,24,31,40,403,,19,0.2,,0.5,3,0.62,29.4,1.21
3081,River Kinnerasani,D/s of Karakavagu at Paloncha,4.5,7.75,566,3,1.45,,Less than 1.8,6,Less than 1.8,,,,18.2,5,195,58,36,1.5,0.4,Less than 0.01,204,44,18,28,49,350,,26,0.2,,0.5,3,0.6,36.06,1.57
1784,River Krishna ,River Krishna at Thangadi,6.1,8.01,572,2.1,3,,Less than 1.8,27,Less than 1.8,,,,10,5,150,78,26,1.5,0.4,Less than 0.01,175,36,20.66,48,62,358,,11,0.2,,0.5,3,0.2,42.83,2.03
39,River Krishna ,"River Krishna at Gadwal bridge (BM-Jan, Apr & Oct)",6.3,7.83,651,2.1,3.2,,Less than 1.8,17,Less than 1.8,,,,7,5,155,92,26,1.5,0.4,Less than 0.01,180,44,17.01,40,68,396,,10,0.2,,0.5,3,0.2,44.45,2.2
4225,River Krishna ,"Jogulamba Temple, Gadwal",6.2,8.43,720,2.2,4,,Less than 1.8,24,Less than 1.8,,,,8.6,5,138,98,28,1.5,0.4,Less than 0.01,185,47.2,16.28,52,66,444,,12,0.2,,0.5,2,0.2,43.23,2.1
