Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD,TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,6.2,7.3,425,2.4,5,0.26,NIL,26,  -,  -,36,21,87,26,14,20,0.5,80,19,8,22,16,248,165,32,0.48,0.2,6,0.39,28.21,0.77
4255,River Godavari,"Ali sagar Reservior Project area , Alisagar (V), Yedapally (M), Nizamabad Dist.",6.4,7.42,323,3,5,0.36,NIL,10,  -,  -,13,12,64,22,15,22,0.6,89,16,12,8,15,196,98,10,0.22,1.1,3,0.24,25.79,0.69
4227,River Godavari,"Pochara Water Falls, Adilabad",7.8,7.93,474,1.6,12,1.02,NIL,15,  -,  -,8,12,116,40,11,20,0.8,142,34,14,18,18,292,201,18,0.3,0.5,5,0.49,20.72,0.65
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5.5,8.27,628,4,2.02,,NIL,38,,,4.93,15,154,88,30,Less than 0.1,,195,42,21.87,40,66,405,,8,0.32,0.01,3.62,0.92,41.68,2.05
13,River Godavari,"River Godavari at Mancherial (BM-Jan, Apr & Oct)",5.2,8.19,642,3,1.3,,NIL,27,,,4,15,180,75,26,Less than 0.1,,200,42,23.09,40,69,406,,10,0.3,0.1,4,0.42,42.1,2.12
2364,River Godavari,River Godavari at Ramagundam upstream near dam,6.1,8.16,682,4,1.8,,NIL,38,,,13,15,160,92,30,Less than 0.1,,200,44,21.87,60,70,455,,18,0.17,0.01,3,0.9,42.61,2.15
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",3.8,11.08,1176,4,11.3,,NIL,62,,,30.6,90,201,126,38,2.4,,265,72,20.66,142,130,740,,31,0.7,0.01,3,0.2,51.15,3.47
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,5.8,8.14,686,4,1.6,,NIL,37,,,8,15,195,94,30,Less than 0.1,,195,46,26.73,42,66,434,,9,0.14,0.01,4,0.68,38.26,1.91
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,5.8,7.89,851,4,1.9,,NIL,33,,,10,BDL,189,110,24,Less than 0.1,,245,64,24.3,68,98,515,,18,0.52,0.01,4,0.93,44.44,2.64
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,5.1,8.28,842,4,1.6,,NIL,60,,,3,20,168,112,28,Less than 0.1,,220,48,40.09,56,88,612,,9,0.2,0.01,4,0.82,39.57,2.26
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",7.6,8.15,306,3,0.1,,NIL,58,,,10,BDL,110,26,14,BDL,,120,30,10.94,10,16,201,,6,0.02,BDL,3,0.1,21.85,0.63
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",6.9,8.21,295.6,3,0.1,,NIL,104,,,9,BDL,110,22,16,BDL,,115,36,6.08,8,15,194,,7,0.1,BDL,2,0.2,21.67,0.61
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,6.2,8.05,306,3,0.47,,NIL,14,,,12,BDL,94,29,16,BDL,,116,31.2,9.23,12,14,190,,10,0.01,0.01,2,0.43,20.36,0.56
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,5.8,8.2,296,2,0.3,,NIL,22,,,17,6,90,26,12,BDL,,118,28.8,11.18,11,12,201,,6,0.01,0.01,2,0.4,17.72,0.48
2369,River Godavari,River Godavari at Burgampahad,5.8,8.13,379,3,0.42,,NIL,31,,,6.32,BDL,95,48,12,BDL,,118,34.4,7.78,18,28,239,,8,0.01,0.01,2,0.11,33.48,1.12
4256,River Godavari,"Lower Manair Dam, Karimnagar",5.7,7.88,363,3,4.9,,NIL,23,,,6,BDL,95,49,33,BDL,,105,28,8.5,12,20,226,,6,0.14,0.01,6,0.38,27.76,0.85
1158,River Godavari,"River Maneru at Somanpally (BM-Jan, Apr & Oct)",5.8,7.58,535,4,0.13,,NIL,30,,,3.15,BDL,95,82,23,Less than 0.1,,140,32,14.58,39,56,336,,6,0.16,0.01,3.1,0.86,45.69,2.05
4257,River Godavari,"Maneru river D/S of municipal dump site, Karimnagar",Sample couldn't be collected as source points were dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,River Godavari,River Maneru at Thummala cheruvu/Madannapet,6.1,7.14,310,3,0.2,,NIL,54,,,12,BDL,90,28,10,BDL,,95,24,8.5,14,23,198,,10,0.03,BDL,2,0.14,33.78,1.02
4249,River Godavari,"Rangasamudram, Warangal",2.1,7.94,1397,9,2.01,,52,204,,,16,BDL,295,235,68,2.8,,355,84,35.23,79,149,915,,11,0.2,0.02,4,0.85,47.23,3.43
1157,River Godavari,River Manjeera at Raipally,6.6,7.97,406,2.6,7,0.71,NIL,15,  -,  -,33,17,62,32,16,24,0.6,91,20,10,16,13,230,156,20,0.58,0.42,7,0.62,21.92,0.59
4258,River Godavari,"Singur Dam Reservoir, Sangareddy",6.9,7.94,321,2,6,0.1,4,31,  -,  -,22,18,82,30,13,28,0.6,114,26,12,15,11,192,141,26,0.45,0.48,2,0.58,16.9,0.45
1781,River Godavari,Manjeera at Ganapathi sugars,7.4,8.06,820,2.2,10.7,0.4,5,82,  -,  -,25,18,92,68,12,32,0.9,144,28,18,23,34,456,298,28,0.55,0.36,8,0.56,32.25,1.23
2374,River Godavari,U/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu,6.4,7.16,1383,2.7,24,0.78,2,43,  -,  -,42,9,236,134,32,38,0.9,250,54,28,28,90,788.31,580,26,0.58,0.38,10,0.58,42.52,2.47
2375,River Godavari,D/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu,3.1,7.39,1346,2.6,28,0.7,3,55,  -,  -,54,8,226,118,26,40,0.9,236,52,26,26,78,780.68,524,175,0.5,0.32,8,0.54,40.55,2.2
4226,River Godavari,"River Manjeera at Yedu Payala Temple, Medak District",6.8,7.92,594,2.5,15,0.2,NIL,15,  -,  -,5,8,126,72,20,12,0.9,160,38,16,36,44,360,216,28,0.32,0.82,12,0.45,35.08,1.5
2372,River Godavari,Kinnerasani after confluence of KTPS ash pond effluents,6.2,7.62,431,3.6,0.5,,NIL,41,,,41,BDL,122,44,26,BDL,,145,34.4,14.34,18,26,270,,39,0.12,0.12,2,0.45,27.6,0.94
2373,River Godavari,Kunavaram at Sabari,6.7,7.99,94,2,0.47,,NIL,10,,,1.86,BDL,25,12,10,BDL,,30,9.6,3,2,6,60,,6,0.1,0.01,2,0.23,25.03,0.43
4250,River Godavari,"Palair Reservoir, Khammam",6.8,8.51,415,2,0.42,,NIL,80,,,8.76,BDL,110,54,10,BDL,,120,25.6,13.61,30,30,295,,8,0.18,0.02,2,0.2,34.6,1.19
4251,River Godavari,"D/S of Munneru River, Prakash Nagar, Khammam",4.8,7.95,635,5,1.12,,4,162,,,14,BDL,150,72,25,BDL,,182,48,15.07,34,52,406,,16,0.21,0.08,3,0.55,37.72,1.67
3080,River Godavari,U/s of Karakavagu at Paloncha,6.5,7.72,542,3,1.1,,NIL,33,,,10.2,BDL,158,58,19,BDL,,164,38,11.91,17,35,314,,18,0.21,0.08,3,0.76,33.88,1.27
3081,River Godavari,D/s of Karakavagu at Paloncha,4,7.94,410,2,1,,NIL,50,,,24,BDL,132,32,16,BDL,,185,28,14.58,16,17,241,,12,0.22,0.04,2,0.53,21.7,0.65
2349,River Godavari,Nakka vagu at Bachugudem,2.1,7.57,1284,12,40,0.58,NIL,32,  -,  -,42,28,240,140,46,20,0.6,293,68,30,32,78,770.4,464,48,0.5,0.59,12,0.8,35.33,1.97
1784,River Krishna,River Krishna at Thangadi,5.1,7.83,972,3,3.28,,NIL,63,,,28,BDL,280,95,26,Less than 0.1,,310,64,36.45,38,79,648,,8,0.8,0.1,3,1.1,35.23,1.94
39,River Krishna,"River Krishna at Gadwal bridge (BM-Jan, Apr & Oct)",5,8.14,982,3,1.49,,NIL,64,,,22,24.6,225,118,24,Less than 0.1,,245,48,30.38,54,98,621,,12,0.75,0.1,3,1.94,45.97,2.71
4225,River Krishna,"Jogulamba Temple, Gadwal",5.8,8.32,810,3,2.86,,9,72,,,17,18.36,240,92,20,Less than 0.1,,287,68,24,48,68,493,,10,0.92,0.1,2,1.02,35.16,1.8
4259,River Krishna,Sample from Nagarjuna Sagar Dam Spill way,7.4,8.36,334,2,4,0.21,NIL,8,  -,  -,6,12,84,38,22,17,0.7,129,22,18,16,14,201,132,11,0.28,0.25,2,0.44,18.67,0.53
1465,River Krishna,River krishna at wadepally,7.6,8.49,603,2.9,11,0.7,NIL ,38,  -,  -,27,28,125,78,39,31,0.6,192,35,23,42,32,475,350,32,0.7,0.6,6,0.7,26.7,1.03
