Station code,water_bodies,Station name,District,RO,Responsible Zonal Lab,Monitoring date,Sampling time,Use of Water in Downstream,Human activities,Major polluting,Visible Effluent,Weather,Depth (mtrs.),Floating matter,Colour,Odour,Flow (m3/Sec),Water Temp. (OC),DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,Nizamabad,ZL-RCP,2023-12-04 00:00:00,08:40:00,"Bathing, Fishing and Irrigation","Bating, Washing & Fishing",None,None,Clear,7 Mtrs,Yes,Clear,None,Low,24 oC,6.9,7.78,713,3.9,14,0.04,5.5,22,3.7,,,,2.8,12,160,75,40,6,,,180,120,48,60,15,68,40,399.28,283.49,5,,0.04,BDL,2.1,0.3,31.95,1.12
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,Nizamabad,ZL-RCP,2023-12-07 00:00:00,09:40:00,"Bathing, Washing, Fishing and Irrigation","Bating, Washing & Fishing",None,None,Clear,2.5 Mtrs,Yes,Clear,None,Low,23 oC,6.8,7.22,1225,4.1,36,0.15,6,26,3.7,,,,4,28,250,119,46,12,,,330,220,88,110,26,88,45,686.0,487.06,7,,0.08,BDL,3.9,0.42,22.69,0.93
4255,River Godavari,Ali sagar Reservoir,Nizamabad,Nizamabad,ZL-RCP,2023-12-04 00:00:00,10:28:00,"Fishing, Boating, Drinking Purpose and Irrigation",Fishing & Boating,None,None,Clear,7 Mtrs,Yes,Clear,None,Low,25 oC,6.7,7.88,556,3.6,13,0.06,3.7,23,1.8,,,,2.6,12,150,84,38,6,,,185,110,44,75,18,40,30,334,237.14,6,,0.15,BDL,3.4,0.4,25.62,0.87
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,Nizamabad,ZL-RCP,2023-12-06 00:00:00,10:26:00,Irrigation & Bathing, Bathing & Toursium Spot,None,None,Clear,5 Mtrs,No,Clear,None,Low,21 oC,7.1,7.73,804,3.9,20,0.08,6,21,2,,,,5.2,20,165,90,40,8,,,210,130,52,80,19,52,32,450.24,319.67,8,,0.21,BDL,3.8,0.3,24.53,0.85
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Peddapalli,Ramagundam,Warangal,05.12.2023,10.05 am,,"bathing,washing,fishing",none,none,cloudy,Greater than 1mt,no,clear,odourless,,26,6,7.89,412,1.2,2.2,,Less than 1.8,26,Less than 1.8,,,,10,5,102,42,18,1.5,0.4,,138,36,90,11.66,48,28,,244,180,10,0.36,,0.5,,0.34,,
0013,River Godavari,River Godavari at Mancherial,Peddapalli,Ramagundam,Warangal,05.12.2023,09.55 am,,"washing,fishing",none,none,cloudy,Greater than 1mt,no,clear,odourless,,26,6,8.21,422,1.2,1.8,,Less than 1.8,21,Less than 1.8,,,,9,5,110,38,19,1.5,0.4,,125,32.8,82,10.45,43,32,,256,180,12,0.24,,0.5,,0.26,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,Ramagundam,Warangal,05.12.2023,09.40 am,,others,NTPC ash pond,none,cloudy,Greater than 1mt,fly ash,light green,odourless,,26,3.54,11.15,1023,4.2,2,,Less than 1.8,40,Less than 1.8,,,,6,15,244,112,50,1.5,0.4,,310,76.8,192,28.67,118,80,,624.03,400,15,0.72,,0.5,,0.51,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,Ramagundam,Warangal,05.12.2023,09.20 am,,fishing,none,none,cloudy,Greater than 1mt,no,clear,odourless,,26,6,8.43,502,1,2.3,,Less than 1.8,33,Less than 1.8,,,,10,5,132,63,4,1.5,0.4,,185,45.6,114,17.25,71,28,,328,240,14,0.28,,0.5,,0.24,,
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,Ramagundem,Peddapalli,Ramagundem,05.12.2023,08.55 am,,fishing,none,none,cloudy,Greater than 1mt,no,clear,odour free,,26,4.54,7.16,904,2,3.62,,2,120,1.8,,,,9,5,182,126,23,1.5,0.4,,220,57.6,144,18.47,76,52,,552,340,20,0.28,,0.5,,0.31,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,Ramagundam,Warangal,05.12.2023,09.10 am,,fishing,none,none,cloudy,Greater than 1mt,no,clear,odourless,,26,5.4,7.38,522,4,1.9,,Less than 1.8,40,Less than 1.8,,,,12,5,132,54,58,1.5,0.4,,180,46,115,15.79,65,32,,320,200,19,0.62,,0.5,,0.42,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,Ramagundam,Warangal,05.12.2023,10.25 am,,fishing,none,none,cloudy,Greater than 1mt,no,clear,odourless,,26,6.22,8.04,744,1,2.2,,Less than 1.8,26,Less than 1.8,,,,9,5,172,87,8,1.5,0.4,,240,58.4,146,22.84,94,48,,434,300,14,0.8,,0.5,,0.49,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,Ramagundam,Warangal,05.12.2023,08.00 am,,"washing,fishing",none,none,cloudy,Greater than 1mt,no,clear,odourless,,26,6.02,8.02,888,2,1.8,,Less than 1.8,39,Less than 1.8,,,,10,5,222,119,19,1.5,0.4,,315,79.2,198,28.43,117,52,,512,400,12,0.92,,0.5,,0.34,,
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,Warangal,Warangal,06.12.2023,01.06 pm,,bathing,others,none,raining,Less than 50cm,no,clear,odourfree,,25,6.1,8,514,1,0.3,,Less than 1.8,21,Less than 1.8,,,,6,5,132,58,14,1.5,0.4,,120,28.4,71,11.91,49,32,,324,200,12,0.2,,0.5,,0.2,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,Warangal,Warangal,04.12.2023,01.30 pm,,others,others,none,cloudy,50to100 cm,no,light brown,odourfree,,26,6.1,8.21,353,1.8,1.68,,Less than 1.8,40,Less than 1.8,,,,4,5,96,48,36,1.5,0.4,,98,21.6,54,10.69,44,32,,218,150,10,0.65,,0.5,,0.48,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,Warangal,Warangal,04.12.2023,02.05 pm,,others,others,none,cloudy,50to100 cm,no,light brown,odourfree,,28,6.1,8.27,358,1.8,1.86,,Less than 1.8,32,Less than 1.8,,,,6,5,98,44,28,1.5,0.4,,104,23.2,58,11.18,46,30,,222,150,10,0.69,,0.5,,0.72,,
