iter	RMSE
0	0.3611251295
1	0.354233421
2	0.3480628876
3	0.3419422837
4	0.3366815105
5	0.3318446798
6	0.3270717392
7	0.3225207857
8	0.3185523527
9	0.3145956251
10	0.3113099107
11	0.3078949754
12	0.304764363
13	0.3019681206
14	0.2992961815
15	0.2967739351
16	0.2945726709
17	0.2924533299
18	0.2906442901
19	0.2887381062
20	0.2869611953
21	0.285567461
22	0.284177426
23	0.282888513
24	0.2817824715
25	0.2807836464
26	0.2797956441
27	0.2787855059
28	0.2778387007
29	0.2769918265
30	0.2762306963
31	0.27551287
32	0.2746949295
33	0.2740692032
34	0.2735000196
35	0.2728396187
36	0.2722906179
37	0.2717868072
38	0.2713699156
39	0.2708563821
40	0.2704215447
41	0.2700442997
42	0.2696363646
43	0.2691327055
44	0.2687571616
45	0.2684678777
46	0.268127912
47	0.2679175059
48	0.2676049496
49	0.26726564
50	0.2670556512
51	0.2668372146
52	0.2665580197
53	0.266300128
54	0.2660465817
55	0.2657939219
56	0.2656162164
57	0.2653208345
58	0.2650238046
59	0.2648157041
60	0.2646243384
61	0.2644196905
62	0.2641854411
63	0.2639866895
64	0.2637630055
65	0.2635826027
66	0.2634471216
67	0.2632339202
68	0.26301519
69	0.262854293
70	0.2626797122
71	0.2624564318
72	0.2622968001
73	0.2621473451
74	0.262012006
75	0.2618601291
76	0.2617231738
77	0.2616099761
78	0.2615144558
79	0.2611946803
80	0.2610956131
81	0.2609822792
82	0.260906146
83	0.2607795503
84	0.2606069694
85	0.2605054923
86	0.2603675711
87	0.2602608624
88	0.2601474139
89	0.2600301164
90	0.2598185614
91	0.2597010473
92	0.2595209499
93	0.2593802722
94	0.2591302792
95	0.2589175121
96	0.2588373337
97	0.2587501815
98	0.2586651302
99	0.2585224534
100	0.2584364501
101	0.2583813317
102	0.2582652869
103	0.2580724155
104	0.257918128
105	0.2577743844
106	0.2576375944
107	0.2575580772
108	0.257393146
109	0.2572795659
110	0.2572234379
111	0.2570734359
112	0.2570013629
113	0.2569641197
114	0.2568538347
115	0.2567312741
116	0.2566314238
117	0.2565165222
118	0.2563621915
119	0.2562428268
120	0.2561350722
121	0.2559889185
122	0.2558294
123	0.2557350051
124	0.2555438091
125	0.2554335841
126	0.2552883902
127	0.2551819809
128	0.2550563379
129	0.25497699
130	0.254858809
131	0.2547067703
132	0.2546156199
133	0.2544747616
134	0.2543958073
135	0.2542876314
136	0.2540768389
137	0.2539436147
138	0.2538601435
139	0.2537114487
140	0.2536407933
141	0.2534592927
142	0.2532244591
143	0.2530898372
144	0.2530126951
145	0.252903732
146	0.2528294517
147	0.2527385393
148	0.2526365515
149	0.2525690546
150	0.2522952727
151	0.2521295383
152	0.2520710461
153	0.2519316678
154	0.2518203635
155	0.2517027981
156	0.2514992834
157	0.2512886653
158	0.2512032981
159	0.2510940958
160	0.2509974987
161	0.2509223307
162	0.2507926458
163	0.2506225212
164	0.2505753549
165	0.2504862969
166	0.2503578997
167	0.2502202524
168	0.2501010577
169	0.2499838138
170	0.2498672835
171	0.2497954989
172	0.2496637591
173	0.2495532571
174	0.2493493806
175	0.2492899782
176	0.2492329257
177	0.2491548239
178	0.2490252094
179	0.2488863887
180	0.2486921457
181	0.2486042953
182	0.2485517282
183	0.2484477252
184	0.2483144406
185	0.248130953
186	0.2479637823
187	0.247774245
188	0.2476553071
189	0.2474838339
190	0.2473231581
191	0.2471059194
192	0.2469383414
193	0.2467752713
194	0.2467046117
195	0.2465817581
196	0.246437279
197	0.2463952085
198	0.2462605013
199	0.2461092341
