iter	Passed	Remaining
0	152	30381
1	154	15265
2	155	10224
3	157	7697
4	158	6182
5	159	5171
6	161	4449
7	162	3909
8	164	3489
9	166	3160
10	167	2884
11	169	2653
12	170	2458
13	172	2291
14	174	2146
15	175	2021
16	177	1911
17	179	1812
18	181	1725
19	182	1646
20	184	1573
21	186	1505
22	187	1443
23	189	1386
24	190	1333
25	191	1284
26	193	1238
27	194	1196
28	196	1156
29	197	1120
30	199	1086
31	200	1054
32	202	1023
33	203	994
34	205	967
35	206	940
36	207	915
37	209	892
38	210	870
39	212	849
40	213	829
41	215	810
42	217	792
43	218	775
44	220	758
45	221	742
46	223	727
47	224	711
48	226	697
49	227	683
50	229	669
51	230	656
52	232	644
53	233	632
54	235	621
55	237	610
56	239	599
57	240	589
58	242	579
59	244	569
60	245	559
61	246	549
62	248	539
63	249	530
64	250	521
65	252	512
66	253	503
67	255	495
68	256	487
69	258	479
70	259	471
71	260	463
72	262	456
73	263	448
74	264	441
75	266	434
76	267	427
77	268	420
78	270	414
79	271	407
80	273	401
81	274	395
82	275	388
83	277	382
84	278	376
85	279	370
86	280	364
87	282	359
88	283	353
89	285	348
90	286	343
91	287	337
92	288	332
93	290	327
94	291	322
95	293	317
96	294	312
97	295	307
98	296	302
99	298	298
100	299	293
101	300	289
102	302	284
103	303	280
104	304	275
105	306	271
106	307	267
107	308	262
108	309	258
109	311	254
110	312	250
111	313	246
112	315	242
113	316	238
114	317	234
115	319	231
116	320	227
117	321	223
118	323	219
119	324	216
120	325	212
121	326	209
122	328	205
123	329	202
124	330	198
125	332	195
126	333	191
127	334	188
128	336	184
129	337	181
130	338	178
131	339	175
132	341	171
133	342	168
134	344	165
135	345	162
136	347	159
137	348	156
138	349	153
139	351	150
140	352	147
141	353	144
142	355	141
143	356	138
144	358	135
145	359	133
146	361	130
147	362	127
148	363	124
149	365	121
150	366	119
151	368	116
152	370	113
153	371	111
154	373	108
155	374	105
156	376	103
157	377	100
158	379	97
159	380	95
160	381	92
161	383	89
162	384	87
163	386	84
164	387	82
165	389	79
166	390	77
167	392	74
168	393	72
169	394	69
170	396	67
171	397	64
172	399	62
173	400	59
174	402	57
175	403	55
176	404	52
177	406	50
178	407	47
179	409	45
180	410	43
181	412	40
182	413	38
183	415	36
184	416	33
185	418	31
186	419	29
187	421	26
188	422	24
189	424	22
190	425	20
191	427	17
192	428	15
193	429	13
194	431	11
195	433	8
196	434	6
197	435	4
198	437	2
199	438	0
