Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate-N (mg/L),Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Nitrate,Free Ammonia  (mg/L),P/R Ratio,Ammonia  (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Sodium %,District,RO,Faecal streptococci,% Sodium,Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Conductivity (μs/cm),Ammonia,Calcium Carbonate as CaCO3,Magnesium Carbonate as CaCO3,Responsible Zonal Lab,Monitoring date,Submission Date,Sampling time,Use of Water in Downstream,Human activities,Major polluting,Visible Effluent,Weather,Depth (mtrs.),Floating matter,Colour,Odour,Flow (m3/Sec),District.1,Remarks,Unnamed: 58,Any Other,Classes,Unnamed: 42,Total coliform (MPN/100ml),Lead (Pb),Cadmium (Cd),Copper (Cu),Zinc (Zn),Total Chromium (T. Cr),Nickel (Ni),Iron (Fe),Free Ammonia (mg/L),Orthophosphate (mg/L),Arsenic,Lead,Cadmium,Copper,Zinc,Total Chromium,Nickel,Iron,Unnamed: 48,Cd(mg/l),Cu(mg/l),Pb(mg/l),T.Cr(mg/l),Ni (mg/l),Zn(mg/l),Fe(mg/l),Hg(mg/l),Mn(mg/l),Unnamed: 36,Unnamed: 37,Ammonia-N (mg/L),Total Hardness as CaCO3 (mg/L),Unnamed: 41,Unnamed: 43,Unnamed: 44,Unnamed: 45,Free Ammonia,Fecal streptococci,COD,Water Temp. (OC),Unnamed: 64,Unnamed: 56,Unnamed: 57,COD (mg/L).1,Unnamed: 38
2360,River Godavari,River Godavari at Basara,6.5,8.15,461.0,3.4,5.5,0.42,12,40.0,,,29.0,32,84.0,42.0,22.0,3,Less than  1,146.0,32.0,16.0,36.0,24.0,254.0,195.0,15.0,0.56,0.52,11.0,0.6,23.95,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5.1,8.51,441.0,4.5,2.2,,NIL,28.0,,,2.89,8,158.0,44.0,48.0,Less than  1,Less than  1,202.0,39.2,25.27,28.0,23.0,266.0,190.0,8.0,0.01,0.1,3.0,0.76,19.34,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,River Godavari,"River Godavari at Mancherial (BM-Jan, Apr & Oct)",5,8.52,440.0,3,3.8,,NIL,12.0,,,7.2,12,160.0,38.0,45.0,Less than  1,Less than 1,164.0,29.6,21.87,25.0,28.0,272.0,186.0,8.0,0.08,0.5,3.0,0.76,26.33,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5,8.39,542.0,3,4.0,,NIL,23.0,,,6.79,10,160.0,65.0,31.0,Less than  1,Less than  1,180.0,31.2,24.79,27.0,41.0,310.0,230.0,6.0,0.01,0.5,3.0,0.9,32.34,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,4.9,8.49,604.0,3,4.2,,NIL,16.0,,,2.0,10,162.0,52.0,32.0,Less than  1,Less than  1,210.0,35.2,29.65,34.0,30.0,344.0,259.0,12.0,0.0,0.6,3.0,0.88,23.13,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,4.9,7.76,712.0,3,5.0,,NIL,11.0,,,6.98,4,182.0,68.0,24.0,Less than  1,Less than  1,226.0,40.0,30.62,38.0,46.0,410.0,310.0,21.0,0.48,0.2,4.0,0.59,29.9,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,4.9,8.18,912.0,4,5.6,,NIL,52.0,,,15.1,10,225.0,90.0,27.0,Less than  1,Less than  1,274.0,52.8,34.51,40.0,68.0,534.0,391.0,10.0,0.04,0.2,4.0,0.99,34.34,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6.2,8.44,420.0,3,0.4,,NIL,32.0,,,6.0,8,134.0,36.0,16.0,Less than  1,Less than  1,146.0,38.0,12.39,15.0,35.0,247.0,175.0,11.0,0.05,Less than 0.1,2.78,0.69,33.44,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",6,8.3,468.0,4,0.8,,NIL,36.0,,,9.0,7,154.0,38.0,20.0,Less than  1,Less than  1,155.0,30.0,19.44,12.0,39.0,284.0,200.0,24.0,0.03,Less than 0.01,4.0,0.77,34.23,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,6,8.34,265.0,2,0.58,,Nil,120.0,,,7.0,10,110.0,12.0,10.0,Less than  1,Less than  1,105.0,22.0,12.15,8.0,13.0,159.0,111.0,4.0,0.01,Less than 0.01,1.0,0.82,20.84,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,5.8,8.28,295.0,2,0.13,,Nil,148.0,,,2.0,10,120.0,18.0,18.0,Less than  1,Less than  1,128.0,34.0,10.45,10.0,12.0,185.0,125.0,5.0,0.01,Less than 0.01,1.0,0.63,16.69,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2369,River Godavari,River Godavari at Burgampahad,4.9,8.11,342.0,3,0.68,,Nil,142.0,,,4.0,9,120.0,29.0,26.0,Less than  1,1,125.0,28.0,13.37,12.0,23.0,212.0,145.0,4.0,0.01,Less than 0.01,3.0,0.7,27.65,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,River Godavari,"River Maneru at Somanpally (BM-Jan, Apr & Oct)",5.2,8.41,437.0,4,4.0,,NIL,38.0,,,2.2,4,134.0,44.0,31.0,1.1,Less than  1,142.0,36.8,12.15,22.0,55.0,244.0,189.0,9.0,0.07,0.2,2.0,0.79,45.01,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,River Godavari,River Maneru at Thummala cheruvu/Madannapet,4.8,7.68,289.0,5,1.83,,NIL,26.0,,,5.0,7,102.0,26.0,26.0,Less than  1,Less than 1,120.0,26.0,13.37,5.0,11.0,176.0,124.0,20.0,0.04,Less than  0.1,2.0,0.93,16.15,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,River Godavari,River Manjeera at Raipally,7.2,8.5,370.0,4,6.6,0.6,4,40.0,,,35.0,27,68.0,32.0,26.0,1,1.1,114.0,26.0,12.0,15.0,18.0,212.0,152.0,29.0,0.38,0.29,6.0,0.52,23.79,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781,River Godavari,Manjeera at Ganapathi sugars,6.8,7.51,694.0,3,8.5,0.59,7,69.0,,,36.0,30,238.0,144.0,29.0,Less than  1,1.1,104.0,25.0,10.0,22.0,35.0,406.0,301.0,24.0,0.42,0.36,6.0,0.6,39.92,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374,River Godavari,U/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu,6.6,7.66,816.0,4,11.0,0.52,6,37.0,,,40.0,28,216.0,128.0,26.0,Less than  1,1,212.0,52.0,20.0,52.0,78.0,487.0,347.0,72.0,0.36,0.42,15.0,0.65,41.48,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2375,River Godavari,D/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu,6.4,7.8,1545.0,4.8,13.0,0.54,8,60.0,,,52.0,36,256.0,162.0,32.0,Less than  1,1.1,344.0,72.0,40.0,70.0,96.0,952.0,666.0,178.0,0.4,0.5,10.0,0.89,36.45,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2372,River Godavari,Kinnerasani after confluence of KTPS ash pond effluents,3.9,8.3,486.0,4,0.26,,NIL,32.0,,,31.0,15,145.0,49.0,14.0,Less than  1,1,175.0,40.0,18.22,8.0,32.0,304.0,209.0,71.0,0.1,Less than  0.1,6.0,0.73,27.19,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2373,River Godavari,Kunavaram at Sabari,6.2,7.57,98.0,BDL,0.38,,Nil,2.0,,,2.0,12,32.0,10.0,6.0,Less than  1,Less than  1,46.0,12.0,3.89,3.0,2.0,65.0,42.0,4.0,0.01,Less than  0.1,1.0,0.46,8.32,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3080,River Godavari,U/s of Karakavagu at Paloncha,5.9,8.27,529.0,3,0.58,,Nil,20.0,,,18.0,10,175.0,45.0,22.0,1.2,Less than  1,195.0,38.0,24.3,20.0,40.0,307.0,230.0,18.0,0.1,Less than  0.1,3.0,0.96,30.15,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
