Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,5.9,8.33,484,2.2,4,0.2,NIL,36,-,-,30,32,69,40,10,22,0.6,101,24,10,16,16,291,186,12,0.5,0.09,5,0.39,24.35,0.69
4255,River Godavari,Ali sagar Reservior,6.6,7.1,352,1.4,6,0.22,NIL,22,-,-,10,12,72,32,16,8,0.02,102.6,18,14,30,15,206,133.9,10,0.2,0.09,4,0.23,23.12,0.64
4227,River Godavari,"Pochara Water Falls, Adilabad",6.7,7.53,435,1.1,10,0.4,NIL,24,-,-,7,13,104,29.97,11,2.2,0.02,136.07,38,10,34,16,260,161.2,12,0.28,0.09,3,0.3,19.84,0.6
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5.6,7.25,672,3,1.65,0,4,60,,,6,12,180,78,28,4,0.02,215,53.6,19.68,46,56,408,-,10,0.54,0.09,4,0.87,35.5,1.66
13,River Godavari,River Godavari at Mancherial,5.8,8.13,640,3,1.86,0,NIL,40,,,6,12,160,88,28,4,0.02,188,33.6,25.27,50,68,396,-,60,0.66,0.09,2,0.49,43.52,2.15
2364,River Godavari,River Godavari at Ramagundam upstream near dam,6.1,8.14,666,4,0.69,0,NIL,33,,,9,12,176,82,30,4,0.02,216,40.8,27.7,58,62,420,-,12,0.34,0.09,4,0.52,37.72,1.83
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",2.1,10.85,960,4,11.62,0,NIL,110,,,28,30,148,170,36,4,0.02,204,40,25.27,88,125,620,-,20,2.42,0.12,6,0.57,56.06,3.79
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,5.8,8.22,787,3,1.89,0,NIL,33,,,8,10,220,82,26,4,0.02,240,51.2,27.22,54,69,480,-,8,0.35,0.09,4,0.48,37.83,1.93
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,5.2,7.45,1197,4,1.8,0,NIL,52,,,11,0,320,140,30,4,0.02,362,94.4,30.62,68,102,710,-,26,0.48,0.09,6,0.62,37.39,2.33
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,4.6,7.78,1161,3,2.16,0,NIL,70,,,6,0,380,133,30,4,0.02,400,66,57.1,29,90,680,-,5,0.2,0.09,2,0.88,32.55,1.95
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6.2,8.1,311,3,0,0,NIL,60,,,12,15,90,32,12,4,0.02,110,30,8.5,18,20,184,-,7,1.02,0.09,2,0.2,27.79,0.83
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",6,8.21,326,3,0.66,0,NIL,102,,,16,10,110,30,18,4,0.02,115,24,13.37,12,24,192,-,12,1.12,0.09,2,0.4,30.61,0.97
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,5.2,8.17,304,3,0.66,0,NIL,14,,,5.86,0,90,40,18,4,0.02,105,18,14.58,10,23,180,-,6,0.01,0.09,2,0.38,31.58,0.97
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,4.3,8.2,330,3,0.73,0,NIL,33,,,6.23,0,120,30,24,4,0.02,130,24,17.01,12,20,190,-,8,0.01,0.09,2,0.42,24.58,0.76
2369,River Godavari,River Godavari at Burgampahad,5.8,8.08,400,3,0.69,0,NIL,26,,,5.42,0,105,52,18,4,0.02,120,28,12.15,22,37,243,-,8,0.06,0.1,2,0.35,39.5,1.46
4256,River Godavari,"Lower Manair Dam, Karimnagar",5,8.07,374,3,0.91,0,NIL,30,,,9.2,0,115,46,18,4,0.02,130,26,15.79,16,30,220,-,2,0.17,0.09,2,0.41,32.84,1.14
1158,River Godavari,River Maneru at Somanpally,5.2,7.73,486,3,0,0,NIL,26,,,4,0,120,72,18,4,0.02,155,38,14.58,22,41,296,-,3,0.18,0.09,2,0.75,36.02,1.43
4257,River Godavari,"Maneru river D/S of municipal dump site, Karimnagar",Sample couldn't be collected as source points were dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,River Godavari,River Maneru at Thummala cheruvu/Madannapet,5.8,8.08,460,3,0.6,0,NIL,60,,,15,0,90,80,12,4,0.02,100,24.8,9.23,28,60,298,-,10,1.08,0.09,4,0.68,55.26,2.6
4249,River Godavari,"Rangasamudram, Warangal",1,7.64,1569,14,6,0,20,360,,,4,0,320,272,76,4,0.9,380,84,41.31,89,188,994,-,22,0.06,0.02,8,0.4,51.02,4.18
1157,River Godavari,River Manjeera at Raipally,6.6,7.21,426,2.4,8,0,NIL,22,-,-,28,12,80,46,12,4,0.02,119.33,28,12,22,16,252,161.28,18,0.45,0.02,5,0.42,21.58,0.64
4258,River Godavari,"Singoor Dam Reservoir,",6.7,7.22,362,1.5,7,0,NIL,20,-,-,20,19,96,33.96,12,4,0.02,132.56,30,14,22,11,218,137.34,15,0.32,0.03,3,0.33,14.84,0.41
1781,River Godavari,Manjeera at Ganapathi sugars,6.7,7.57,617,2,8,0,NIL,70,-,-,26,12,94,48,10,10,0.2,145.79,32,16,30,17,248,148.8,25,0.5,0.03,4,0.4,19.58,0.61
2374,River Godavari,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,6.3,7.36,1287,2.7,8,0,NIL,36,-,-,38,22,240,120,22,14,0.6,244.53,60,23,30,65,774,479.88,15,0.39,0.02,12,0.32,35.1,1.8
2375,River Godavari,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,3.9,7.48,1281,5,10,0,NIL,38,-,-,45,29,230,124,38,12,0.2,259.25,56,29,45,74,732,449.45,155,0.45,0.03,10,0.45,37.02,1.99
4226,River Godavari,River Manjeera at Yedu Payala Temple,6.4,7.19,611,2.5,8,0,NIL,15,-,-,6,18,116,65,15,8,0.5,137.56,32,14,45,40,365,228,20,0.2,0.05,9,0.3,36.72,1.48
2372,River Godavari,Kinnerasani after confluence of KTPS ash pond effluents,5.4,7.89,517,3,1.35,0,4,22,,,8.42,0,150,56,26,4,,170,40,17.01,34,43,327,-,29,0.1,0.1,4,1.14,34.69,1.43
2373,River Godavari,Kunavaram at Sabari,5.6,7.81,110,2,0.2,0,NIL,10,,,3.42,0,40,12,8,4,,45,10,4.86,2,6,64,-,2,0.02,0.09,1,0,21.89,0.39
4250,River Godavari,"Palair Reservoir, Khammam",5.9,8.26,427,3,0.69,0,NIL,30,,,3.82,10,125,53,12,4,,140,24,19.44,13,34,240,-,5,0.08,0.09,2,0.24,33.99,1.24
4251,River Godavari,"D/S of Munneru River, Prakash Nagar, Khammam",4.8,8.22,831,6,1.57,0,10,148,,,4.96,10,210,92,48,4,,225,54,21.87,67,84,496,-,10,0.17,0.1,4,1.16,44.12,2.43
3080,River Godavari,U/s of Karakavagu at Paloncha,4.8,7.86,348,3,1.02,0,BDL,14,,,8,0,105,50,20,4,,115,30,9.72,8,32,220,-,6,0.06,0.09,2,0.56,37.08,1.29
3081,River Godavari,D/s of Karakavagu at Paloncha,5,7.64,683,4,1.6,0,10,30,,,10,0,180,78,26,4,,220,66,13.37,44,52,402,-,10,0.08,0.1,4,0.69,33.36,1.52
2349,River Godavari,Nakka vagu at Bachugudem,2.4,7.38,1312,9,20,0,NIL,50,-,-,35,27,232,152,52,18,0.4,269.86,52,34,29,82,791,517.71,45,0.52,0.06,9,0.55,38.63,2.16
1784,River Krishna,River Krishna at Thangadi,5.2,8.51,948,3,0.18,0,NIL,20,,,5.12,20,120,178,18,4,,220,44,26.73,98,115,588,-,10,0.01,0.09,2,0.81,52.75,3.36
39,River Krishna,River Krishna at Gadwal bridge,5,8.48,952,3,0.15,0,NIL,22,,,5.19,10,180,144,26,4,,260,44,36.45,86,98,587,-,3,0.02,0.09,4,0.62,44.38,2.63
4225,River Krishna,"Jogulamba Temple, Gadwal",5.1,8.56,950,3,0.26,0,NIL,18,,,6.24,15,175,152,24,4,,245,54,26.73,76,102,584,-,6,0.01,0.09,4,0.65,46.86,2.83
4259,River Krishna,Nagarjuna Sagar Dam Spill way,7.4,7.38,358,2.4,5,0.32,NIL,15,-,-,5,10,88,39.96,20,4,0.02,137.43,27,17,32,12,212,141.15,5,0.22,0.09,3,0.42,15.5,0.44
1465,River Krishna,Confluence of River krishna & River musi at at wadapally,6.8,7.32,775,2.8,9,0.6,NIL,48,-,-,24,20,115,82,28,4,0.02,213.69,46,24,67,34,520,352.98,27,0.6,0.09,8,0.62,24.71,1.01
4252,River Krishna,"Udaya Samudram balancing Reservoir,",6.8,7.84,454,2,12,0.15,NIL,21,-,-,3.8,13,98,50,25,4,0.02,122.57,26,14,22,28,268,183.69,17,0.25,0.09,4,0.42,32.15,1.1
1172,River Musi,U/s of Musi at Gandipet (Osmansagar lake),6.2,7.25,379,2,0,0.1,NIL,24,,,60,0,110,46,12,4,0.02,120,34,8.5,11,30,230,-,5,0.02,0.09,2.38,0.6,34.56,1.19
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,Less than 0.1,7.51,1302,22,2.1,0.4,52,490,,,10,0,260,238,126,4,0.4,280,48,38.88,72,180,820,-,11,0.66,0.32,4,1.82,57.68,4.66
2339,River Musi,River Musi at Nagole,Less than 0.1,7.16,1377,24,12.81,0.9,34,350,,,26,0,330,172,171,4,0.9,365,76,42.52,104,140,856,-,38,1.42,0.18,14,1.0,44.14,3.18
1173,River Musi,"D/s. of Musi at Pratapasingaram (BM-Jan, Apr & Oct)",1,7.4,1419,20,5.57,0.05,16,380,,,22,0,340,192,182,4,0.7,350,70,42.52,78,159,840,-,140,0.26,0.38,4,2.85,49.17,3.68
