Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium %,SAR
2360,River Godavari,River Godavari at Basara,7.3,7.39,435,2.1,3,0.15,Less than 2,8,,,,11,8,104,52,16,3.02,Less than  1,Less than 0.01,125.82,24,16,8,19,246,175,7,Not Analysed,0.29,Less than 0.01,2,0.14,24.22,0.73
4255,River Godavari,Ali sagar Reservior,7.2,7.18,269,2.1,1,0.19,Less than 2,6,,,,9,Less than 1,58,34,12,2.27,Less than  1,Less than 0.01,72.9,16,8,3,11,152,109,5,Not Analysed,0.32,Less than 0.01,2,0.11,23.96,0.56
4227,River Godavari,"Pochara Water Falls, Adilabad",7.1,7.09,617,2.2,6,0.24,Less than 2,10,,,,13,12,139,96,14,2.65,Less than  1,Less than 0.01,215.18,40,28,17,24,362,268,9,Not Analysed,0.37,Less than 0.01,4,0.09,19.04,0.71
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5.1,8.09,487,2,0.6,Not Analysed,2,22,,,,6,Less than 1,165,50,14,Less than 1,Not Analysed,,210,42,25.52,18,20,312,,8,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,16.89,0.6
13,River Godavari,River Godavari at Mancherial,5.2,8.12,473,4,0.52,Not Analysed,3.6,32,,,,10,Less than 1,145,48,10,Less than 1,Not Analysed,,170,38,18.22,24,31,298,,8,Less than 0.01,Not Analysed,Less than 0.01,1,Less than 0.01,28.13,1.03
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",1.8,11.47,1120,4,2.8,Not Analysed,3.7,40,,,,11,50,245,150,16,2.8,Not Analysed,,325,70,36.45,92,104,760,,14,1.2,Not Analysed,0.24,4,0.56,40.51,2.5
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,5.2,8.22,464,2.2,1,Not Analysed,2,26,,,,10,Less than 1,155,44,20,Less than 1,Not Analysed,,175,32,23.09,20,28,302,,6,Less than 0.01,Not Analysed,Less than 0.01,1.8,Less than 0.01,25.43,0.92
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,5,8.05,496,4,2.2,Not Analysed,3.7,32,,,,12,Less than 1,185,34,18,Less than 1,Not Analysed,,205,46,21.87,20,22,312,,8,Less than 0.01,Not Analysed,Less than 0.01,2.4,Less than 0.01,18.61,0.67
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5.4,8.04,498,2.2,2,Not Analysed,2,26,,,,8,Less than 1,160,52,16,Less than 1,Not Analysed,,175,34,21.87,17,34,324,,10,Less than 0.01,Not Analysed,Less than 0.01,2.2,Less than 0.01,29.23,1.11
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,4.2,7.98,589,4,3,Not Analysed,3.6,32,,,,10,Less than 1,240,38,22,Less than 1,Not Analysed,,250,56,26.73,23,30,372,,10,Less than 0.01,Not Analysed,Less than 0.01,2.2,Less than 0.01,20.42,0.82
4662,River Godavari,River godavari Kaleshwaram,5.8,8.15,362,2.1,1,Not Analysed,3.6,32,,,,10,Less than 1,120,40,10,Less than 1,Not Analysed,,145,30,17.01,16,22,232,,6,0.22,Not Analysed,Less than 0.01,2.4,Less than 0.01,24.3,0.79
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",5.8,8.02,344,2.2,2.4,Not Analysed,Less than 2,20,,,,10,Less than 1,115,34,12,Less than 1,Not Analysed,,135,28,15.79,16,20,202,,10,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,23.91,0.75
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",5.4,7.18,398,2,2.6,Not Analysed,Less than 2,26,,,,18,Less than 1,130,42,18,Less than 1,Not Analysed,,150,34,15.79,20,27,232,,12,0.32,Not Analysed,Less than 0.01,2.2,Less than 0.01,27.64,0.96
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,5.2,7.48,390,3,0.86,Not Analysed,Less than 2,18,,,,8,Less than 1,120,46,16,Less than 1,Not Analysed,,145,34,14.58,22,28,242,,6,Less than 0.01,Not Analysed,Less than 0.01,3,Less than 0.01,28.92,1.01
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,5,7.8,438,4,1.02,Not Analysed,2,22,,,,10,Less than 1,120,58,24,1.4,Not Analysed,,160,42,13.37,26,30,272,,10,Less than 0.01,Not Analysed,Less than 0.01,4,0.11,28.23,1.03
2369,River Godavari,River Godavari at Burgampahad,5,7.32,398,3,1.8,Not Analysed,3.6,38,,,,7,Less than 1,130,43,12,Less than 1,Not Analysed,,150,36,14.58,22,28,246,,6,Less than 0.01,Not Analysed,Less than 0.01,3,0.11,28.25,0.99
2373,River Godavari,Kunavaram at Sabari,6.2,7.64,103,2,2,Not Analysed,Less than 2,8,,,,4,Less than 1,30,11,8,Less than 1,Not Analysed,,35,10,2.43,5,7,66,,2,Less than 0.01,Not Analysed,Less than 0.01,1,Less than 0.01,29.48,0.51
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",5.6,7.63,320,3,0.48,Not Analysed,3.6,38,,,,6,Less than 1,105,32,12,Less than 1,Not Analysed,,120,26,13.37,20,23,210,,8,Less than 0.01,Not Analysed,Less than 0.01,2,0.36,28.86,0.91
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",No flow from River Maneru since (Down stream of Maneru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,5.6,8.12,990,2,4.2,Not Analysed,2,24,,,,6,Less than 1,255,106,28,Less than 1,Not Analysed,,290,68,29.16,72,88,598,,8,1,Not Analysed,Less than 0.01,4,0.58,39.21,2.24
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,5.6,8.18,990,4,0.48,Not Analysed,3.7,32,,,,6,Less than 1,235,126,32,Less than 1,Not Analysed,,265,48,35.23,62,98,622,,12,1.82,Not Analysed,Less than 0.01,3,0.64,44.04,2.61
1158,River Maneru / Manair,River Maneru at Somanpally,5,8.32,562,2.2,0.4,Not Analysed,3.7,38,,,,10,25,220,42,14,Less than 1,Not Analysed,,235,64,18.22,22,30,366,,10,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,21.47,0.85
4258,River Manjeera,"Singoor Dam Reservoir,",6.5,7.17,420,2,5,0.23,Less than 2,12,,,,7,8,96,56,14,2.65,Less than  1,Less than 0.01,135.8,28,16,8,14,236,173,8,Not Analysed,0.22,Less than 0.01,3,0.25,17.8,0.52
1157,River Manjeera,River Manjeera at Raipally,6.8,7.08,450,2.2,4,0.29,Less than 2,14,,,,9,16,110,61,16,3.02,Less than  1,Less than 0.01,139.05,26,18,9,22,256,188,10,Not Analysed,0.36,Less than 0.01,2,0.21,25.12,0.81
1781,River Manjeera,Manjeera at Ganapathi sugars,6,7.14,836,2.9,9,0.22,Less than 2,17,,,,11,24,156,130,34,6.43,Less than  1,Less than 0.01,251.63,48,32,22,37,470,342,15,Not Analysed,0.24,Less than 0.01,8,0.23,23.38,1.01
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,6.4,7.27,1274,2.7,14,0.26,Less than 2,33,,,,15,28,212,172,30,5.67,Less than  1,Less than 0.01,336.01,62,44,27,49,718,529,16,Not Analysed,0.35,Less than 0.01,11,0.24,23.21,1.16
2375,River Manjeera,D/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu,6.1,7.18,1230,2.4,12,0.35,Less than 2,34,,,,17,20,196,158,32,6.05,Less than  1,Less than 0.01,309.55,58,40,24,45,698,517,18,Not Analysed,0.33,Less than 0.01,9,0.27,23.23,1.11
2349,River Manjeera,Nakka vagu at Bachugudem,1.9,7.12,1581,5.8,10,0.37,Less than 2,25,,,,21,32,310,226,54,10.21,Less than  1,Less than 0.01,467.43,80,65,38,64,892,648,35,Not Analysed,0.29,Less than 0.01,12,0.31,22.25,1.28
4226,River Manjeera,River Manjeera at Yedu Payala Temple,6.9,7.39,893,2.6,8,0.25,Less than 2,20,,,,13,24,168,120,22,4.16,Less than  1,Less than 0.01,243.4,48,30,20,38,498,362,14,Not Analysed,0.25,Less than 0.01,7,0.16,24.54,1.06
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,5,7.96,564,6,2.3,Not Analysed,Less than 2,28,,,,14,Less than 1,190,50,28,1.4,Not Analysed,,220,50.4,22.84,26,30,350,,18,0.21,Not Analysed,Less than 0.01,5,0.62,22.27,0.88
3080,River Kinneresani,U/s of Karakavagu at Paloncha,5.2,7.98,469,3,1.2,Not Analysed,Less than 2,24,,,,6,Less than 1,165,42,18,Less than 1,Not Analysed,,195,38,24.3,29,26,290,,6,Less than 0.01,Not Analysed,Less than 0.01,3,Less than 0.01,22.03,0.81
3081,River Kinneresani,D/s of Karakavagu at Paloncha,4.9,7.84,528,3,1.8,Not Analysed,Less than 2,28,,,,9,Less than 1,185,44,20,1.4,Not Analysed,,210,42,25.52,34,32,324,,8,0.12,Not Analysed,Less than 0.01,4,0.21,24.32,0.96
1784,River Krishna ,River Krishna at Thangadi,5.4,7.75,726,3,0.62,Not Analysed,Less than 2,13,,,,6,Less than 1,205,88,20,Less than 1,Not Analysed,,245,50,29.16,29,52,446,,10,Less than 0.01,Not Analysed,Less than 0.01,2,0.28,31.22,1.44
