Station code,water_bodies,Station name,District,RO,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,Nizamabad,6.7,7.48,469,2.1,7,0.1,2,20,1.8,,,,9,16,114,76,24,5,0.1,Less than 0.01,181,36,22,9,17,328,224,10,,0.05,0.5,4,0.2,16.52,0.55
4255,River Godavari,Ali sagar Reservoir,Nizamabad,Nizamabad,6.5,7.4,382,2.1,4,0.1,1.8,17,Less than  1.8,,,,5,12,78,62,20,5,0.1,Less than 0.01,116,28,16,7,14,235,185,10,,0.05,0.5,3,0.2,17.8,0.52
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,Nizamabad,6.6,7.37,592,2.1,6,0.1,2,25,1.8,,,,8,12,128,80,22,5,0.1,Less than 0.01,179,32,24,8,21,334,241,10,,0.05,0.5,4,0.2,19.78,0.68
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,Ramagundam,6.1,7.89,548,2.2,1.8,,Less than 1.8,10,Less than 1.8,,,,8,5,170,54,24,5,0.1,Less than 0.01,180,53.6,11.18,36,46,340,,10,0.21,,0.5,4,0.2,35.0,1.49
13,River Godavari,River Godavari at Mancherial,Mancherial,Ramagundam,6.2,8.03,548,2.6,2.1,,Less than 1.8,Less than 1.8,Less than 1.8,,,,6,5,175,48,22,5,0.1,Less than 0.01,190,44,19.44,42,45,340,,13,0.2,,0.5,2,0.2,33.57,1.42
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,Ramagundam,3.2,10.23,1322,4,1.9,,Less than 1.8,2,Less than 1.8,,,,5,41,245,158,64,5,0.1,Less than 0.01,345,72,47.38,88,108,758,,10,0.2,,0.5,6,0.2,37.87,2.42
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,Ramagundam,5.8,8.54,520,2.4,2.2,,Less than 1.8,6,Less than 1.8,,,,5,5,150,50,32,5,0.1,Less than 0.01,164,48,10.69,32,43,322,,13,0.2,,0.5,4,0.2,35.52,1.46
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,Ramagundam,6,8.15,526,2.6,1.7,,Less than 1.8,6,Less than 1.8,,,,5,5,160,50,22,5,0.1,Less than 0.01,170,48.8,11.66,35,42,320,,10,0.2,,0.5,5,0.2,34.03,1.4
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,Ramagundam,5.8,8.16,542,3,4,,Less than 1.8,11,Less than 1.8,,,,6,5,155,58,30,5,0.1,Less than 0.01,175,43.2,16.28,42,46,330,,18,0.2,,0.5,5,0.2,35.43,1.51
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,Ramagundam,5.8,8.11,543,2.6,4,,Less than 1.8,10,Less than 1.8,,,,8,5,165,52,32,5,0.1,Less than 0.01,180,44,17.01,31,44,343,,10,0.24,,0.5,4,0.2,33.96,1.42
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,Warangal,6.3,7.84,458,2.4,0.49,,Less than 1.8,6,Less than 1.8,,,,5,5,170,34,24,5,0.1,Less than 0.01,186,38.4,21.87,28,28,303,,10,0.2,,0.5,2,0.35,24.29,0.89
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,Warangal,6.2,8.05,310,2.4,0.38,,Less than 1.8,6,Less than 1.8,,,,5,5,118,19,20,5,0.1,Less than 0.01,122,25.6,14.09,18,18,190,,10,0.2,,0.5,2,0.41,23.8,0.71
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,Warangal,5.8,8.09,324,2.6,0.43,,Less than 1.8,7,Less than 1.8,,,,5,5,115,15,26,5,0.1,Less than 0.01,135,22.4,19.2,13,10,195,,10,0.2,,0.5,4,0.39,13.35,0.37
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,Kothagudem,5.2,8.06,296,2.6,2.2,,Less than 1.8,11,Less than 1.8,,,,7,5,108,27,36,5,0.1,Less than 0.01,105,38,2.43,18,16,189,,43,0.2,,0.5,2,0.2,24.41,0.68
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,Kothagudem,5,8.01,299,2.4,2.1,,Less than 1.8,6,Less than 1.8,,,,8,5,101,30,38,5,0.1,Less than 0.01,100,24,9.72,12,20,180,,12,0.2,,0.5,2,0.2,29.67,0.87
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,Kothagudem,5.4,7.7,394,2.9,3.6,,Less than 1.8,4,Less than 1.8,,,,5,5,110,38,18,5,0.1,Less than 0.01,115,42,2.43,18,28,240,,10,0.2,,0.5,4,0.2,33.61,1.13
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,Ramagundam,5.1,8.08,410,3,2.5,,Less than 1.8,11,Less than 1.8,,,,7,5,150,32,29,5,0.1,Less than 0.01,150,45.6,8.75,20,28,258,,10,0.2,,0.5,3,0.2,28.29,0.99
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,Karimnagar,3.6,7.58,1004,6,3.2,,Less than 1.8,17,Less than 1.8,,,,5,5,255,122,58,5,0.1,Less than 0.01,265,76,18.22,61,94,590,,16,0.32,,0.5,7,0.2,42.64,2.51
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,Ramagundam,4.3,8.16,758,4,2.1,,Less than 1.8,21,Less than 1.8,,,,5,5,180,88,36,5,0.1,Less than 0.01,225,60.8,17.74,56,66,460,,10,0.2,,0.5,4,0.2,38.31,1.91
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Bhadradri Kothagudem ,Warangal,4.7,7.2,591,3,0.95,,Less than 1.8,21,Less than 1.8,,,,34,5,160,58,48,5,0.1,Less than 0.01,195,29.6,29.4,32,36,366,,86,0.2,,0.5,4,0.2,27.96,1.12
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,Ramagundam,5.8,7.73,503,3,1.23,,Less than 1.8,11,Less than 1.8,,,,6,6,165,52,34,5,0.1,Less than 0.01,170,36,19.44,34,46,312,,10,0.2,,0.5,4,0.2,36.22,1.53
4258,River Manjeera,"Singoor Dam Reservoir,",Sangareddy,Sangareddy,6.5,7.47,355,2.1,4,0.1,3.6,27,2,,,,5,8,80,52,22,5,0.1,Less than 0.01,123,26,14,5,10,198,146,10,,0.05,0.5,2,0.2,14.72,0.39
1157,River Manjeera,River Manjeera at Raipally,Sangareddy,ZL-RCP,6.3,7.38,394,2.4,4,0.13,4,25,2,,,,6,12,94,56,26,5,0.1,Less than 0.01,131,26,16,6,15,232,169,10,,0.05,0.5,2,0.2,19.54,0.57
1781,River Manjeera,Manjeera at Ganapathi sugars,Sangareddy,ZL-RCP,6.7,7.49,457,3,5,0.1,2,33,1.8,,,,7,12,104,66,30,5.6,0.1,Less than 0.01,149,30,18,7,17,264,182,10,,0.05,0.5,3,0.2,19.37,0.6
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,Sangareddy,ZL-RCP,6.9,7.35,962,2.8,10,0.14,3.7,39,2,,,,12,20,186,86,32,6.2,0.1,Less than 0.01,216,48,28,14,24,647,468,10,,0.11,0.5,7,0.2,17.52,0.68
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,Sangareddy,ZL-RCP,6.6,7.27,1048,3,11,0.17,4,47,1.8,,,,14,24,202,98,28,5,0.1,Less than 0.01,244,54,36,18,27,748,558,11,,0.13,0.5,9,0.2,16.52,0.7
2349,River Manjeera,Nakka vagu at Bachugudem,Sangareddy,ZL-RCP,2,7.36,1124,9,9,0.19,17,150,9,,,,18,32,212,148,82,15.7,0.1,Less than 0.01,338,68,48,25,43,642,662,13,,0.15,0.5,9,0.2,19.68,0.97
4226,River Manjeera,River Manjeera at Yedu Payala Temple,Medak,R.C.Puram,6.5,7.2,461,3,8,0.08,Less than 1.8,31,Less than 1.8,,,,7,16,109,72,26,5,0.1,Less than 0.01,140,32,22,7,18,312,222,10,,0.05,0.5,5,0.2,18.02,0.6
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,Bhadradri Kothagudem ,Kothagudem,5.6,7.89,512,3,2.74,,Less than 1.8,21,Less than 1.8,,,,5,5,160,44,26,5,0.1,Less than 0.01,180,58,8.5,30,32,310,,29,0.2,,0.5,4,0.2,27.27,1.04
3080,River Kinneresani,U/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,Kothagudem,5.4,7.26,632,4,4.51,,Less than 1.8,2,Less than 1.8,,,,5,5,195,62,32,5,0.1,Less than 0.01,200,48,19.44,26,48,380,,18,0.2,,0.5,5,0.2,33.47,1.47
3081,River Kinneresani,D/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,Kothagudem,5.2,7.74,518,3,2.84,,Less than 1.8,4,Less than 1.8,,,,5,5,170,50,36,5,0.1,Less than 0.01,190,56,12.15,28,35,320,,24,0.2,,0.5,5,0.2,27.86,1.1
1784,River Krishna ,River Krishna at Thangadi,Mahaboobnagar,Hyderabad ,5.4,7.56,992,2.1,3.8,,Less than 1.8,17,Less than 1.8,,,,10,5,185,148,24,5,0.1,Less than 0.01,205,38,26.73,80,126,565,,10,0.22,,0.5,2,0.2,56.73,3.81
39,River Krishna ,River Krishna at Gadwal bridge,Mahaboobnagar,Hyderabad ,5.6,7.68,952,2.2,1.8,,Less than 1.8,17,Less than 1.8,,,,5,5,175,142,26,5,0.1,Less than 0.01,180,36,21.87,80,128,532,,10,0.2,,0.5,2,0.2,60.24,4.14
4225,River Krishna ,"Jogulamba Temple, Gadwal",Jogulamba Gadwal,Hyderabad ,5.4,7.82,984,2.1,1.8,,Less than 1.8,17,Less than 1.8,,,,6,5,180,150,32,5,0.1,Less than 0.01,190,38,23.09,76,128,542,,10,0.02,,0.5,4,0.2,58.63,4.02
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,Nalgonda,Nalgonda,6.8,7.06,498,2.8,5,0.11,4,25,2,,,,9,16,120,62,30,5.6,0.1,Less than 0.01,159,34,18,10,17,284,204,10,,0.11,0.5,5,0.2,18.17,0.58
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",Nalgonda,Nalgonda,6.6,7.16,458,3,4,0.1,2,21,1.8,,,,5,12,116,58,28,5,0.1,Less than 0.01,149,30,18,7,16,262,189,10,,0.16,0.5,3,0.2,18.44,0.57
1465,River Krishna ,Confluence of River krishna & River musi at at wadapally,Nalgonda,Nalgonda,6.7,7.23,798,2.6,6,0.13,2,38,1.8,,,,13,16,176,94,25,5,0.1,Less than 0.01,210,46,32,9,19,458,328,12,,0.18,0.5,8,0.2,13.77,0.52
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",Suryapet,Nalgonda,6.5,7.11,666,2.8,7,0.1,6.1,31,4,,,,8,16,148,96,26,5,0.1,Less than 0.01,211.94,42,26,8,23,382,276,10,,0.15,0.5,7,0.21,18.36,0.68
1215,River Krishna ,River Munneru at Thummala cheruvu/Madannapet,Warangal Rural,Warangal,6.4,7.64,312,2.4,0.26,,Less than 1.8,2,Less than 1.8,,,,5.68,5,110,20,18,5,0.1,Less than 0.01,130,29.6,13.61,12,14,194,,12,0.2,,0.5,2,0.34,18.59,0.53
4250,River Krishna ,"Palair Reservoir, Khammam",Khammam,Kothagudem,6.1,8.14,528,2.4,2.6,,Less than 1.8,2,Less than 1.8,,,,5,5,155,58,20,5,0.1,Less than 0.01,165,46,12.15,32,48,320,,10,0.2,,0.5,3,0.2,38.11,1.62
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",Khammam,Kothagudem,5.6,7.86,688,3,3,,Less than 1.8,8,Less than 1.8,,,,5,5,220,64,30,5,0.1,Less than 0.01,235,54,24.3,58,61,440,,14,0.2,,0.5,4,0.2,35.46,1.73
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,Hyderabad,Hyderabad,0.3,7.18,1569,10,7.7,,40,430,Less than 1.8,,,,15,5,410,226,93,15,8,0.13,420,96,43.74,88,186,912,,24,0.48,,0.5,8,1.15,48.32,3.94
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Medchal Malkajgiri,RR-I,0.3,6.98,1406,16,8.7,,58,350,Less than 1.8,,,,48,5,320,224,183,20,7,0.06,340,78.4,34.99,89,174,874,,119,1.67,,0.5,6,0.83,51.98,4.09
2339,River Musi,River Musi at Nagole,Shamshabad,RR-I,0.3,7.29,1434,15,6.63,,63,540,Less than 1.8,,,,21,5,395,178,153,18,11,0.29,410,94,42.52,74,140,858,,32,2.5,,0.5,12,1.41,41.58,3.0
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",Yadadri Bhuvanagiri,Nalgonda,0.3,7.49,2072,16,6.1,,46,350,Less than 1.8,,,,20,5,435,286,194,32,19,0.8,480,104,53.46,136,226,1190,,28,0.8,,0.5,10,0.5,49.78,4.47
4660,River Musi,River Musi at Peerajadiguda,Suryapet,Nalgonda,0.3,7.2,1416,14,7.2,,94,430,Less than 1.8,,,,12,5,320,182,183,23,14,0.18,385,78,46.17,102,174,822,,32,1.01,,0.5,10,0.66,48.59,3.84
1173,River Musi,D/s. of Musi at Pratapasingaram,Rangareddy,RR-I,0.3,7.24,1409,10,7.52,,32,350,Less than 1.8,,,,15,5,335,168,132,20,10,0.2,365,74,43.74,97,132,812,,26,1.86,,0.5,6,1.32,43.35,2.99
4657,River Musi,River Musi at Pillapalli,Rangareddy-I,Rangareddy,1.9,7.44,1462,10,4.78,,21,280,Less than 1.8,,,,12,5,360,220,95,19,9,0.3,402,88,47.38,88,150,832,,44,1.12,,0.5,8,1.41,43.26,3.19
4254,River Musi,River Musi sample at Rudravelly bridge,Yadadri Bhuvanagiri,Nalgonda,5.5,7.35,1241,5,10,0.15,6,150,4,,,,12,32,244,152,46,9,0.1,Less than 0.01,337.76,66,42,21,43,728,592,15,,0.27,0.5,11,0.2,20.89,1.01
