Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,"River Godavari at Basara (V & M), Nirmal District",Nirmal,6.8,7.55,646,1.5,2,0.1,6,26,3.7,,,,5,5,140,88,13,2.2,0.4,0.01,224,110,44,115.23,28,12,23,372,252.96,10,,0.05,0.5,3,0.2,17.82,0.66
5105,River Godavari,"River Godavari Pushkar Ghat , Mancherial (V&M), Mancherial (D)",Mancherial,6.5,7.48,684,1.9,2,0.1,5.6,38,3.7,,,,2,5,164,86,20,3.4,0.4,0.01,240,125,50,115.23,28,12,25,394,278,10,,0.05,0.5,4,0.2,18.05,0.7
4255,River Godavari,"River Godavari- Ali sagar Reservior Ali Sagar, Thanakalan (V), Yedapally (M), Nizamabad (D)",Nizamabad,6.5,7.69,477,1.7,2,0.1,6.8,20,4.5,,,,8,8,116,68,16,2.8,0.4,0.01,181,90,36,90.53,22,8,19,276,186,10,,0.12,0.5,4,0.2,18.11,0.61
4227,River Godavari,"River Godavari- Pochera Water Falls, Pochera (V), Boath (M), Adilabad (D)",Adilabad,6.7,7.61,890,2,3,0.1,4.5,23,3.6,,,,3,8,188,128,19,3.4,0.4,0.01,312,155,62,156.38,38,14,32,490,369,12,,0.07,0.5,4,0.2,17.93,0.79
2361,River Godavari,"River Godavari-River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu, Mancherial (D)",Mancherial,5.6,7.45,565,1.2,,,Less than 1.8,36,Less than 1.8,,,,2.2,5,150,84,8,1.5,0.4,0.01,166,94,37.6,72,17.5,46,,362,,10,0.2,,0.5,,0.28,,
13,River Godavari,"River Godavari at Mancherial (V&M), Mancherial(D)",Mancherial,5.5,7.52,559,1.2,,,Less than 1.8,38,Less than 1.8,,,,2.8,5,140,93,8,1.5,0.4,0.01,158,90,36,68,16.52,54,,346,,10,0.2,,0.5,,0.2,,
3054,River Godavari,"River Godavari - Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,5,11.11,1438,1.1,,,Less than 1.8,48,Less than 1.8,,,,24.8,45,395,124,16,3.36,0.4,0.39,410,255,102,155,37.66,72,,892,,10,1.24,,0.5,,0.2,,
2362,River Godavari,"River Godavari-D/s at Ramagundam near FCI intake well, Peddapalli",Peddapalli,5.4,7.73,554,1.2,,,1.8,40,Less than 1.8,,,,5.2,5,150,51,8,1.5,0.4,0.01,160,94,37.6,66,16.04,28,,348,,10,0.2,,0.5,,0.2,,
2363,River Godavari,"River Godavari at Godavarikhani near bathing ghat , Peddapalli",Peddapalli,5.2,7.46,569,1.2,,,2,31,Less than 1.8,,,,6.8,5,150,51,8,1.5,0.4,0.01,166,105,42,61,14.82,30,,352,,10,0.2,,0.5,,0.2,,
2364,River Godavari,"River Godavari at Ramagundam upstream near dam, Peddapalli",Peddapalli,6,7.48,560,1,,,1.8,27,Less than 1.8,,,,2.8,5,145,49,5,1.5,0.4,0.01,163,95,38,68,16.52,27,,348,,10,0.2,,0.5,,0.2,,
