Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,"River Godavari at Basara (V & M), Nirmal District",Nirmal,7.9,7.83,624,2.16,12,0.07,5.8,18,3.7,,,,3.12,16,120,148,24,34.29,0.4,0.01,296,212,85,84,20.41,68,22,485,308,10,,0.07,0.5,1,0.4,16.46,0.46
5105,River Godavari,"River Godavari Pushkar Ghat , Mancherial (V&M), Mancherial (D)",Mancherial,6.5,8.09,697,2.88,11,0.07,6.2,20,3.6,,,,4.16,12,130,124,32,31.43,0.4,0.01,260,140,56,120,29.16,56,23,453,320,10,,0.08,0.5,1,0.3,21.76,0.59
4255,River Godavari,"River Godavari- Ali sagar Reservior Ali Sagar, Thanakalan (V), Yedapally (M), Nizamabad (D)",Nizamabad,6.2,7.89,596,2.7,5,0.06,4,25,Less than 1.8,,,,3.64,16,135,80,30,14.29,0.4,0.01,200,100,40,100,24.3,25,19,390,280,10,,0.11,0.5,4,0.28,21.9,0.56
4227,River Godavari,"River Godavari- Pochera Water Falls, Pochera (V), Boath (M), Adilabad (D)",Adilabad,7.8,7.75,780,3.6,15,0.11,6.2,20,2,,,,4.68,12,165,130,40,42.86,0.4,0.01,285,165,66,120,29.16,62,15,480,328,10,,0.35,0.5,3,0.31,13.2,0.35
2361,River Godavari,"River Godavari-River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu, Mancherial (D)",Mancherial,6.1,7.89,547,2,2,,Less than 1.8,39,Less than 1.8,,,,6,5,125,62,16,1.5,0.4,0.02,130,75,30,55,13.37,41,,344,,10,0.2,,0.5,,0.62,,
13,River Godavari,"River Godavari at Mancherial (V&M), Mancherial(D)",Mancherial,5.9,7.73,550,3.2,2.1,,Less than 1.8,47,Less than 1.8,,,,2,5,120,68,30,1.5,0.4,0.01,125,70,28,55,13.37,36,,340,,10,0.2,,0.5,,0.58,,
3054,River Godavari,"River Godavari - Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,1.6,10.7,1043,5.4,2.8,,Less than 1.8,32,Less than 1.8,,,,3,35,220,156,59,2.8,0.4,0.39,260,140,56,120,29.16,102,,636,,10,0.96,,0.5,,0.76,,
2362,River Godavari,"River Godavari-D/s at Ramagundam near FCI intake well, Peddapalli",Peddapalli,5.9,7.32,539,3.4,1.81,,Less than 1.8,39,Less than 1.8,,,,6,5,115,72,31,1.5,0.4,0.01,120,80,32,40,9.72,34,,334,,10,0.2,,0.5,,0.38,,
2363,River Godavari,"River Godavari at Godavarikhani near bathing ghat , Peddapalli",Peddapalli,5.9,7.2,542,2.2,1.86,,Less than 1.8,40,Less than 1.8,,,,4,5,120,66,20,1.5,0.4,0.01,125,85,34,40,9.72,39,,330,,10,0.2,,0.5,,0.4,,
2364,River Godavari,"River Godavari at Ramagundam upstream near dam, Peddapalli",Peddapalli,6,7.88,546,4,1.72,,Less than 1.8,43,Less than 1.8,,,,3.5,5,145,54,39,1.5,0.4,0.02,150,80,32,70,17.01,38,,336,,10,0.2,,0.5,,0.42,,
