Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,7.1,7.98,706,3.1,13,0.03,5.6,21,3.7,,,,2.9,14,172,77,30,8,,,194.96,125,50,69.96,17,72,42,430.66,301.46,6,,0.05,BDL,2.3,0.32,31.48,1.15
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",7.2,7.07,1364,3.5,34,0.16,6.1,25,3.6,,,,4.1,30,260,129,36,10,,,340.23,225,90,115.23,28,92,47,742,519.4,8,,0.08,BDL,4.1,0.41,22.75,0.96
4255,River Godavari,Ali sagar Reservoir,7.1,8.01,620,3.2,20,0.06,4,22,Less than 1.8,,,,2.7,14,150,88,32,8,,,195,115,46,80,19,44,32,378.2,264.74,7,,0.14,BDL,3.5,0.4,25.94,0.91
4227,River Godavari,"Pochara Water Falls, Adilabad",7.2,7.88,760,3.7,21,0.07,6.1,20,2,,,,5.1,22,160,98,38,8,,,225,135,54,90,22,60,34,463.6,324.52,9,,0.2,BDL,3.9,0.32,24.19,0.89
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",6.1,7.94,540,1.8,1.4,,Less than 1.8,27,Less than 1.8,,,,6,5,143,40,20,1.5,0.4,,150,86,34.4,64,15.55,38,,344,220,10,0.69,,0.5,,0.42,,
0013,River Godavari,River Godavari at Mancherial,6.1,8.13,546,1.8,1.24,,Less than 1.8,23,Less than 1.8,,,,5.2,5,140,54,24,1.5,0.4,,154,84,33.6,70,17.01,34,,338,210,10,0.55,,0.5,,0.48,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",3.2,11.41,1601,3.2,3.68,,17,350,Less than 1.8,,,,26,16,400,188,52,5.6,2.52,,412,220,88,192,46.66,76,,1012,840,22,1.64,,0.5,,0.79,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,6,7.82,702,1.8,1.16,,Less than 1.8,32,Less than 1.8,,,,8,5,186,61,24,1.5,0.4,,200,124,49.6,76,18.47,54,,450,330,10,0.86,,0.5,,0.95,,
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,6.1,7.5,794,1.6,3.22,,Less than 1.8,58,Less than 1.8,,,,8,5,195,83,20,1.5,0.4,,205,125,50,80,19.44,49,,484,320,10,0.35,,0.5,,0.37,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,6,7.58,702,2,1.28,,Less than 1.8,24,Less than 1.8,,,,6,5,190,59,28,1.5,0.4,,196,120,48,76,18.47,49,,428,310,10,0.65,,0.5,,0.89,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,6.1,8.03,842,1.6,2.24,,Less than 1.8,47,Less than 1.8,,,,10,5,214,71,22,1.5,0.4,,224,138,55.2,86,20.9,68,,530,340,10,0.49,,0.5,,0.67,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,6,7.95,988,1.8,1.48,,Less than 1.8,48,Less than 1.8,,,,4,5,200,124,20,2.8,1.6,,230,150,60,80,19.44,74,,622,480,10,0.2,,0.5,,0.2,,
