Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Any Other
2360,River Godavari,River Godavari at Basara,7.5,7.12,479,2,7,0.18,Less than 1.8,24,,,,20,24,74,42,8,14,0.04,92,20,10,20,23,285,178,15,,0.7,0.09,4,0.3,34.06,1.04,
4255,River Godavari,Ali sagar Reservior,6.8,7.14,356,1.6,8,0.25,Less than 1.8,26,,,,8,10,88,34,9,5,0.02,104.35,22,12,24,20,208,146,12,,0.4,0.09,5,0.27,28.07,0.85,
4227,River Godavari,"Pochara Water Falls, Adilabad",6.2,7.22,450,1.2,11,0.32,Less than 1.8,20,,,,9,15,88,52,10,4,0.02,137.56,32,14,26,20,260,182,20,,0.48,0.09,6,0.4,22.94,0.74,
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",6,8.24,522,3,0.49,Not Analysed,Less than 1.8,20,Not Analysed,Not Analysed,Not Analysed,5.63,10,185,44,12,4,Not Analysed,180,50,13.37,12,36,322,Not Analysed,6,0.06,Not Analysed,0.09,2,0.24,29.93,1.16,
13,River Godavari,River Godavari at Mancherial,5.8,8.22,711,3,0.55,Not Analysed,Less than 1.8,21,Not Analysed,Not Analysed,Not Analysed,4.32,10,220,72,14,4,Not Analysed,240,56,24.3,32,52,442,Not Analysed,10,0.01,Not Analysed,0.09,3,0.21,31.56,1.46,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,6.2,8.12,694,3,0.41,Not Analysed,Less than 1.8,32,Not Analysed,Not Analysed,Not Analysed,4.8,0,190,82,12,4,Not Analysed,205,50,19.44,40,66,430,Not Analysed,8,0.07,Not Analysed,0.09,2,0.16,40.76,2.0,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",4.7,9.04,1097,5,8.42,Not Analysed,Less than 1.8,31,Not Analysed,Not Analysed,Not Analysed,12.68,20,220,156,30,4,Not Analysed,240,50,27.95,88,134,680,Not Analysed,40,0.18,Not Analysed,0.09,6,2.35,53.9,3.75,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,5.4,8.3,773,3,0.12,Not Analysed,Less than 1.8,33,Not Analysed,Not Analysed,Not Analysed,8.2,20,180,120,16,4,Not Analysed,260,50,32.8,64,72,486,Not Analysed,8,0.36,Not Analysed,0.09,2,0.52,37.2,1.94,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,5.2,7.64,1098,4,1.92,Not Analysed,Less than 1.8,58,Not Analysed,Not Analysed,Not Analysed,10,0,230,164,14,4,Not Analysed,240,64,19.44,72,135,690,Not Analysed,24,0.44,Not Analysed,0.09,4,0.6,54.39,3.78,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,4.4,7.9,910,3,2.92,Not Analysed,Less than 1.8,63,Not Analysed,Not Analysed,Not Analysed,6.9,0,210,136,16,4,Not Analysed,210,56,17.01,32,105,590,Not Analysed,8,0.2,Not Analysed,0.09,2,1.87,51.68,3.14,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6,8.13,355,3,0,Not Analysed,Less than 1.8,58,Not Analysed,Not Analysed,Not Analysed,6,0,120,36,12,4,Not Analysed,135,30,14.58,16,24,223,Not Analysed,6,0.04,Not Analysed,0.09,2,0.35,27.39,0.9,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",5.6,8.44,373,3,0.22,Not Analysed,Less than 1.8,58,Not Analysed,Not Analysed,Not Analysed,8,20,120,42,14,4,Not Analysed,140,28.8,16.52,18,27,234,Not Analysed,10,0.6,Not Analysed,0.09,2,0.46,29.04,0.99,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,5.4,8,343,3,0.6,Not Analysed,Less than 1.8,14,Not Analysed,Not Analysed,Not Analysed,4,0,125,34,16,4,Not Analysed,135,28,15.79,10,21,216,Not Analysed,6,0.01,Not Analysed,0.09,2.2,0.05,24.77,0.78,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,4.9,8.3,368,3,0.75,Not Analysed,Less than 1.8,26,Not Analysed,Not Analysed,Not Analysed,6,20,125,36,16,4,Not Analysed,140,26,18.22,12,22,231,Not Analysed,8,0.03,Not Analysed,0.09,2.1,0.42,24.98,0.81,
2369,River Godavari,River Godavari at Burgampahad,5.8,8.18,410,3,0.62,Not Analysed,Less than 1.8,24,Not Analysed,Not Analysed,Not Analysed,5,0,135,50,16,4,Not Analysed,140,28,17.01,14,36,258,Not Analysed,8,0.08,Not Analysed,0.09,2,0.38,35.3,1.32,
4256,River Godavari,"Lower Manair Dam, Karimnagar",5,8.34,390,3,0.82,Not Analysed,Less than 1.8,28,Not Analysed,Not Analysed,Not Analysed,8,15,120,48,14,4,Not Analysed,136,32,13.61,18,32,246,Not Analysed,5,0.17,Not Analysed,0.09,2,0.42,33.31,1.19,
1158,River Godavari,"River Maneru at Somanpally (BM-Jan, Apr & Oct)",5.3,7.82,580,3,0.26,Not Analysed,Less than 1.8,24,Not Analysed,Not Analysed,Not Analysed,4.6,0,165,63,14,4,Not Analysed,190,44,19.44,26,42,365,Not Analysed,6,0.18,Not Analysed,0.09,2,0.73,32.05,1.32,
4257,River Godavari,"Maneru river D/S of municipal dump site, Karimnagar",Sample was not collected as the tank was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,
1215,River Godavari,River Maneru at Thummala cheruvu/Madannapet,5.6,7.66,480,3,0.93,Not Analysed,Less than 1.8,40,Not Analysed,Not Analysed,Not Analysed,16.86,0,145,62,13,4,Not Analysed,150,34,15.79,24,49,302,Not Analysed,8,0.24,Not Analysed,0.09,3,0.7,40.78,1.73,
1157,River Godavari,River Manjeera at Raipally,6.5,7.12,501,2.6,7,0.52,,23,,,,22,19,96,52,14,4,0.02,140.8,30,16,22,18,298,195,15,,0.52,0.09,5,0.32,20.9,0.66,
4258,River Godavari,"Singoor Dam Reservoir,",6.8,7.13,407,1.4,9,0.1,Less than 1.8,25,,,,24,20,98,36,10,4,0.02,131.69,28,15,25,15,244,171,17,,0.39,0.09,5,0.38,19.01,0.57,
1781,River Godavari,Manjeera at Ganapathi sugars,6.6,7.57,453,2.4,11,0.4,Less than 1.8,58,,,,22,14,108,52,10,8,0.04,155.78,36,16,28,18,270,189,24,,0.52,0.09,8,0.35,18.99,0.63,
2374,River Godavari,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,6,7.16,1266,2.8,9,0.55,Less than 1.8,40,,,,30,20,260,124,20,12,0.04,280.11,66,28,36,68,760,532,18,,0.44,0.04,15,0.39,32.94,1.76,
2375,River Godavari,D/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu,6.2,6.91,1265,3,10,0.6,Less than 1.8,33,,,,38,24,264,140,24,17,0.03,289.22,68,29,42,74,748,524,42,,0.49,0.03,18,0.4,33.88,1.89,
4226,River Godavari,River Manjeera at Yedu Payala Temple,7,6.69,717,2.2,7,0.25,Less than 1.8,14,,,,9,16,154,68,12,9,0.01,155.78,36,16,32,38,382,256,22,,0.26,0.05,11,0.28,32.6,1.32,
2372,River Godavari,Kinnerasani after confluence of KTPS ash pond effluents,5.2,7.91,530,3,1.25,Not Analysed,Less than 1.8,24,Not Analysed,Not Analysed,Not Analysed,6,0,175,44,14,4,Not Analysed,185,42,19.44,32,37,334,Not Analysed,10,0.08,Not Analysed,0.06,3,0.2,29.76,1.18,
2373,River Godavari,Kunavaram at Sabari,6.2,7.88,85,2,0.66,Not Analysed,Less than 1.8,12,Not Analysed,Not Analysed,Not Analysed,2,0,30,10,11,4,Not Analysed,35,8,3.65,2,4,52,Not Analysed,Less than  5,0.01,Not Analysed,0.09,2,0.03,18.72,0.29,
4250,River Godavari,"Palair Reservoir, Khammam",6.2,8,439,3,0.27,Not Analysed,Less than 1.8,11,Not Analysed,Not Analysed,Not Analysed,6,0,155,46,12,4,Not Analysed,160,34,18.22,12,34,260,Not Analysed,6,1.27,Not Analysed,0.09,2,0.05,31.13,1.17,
4251,River Godavari,"D/S of Munneru River, Prakash Nagar, Khammam",4.6,7.98,871,6,2.39,Not Analysed,10,120,Not Analysed,Not Analysed,Not Analysed,8,0,260,86,46,4,Not Analysed,280,56,34.02,52,72,540,Not Analysed,12,0.14,Not Analysed,0.1,4,1,35.3,1.86,
3080,River Godavari,U/s of Karakavagu at Paloncha,5,7.68,398,3,1.33,Not Analysed,Less than 1.8,12,Not Analysed,Not Analysed,Not Analysed,8,0,116,52,16,4,Not Analysed,135,24,18.22,14,32,250,Not Analysed,6,0.08,Not Analysed,0.09,2,0.06,33.43,1.19,
3081,River Godavari,D/s of Karakavagu at Paloncha,4.8,8.17,667,4,1.7,Not Analysed,10,31,Not Analysed,Not Analysed,Not Analysed,10,0,205,80,24,4,Not Analysed,230,46,27.95,18,48,420,Not Analysed,12,0.13,Not Analysed,0.1,4,0.8,30.61,1.37,
2349,River Godavari,Nakka vagu at Bachugudem,2.2,7.25,1322,6,16,0.35,BDL,58,,,,30,26,250,146,35,16,0.08,273.1,50,36,42,86,870,609,40,,0.47,0.09,5,0.5,39.92,2.25,
1784,River Krishna,River Krishna at Thangadi,5.38,8.31,748,3,0.18,Not Analysed,Less than 1.8,13,Not Analysed,Not Analysed,Not Analysed,5,16,135,130,12,4,Not Analysed,180,56,9.72,60,92,470,Not Analysed,9,0.03,Not Analysed,0.09,2,0.4,52.21,2.98,
39,River Krishna,River Krishna at Gadwal bridge,5.02,8.28,841,3,0.2,Not Analysed,Less than 1.8,17,Not Analysed,Not Analysed,Not Analysed,6,10,205,107,14,4,Not Analysed,220,40,29.16,64,93,530,Not Analysed,Less than  5,0.02,Not Analysed,0.09,3,0.74,47.29,2.72,
4225,River Krishna,"Jogulamba Temple, Gadwal",5.84,8.44,730,3,0.26,Not Analysed,Less than 1.8,10,Not Analysed,Not Analysed,Not Analysed,6,16,170,95,12,4,Not Analysed,190,46,18.22,56,78,460,Not Analysed,6,0.03,Not Analysed,0.09,3,0.6,46.54,2.45,
4259,River Krishna,Nagarjuna Sagar Dam Spill way,7.3,7.18,413,2.8,9,0.3,Less than 1.8,14,,,,7,12,92,36,15,4,0.02,130.81,26,16,26,13,246,172,7,,0.28,0.09,5,0.4,16.99,0.49,
1465,River Krishna,Confluence of River krishna & River musi at at wadapally,6.5,7.39,760,2.6,6,0.58,Less than 1.8,41,,,,12,24,140,64,12,4,0.02,200.46,44,22,48,26,456,319,18,,0.55,0.09,7,0.55,21.16,0.8,
4252,River Krishna,"Udaya Samudram balancing Reservoir,",6.7,7.08,459,2.2,6,0.12,Less than 1.8,22,,,,4,12,104,60,10,4,0.02,144.04,28,18,26,26,268,188,18,,0.3,0.09,7,0.4,26.85,0.94,
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,0.1,7,1380,26,2.13,Not Analysed,41,430,Not Analysed,Not Analysed,Not Analysed,12,0,290,224,114,4,Not Analysed,340,90,27.95,80,162,869,Not Analysed,14,1.81,Not Analysed,0.3,4,0.7,50.4,3.81,
2339,River Musi,River Musi at Nagole,0.1,7.62,1340,22,9.52,Not Analysed,27,280,Not Analysed,Not Analysed,Not Analysed,20,0,360,178,163,4,Not Analysed,395,82,46.17,104,146,846,Not Analysed,36,1.28,Not Analysed,0.28,10,1.02,43.62,3.18,
1173,River Musi,D/s. of Musi at Pratapasingaram,0.1,7.5,1407,20,5.12,Not Analysed,17,280,Not Analysed,Not Analysed,Not Analysed,20,0,335,184,169,4,Not Analysed,360,78,40.09,80,150,886,Not Analysed,52,2.23,Not Analysed,0.39,4,2.2,47.04,3.43,
4254,River Musi,River Musi sample at Rudravelly bridge,6.5,6.52,1813,3,23,0.4,2,94,,,,10,8,312,182,32,15,0.01,428.88,86,52,59,91,1080,740,20,,0.49,0.09,19,0.55,30.26,1.9,
3082,River Musi,River Musi at Solipet (Kasaniguda),6,6.68,1826,3,24,0.32,2,58,,,,23,20,290,168,37,18,0.02,401.54,80,49,53,84,1096,767,38,,0.58,0.09,16,0.7,30.07,1.82,
1391,GHMC Areas Lakes /Tanks/ Cheruvus,Hussain sagar Lake,2,7.54,1480,12,3.62,Not Analysed,21,280,Not Analysed,Not Analysed,Not Analysed,16,0,356,184,80,4,Not Analysed,385,84,42.52,98,152,932,Not Analysed,12,2.36,Not Analysed,0.13,6,0.84,45.56,3.36,
3071,GHMC Areas Lakes /Tanks/ Cheruvus,Langarhouse lake,0.1,7.62,1339,20,3.46,Not Analysed,40,430,Not Analysed,Not Analysed,Not Analysed,18,0,365,184,82,4,Not Analysed,395,76,49.81,72,140,844,Not Analysed,30,2.4,Not Analysed,0.32,6,0.9,42.89,3.05,
2341,GHMC Areas Lakes /Tanks/ Cheruvus,Miralam tank,2.2,7.58,1648,16,3.23,Not Analysed,26,350,Not Analysed,Not Analysed,Not Analysed,12,0,424,234,128,4,Not Analysed,440,92,51.03,96,190,1040,Not Analysed,12,2.48,Not Analysed,0.2,4,0.89,47.98,3.93,
3073,GHMC Areas Lakes /Tanks/ Cheruvus,"Hasmathpet lake, Hasmathpet",1,7.63,1390,12,9.13,Not Analysed,20,430,Not Analysed,Not Analysed,Not Analysed,16,0,320,186,92,4.4,Not Analysed,335,74,36.45,94,158,876,Not Analysed,20,1.36,Not Analysed,0.28,8,1.6,49.74,3.74,
3072,GHMC Areas Lakes /Tanks/ Cheruvus,Safilguda lake,0.1,7.51,1721,24,3.48,Not Analysed,20,430,Not Analysed,Not Analysed,Not Analysed,12,0,420,198,132,4,Not Analysed,490,94,61.96,132,162,1086,Not Analysed,16,2.97,Not Analysed,0.18,4,0.56,41.41,3.17,
3075,GHMC Areas Lakes /Tanks/ Cheruvus,Rangadhamuni cheruvu,1,7.27,1536,18,2.25,Not Analysed,22,540,Not Analysed,Not Analysed,Not Analysed,14,0,410,157,142,4,Not Analysed,485,128,40.09,110,118,968,Not Analysed,38,2.8,Not Analysed,0.28,6,0.52,34.14,2.32,
3076,GHMC Areas Lakes /Tanks/ Cheruvus,"Amber cheruvu, Kukatpally",0.1,7.5,1629,26,4.2,Not Analysed,26,350,Not Analysed,Not Analysed,Not Analysed,26,0,415,202,167,4.1,Not Analysed,445,74,63.18,98,160,1026,Not Analysed,34,0.7,Not Analysed,0.32,8,0.92,43.14,3.29,
3077,GHMC Areas Lakes /Tanks/ Cheruvus,"Kapra cheruvu, Kapra",2,7.07,1647,12,5.8,Not Analysed,20,430,Not Analysed,Not Analysed,Not Analysed,18,0,395,222,112,4,Not Analysed,520,120,53.46,98,134,1040,Not Analysed,28,2.8,Not Analysed,0.28,6,1.15,35.45,2.55,
2357,GHMC Areas Lakes /Tanks/ Cheruvus,Durgam cheruvu,2,7.38,1060,12,3.23,Not Analysed,20,350,Not Analysed,Not Analysed,Not Analysed,16,0,192,187,72,4,Not Analysed,245,52,27.95,76,134,668,Not Analysed,10,1.62,Not Analysed,0.09,3,0.74,53.79,3.71,
2344,IDA Lakes,Nalla cheruvu,Sample was not collected as the tank was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4236,IDA Lakes,Pedda Cheruvu (Nacharam cheruvu),"Letter was addressed to CPCB dated:26.10.2018 to relocate with Pedda Cheruvu, Gajularamaram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2342,IDA Lakes,Noor Md. Kunta,0.1,7.56,2132,40,8.22,Not Analysed,94,540,Not Analysed,Not Analysed,Not Analysed,20,0,545,304,280,5.6,Not Analysed,585,122,68.04,128,240,1320,Not Analysed,70,1.54,Not Analysed,0.21,6,1.39,46.67,4.3,
3070,IDA Lakes,"Fox sagar, Jeedimetla",1.2,7.39,1638,12,2.2,Not Analysed,32,350,Not Analysed,Not Analysed,Not Analysed,14.72,0,385,236,110,4,Not Analysed,410,70,57.1,80,180,1031,Not Analysed,14,0.69,Not Analysed,0.26,3,0.62,48.42,3.85,
1780,IDA Lakes,Gandigudem Tank,6.4,7.3,2050,4,28,0.28,Less than 1.8,63,,,,29,23,256,316,25,12,0.04,433.26,96,47,68,153,1353,940,57,,0.46,0.09,27,0.6,41.42,3.19,
2358,IDA Lakes,Mallapur tank,0.1,7.56,1885,28,2.6,Not Analysed,70,550,Not Analysed,Not Analysed,Not Analysed,18,0,510,218,210,4.6,Not Analysed,545,104,69.25,118,182,1086,Not Analysed,36,3.6,Not Analysed,0.36,8,1.2,41.45,3.38,
2347,IDA Lakes,Asani Kunta,0.1,6.59,12240,250,79,0.62,Less than 1.8,430,,,,215,109,956,1560,1255,255,0.41,1913.26,410,216,135,586,7380,5166,220,,0.7,0.75,154,0.8,37.51,5.81,
1783,IDA Lakes,Kistareddypet Tank,6.2,7.45,4080,14,38,0.55,150,4,,,,43,28,444,570,52,40,0.35,850.31,202,84,112,222,2810,2142,38,,0.62,0.09,58,0.62,34.18,3.3,
2348,IDA Lakes,Khazipally Tank,Sample was not collected as the tank was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4302,IDA Lakes,Rudraram Tank,6.6,6.77,2800,8,37,0.4,Less than 1.8,46,,,,28,20,224,360,40,22,0.03,488,95,61,48,137,1820,1274,24,,0.55,0.09,25,0.4,36.25,2.69,
4240,IDA Lakes,"Muthangi Tank,",Sample was not collected as the tank was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4241,IDA Lakes,"Chitkul Tank,",5.4,6.69,2002,10,23,0.42,Less than 1.8,48,,,,25,24,196,228,45,29,0.05,404,71,55,41,75,1190,833,25,,0.5,0.09,13,0.58,27.81,1.62,
4242,IDA Lakes,"Lakadaram Cheruvu,",Sample was not collected as the tank was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4243,IDA Lakes,"Isnapur Tank,",5.4,6.54,11380,48,40,1.2,150,4,,,,52,49,440,1320,279,102,0.04,1329,265,162,148,478,6820,4260,176,,1.2,0.09,112,0.97,41.23,5.68,
4246,IDA Lakes,Pashamylaram Tank,Letter was addressed to CPCB dated:26.10.2018 to relocate with Nalla Cheruvu Kukatpally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,HMDA Area Lakes,U/s of Musi at Gandipet (Osmansagar lake),6,8.29,402,2,0,Not Analysed,Less than 1.8,20,Not Analysed,Not Analysed,Not Analysed,5,15,140,34,10,4,Not Analysed,130,24,17.01,10,30,250,Not Analysed,5,0.02,Not Analysed,0.09,2,0.6,32.83,1.14,
3074,HMDA Area Lakes,Banjara Lake,0.1,7.18,1181,18,2.86,Not Analysed,21,540,Not Analysed,Not Analysed,Not Analysed,19,0,324,126,126,4,Not Analysed,340,58,47.38,76,111,741,Not Analysed,37.5,2.42,Not Analysed,0.18,4,0.43,40.98,2.61,
1789,HMDA Area Lakes,Himayathsagar lake,5.8,8.37,389,2,0,Not Analysed,Less than 1.8,22,Not Analysed,Not Analysed,Not Analysed,6,20,135,35,10,4,Not Analysed,140,32,14.58,14,27,242,Not Analysed,6,0.21,Not Analysed,0.09,2,0.42,29.06,0.99,
3069,HMDA Area Lakes,"Shameerpet lake, Shameerpet",4.4,7.06,741,3,0.26,Not Analysed,Less than 1.8,38,Not Analysed,Not Analysed,Not Analysed,18.23,0,155,120,12,4,Not Analysed,165,42,14.58,42,92,470,Not Analysed,10,0.41,Not Analysed,0.22,3,0.71,54.11,3.11,
3078,HMDA Area Lakes,"Pragathinagar cheruvu, Kukatpally",0,7.08,1616,36,2.62,Not Analysed,32,350,Not Analysed,Not Analysed,Not Analysed,23,0,515,175,132,4.46,Not Analysed,485,104,54.67,92,170,1020,Not Analysed,28,1.69,Not Analysed,0.36,6,0.63,42.72,3.35,
2340,HMDA Area Lakes,Lakshminarayana cheruvu,2.3,7.29,1680,12,3.9,Not Analysed,22,430,Not Analysed,Not Analysed,Not Analysed,20,0,360,280,108,4,Not Analysed,420,92,46.17,88,195,1058,Not Analysed,20,0.22,Not Analysed,0.1,6,0.37,49.64,4.13,
1788,HMDA Area Lakes,Saroornagar Lake,0,7.44,1565,28,10.32,Not Analysed,58,540,Not Analysed,Not Analysed,Not Analysed,20,0,395,182,201,4,Not Analysed,430,94,47.38,104,152,986,Not Analysed,20,2.18,Not Analysed,0.29,6,1.12,42.88,3.18,
2359,HMDA Area Lakes,Pedda Cheruvu (Nacharam cheruvu),3.2,8.34,376,18,15,Not Analysed,84,540,Not Analysed,Not Analysed,Not Analysed,8.12,15,155,24,216,2.8,Not Analysed,160,48,9.72,12,18,231,Not Analysed,5,0.02,Not Analysed,BDL,4,0.68,19.11,0.62,
4234,HMDA Area Lakes,"Umda sagar lake, Shamshabad",5.7,8.61,1113,28,2,Not Analysed,120,540,Not Analysed,Not Analysed,Not Analysed,12.31,30,250,192,95,5.6,Not Analysed,325,68,37.66,42,106,709,Not Analysed,15,0.12,Not Analysed,0.09,13,2.13,40.14,2.55,
1464,OTHER AREA LAKES,Bibinagar Tank,5.8,7.34,550,5,6,0.48,Less than 1.8,140,,,,39,32,88,68,52,39,0.29,135.8,28,16,20,26,330,231,35,,0.58,0.09,6,0.7,28.14,0.97,
3086,OTHER AREA LAKES,Saki Tank,6,7.8,1280,2.8,24,0.45,Less than 1.8,39,,,,34,25,216,172,20,24,0.28,304.55,56,40,51,88,841,589,17,,0.57,0.09,10,0.62,37.45,2.18,
3068,OTHER AREA LAKES,Ramappa lake,5.4,8.11,260,2,0,Not Analysed,Less than 1.8,22,Not Analysed,Not Analysed,Not Analysed,6,0,100,20,10,4,Not Analysed,105,20,13.37,9,14,146,Not Analysed,Less than  5,0.08,Not Analysed,0.09,2,0.15,21.95,0.59,
1447,OTHER AREA LAKES,Dharmasagar tank,5.6,7.82,319,3,0.31,Not Analysed,Less than 1.8,35,Not Analysed,Not Analysed,Not Analysed,6,0,105,32,22,4,Not Analysed,125,32,10.94,16,20,200,Not Analysed,8,0.14,Not Analysed,0.09,2.1,0.63,25.32,0.78,
2346,OTHER AREA LAKES,Bhadrakali tank,6.1,8.07,484,3,0,Not Analysed,Less than 1.8,21,Not Analysed,Not Analysed,Not Analysed,6,0,115,64,12,4,Not Analysed,170,34,20.66,28,30,294,Not Analysed,8,0.18,Not Analysed,0.09,2,0.72,27.31,1.0,
3084,OTHER AREA LAKES,"Waddepally tank, Kazipet",5.24,7.24,683,3,0.52,Not Analysed,Less than 1.8,58,Not Analysed,Not Analysed,Not Analysed,4,0,155,102,16,4,Not Analysed,180,38,20.66,36,72,430,Not Analysed,6,0.12,Not Analysed,0.09,4,0.36,45.67,2.33,
3085,OTHER AREA LAKES,Chinnawaddepally tank,3.83,8.06,1526,14,0.98,Not Analysed,58,350,Not Analysed,Not Analysed,Not Analysed,6,0,140,330,186,4,Not Analysed,284,48,39.85,130,209,948,Not Analysed,40,0.65,Not Analysed,0.2,6,1.08,60.73,5.37,
