Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,"River Godavari at Basara (V & M), Nirmal District",Nirmal,7.4,8.27,728,2.3,15,0.06,5.6,20,3.7,,,,3.2,20,130,125,24,22,BDL,0.01,280,200,80.1,80,19.43,72,25,480,336,5,,0.06,0.5,1.2,0.3,19.2,0.54
5105,River Godavari,"River Godavari Pushkar Ghat , Mancherial (V&M), Mancherial (D)",Mancherial,6.9,8.12,796,3,14,0.08,6.1,22,3.6,,,,4.5,16,140,139,34,21,BDL,0.01,270,155,62.07,115,27.93,60,26,496,345,9,,0.07,0.5,1,0.21,22.5,0.64
4255,River Godavari,"River Godavari- Ali sagar Reservior Ali Sagar, Thanakalan (V), Yedapally (M), Nizamabad (D)",Nizamabad,6,8.24,698,2.6,9,0.07,4.5,26,Less than 1.8,,,,3.2,20,140,115,32,16,BDL,0.01,220,130,52.06,90,22,30,19,428,285,6,,0.1,0.5,3.1,0.24,19.5,0.5
4227,River Godavari,"River Godavari- Pochera Water Falls, Pochera (V), Boath (M), Adilabad (D)",Adilabad,7.6,7.91,792,3.8,16,0.11,6.1,22,1.8,,,,4.5,16,170,110,42,32,BDL,0.01,285,160,64,125,30.35,60,18,475,338,8,,0.31,0.5,3.5,0.3,15.5,0.43
2361,River Godavari,"River Godavari-River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu, Mancherial (D)",Mancherial,5.4,7.23,601,2.4,2.2,,Less than 1.8,43,Less than 1.8,,,,4,5,145,68,28,1.5,0.4,0.0,160,85,34,75,18.22,38,,366,,6,0.2,,0.5,,0.58,,
13,River Godavari,"River Godavari at Mancherial (V&M), Mancherial(D)",Mancherial,5.2,7.58,604,2.2,2.1,,Less than 1.8,41,Less than 1.8,,,,3.3,5,150,68,26,1.5,0.4,0.01,170,65,26,105,25.52,44,,370,,8,0.2,,0.5,,0.59,,
3054,River Godavari,"River Godavari - Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,4.8,9.72,599,3.2,2,,Less than 1.8,26,Less than 1.8,,,,2.6,30,125,108,67,4.2,0.4,0.3,140,75,30,65,15.79,64,,372,,5,0.32,,0.5,,0.82,,
2362,River Godavari,"River Godavari-D/s at Ramagundam near FCI intake well, Peddapalli",Peddapalli,5.2,7.52,597,2.6,1.9,,Less than 1.8,43,Less than 1.8,,,,3.3,5,120,84,32,1.5,0.4,0.01,135,80,32,55,13.37,54,,364,,9,0.2,,0.5,,0.56,,
2363,River Godavari,"River Godavari at Godavarikhani near bathing ghat , Peddapalli",Peddapalli,5.2,7.54,595,2.2,2.2,,Less than 1.8,34,Less than 1.8,,,,6.2,5,115,76,24,1.5,0.4,0.01,130,75,30,55,13.37,52,,358,,11,0.2,,0.5,,0.52,,
2364,River Godavari,"River Godavari at Ramagundam upstream near dam, Peddapalli",Peddapalli,5.2,7.78,610,2.6,2.4,,Less than 1.8,58,Less than 1.8,,,,3.4,5,130,74,36,1.5,0.4,0.01,145,85,34,60,14.58,46,,378,,8,0.2,,0.5,,0.68,,
2356,River Godavari,"River Godavari D/s of Ramagundam at Manthani, Peddapalli",Peddapalli,5.4,7.96,562,2,2,,Less than 1.8,31,Less than 1.8,,,,2.4,5,120,72,24,1.5,0.4,0.02,135,80,32,55,13.37,44,,348,,6,0.2,,0.5,,0.65,,
4662,River Godavari,"River Godavari at Kaleshwaram, 500 mts. before bathing ghat, Kaleshwaram (V), Mahadevpur (M),Jayashankar Bhupalapally",Jayashankar Bhoopalpalli,5.6,8.13,1128,2,4.6,,Less than 1.8,32,Less than 1.8,,,,2.2,5,270,120,16,1.5,0.4,0.03,285,180,72,105,25.52,72,,688,,4,0.56,,0.5,,0.62,,
2365,River Godavari,"River Godavari - U/s at Kamalapur ,at M/s.AP Rayons Ltd., intake well , Kamalapur (V), Mangapet (M), Mulugu (D)",Mulugu,5.4,7.61,443,2,2.4,,Less than 1.8,34,Less than 1.8,,,,2.6,5,90,56,16,1.5,0.4,0.01,95,45,18,50,12.15,36,,274,,6,0.2,,0.5,,0.51,,
2366,River Godavari,"River Godavari - D/s at Kamalapur ,at M/s.AP Rayons Ltd., Discharge point , Mangapet (V&M), Mulugu (D)",Mulugu,5.4,7.85,351,2.2,2.7,,Less than 1.8,32,Less than 1.8,,,,2.6,5,80,42,24,1.5,0.4,0.02,85,45,18,40,9.72,26,,210,,7,0.2,,0.5,,0.48,,
