Station code,water_bodies,Station name,District,Classes,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,
2360,River Godavari,River Godavari at Basara,Nirmal,,7.3,8.21,772,3.2,14,0.03,5.6,20,3.7,,,,3,16,175,80,30,10,,BDL,235,150,85,60,21,65,44,470.92,334.35,7,,0.06,BDL,2.4,0.34,19.98,1.0,
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,,7.2,8.12,1216,3.7,35,0.17,6.1,22,3.6,,,,4.3,32,265,130,38,10,,BDL,395.49,235,160.49,94,39,81,49,742,526.82,9,,0.07,BDL,4.5,0.45,28.45,1.1,
4255,River Godavari,Ali sagar Reservoir,Nizamabad,,7,8.2,662,3.1,21,0.05,4.5,26,Less than  1.8,,,,2.6,16,150,72,36,8,,BDL,210,130,80,52,19,34,30,403.82,286.71,6,,0.12,BDL,3.2,0.35,20.9,0.98,
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,,7.5,8.35,733,3.3,19,0.06,6.1,22,1.8,,,,5,20,152,84,34,6,,BDL,230,145,85,58,21,51,35,447.13,317.46,7,,0.19,BDL,3.5,0.3,23.42,0.8,
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Peddapalli,,6,8.26,592,2,1.82,,Less than 1.8,26,Less than 1.8,,,,6,5,148,52,28,1.5,0.4,,152,86,34.4,66,16.04,40,,360,268,10,0.67,,0.5,,0.61,,,
0013,River Godavari,River Godavari at Mancherial,Peddapalli,,6,8.17,591,2,2.2,,Less than 1.8,33,Less than 1.8,,,,6,5,146,62,32,1.5,0.4,,150,92,36.8,58,14.09,38,,366,262,10,0.55,,0.5,,0.65,,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,,2.8,10.59,980,5,4.64,,3.6,220,Less than 1.8,,,,12,15,274,98,60,5.6,1.34,,292,158,63.2,134,32.56,60,,624,450,18,1.93,,0.5,,0.87,,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,,6,8.02,789,2,1.56,,Less than 1.8,40,Less than 1.8,,,,8,5,200,74,36,1.5,0.4,,206,110,44,96,23.33,54,,494,352,12,0.65,,0.5,,0.59,,,
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,Ramagundem,,6,8.06,828,1.8,2.4,,Less than 1.8,34,Less than 1.8,,,,6,5,220,70,28,1.5,0.4,,226,120,48,106,25.76,62,,514,364,10,1.26,,0.5,,0.79,,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,,6,7.55,766,1.8,1.49,,Less than 1.8,34,Less than 1.8,,,,5,5,210,72,36,1.5,0.4,,218,120,48,98,23.81,46,,510,366,14,1.22,,0.5,,0.69,,,
