Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate-N (mg/L),Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,6.7,7.54,622,3.4,9,0.48,3,36,,,25,32,108,60,27,8,1,218,54,20,41,19,362,285,20,0.56,0.58,12,0.6,15.04,0.56
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5,8.03,429,4.5,1.1,,NIL,22,,,,0,160,34,42,2,,180,30.4,25.27,22,23,260,210,8,0,0.21,3.1,0.17,21.25,0.74
13,River Godavari,"River Godavari at Mancherial (BM-Jan, Apr & Oct)",4.8,8.17,410,3,2.1,,NIL,16,,,,0,150,29,28,4,,160,28.8,21.38,17.04,24,240,195,8,0,0.16,3,1,24.03,0.82
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5.1,8.23,457,3,2.1,,NIL,32,,,,45,150,34,19,2,,176,31.2,23.81,24,23,260,205,10,0,0.19,3,1.95,21.64,0.75
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,4.8,8.06,549,3,2.5,,NIL,20,,,,0,175,44,23,1,,200,32,29.16,42,37,310,250,7,0,0.22,3.5,0.26,28.08,1.13
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,4.4,7.71,772,3,3.8,,NIL,16,,,,0,225,72,30,1.5,,220,35.2,32.08,44,70,440,353,11,1.04,0.2,4.96,0.93,40.03,2.04
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,4,8.01,1036,2,0.1,,NIL,22,,,,0,330,80,8,4,,232,44,29.65,62,130,610,485,6,0,0.18,0.8,1.1,54.65,3.7
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",5.8,8.1,323,3,0.8,,0,80,,,,0,80,15,12,0,,92,19.2,10.69,18.5,13,148,121,8,0.03,0.36,2.1,0.62,22.88,0.59
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",5.4,8.43,480,4,0.6,,0,120,,,,25,95,80,20,0,,110,26,10.94,41,64,320,259,10,0.06,0.3,3.1,0.24,54.85,2.65
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,5.5,8.48,332,2,1.1,,0,80,,,,30,120,22,19,0,,135,28.8,15.31,22,18,220,180,17,0.03,0.24,2.5,0.71,21.97,0.67
