Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium %,SAR,Arsenic,Lead,Cadmium,Copper,Zinc,Total Chromium,Nickel,Iron
2360,River Godavari,River Godavari at Basara,7.6,7.25,454,2.1,3,0.18,Less than 2,17,,,,12,12,84,52,12,2.27,,,152.28,24,16,10,15,258,181,8,,0.22,Less than 0.01,2,0.04,20,0.6,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4255,River Godavari,Ali sagar Reservoir,7.4,7.31,434,2.1,2,0.23,Less than 2,14,,,,9,4,68,50,16,3.02,,,132,22,12,7,13,249,163,5,,0.26,Less than 0.01,2,0.03,21,0.6,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4227,River Godavari,"Pochara Water Falls, Adilabad",7.2,7.43,574,2.1,4,0.27,Less than 2,12,,,,11,8,118,90,15,3.4,,,196,34,26,8,19,332,225,11,,0.18,Less than 0.01,2,0.06,17,0.6,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5.7,8.36,461,2.4,0.62,,3.7,40,,,,12.1,Less than 1,150,35,18,Less than 1,,,175,36,20.66,16,40.77,277,,15,0.02,,Less than 0.01,2.5,0.6,33,1.3,,BDL,ND,BDL,BDL,ND,BDL,
13,River Godavari,River Godavari at Mancherial,5.6,8.34,461,2.1,0.75,,3.7,47,,,,11,Less than 1,145,30,18,Less than 1,,,195,68,13.37,18.8,41.58,274,,12,0.04,,Less than 0.01,2.1,0.4,28,1.2,,BDL,BDL,BDL,BDL,BDL,BDL,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",5.7,11.33,1479,4,0.57,,22,70,,,,9.19,30,280,98,28,Less than 1,3.92,3.8,320,82,44.95,99,76.19,695,,9,Less than 0.01,,Less than 0.01,2.2,1.3,30,1.7,,BDL,BDL,BDL,BDL,BDL,ND,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,6,8.4,436,2.1,0.48,,3.6,40,,,,10.1,Less than 1,145,28,16,Less than 1,Less than 1,Less than 0.01,195,64,17.01,13,38.35,263,,7,Less than 0.01,,Less than 0.01,2,0.53,26,1.1,,BDL,ND,BDL,BDL,ND,ND,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,5.8,8.42,439,2.1,0.62,,3.7,40,,,,3.41,Less than 1,150,28,22,Less than 1,Less than 1,Less than 0.01,230,70,21.87,13,37.36,240,,6,0.01,,Less than 0.01,2.2,0.69,23,1,,BDL,ND,BDL,BDL,ND,BDL,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,4,8.4,437,2.8,0.36,,4,34,,,,8.45,Less than 1,165,28,20,Less than 1,Less than 1,0.01,205,64,25.52,16,37.32,240,,6,Less than 0.01,,Less than 0.01,1.9,0.8,23,1,,BDL,ND,BDL,BDL,BDL,BDL,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,6,8.16,455,2.1,0.81,,20,97,,,,2.55,Less than 1,170,25,20,Less than 1,Less than 1,Less than 0.01,255,68,25.52,12,40.18,226,,6,Less than 0.01,,Less than 0.01,2.2,0.73,24,1.1,,BDL,BDL,BDL,BDL,ND,BDL,
4662,River Godavari,River godavari Kaleshwaram,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6.2,8.1,312,2.1,0.22,,3.6,32,,,,3.07,Less than 1,125,25,12,Less than 1,Less than 1,Less than 0.01,140,24,12.15,5.8,19.4,159,,5,0.03,,Less than 0.01,2,0.5,27,0.8,,BDL,BDL,BDL,BDL,BDL,ND,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",6,8.05,303,2.1,0.18,,3.7,40,,,,3.6,Less than 1,130,23,16,Less than 1,Less than 1,Less than 0.01,160,26,12.15,10,18.48,190,,8,Less than 0.01,,Less than 0.01,2,0.5,25,0.7,,BDL,BDL,BDL,BDL,BDL,BDL,
