Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
2360,River Godavari,River Godavari at Basara,Nirmal,6.5,7.25,763,1.6,6,0.07,4,27,2,7.5,0.75,,7,16,172,98,14,2.8,0.4,0.01,264,140,56,124,30,22,31,430,312,10,,0.08,0.5,4,0.2,20.13,0.83,0.01,0.02,0.03,0.1,0.06,0.1,0.01,0.06
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,6.1,7.96,898,2,4,0.05,8.1,47,4.5,7,0.71,,5,12,196,118,22,3.9,0.4,0.01,300,160,64,139.92,34,18,35,510,369,10,,0.09,0.5,5,0.2,19.97,0.88,0.01,0.02,0.03,0.1,0.06,0.1,0.01,0.06
4255,River Godavari,Ali sagar Reservoir,Nizamabad,6,8.1,638,1.5,4,0.12,6,22,4,7.3,0.72,,6,12,144,86,13,2.2,0.4,0.01,211.94,105,42,107.0,26,19,32,360,262,16,,0.11,0.5,4,0.2,24.35,0.96,0.01,0.02,0.03,0.1,0.06,0.1,0.01,0.06
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,6.3,7.86,677,1.8,5,0.06,4.5,25,3.6,,,,5,8,156,90,17,3.4,0.4,0.01,224,110,44,115.23,28,18,33,382,277,14,,0.06,0.5,4,0.21,23.83,0.96,0.01,0.02,0.03,0.1,0.06,0.1,0.01,0.06
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,5.8,8.31,622,1.2,0.68,N.A,Less than 1.8,28,Less than 1.8,,N.A,,8,10,180,64,16,1.5,0.4,0.04,190,116.0,46.4,74,17.98,36,,374,,10,0.2,N.A,0.5,,0.48,,,,0.02,0.03,0.1,0.06,0.1,0.04,0.06
0013,River Godavari,River Godavari at Mancherial,Mancherial,5.8,8.22,624,1.6,0.56,N.A,Less than 1.8,48,Less than 1.8,,N.A,,8,10,165,64,20,1.5,0.4,0.04,175,106.0,42.4,69,16.77,40,,380,,12,0.42,N.A,0.5,,0.38,,,,0.02,0.03,0.1,0.06,0.1,0.03,0.29
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,5,10.83,1291,2,0.68,N.A,Less than 1.8,31,Less than 1.8,,,,11,40,310,132,32,3.36,0.52,0.51,325,203,81.2,122,29.65,92,,760,,14,1.47,N.A,0.5,,0.52,,,,0.02,0.03,0.1,0.06,0.1,0.04,0.06
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,5.8,8.49,634,1.2,0.52,N.A,Less than 1.8,38,Less than 1.8,,,,9,10,145,66,16,1.5,0.4,0.71,155,98,39.2,57,13.85,42,,380,,10,0.2,N.A,0.5,,0.46,,,,0.02,0.03,0.1,0.06,0.1,0.04,0.07
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,5.4,8.3,643,1.8,0.58,N.A,Less than 1.8,33,Less than 1.8,,,,12,10,175,61,20,1.5,0.4,0.05,185,106.0,42.4,79,19.2,38,,398,,17,0.2,N.A,0.5,,0.58,,,,0.02,0.03,0.1,0.06,0.1,0.03,0.19
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,6,8.1,598,1.1,0.48,N.A,Less than 1.8,25,Less than 1.8,,,,10,5,140,66,16,1.5,0.4,0.04,150,88,35.2,62,15.07,32,,392,,16,0.2,N.A,0.5,,0.42,,,,0.02,0.03,0.1,0.06,0.1,0.06,0.22
