Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
2360,River Godavari,"River Godavari at Basara (V & M), Nirmal District",Nirmal,7,8.3,865,2.6,18,0.06,5.6,22,4,7.5,0.73,,3.5,20,155,132,30,26,,BDL,310,210,88,100,24,78,28,519,363.3,5,,0.06,BDL,2.5,0.3,18.9,0.57,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
5105,River Godavari,"River Godavari Pushkar Ghat , Mancherial (V&M), Mancherial (D)",Mancherial,6.7,8.01,904,3.6,19,0.08,6.1,27,4,7.7,0.75,,4.4,15,175,102,40,32,,BDL,275,170,68,105,26,62,20,542,345,9,,0.08,BDL,2,0.31,17.05,0.47,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4255,River Godavari,"River Godavari- Ali sagar Reservior Ali Sagar, Thanakalan (V), Yedapally (M), Nizamabad (D)",Nizamabad,7,8.21,631,3.2,8,0.07,4.5,27,Less than 1.8,,,,3.2,20,135,107,36,16,,BDL,200,125,50,75,19,32,21,379,265.3,5,,0.1,BDL,3,0.22,22.01,0.56,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4227,River Godavari,"River Godavari- Pochera Water Falls, Pochera (V), Boath (M), Adilabad (D)",Adilabad,7.1,7.9,913,4.2,17,0.12,6.1,25,2,,,,4.4,16,185,130,48,32,,BDL,320,180,72,140,34,70,20,548,383.6,8,,0.31,BDL,4.5,0.33,15.22,0.45,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2361,River Godavari,"River Godavari-River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu, Mancherial (D)",Mancherial,6.1,7.6,516,1.6,2.6,,Less than 1.8,41,Less than 1.8,,,,4,5,145,42,28,1.5,0.4,,150,85,34,65,15.79,32,,314,,10,0.2,,0.5,,0.46,,,,0.0,0.0,0.0,0.0,0.02,0.01,0.06
13,River Godavari,"River Godavari at Mancherial (V&M), Mancherial(D)",Mancherial,6.1,7.58,514,1.6,2.4,,Less than 1.8,43,Less than 1.8,,,,2,5,140,44,32,1.5,0.4,,148,80,32,68,16.52,38,,308,,11,0.2,,0.5,,0.49,,,,0.0,0.0,0.0,0.0,0.01,0.02,0.27
3054,River Godavari,"River Godavari - Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,5.1,8.58,780,2,3.8,,Less than 1.8,46,Less than 1.8,,,,6,50,180,132,60,5.6,0.74,,232,125,50,107,26.0,78,,522,,14,0.54,,0.5,,0.53,,,,0.0,0.0,0.02,0.02,0.03,0.03,0.07
2362,River Godavari,"River Godavari-D/s at Ramagundam near FCI intake well, Peddapalli",Peddapalli,6.1,7.55,518,1.8,2.4,,Less than 1.8,34,Less than 1.8,,,,8,5,122,60,36,1.5,0.4,,130,85,34,45,10.94,32,,304,,10,0.2,,0.5,,0.49,,,,0.0,0.0,0.01,0.01,0.02,0.03,0.05
2363,River Godavari,"River Godavari at Godavarikhani near bathing ghat , Peddapalli",Peddapalli,6,7.4,528,1.6,2.6,,Less than 1.8,34,Less than 1.8,,,,6,5,155,55,36,1.5,0.4,,158,88,35.2,70,17.01,17,,312,,10,0.2,,0.5,,0.56,,,,0.0,0.0,0.01,0.01,0.02,0.02,0.02
2364,River Godavari,"River Godavari at Ramagundam upstream near dam, Peddapalli",Peddapalli,6.1,7.48,516,1.4,2.1,,Less than 1.8,38,Less than 1.8,,,,5,5,145,52,28,1.5,0.4,,152,87,34.8,65,15.79,22,,314,,10,0.2,,0.5,,0.51,,,,0.0,0.0,0.01,0.0,0.0,0.05,0.2
2356,River Godavari,"River Godavari D/s of Ramagundam at Manthani, Peddapalli",Peddapalli,5.8,7.68,511,2,2,,Less than 1.8,31,Less than 1.8,,,,6,5,140,53,32,1.5,0.4,,142,82,32.8,60,14.58,24,,310,,11,0.2,,0.5,,0.49,,,,0.0,0.0,0.0,0.0,0.0,0.05,0.28
4662,River Godavari,"River Godavari at Kaleshwaram, 500 mts. before bathing ghat, Kaleshwaram (V), Mahadevpur (M),Jayashankar Bhupalapally",Jayashankar Bhoopalpalli,6,7.93,611,4,3.3,,Less than 1.8,32,Less than 1.8,,,,6,5,145,58,30,1.5,0.4,,216,112,44.8,104,25.27,56,,399,,10,0.52,,0.5,,0.69,,,,0.0,0.0,0.0,0.01,0.0,0.01,0.06
2365,River Godavari,"River Godavari - U/s at Kamalapur ,at M/s.AP Rayons Ltd., intake well , Kamalapur (V), Mangapet (M), Mulugu (D)",Mulugu,6.2,7.8,502,1,2.6,,Less than 1.8,31,Less than 1.8,,,,8,5,140,56,20,1.5,0.4,,150,82,32.8,68,16.52,16,,290,,10,0.2,,0.5,,0.48,,,,0.0,0.0,0.0,0.0,0.0,0.02,0.05
2366,River Godavari,"River Godavari - D/s at Kamalapur ,at M/s.AP Rayons Ltd., Discharge point , Mangapet (V&M), Mulugu (D)",Mulugu,6.2,7.93,308,1,3.2,,Less than 1.8,21,Less than 1.8,,,,5,5,98,28,18,1.5,0.4,,102,55,22,47,11.42,18,,184,,10,0.2,,0.5,,0.53,,,,0.0,0.0,0.02,0.0,0.0,0.05,0.06
2367,River Godavari,"River Godavari - U/s at Bhadrachalam bathing ghat, Bhadradri Kothagudem",Bhadradri Kothagudem ,6.2,7.89,306,1.8,2,,Less than 1.8,17,Less than 1.8,,,,9,5,99,27,32,1.5,0.4,,106,60,24,46,11.18,18,,190,,12,0.2,,0.5,,0.45,,,,0.0,0.0,0.01,0.01,0.0,0.04,0.12
2368,River Godavari,"River Godavari - D/s at Bhadrachalam bathing ghat , Bhadradri kothagudem",Bhadradri Kothagudem ,6.1,7.79,322,1.8,2.4,,Less than 1.8,43,Less than 1.8,,,,8.2,5,102,30,38,1.5,0.4,,110,75,30,35,8.5,20,,190,,17,0.34,,0.5,,0.53,,,,0.0,0.0,0.03,0.02,0.02,0.09,0.13
2369,River Godavari,"River Godavari at Burgampahad , Bhadradri Kothagudem",Bhadradri Kothagudem ,5.8,7.85,402,2,2.8,,Less than 1.8,26,Less than 1.8,,,,18,5,122,32,42,1.5,0.4,,140,75,30,65,15.79,22,,245,,33,0.32,,0.5,,0.48,,,,0.0,0.0,0.02,0.02,0.02,0.11,0.18
4256,River Maneru / Manair,"River Maneru (tributary of Godavari) - Lower Dam,Maneru, Karimnagar",Karimnagar,6.2,7.54,422,1.8,1.8,,Less than 1.8,27,Less than 1.8,,,,5,5,120,42,48,1.5,0.4,,128,75,30,53,12.88,18,,242,,10,0.2,,0.5,,0.53,,,,0.0,0.0,0.02,0.01,0.02,0.02,0.05
4257,River Maneru / Manair,"River Maneru (tributary of Godavari) - at D/S of municipal dump site, Karimnagar",Karimnagar,4.2,7.74,2143,3.2,6.3,,21,210,4,,,,6,5,480,222,66,8.4,2.86,,526,280,112,246,59.78,232,,1350,,12,1.89,,0.5,,1.12,,,,0.0,0.0,0.02,0.01,0.02,0.05,0.42
4664,River Maneru / Manair,"River Maneru (tributary of Godavari) - at Ghattepalli (V) near Sulthanabad, Karimnagar",Karimnagar,DRIED UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4665,River Maneru / Manair,"River Maneru (tributary of Godavari) - Outlet of KTPP Ash pond joining to morancha vagu, Chelpur (V), Ghanpur (Mulugu) (M), , Jayashankar bhupalapalli District",Bhadradri Kothagudem ,6.1,7.78,522,2.8,3.2,,Less than 1.8,26,Less than 1.8,,,,7,5,145,71,48,1.5,0.4,,170,95,38,75,18.22,39,,345,,12,0.43,,0.5,,0.58,,,,0.0,0.0,0.03,0.02,0.04,0.06,0.68
1158,River Maneru / Manair,"River Maneru (tributary of Godavari) - at Somanpally , Peddapalli",Peddapalli,6.1,7.99,772,2.8,2.9,,Less than 1.8,58,Less than 1.8,,,,7.2,5,155,98,56,1.5,0.4,,176,95,38,81,19.68,62,,462,,14,0.2,,0.5,,0.45,,,,0.0,0.0,0.03,0.0,0.01,0.02,0.02
4258,River Manjeera,"River Manjeera (tributary of Godavari) - Singoor Dam Reservoir,Singure (V), Pulkal (M), Sangareddy District",Sangareddy,7.8,7.86,656,3.8,13,0.06,3.7,22,Less than 1.8,,,,4.2,20,150,92,44,22,,BDL,210,145,58,65,16,32,18,383,268.1,8,,0.08,BDL,3.8,0.34,17.75,0.45,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.11
1157,River Manjeera,"River Manjeera (tributary of Godavari) - at Raipally, Sangareedy",Sangareddy,6.9,8.1,655,2.4,10,0.04,4.1,34,3.7,7,0.63,,3.6,16,120,84,26,18,,BDL,200,150,50,50,12,50,14,393,275.1,6,,0.07,BDL,2.8,0.35,16.68,0.38,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1781,River Manjeera,"River Manjeera (tributary of Godavari) - at Ganapathi sugars, Sangareddy",Sangareddy,6.6,7.75,692,2.8,11,0.05,8.3,46,4,6.7,0.6,,3.5,24,150,88,30,17,,BDL,225,140,56,85,21,53,16,415,290.5,8,,0.11,BDL,2.5,0.38,16.4,0.41,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2374,River Manjeera,"River Manjeera (tributary of Godavari) - U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu, Sangaredy",Sangareddy,6.7,7.78,1012,3.1,12,0.05,8.1,34,6,7,0.64,,3.8,30,175,155,32,18,,BDL,355,200,90,155,38,92,22,607,424.9,7,,0.14,BDL,3.5,0.32,14.23,0.44,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2375,River Manjeera,"River Manjeera (tributary of Godavari) - D/s of River Manjeera at Gowdicherla atfter confluence with Nakkavagu, Sangareddy",Sangareddy,6.8,7.51,1432,3.7,16,0.14,6.8,40,4.5,7,0.71,,3.4,20,245,205,40,30,,BDL,490,260,104,230,56,93,32,859,601.3,7,,0.09,BDL,3.9,0.75,16.67,0.6,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2349,River Manjeera,"River Manjeera (tributary of Godavari) - Nakka vagu at Bachugudem, Sangareedy",Sangareddy,4.5,7.15,1335,4.6,20,0.12,8.1,94,7.8,4.4,0.46,,4.9,30,220,190,52,32,,BDL,415,245,78,170,42,95,40,801,560.7,12,,0.1,BDL,3.5,0.11,24.83,0.86,BDL,BDL,BDL,BDL,BDL,BDL,0.1,0.06
4226,River Manjeera,"River Manjeera (tributary of Godavari) - River Manjeera at Yedu Payala Temple, Nagsampalli (V), Papannapet (M), Medak District",Medak,6.9,7.89,1195,2.8,14,0.15,4.5,84,2,6.7,0.62,,3.4,24,230,142,36,20,,BDL,355,225,70,130,22,62,28,717,501.9,8,,0.15,BDL,3,0.39,22.01,0.64,BDL,BDL,BDL,BDL,BDL,BDL,0.21,0.12
