Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron,
2360,River Godavari,River Godavari at Basara,7.1,7.17,894,3.1,18,0.03,5.6,21,3.7,7,0.63,,3.1,18,252,112,28,7,BDL,BDL,330,230,92,100,24,54,55,491.7,349.11,6,,0.06,BDL,3.1,0.25,26.36,1.11,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",6.8,7.6,749,3.2,28,0.09,6,20,3.6,7.1,0.71,,2.8,22,236,118,34,5,BDL,BDL,315.23,200,80,115.23,28,42,51,516.81,366.94,7,,0.05,BDL,3.2,0.39,25.69,1.1,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4255,River Godavari,Ali sagar Reservoir,6.9,7.34,732,3,24,0.05,4.5,22,Less than 1.8,7.2,0.73,,2.5,18,194,80,24,6,BDL,BDL,260,160,64,100,24,31,34,402.6,285.85,6,,0.1,BDL,3,0.31,21.88,0.82,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
4227,River Godavari,"Pochara Water Falls, Adilabad",6.5,7.81,731,3,19,0.06,6.1,20,1.8,6.7,0.61,,3.6,20,262,94,28,5,BDL,BDL,340,220,88,120,29,27,29,453.22,321.79,8,,0.15,BDL,3.5,0.28,15.44,0.6,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",6,8,639,1.8,,,Less than 1.8,39,Less than 1.8,,,,6,5,180,52,30,1.5,0.4,,186,39.2,98,21.38,88,28,0,404,290,10,0.42,,0.5,0,1.14,,,,0.02,0.03,0.13,0.08,0.1,0.52,0.88,
0013,River Godavari,River Godavari at Mancherial,6,8,637,1.8,,,Less than 1.8,332,Less than 1.8,,,,8,5,155,72,32,1.5,0.4,,164,36.8,92,17.5,72,38,,402,280,10,0.48,,0.5,,1.36,,,,0.02,0.03,0.06,0.05,0.1,0.11,0.26,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",5,11.06,1189,4,,,11,210,Less than 1.8,,,,9,15,250,165,52,3.6,0.49,,262,56,140,29.65,122,76,,742,590,10,0.69,,0.5,,1.76,,,,0.02,0.03,0.06,0.22,0.1,0.23,0.26,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,5.9,7.93,1009,2,,,Less than 1.8,26,Less than 1.8,,,,8,5,260,94,48,1.5,0.4,,264,56.8,142,29.65,122,68,,634,450,10,0.73,,0.5,,1.22,,,,0.02,0.03,0.08,0.05,0.1,0.12,0.45,
5497,River Godavari,River Godawari D/S after confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,5.8,8.09,962,3.2,,,Less than 1.8,130,Less than 1.8,,,,6,5,260,90,40,3.6,0.62,,285,61.6,154,31.83,131,68,,596,420,10,0.48,,0.5,,0.68,,,,0.0,0.03,0.09,0.06,0.1,0.17,0.44,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,5.9,7.84,999,2,,,Less than 1.8,21,Less than 1.8,,,,6,5,244,112,48,1.5,0.4,,255,54.4,136,28.92,119,54,,620,430,10,0.65,,0.5,,0.67,,,,0.02,0.03,0.06,0.08,0.1,0.14,0.46,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,6.1,7.9,1173,1.8,,,Less than 1.8,47,Less than 1.8,,,,9,5,326,112,28,1.5,0.4,,332,76,190,34.51,142,48,,716,500,10,0.4,,0.5,,0.61,,,,0.02,0.03,0.07,0.16,0.1,0.25,0.29,
