Station code,water_bodies,Station name,District,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Cd(mg/l),Cu(mg/l),Pb(mg/l),T.Cr(mg/l),Ni (mg/l),Zn(mg/l),Fe(mg/l),Hg(mg/l),Mn(mg/l)
2360,River Godavari,River Godavari at Basara,Nirmal,,7.2,7.52,928,3.7,31,0.02,5.6,21,3.7,7,0.63,,3.3,22,200,102,38,6,0.4,BDL,275.23,64,160,28,115.23,65,62,538.2,376.74,8,,0.05,0.5,5,0.33,32.47,1.63,,,,,,,,,
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,,6.9,7.54,758,3.1,26,0.02,6,20,3.6,7.1,0.71,,3.4,30,165,114,20,6,0.4,BDL,215,52,130,21,85,42,70,439.6,307.72,7,,0.05,0.5,5.1,0.3,40.68,2.07,,,,,,,,,
4255,River Godavari,Ali sagar Reservoir,Nizamabad,,7.1,7.61,705,3.1,22,0.02,4.5,22,3.5,7.2,0.73,,3.2,22,190,98,24,5,0.4,BDL,240,54,135,26,105,41,49,408.9,286.23,6,,0.05,0.5,3.6,0.2,30.26,1.37,,,,,,,,,
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,,6.2,8.25,769,3.3,21,0.13,6.1,20,5.5,6.7,0.61,,3,22,195,108,24,5,0.4,BDL,315.49,62,155,39,160.49,35,25,446,312.2,7,,0.05,0.5,2,0.41,14.65,0.61,,,,,,,,,
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Peddapalli,,6.1,8.28,542,1,0.3,,Less than 1.8,46,Less than 1.8,,,,2.1,5,125,64,4,1.5,0.4,,220,50,125,23.09,95,39,,346,240,10,0.2,0.61,0.5,,0.75,,,0.02,0.03,0.1,0.06,0.1,0.01,1.25,0.0,0.05
13,River Godavari,River Godavari at Mancherial,Peddapalli,,6.1,8.47,545,1.1,0.3,,Less than 1.8,40,Less than 1.8,,,,1.6,10,160,61,16,1.5,0.4,,160,34,85,18.22,75,34,,340,220,11,0.2,0.61,0.5,,0.2,,,0.02,0.03,0.1,0.07,0.1,0.05,1,0.0,0.44
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,,5.2,9.78,933,1.6,0.6,,Less than 1.8,39,Less than 1.8,,,,15.6,15,205,135,36,3.36,0.4,,255,78,195,14.58,60,72,,578,360,18,0.26,0.8,0.5,,0.53,,,0.02,0.03,0.1,0.06,0.1,0.04,4.8,0.0,0.27
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,,6,7.69,1080,2,1.5,,Less than 1.8,47,Less than 1.8,,,,6,5,215,152,47,2.24,0.4,,365,116,290,18.22,75,78,,680,440,12,0.2,0.61,0.5,,0.98,,,0.02,0.03,0.1,0.06,0.1,0.09,1.25,0.0,0.48
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,Ramagundem,,6,7.43,1574,1.4,3.8,,9.3,94,Less than 1.8,,,,11,5,100,336,28,13.44,5.6,,355,118,295,14.58,60,206,,992,640,13,0.21,0.64,0.5,,0.44,,,0.02,0.03,0.1,0.08,0.1,0.02,4.75,0.0,0.08
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,,6,7.77,1070,2,1.8,,Less than 1.8,49,Less than 1.8,,,,12,5,260,130,32,2.24,0.4,,365,108,270,23.09,95,71,,674,440,10,0.2,0.61,0.5,,0.56,,,0.02,0.03,0.1,0.06,0.1,0.09,0.06,0.0,0.29
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,,6.1,8.32,544,1.2,0.3,,Less than 1.8,33,Less than 1.8,,,,6,10,145,61,16,1.5,0.4,,235,52,130,25.52,105,36,,338,200,10,0.2,0.61,0.5,,0.92,,,0.02,0.03,0.1,0.1,0.1,0.04,2.22,0.0,0.61
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,,6,8.08,1266,1.2,0.6,,Less than 1.8,39,Less than 1.8,,,,8,5,220,174,28,1.68,0.4,,295,64,160,32.8,135,110,,798,540,11,0.2,0.61,0.5,,0.46,,,0.02,0.03,0.1,0.07,0.1,0.03,1.82,0.0,0.2
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,,6.1,7.97,554,1,0.6,,Less than 1.8,24,Less than 1.8,,,,6,5,180,49,12,1.5,0.4,,250,72,180,17.01,70,30,,344,220,14,0.2,0.61,0.5,,0.42,,,0.02,0.03,0.1,0.06,0.1,0.08,0.59,0.0,0.22
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,,6.1,7.99,389,1,2.8,,Less than 1.8,52,Less than 1.8,,,,5,5,140,27,12,1.5,0.4,,220,66,165,13.37,55,18,,246,160,10,0.2,0.61,0.5,,0.29,,,0.02,0.03,0.1,0.06,0.1,0.08,2.3,0.0,0.17
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,,6.1,7.93,400,1,2.1,,Less than 1.8,26,Less than 1.8,,,,6,5,130,29,12,1.5,0.4,,150,34,85,15.79,65,19,,248,160,10,0.2,0.61,0.5,,0.23,,,0.02,0.03,0.1,0.06,0.1,0.26,0.26,0.0,0.11
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,,6.1,8.55,417,1,0.3,,Less than 1.8,27,Less than 1.8,,,,6,10,130,38,20,1.5,0.4,,155,32,80,18.22,75,25,,254,170,10,0.32,0.98,0.5,,0.34,,,0.02,0.03,0.12,0.07,0.1,0.04,0.86,0.0,0.02
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,,6,8.54,416,1.2,0.3,,Less than 1.8,46,Less than 1.8,,,,8,10,140,32,36,1.5,0.4,,150,38,95,13.37,55,22,,254,170,12,1.82,5.59,0.5,,0.56,,,0.02,0.03,0.1,0.07,0.1,0.13,0.48,0.0,0.02
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,,6,7.33,1164,1.4,2.7,,Less than 1.8,32,Less than 1.8,,,,8,5,310,118,26,1.5,0.4,,350,78,195,37.66,155,57,,744,510,18,1.78,5.46,0.5,,0.39,,,0.02,0.03,0.1,0.07,0.1,0.11,1.38,0.0,0.06
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,,6.2,8.28,414,1,0.5,,Less than 1.8,46,Less than 1.8,,,,5,5,120,42,8,1.5,0.4,,180,38,95,20.66,85,26,,248,160,13,0.2,0.61,0.5,,0.75,,,0.02,0.03,0.1,0.08,0.1,0.17,1.53,0.0,0.53
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dry,,,,,,,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,,5.8,8.32,816,1,0.3,,Less than 1.8,49,Less than 1.8,,,,8,10,205,98,12,1.5,0.4,,260,66,165,23.09,95,70,,506,320,10,0.24,0.74,0.5,,0.78,,,0.02,0.03,0.1,0.06,0.1,0.07,0.39,0.0,0.12
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Jayashankar Bhoopalpalli,,5.8,8.08,654,1,0.3,,Less than 1.8,32,Less than 1.8,,,,12,5,155,74,8,1.5,0.4,,210,52,130,19.44,80,46,,412,260,16,0.2,0.61,0.5,,0.66,,,0.02,0.03,0.1,0.06,0.1,0.09,10.49,0.0,0.13
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dry,,,,,,,,
4258,River Manjeera,"Singoor Dam Reservoir,",Sangareddy,,7.5,8.11,650,3.3,24,0.1,3.7,21,Less than 1.8,7.3,0.76,,3,18,170,57,34,6,0.4,BDL,190,42,105,21,85,21,29,370.5,259.35,7,,0.05,0.5,4.3,0.2,24.33,0.91,,,,,,,,,
1157,River Manjeera,River Manjeera at Raipally,Sangareddy,,7.4,7.56,692,2.6,25,0.06,4,31,3.7,7.2,0.73,,3.2,14,220,95,24,6,0.4,BDL,299.92,64,160,34,139.92,51,36,449.8,314.86,6,,0.15,0.5,5.3,0.2,20.4,0.91,,,,,,,,,
1781,River Manjeera,Manjeera at Ganapathi sugars,Sangareddy,,6.5,8.21,793,4,30,0.07,8.1,41,4,6.5,0.6,,3.4,12,235,114,40,7,0.4,BDL,255,68,170,21,85,60,65,507.5,355.25,8,,0.14,0.5,4.5,0.2,35.13,1.77,,,,,,,,,
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,Sangareddy,,5.6,8.01,1149,4.2,33,0.06,8.1,32,5.5,6.9,0.69,,3.5,16,260,143,46,5,0.4,BDL,377.11,85,212.5,40,164.61,65,69,666.4,466.48,8,,0.13,0.5,4,0.22,28.28,1.55,,,,,,,,,
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,Sangareddy,,5.6,8.15,775,4.1,31,0.06,8.1,43,4,6.7,0.63,,3.3,14,170,159,46,6,0.4,BDL,295,68,170,30,125,40,60,503.8,352.66,7,,0.12,0.5,4,0.33,30.5,1.53,,,,,,,,,
2349,River Manjeera,Nakka vagu at Bachugudem,Sangareddy,,4,7.62,1816,5.8,37,0.07,8.3,79,5.6,4.5,0.43,,4.3,22,395,195,78,6,0.4,BDL,515,106,265,60,250,71,112,1017,711.9,8,,0.18,0.5,6,0.22,32.01,2.16,,,,,,,,,
4226,River Manjeera,River Manjeera at Yedu Payala Temple,Medak,,6.4,8.26,1023,2.7,35,0.06,6,58,2,6.7,0.62,,3.7,22,202,95,26,6,0.4,BDL,260,64,160,24,100,51,56,562.7,393.89,9,,0.21,0.5,5,0.21,31.56,1.52,,,,,,,,,
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,Bhadradri Kothagudem ,,5.8,7.62,499,1.6,0.9,,Less than 1.8,22,Less than 1.8,,,,14,5,150,47,28,1.5,0.4,,215,48,120,23.09,95,32,,314,210,16,0.32,0.98,0.5,,0.53,,,0.02,0.03,0.1,0.06,0.1,0.05,1.66,0.0,0.03
3080,River Kinneresani,U/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,,5.9,7.77,423,1.4,0.7,,Less than 1.8,21,Less than 1.8,,,,5,5,150,34,25,1.5,0.4,,180,38,95,20.66,85,24,,262,180,10,0.2,0.61,0.5,,0.47,,,0.02,0.03,0.1,0.09,0.1,0.24,0.48,0.0,0.02
3081,River Kinneresani,D/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,,5.6,8.02,458,1.6,0.6,,Less than 1.8,26,Less than 1.8,,,,6,5,168,34,28,1.5,0.4,,170,38,95,18.22,75,20,,284,190,12,0.2,0.61,0.5,,0.49,,,0.02,0.03,0.1,0.06,0.1,0.09,2.37,0.0,0.07
1784,River Krishna ,River Krishna at thangadi,Mahaboobnagar,,6.1,7.58,1634,1.2,3,,11,140,Less than 1.8,,,,30,5,260,238,12,5.6,1.12,,330,72,180,36.45,150,154,,996,670,26,0.8,2.46,0.5,,0.98,,,0.02,0.03,0.17,0.06,0.1,0.81,0.89,0.0,0.68
39,River Krishna ,River Krishna at Gadwal bridge,Mahaboobnagar,,6.1,7.86,1177,1.4,4.7,,9.3,110,Less than 1.8,,,,24,5,220,158,20,3.36,0.56,,300,98,245,13.37,55,104,,730,480,19,0.46,1.41,0.5,,0.84,,,0.02,0.03,0.26,0.06,0.1,0.09,0.94,0.0,0.07
