Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR,,
2360,River Godavari,River Godavari at Basara,7.2,7.22,520,2.1,12,0.23,Less than 1.8,22,,,,24,28,112,64,9,1.7,1,136,28,16,27,34,315,220,12,,0.52,0.09,11,0.36,32.3,1.27,,
4255,River Godavari,Ali sagar Reservior,6.8,7.4,478,2.2,9,0.32,Less than 1.8,14,,,,14,16,72,42,12,2.27,1.42,106.85,23,12,18,15,272,169,10,,0.3,0.09,4,0.39,22.55,0.63,,
4227,River Godavari,"Pochara Water Falls, Adilabad",6.9,7.45,597,2.1,12,0.29,Less than 1.8,22,,,,12,22,92,48,14,2.64,1.66,135.8,28,16,28,18,350,227,20,,0.32,0.09,5,0.32,21.57,0.67,,
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5,8.11,475,3,0.6,Not Analysed,Less than 1.8,20,Not Analysed,Not Analysed,Not Analysed,8.4,BDL,162,52,12,BDL,Not Analysed,164,38,16.77,16,40,298,Not Analysed,6,0.1,Not Analysed,0.09,2,0.37,34.3,0.96,,
13,River Godavari,River Godavari at Mancherial,5.1,8.07,740,3,0.67,Not Analysed,Less than 1.8,18,Not Analysed,Not Analysed,Not Analysed,6,BDL,224,70,14,BDL,Not Analysed,245,48,30.38,32,52,446,Not Analysed,10,0.06,Not Analysed,0.09,2,0.54,31.35,1.02,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5.5,8.01,622,3,0.52,Not Analysed,Less than 1.8,16,Not Analysed,Not Analysed,Not Analysed,4,BDL,212,48,18,BDL,Not Analysed,215,39.2,28.43,26,42,384,Not Analysed,12,0.08,Not Analysed,0.09,2,0.7,29.56,0.88,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",4.2,9.2,1060,4,0.58,Not Analysed,Less than 1.8,38,Not Analysed,Not Analysed,Not Analysed,14,32,274,116,25,2.6,Not Analysed,305,58,38.88,78,96,668,Not Analysed,38,0.3,Not Analysed,0.09,3,0.7,40.32,1.69,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,5,7.82,744,3,0.4,Not Analysed,Less than 1.8,33,Not Analysed,Not Analysed,Not Analysed,8,BDL,190,84,14,BDL,Not Analysed,210,52,19.44,52,70,422,Not Analysed,10,0.56,Not Analysed,0.09,2,0.63,41.72,1.49,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,4.4,7.38,1083,4,1.9,Not Analysed,Less than 1.8,43,Not Analysed,Not Analysed,Not Analysed,9.2,BDL,245,162,18,BDL,Not Analysed,255,48,32.8,74,136,680,Not Analysed,18,0.58,Not Analysed,0.09,4,0.82,53.2,2.62,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
