Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,,,,,
2360,River Godavari,River Godavari at Basara,Nirmal,6.5,7.46,890,3.1,24,0.05,5.5,20,4,,,,3.2,24,195.08,105,36,38,,BDL,330,210,84,120,29,98,22,534,373.8,6,,0.07,BDL,3.5,0.42,15.45,0.46,,,,,
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,6.1,8.17,703,2.6,18,0.07,6,22,3.7,,,,4,16,140,88,28,26,,BDL,245,140,56,105,26,58,15,426,298.2,8,,0.07,BDL,2.5,0.38,15.08,0.38,,,,,
4255,River Godavari,Ali sagar Reservoir,Nizamabad,6.2,7.74,674,3.4,10,0.08,4,26,Less than 1.8,,,,3,24,124.59,80,40,18,,BDL,185,125,50,60,15,42,19,404.4,283.08,7,,0.12,BDL,3.1,0.3,20.82,0.51,,,,,
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,6.5,7.08,653,2.8,12,0.1,6,22,2,,,,4.2,12,150,74,32,24,,BDL,185,110,44,75,18,35,15,391.8,274.26,9,,0.35,BDL,2.9,0.35,18.35,0.43,,,,,
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Peddapalli,6.2,7.43,614,1,0.62,,Less than 1.8,24,Less than 1.8,,,,2,5,176,68,12,1.5,0.4,,200,120,48,80,19.44,26,,374,,11,0.06,,0.5,,0.2,,,,,,,
0013,River Godavari,River Godavari at Mancherial,Peddapalli,5.97,7.6,618,1,0.74,,Less than 1.8,14,Less than 1.8,,,,3,5,166,64,20,1.5,0.4,,190,150,60,40,9.72,28,,382,,10,0.1,,0.5,,0.2,,,,,,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,5.97,10.36,968,1,1.2,,Less than 1.8,17,Less than 1.8,,,,10,10,210,145,8,2.2,1.24,,240,156,62.4,84,20.41,48,,624,,12,0.38,,0.5,,0.42,,,,,,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,6,7.94,556,2,0.62,,Less than 1.8,14,Less than 1.8,,,,2,5,170,45,36,1.5,0.4,,202,130,52,72,17.5,39,,338,,10,0.1,,0.5,,0.2,,,,,,,
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,,6,6.78,1040,1.8,3.56,,Less than 1.8,43,Less than 1.8,,,,6,5,210,147,24,2.8,0.64,,220,130,52,90,21.87,91,,644,,10,0.2,,0.5,,0.75,,,,,,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,6,7.44,551,2,0.8,,Less than 1.8,21,Less than 1.8,,,,2,5,175,44,32,1.5,0.4,,160,105,42,55,13.37,26,,336,,10,0.21,,0.5,,0.2,,,,,,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,6,7.42,604,2,0.42,,Greater than 1.8,25,Less than 1.8,,,,2,5,165,39,24,1.5,0.4,,166,110,44,56,13.61,57,,372,,11,0.13,,0.5,,0.2,,,,,,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,6,7.34,584,1.8,2.12,,Less than 1.8,34,Less than 1.8,,,,6,5,145,52,20,1.5,0.4,,125,75,30,50,12.15,55,,362,,10,0.2,,0.5,,0.37,,,,,,,
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,6.1,7.89,399,1.8,0.3,,Less than 1.8,34,Less than 1.8,,,,3.8,5,112,32,35,1.5,0.4,,124,78,31.2,46,11.18,38,,245,,10,0.22,,0.5,,0.55,,,,,,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,6,7.78,588,1,0.93,,Less than 1.8,27,Less than 1.8,,,,8,5,164,40,22,1.5,0.4,,135,72,28.8,63,15.31,48,,352,,10,0.42,,0.5,,0.76,,,,,,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,6,7.81,510,1.2,0.98,,Less than 1.8,33,Less than 1.8,,,,10,5,145,44,28,1.5,0.4,,140,77,30.8,63,15.31,40,,304,,10,0.47,,0.5,,0.78,,,,,,,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.1,7.64,520,1,0.96,,Less than 1.8,24,Less than 1.8,,,,4,5,144,42,12,1.5,0.4,,135,70,28,65,15.79,42,,342,,18,0.58,,0.5,,0.87,,,,,,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,5.9,7.35,512,1.2,0.88,,Less than 1.8,27,Less than 1.8,,,,8,5,122,48,16,1.5,0.4,,165,95,38,70,17.01,48,,340,,10,0.56,,0.5,,0.93,,,,,,,
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,5.9,7.27,528,1.2,0.98,,Less than 1.8,26,Less than 1.8,,,,6,5,144,48,24,1.5,0.4,,215,115,28,88,24.3,42,,348,,16,0.66,,0.5,,0.96,,,,,,,
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,5.9,7.28,490,1.6,1.84,,Less than 1.8,31,Less than 1.8,,,,7,5,132,50,16,1.5,0.4,,100,55,22,45,10.94,26,,304,,10,0.2,,0.5,,0.51,,,,,,,
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,5.1,7.52,584,1.8,2.28,,Less than 1.8,63,Less than 1.8,,,,4,5,115,72,28,2.8,0.4,,125,70,28,55,13.37,58,,368,,12,0.2,,0.5,,0.96,,,,,,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,DRIED UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Jayashankar Bhoopalpalli,4,7.57,793,2.2,0.42,,Less than 1.8,58,Less than 1.8,,,,12.6,5,174,92,36,1.5,0.4,,208,130,52,78,18.95,68,,478,,28,0.44,,0.5,,0.53,,,,,,,
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,5.2,7.74,801,1.2,2.94,,Less than 1.8,63,Less than 1.8,,,,8,5,170,88,16,1.5,0.4,,180,110,44,70,17.01,67,,508,,14,0.2,,0.5,,0.93,,,,,,,
4258,River Manjeera,"Singoor Dam Reservoir,",Sangareddy,6.5,8.29,466,3.5,14,0.05,3.6,20,Less than 1.8,,,,4,24,95.08,56,30,20,,BDL,130,90,36,40,10,25,16,279.6,195.72,9,,0.09,BDL,3.1,0.36,23.11,0.5,,,,,
1157,River Manjeera,River Manjeera at Raipally,Sangareddy,6.3,7.85,648,3.2,11,0.04,4.5,33,3.6,,,,3.2,12,130,80,32,17,,BDL,210,130,52,80,19,44,12,388.8,272.16,6,,0.08,BDL,3,0.38,13.52,0.32,,,,,
1781,River Manjeera,Manjeera at Ganapathi sugars,Sangareddy,5.9,7.68,685,2.5,12,0.05,8.2,41,3.7,,,,3.1,20,140,86,32,18,,BDL,220,135,54,85,21,51,15,411,287.7,9,,0.12,BDL,3.1,0.41,15.72,0.39,,,,,
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,Sangareddy,6,7.75,992,3,10,0.06,8.1,34,5.6,,,,3.6,28,165,157,30,20,,BDL,365,220,88,145,35,80,20,595.2,416.64,8,,0.15,BDL,3.2,0.39,13.52,0.41,,,,,
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,Sangareddy,5.9,7.65,1402,3.8,15,0.13,6.1,40,4,,,,3,12,250,220,38,28,,BDL,504.57,270,108,234.57,57,96,30,841.2,588.84,9,,0.1,BDL,3.8,0.81,15.38,0.55,,,,,
2349,River Manjeera,Nakka vagu at Bachugudem,Sangareddy,4.6,7.25,1325,4.4,21,0.12,8.3,94,7.8,,,,4.1,28,210,183,50,32,,BDL,384.61,220,88,164.61,40,90,39,795,556.5,10,,0.12,BDL,4,0.15,22.75,0.79,,,,,
4226,River Manjeera,River Manjeera at Yedu Payala Temple,Medak,6.4,7.29,920,2.8,22,0.15,4.5,84,1.8,,,,3,16,160,95,32,38,,BDL,250,150,60,100,24,65,22,552,386.4,7,,0.17,BDL,2.9,0.42,19.88,0.54,,,,,
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,Bhadradri Kothagudem ,4.8,7.77,612,1,0.92,,Less than 1.8,17,Less than 1.8,,,,22,5,132,54,16,1.5,0.4,,235,140,56,95,23.09,75,,402,,28,0.83,,0.5,,0.92,,,,,,,
3080,River Kinneresani,U/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,5.8,7.42,546,1.2,0.86,,Less than 1.8,25,Less than 1.8,,,,6.6,5,125,66,23,1.5,0.4,,140,80,32,60,14.58,38,,320,,10,0.72,,0.5,,0.72,,,,,,,
3081,River Kinneresani,D/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,5.6,8.13,481,1.4,0.89,,Less than 1.8,27,Less than 1.8,,,,7.2,5,135,49,24,1.5,0.4,,165,90,36,75,18.22,32,,274,,16,0.76,,0.5,,0.84,,,,,,,
1784,River Krishna ,River Krishna at Thangadi,Mahaboobnagar,6.1,7.84,566,1.4,0.62,,Less than 1.8,26,Less than 1.8,N.A,N.A,N.A,8,5,172,44,16,1.5,0.4,,196,114,45.6,82,19.93,28,,324,,10,0.48,,0.5,,0.58,,,,,,,
0039,River Krishna ,River Krishna at Gadwal bridge,Mahaboobnagar,6.1,7.89,568,1.6,2.5,,Less than 1.8,34,Less than 1.8,N.A,N.A,N.A,6,5,126,45,18,1.5,0.4,,182,104,41.6,78,18.95,86,,328,,10,0.56,,0.5,,0.62,,,,,,,
4225,River Krishna ,"Jogulamba Temple, Gadwal",Jogulamba Gadwal,5.9,7.41,582,2,1.43,,Less than 1.8,41,Less than 1.8,N.A,N.A,N.A,8,5,130,62,32,1.5,0.4,,198,114,45.6,84,20.41,58,,342,,10,0.75,,0.5,,0.59,,,,,,,
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,Nalgonda,6,8.26,837,2.9,17,0.13,4.5,24,3.7,,,,3.1,20,190,87,36,28,,BDL,254.65,160,64,94.65,23,81,26,502.2,351.54,8,,0.19,BDL,4,0.36,21.52,0.62,,,,,
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",Nalgonda,5.6,7.52,839,2.6,18,0.12,8.1,40,3.7,,,,3.2,12,180.33,95,34,28,,BDL,255,150,60,105,26,69,27,503.4,352.38,6,,0.19,BDL,4,0.38,22.7,0.66,,,,,
1465,River Krishna ,Confluence of River Krishna & River Musi at at Wadapally,Nalgonda,5.4,7.68,1105,3.4,21,0.23,9.2,31,5.6,,,,3.4,16,155,118.8,36,30,,BDL,280,200,80,80,19,74,26,663,464.1,5,,0.1,BDL,5,0.45,18.74,0.55,,,,,
