Station code,water_bodies,Station name,District,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,,6.5,7.34,1039,3.6,28,0.03,3.5,22,1.8,,,,3.2,8,196,90,36,5,0.4,BDL,240,56,140,24,100,60,60,520,355,7,,0.05,0.5,4,0.3,34.73,1.68
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,,6.6,7.73,774,3.2,24,0.05,2,21,Less than 1.8,,,,3.3,14,220,106,22,5,0.4,BDL,190,50,125,16,65,36,66,449,309,6,,0.05,0.5,4.9,0.29,42.02,2.07
4255,River Godavari,Ali sagar Reservoir,Nizamabad,,6.9,7.75,687,3.2,20,0.04,3.6,21,2,,,,3,14,184,90,26,6,0.4,BDL,195,52,130,16,65,38,48,398,270,5,,0.05,0.5,3.2,0.2,34.2,1.49
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,,6.8,8.12,751,3.2,28,0.12,5.5,24,3.6,4.5,,,2.8,24,168,85,26,5,0.4,BDL,245,58,145,24,100,28,30,340,232,6,,0.05,0.5,3.5,0.34,20.72,0.83
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Peddapalli,,6.1,8.33,560,1,0.43,,Less than 1.8,32,Less than 1.8,,,,6,6,170,59,32,1.5,0.4,,212,48,120,22.36,92,36,,344,220,10,0.2,0.05,0.5,,0.68,,
13,River Godavari,River Godavari at Mancherial,Peddapalli,,6.1,8.25,560,1.1,0.43,,Less than 1.8,26,Less than 1.8,,,,2,5,160,62,36,1.5,0.4,,210,52,130,19.44,80,35,,346,230,10,0.2,0.05,0.5,,0.42,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,,6,7.19,954,1.2,1.85,,Less than 1.8,26,Less than 1.8,,,,4,5,180,118,44,1.5,0.4,,240,52,130,26.73,110,80,,600,410,10,0.3,0.05,0.5,,0.57,,
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,Ramagundem,,5.9,6.61,1525,3,8.36,,Less than 1.8,70,Less than 1.8,,,,24,5,85,320,46,5.6,2.24,,390,92,230,38.88,160,212,,930,610,18,0.2,0.05,0.5,,0.45,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,,6,7.23,953,1.2,2,,Less than 1.8,32,Less than 1.8,,,,3,5,175,130,26,1.5,0.4,,210,56,140,17.01,70,80,,602,410,10,0.31,0.05,0.5,,0.54,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,,6.1,8.37,552,1.1,0.36,,Less than 1.8,33,|<1.8,,,,2,10,170,59,20,1.5,0.4,,190,42,105,20.66,85,33,,342,220,10,0.2,0.05,0.5,,0.74,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,,6,8.46,1367,1.2,0.48,,Less than 1.8,49,Less than 1.8,,,,9,6,260,181,28,2.24,0.56,,310,64,160,36.45,150,112,,840,570,12,0.2,0.05,0.5,,0.63,,
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,,6.1,8.44,536,1.1,0.82,,Less than 1.8,33,Less than 1.8,,,,3,6,120,68,34,1.5,0.4,,140,32,80,14.58,60,31,,343,220,11,0.2,0.05,0.5,,0.89,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,,6.1,8.24,452,1,0.97,,Less than 1.8,33,Less than 1.8,,,,2,10,115,46,16,1.5,0.4,,130,38,95,8.5,35,34,,280,180,10,0.2,0.05,0.5,,0.3,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,,6.1,8.19,451,1,1.04,,Less than 1.8,33,Less than 1.8,,,,3,5,125,48,20,1.5,0.4,,155,32,80,18.22,75,38,,282,180,10,0.2,0.05,0.5,,0.2,,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,,6.1,7.96,441,1,0.3,,Less than 1.8,34,Less than 1.8,,,,6,5,120,49,8,1.5,0.4,,200,46,115,20.66,85,31,,278,180,10,1.21,0.05,0.5,,0.85,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,,6,8.21,440,1.4,0.43,,Less than 1.8,39,Less than 1.8,,,,6,5,105,47,32,1.5,0.4,,185,40,100,20.66,85,28,,272,180,10,1.1,0.62,0.5,,0.92,,
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,,6,7.48,624,1,1.12,,Less than 1.8,47,Less than 1.8,,,,5,5,170,56,15,1.5,0.4,,230,48,120,26.73,110,34,,394,250,10,2.1,0.05,0.5,,0.38,,
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,,5.2,8.37,417,2,0.8,,Less than 1.8,46,Less than 1.8,,,,6,5,120,39,64,1.68,0.4,,146,40,100,11.18,46,23,,260,170,10,0.2,0.05,0.5,,0.63,,
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Jayashankar Bhoopalpalli,,4,8.28,658,1.8,0.32,,Less than 1.8,46,Less than 1.8,,,,22,10,140,72,44,1.5,0.4,,195,44,110,20.66,85,41,,414,280,16,3.42,1.14,0.5,,0.34,,
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4258,River Manjeera,"Singoor Dam Reservoir,",Sangareddy,,7.3,8.31,646,3.2,22,0.11,3.5,21,1.8,,,,2.8,20,164,54,32,5,0.4,BDL,200,48,120,20,80,24,26,360,248,6,,0.05,0.5,4,0.2,21.33,0.79
1157,River Manjeera,River Manjeera at Raipally,Sangareddy,,7,7.64,700,2.5,28,0.05,4.5,33,2,,,,3.1,12,188,98,26,5,0.4,BDL,265,54,135,32,130,49,40,440,300,7,,0.14,0.5,5.6,0.2,23.99,1.06
