Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,6.6,7.18,1054,3.6,28,0.06,5.6,21,4.5,,,,4.6,28,205,119,42,40,,BDL,315,90,225,33,135,102,23,642.94,450.06,7,,0.08,BDL,3.3,0.48,15.11,0.46
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,6.2,8.12,820,2.8,20,0.08,6.1,24,4,,,,4.1,20,150,92,32,30,,BDL,210,60,150,26,105,60,16,500.2,350.14,9,,0.08,BDL,2.6,0.4,15.2,0.39
4255,River Godavari,Ali sagar Reservoir,Nizamabad,6.3,7.13,651,3.3,12,0.07,4.5,25,3.6,,,,2.9,24,120,79,38,18,,BDL,168,48,120,12,50,38,18,397.11,277.98,8,,0.11,BDL,3,0.27,20.93,0.49
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,6.4,7.34,848,3.8,15,0.15,6.1,24,5.5,,,,4.6,20,230,92,48,30,,BDL,210,60,150,24,100,40,18,517.28,362.1,10,,0.4,BDL,3.5,0.41,16.69,0.44
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Peddapalli,6,8.16,635,2,0.86,,Less than 1.8,39,Less than 1.8,,,,8,5,180,68,36,1.5,0.4,,210,44,110,24.3,100,44,#,368,,19,0.98,,0.5,#,0.82,,
0013,River Godavari,River Godavari at Mancherial,Peddapalli,6,8.21,636,2.2,0.72,,Less than 1.8,41,Less than 1.8,,,,12,10,160,72,32,1.5,0.4,,185,40,100,20.66,85,56,#,366,,22,0.86,,0.5,#,0.86,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,5.9,9.64,812,2,0.89,,Less than 1.8,39,Less than 1.8,,,,10,25,240,88,30,1.5,0.4,,260,56,140,29.16,120,62,#,528,,24,0.72,,0.5,#,0.88,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,5.9,7.84,565,2.2,0.76,,Less than 1.8,40,Less than 1.8,,,,14,5,120,70,34,1.5,0.4,,145,34,85,14.58,60,54,#,328,,28,0.88,,0.5,#,0.8,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,5.8,8.18,567,2.4,0.78,,Less than 1.8,38,Less than 1.8,,,,12,5,140,62,36,1.5,0.4,,160,32,80,19.44,80,46,#,328,,30,0.82,,0.5,#,0.86,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,5.9,8.19,622,2.6,0.89,,Less than 1.8,33,Less than 1.8,,,,10,5,145,66,34,1.5,0.4,,165,34,85,19.44,80,48,#,402,,20,0.96,,0.86,#,0.89,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,6,7.84,628,2.4,0.82,,Less than 1.8,34,Less than 1.8,,,,9,5,150,64,32,1.5,0.4,,165,36,90,18.22,75,46,#,388,,24,0.96,,0.5,#,0.92,,
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,6.1,7.04,488,1.8,0.89,,Less than 1.8,34,Less than 1.8,,,,14,5,140,54,34,1.5,0.4,,155,32,80,18.22,75,32,#,276,,18,1.06,,0.5,#,0.88,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,6,7.08,492,2,0.3,,Less than 1.8,40,Less than 1.8,,,,2,5,112,63,38,1.5,0.4,,120,30.4,76,10.69,44,34,#,310,,13,0.3,,0.5,#,0.2,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,5.9,6.98,517,2,0.3,,Less than 1.8,58,Less than 1.8,,,,4,5,110,71,34,1.5,0.4,,128,32.8,82,11.18,46,39,#,326,,16,0.2,,0.5,#,0.2,,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.1,7.74,419,1.2,1.1,,Less than 1.8,34,Less than 1.8,,,,22,5,120,42,26,1.5,0.4,,140,32,80,14.58,60,28,#,246,,26,0.72,,0.5,#,0.68,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6,7.73,423,1.8,1.06,,Less than 1.8,43,Less than 1.8,,,,18,5,130,46,32,1.5,0.4,,145,32,80,15.79,65,30,#,246,,24,0.88,,0.5,#,0.66,,
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,6.1,7.62,517,1.6,0.88,,Less than 1.8,26,Less than 1.8,,,,20,5,145,54,28,1.5,0.4,,160,34,85,18.22,75,34,#,336,,24,0.66,,0.5,#,0.72,,
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,6,7.98,522,2,0.86,,Less than 1.8,24,Less than 1.8,,,,8,5,122,58,48,1.5,0.4,,160,34,85,18.22,75,50,#,312,,10,0.84,,0.5,#,0.86,,
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,5.6,7.84,588,2.2,1.12,,Less than 1.8,47,2,,,,10,5,142,68,56,1.5,0.4,,175,38,95,19.44,80,58,#,342,,14,0.72,,0.5,#,0.82,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Jayashankar Bhoopalpalli,5.8,7.87,603,2.8,1.16,,Less than 1.8,34,Less than 1.8,,,,33,5,145,78,34,1.5,0.4,,155,36,90,15.79,65,50,#,356,,48,1.02,,0.5,#,0.86,,
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,5.6,8.4,811,2.8,0.86,,Less than 1.8,27,Less than 1.8,,,,10,15,180,122,42,1.5,0.4,,195,40,100,23.09,95,62,#,486,,10,0.92,,0.5,#,0.8,,
4258,River Manjeera,"Singoor Dam Reservoir,",Sangareddy,6.6,6.98,742,4.1,20,0.08,4,21,Less than 1.8,,,,4.9,32,135,86,44,32,,BDL,168,48,120,19,80,41,20,452.62,316.83,11,,0.12,BDL,4.5,0.41,21.05,0.54
1157,River Manjeera,River Manjeera at Raipally,Sangareddy,6.3,7.69,676,3.3,15,0.05,5,32,3.7,,,,3.3,16,135,90,36,18,,BDL,196,56,140,22,90,46,13,412.36,288.65,7,,0.09,BDL,3.1,0.37,13.5,0.33
1781,River Manjeera,Manjeera at Ganapathi sugars,Sangareddy,5.8,7.62,693,2.7,14,0.06,8.3,40,3.6,,,,3.3,24,145,92,36,20,,BDL,189,54,135,21,85,44,17,422.73,295.91,9,,0.01,BDL,3.6,0.42,17.28,0.44
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,Sangareddy,5.9,7.71,985,3.1,11,0.06,8.2,33,5.5,,,,3.5,24,160,151,28,22,,BDL,294,84,210,33,135,78,22,600.85,420.59,9,,0.14,BDL,3.9,0.38,15.12,0.46
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,Sangareddy,5.9,7.81,1425,3.9,17,0.12,6.8,41,3.7,,,,3.2,16,255,224,42,30,,BDL,343,98,245,58,240,94,32,869.25,608.47,8,,0.11,BDL,4.2,0.75,17.12,0.62
2349,River Manjeera,Nakka vagu at Bachugudem,Sangareddy,4.8,7.29,1349,4.5,23,0.13,8.2,94,7.8,,,,4.2,32,215,188,52,34,,BDL,322,92,230,41,170,92,38,822.89,576.02,11,,0.13,BDL,4.6,0.16,21.5,0.75
4226,River Manjeera,River Manjeera at Yedu Payala Temple,Medak,6.3,7.12,1030,3.1,24,0.17,4,79,2,,,,3.2,24,170,105,36,40,,BDL,224,64,160,26,105,68,23,628.3,439.81,8,,0.18,BDL,3.5,0.43,19.39,0.55
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,Bhadradri Kothagudem ,5.8,7.94,478,2,0.78,,Less than 1.8,24,Less than 1.8,,,,26,5,135,46,28,1.5,0.4,,140,30,75,15.79,65,28,#,308,,30,0.58,,0.5,#,0.66,,
3080,River Kinneresani,U/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,5.9,7.64,510,1.8,0.56,,Less than 1.8,33,Less than 1.8,,,,14,5,140,56,22,1.5,0.4,,155,32,80,18.22,75,32,#,318,,16,0.36,,0.5,#,0.58,,
3081,River Kinneresani,D/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,5.8,7.96,458,1.9,0.59,,Less than 1.8,39,Less than 1.8,,,,21,5,130,48,26,1.5,0.4,,145,30,75,17.01,70,26,#,298,,24,0.42,,0.5,#,0.62,,
1784,River Krishna ,River Krishna at Thangadi,Mahaboobnagar,6,7.43,580,1.8,0.69,,Less than 1.8,58,Less than 1.8,,,,6,5,168,52,28,1.5,0.4,,202,47.2,118,20.41,84,32,#,352,,12,1.24,,0.5,#,0.87,,
0039,River Krishna ,River Krishna at Gadwal bridge,Mahaboobnagar,6,7.26,588,2,0.62,,Less than 1.8,34,Less than 1.8,,,,5,5,182,53,32,1.5,0.4,,224,52.8,132,22.36,92,38,#,362,,10,1.28,,0.5,#,0.75,,
4225,River Krishna ,"Jogulamba Temple, Gadwal",Jogulamba Gadwal,5.9,7.13,592,2.8,1.1,,Less than 1.8,43,Less than 1.8,,,,8,5,138,64,52,1.5,0.4,,228,64.8,162,16.04,66,52,#,368,,10,1.16,,0.5,#,0.94,,
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,Nalgonda,6.1,7.02,882,3.4,19,0.16,4.5,25,3.6,,,,3.3,20,195,92,40,30,,BDL,245,70,175,24,100,85,27,538.02,376.61,9,,0.2,BDL,4.2,0.37,20.82,0.61
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",Nalgonda,5.7,7.06,886,4,20,0.13,8.2,41,3.6,,,,3.4,16,185,102,44,32,,BDL,224,64,160,24,100,70,28,540.46,378.32,7,,0.21,BDL,4.1,0.39,22.66,0.66
1465,River Krishna ,Confluence of River Krishna & River Musi at at Wadapally,Nalgonda,5.6,7.23,1215,4.1,22,0.25,9.1,33,5.5,,,,3.6,20,165,128,44,32,,BDL,294,84,210,22,90,80,28,741.15,518.8,6,,0.12,BDL,5.3,0.49,18.96,0.58
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",Suryapet,5.9,7.25,1197,3.6,21,0.19,6.8,41,4.5,,,,3.8,12,210,132,40,40,,BDL,280,80,200,35,145,78,21,730.17,511.12,9,,0.13,BDL,4.2,0.48,14.83,0.45
4250,River Krishna ,"Palair Reservoir, Khammam",Khammam,5.8,8.09,662,1.8,0.92,,Less than 1.8,33,Less than 1.8,,,,12,5,160,72,34,1.5,0.4,,175,40,100,18.22,75,56,#,390,,18,0.82,,0.5,#,0.69,,
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",Khammam,5.9,7.22,712,2,0.96,,2,41,Less than 1.8,,,,16,5,170,80,36,1.5,0.4,,195,42,105,21.87,90,62,#,464,,22,0.98,,0.5,#,0.76,,
5108,River Krishna ,River Krishna Before Confluence of River Musi at Wadapally (V),Nalgonda,6.4,7.44,1149,3.2,19,0.11,6,40,4,,,,3.2,20,185,121,34,30,,BDL,287,82,205,24,100,86,25,700.89,490.62,6,,0.15,BDL,3.5,0.22,17.84,0.53
5109,River Krishna ,River Krishna After Confluence of River Musi at Wadapally (V),Nalgonda,6.7,7.97,1139,3.1,21,0.13,5.5,41,3.7,,,,3.2,16,205,144,32,34,,BDL,308,88,220,32,130,90,30,694.79,486.35,8,,0.09,BDL,4.6,0.65,18.89,0.61
5110,River Krishna ,River Krishna at Pulichintala Reservoir at Chinthalapalem,Suryapet,5.9,8.03,1140,2.4,15,0.17,4,41,2,,,,3.1,20,195,121,34,24,,BDL,273,78,195,24,100,65,25,695.4,486.78,6,,0.12,BDL,4.5,0.32,18.19,0.54
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,Hyderabad,0.3,6.83,1526,6,4.6,,47,920,3.6,,,,26,5,342,174,79,3.8,1.6,,374,96.8,242,32.08,132,92,#,960,,46,2.78,,0.6,#,1.2,,
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Medchal Malkajgiri,0.3,6.86,1280,10,6.8,,34,920,5.6,,,,34,5,210,182,194,6.4,2.2,,256,66.4,166,21.87,90,102,#,840,,66,3.66,,0.66,#,1.16,166,
2339,River Musi,River Musi at Nagole,Shamshabad,0.3,7.12,1544,10,9,,33,430,6,,,,26,5,346,170,143,8.2,3.4,,418,107.2,268,36.45,150,98,#,1018,,78,1.74,,0.58,#,1.14,,
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",Yadadri Bhuvanagiri,0.3,7.07,1040,12,9,,26,350,2,,,,20,5,312,84,182,7.4,3.1,,414,100.8,252,39.37,162,88,#,602,,72,3.16,,0.62,#,1.22,,
