Station code,water_bodies,Station name,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,,
2360,River Godavari,River Godavari at Basara,,6.7,8.13,913,3.2,24,0.04,3.6,25,2,,,,3.1,10,180,82,20,4,0.4,BDL,192.3,44,110,20,82.3,52,62,465,325.5,8,,0.05,0.5,5,0.31,40.53,1.95,,
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",,7,7.82,749,3.1,18,0.04,2,21,Less than 1.8,,,,3.2,12,200,94,20,4,0.4,BDL,210,44,110,24,100,30,60,419.44,293.61,7,,0.05,0.5,4,0.28,37.99,1.81,,
4255,River Godavari,Ali sagar Reservoir,,6.5,8.09,636,3.3,17,0.03,3.7,22,2,,,,2.9,10,144,64,24,5,0.4,BDL,182.3,40,100,20,82.3,32,35,356.16,249.31,6,,0.05,0.5,3,0.2,29.11,1.13,,
4227,River Godavari,"Pochara Water Falls, Adilabad",,6.9,8.11,724,3.1,24,0.11,5.6,26,3.7,,,,2.7,24,216,50,24,4,0.4,BDL,250,60,150,24,100,25,20,405.44,283.81,7,,0.05,0.5,3,0.32,14.74,0.55,,
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",,6.1,7.6,580,1.2,0.62,,Less than 1.8,32,Less than 1.8,,,,6,5,92,78,20,1.5,0.4,,120,26,65,13.37,55,56,,340,210,10,0.2,0.05,0.5,,0.67,,,,
13,River Godavari,River Godavari at Mancherial,,6.1,7.6,636,1.2,1.04,,Less than 1.8,39,Less than 1.8,,,,8,5,140,86,28,1.5,0.4,,160,36,90,17.01,70,38,,360,230,13,0.2,0.05,0.5,,0.85,,,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,,6.1,7.7,904,1.2,1.4,,Less than 1.8,46,Less than 1.8,,,,6,5,150,120,20,1.5,0.4,,175,44,110,15.79,65,84,,530,310,11,0.2,0.05,0.5,,0.89,,,,
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,,6,8.32,1771,1.8,1.4,,6.8,49,Less than 1.8,,,,16,5,340,220,28,6.72,1.12,,360,92,230,31.59,130,164,,1062,640,14,0.2,0.05,0.5,,0.48,,,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,,6.1,7.5,900,1.4,1.53,,Less than 1.8,49,Less than 1.8,,,,8,5,160,114,24,1.68,0.56,,185,45.6,114,17.25,71,78,,522,320,10,0.2,0.05,0.5,,0.58,,,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,,6.1,7.5,584,1.2,0.64,,Less than 1.8,33,Less than 1.8,,,,6,5,95,88,24,1.5,0.4,,110,28,70,9.72,40,48,,340,210,10,0.2,0.05,0.5,,0.2,,,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,,6,7.2,1178,1.6,0.7,,Less than 1.8,47,Less than 1.8,,,,12,5,160,180,32,1.5,0.56,,185,38,95,21.87,90,114,,706,420,10,0.2,0.05,0.5,,0.46,,,,14.0
4662,River Godavari,River godavari Kaleshwaram,,6.2,7.2,575,1,0.7,,Less than 1.8,22,Less than 1.8,,,,6,5,95,81,16,1.5,0.4,,105,24,60,10.94,45,48,,340,200,11,0.2,0.05,0.5,,0.8,,,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",,6.1,7.1,341,1.2,0.64,,Less than 1.8,33,Less than 1.8,,,,6,5,55,48,20,1.5,0.4,,65,16,40,6.08,25,29,,210,110,14,0.2,0.05,0.5,,0.83,,,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",,6.1,7.2,342,1.2,0.62,,Less than 1.8,46,Less than 1.8,,,,8,5,35,61,20,1.5,0.4,,60,14,35,6.08,25,32,,200,120,10,0.2,0.05,0.5,,0.56,,,,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,,6.1,7.28,327,1.2,0.33,,Less than 1.8,40,Less than 1.8,,,,10,5,95,27,28,1.5,0.4,,105,22,55,12.15,50,16,,206,140,10,1.26,0.82,0.5,,0.37,,,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,,6.1,7.39,336,1.2,0.42,,Less than 1.8,49,Less than 1.8,,,,14,5,95,27,20,1.5,0.4,,105,24,60,10.94,45,17,,208,140,10,1.52,0.96,0.5,,0.82,,,,
2369,River Godavari,River Godavari at Burgampahad,,6,7.35,533,1.2,1.09,,Less than 1.8,47,Less than 1.8,,,,12,5,165,39,24,1.5,0.4,,180,42,105,18.22,75,21,,310,210,10,0.76,0.08,0.5,,0.48,,,,
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",,6,7.2,421,1.6,0.97,,Less than 1.8,46,Less than 1.8,,,,14,5,75,58,28,1.5,0.4,,90,20,50,9.72,40,36,,252,150,12,0.2,0.05,0.5,,0.2,,,,
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,,5.4,8.21,738,1.2,0.52,,Less than 1.8,33,Less than 1.8,,,,18,5,198,72,32,1.5,0.4,,210,48,120,21.87,90,37,,456,270,13,0.2,0.05,0.5,,0.87,,,,
1158,River Maneru / Manair,River Maneru at Somanpally,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4258,River Manjeera,"Singoor Dam Reservoir,",,7.4,8.21,612,3.6,20,0.1,3.6,20,1.8,,,,2.9,16,160,56,30,4,0.4,BDL,182.3,40,100,20,82.3,22,32,342.72,239.9,7,,0.05,0.5,4,0.2,27.16,1.03,,
1157,River Manjeera,River Manjeera at Raipally,,7.1,7.56,720,2.6,24,0.04,4.5,36,2,,,,3.2,10,212,90,24,4,0.4,BDL,258.15,44,110,36,148.15,52,48,446,312.2,8,,0.13,0.5,6,0.2,28.28,1.3,,
1781,River Manjeera,Manjeera at Ganapathi sugars,,6.4,7.82,814,4,30,0.05,5.5,34,2,,,,3.2,12,228,114,38,5,0.4,BDL,285.23,68,170,28,115.23,62,60,559,391.3,8,,0.12,0.5,4.2,0.2,31.08,1.55,,
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,,6.2,7.65,1172,4.1,34,0.05,6,31,3.7,,,,3.3,10,280,142,40,4,0.4,BDL,384.61,88,220,40,164.61,60,76,656.32,459.42,7,,0.11,0.5,4.2,0.2,29.85,1.69,,
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,,6.3,7.74,824,4.3,30,0.04,6.1,36,4,,,,3.1,10,140,160,44,4,0.4,BDL,255.23,56,140,28,115.23,40,60,494,345.8,9,,0.12,0.5,4.2,0.31,33.46,1.64,,
2349,River Manjeera,Nakka vagu at Bachugudem,,4.1,7.26,1880,6.5,40,0.05,7.8,79,5.5,,,,4.1,10,432,199,72,5,0.4,BDL,414.61,100,250,40,164.61,70,170,1052.8,736.96,7,,0.16,0.5,8,0.2,46.64,3.64,,
4226,River Manjeera,River Manjeera at Yedu Payala Temple,,6.6,8.12,980,2.5,36,0.05,5.5,63,3.6,,,,3.5,10,200,100,26,6,0.4,BDL,242.3,64,160,20,82.3,29,54,539,377.3,8,,0.42,0.5,9,0.2,31.72,1.51,,
