Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,6.8,7.37,880,3,4,0.28,2,28,  -,  -,49,39,84,32,11,22,0.8,70.4,15,8,14,18,428,340,36,0.57,0.6,4,0.56,34.0,0.93
4255,River Godavari,"Ali sagar Reservior Project area , Alisagar (V), Yedapally (M), Nizamabad Dist.",5.8,7.82,394,2,2,0.04,Nil,18,  -,  -,6,17,116,34,25,13,0.3,104.35,22,12,12,20,218,171,6,0.09,2.08,4,0.25,28.3,0.85
4227,River Godavari,"Pochara Water Falls, Adilabad",4.6,7.71,587,3,11,2.34,Nil,22,  -,  -,9,15,164,48,16,15,0.2,170.76,42,16,16,32,245,195,12,0.12,1.12,7,0.3,27.8,1.06
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5,7.63,604,3,0.33,,40,200,,,6,0,195,46,24,1.4,Less than 0.1,214,38,28.92,42,43,300,233,7,0.04,0,3,0.38,29.88,1.27
13,River Godavari,"River Godavari at Mancherial (BM-Jan, Apr & Oct)",5.1,7.74,584,3,0.18,,NIL,180,,,9.69,0,172,58,22,Less than 0.1,Less than 0.1,198,34,27.46,49,41,255,200,8,0.08,0.01,3,1.09,30.48,1.26
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5,7.97,615,3,0.02,,NIL,220,,,10,0,152,74,20,Less than 0.1,Less than 0.1,178,29.6,25.27,47,54,310,245,5,0.06,0.02,3,0.7,39.06,1.75
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",4,11.14,1156,6,0.42,,26,280,,,11.7,60,96,261,48,2.8,0.1,330,95.2,22.36,123,108,562,445,28,0.02,0.21,9,1.13,40.66,2.58
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,4.9,7.65,616,3,0.16,,11,220,,,8,0,128,84,22,Less than 0.1,Less than 0.1,186,32,25.76,54,51,302,236,5,0.02,0.06,4,0.12,36.55,1.62
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,3,7.16,889,6,0.73,,17,100,,,16.3,0,178,130,64,1.4,,312,57.6,40.82,98,64,610,51.2,18,1.06,0.29,7,0.79,30.1,1.57
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Sample couldn't be collected as source points were dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6.2,8.08,144,2,0.45,,NIL,60,,,36,0,52,12,6,Less than 0.1,,48,8.8,6.32,4,10,84,8,3,0.15,0,2,0,29.93,0.63
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",6,8,252,3,0.76,,NIL,90,,,38,0,55,14,8,Less than 0.1,,50,10.4,5.83,6,12,145,9.6,2,0.18,0,3,0,32.51,0.74
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,6.2,7.03,248,2,0.27,,NIL,40,,,46,0,92,15,18,Less than 0.1,,102,26.4,8.75,11,12,152,9.6,8,0.01,0.0,2,0.71,19.9,0.52
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,5.2,7.48,352,3,0.37,,22,200,,,67.7,0,96,21,22,Less than 0.1,,80,21.6,6.32,7,22,220,17.6,12,0.02,0.01,2,1.09,36.59,1.07
