Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Free Ammonia,Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
2360,River Godavari,River Godavari at Basara,6.7,7.35,656,2.4,12,0.23,Less than 1.8,10,,,,18,16,96,62,16,4,0.02,144.04,28,18,22,22,386,309,9,,0.43,0.09,10,0.32,24.04,0.8
4255,River Godavari,Ali sagar Reservior,7.3,7.16,510,2,7,0.27,Less than 1.8,6,,,,14,20,83,57,12,4,0.01,125.82,24,16,17,19,292,234,12,,0.25,0.09,4,0.36,24.06,0.74
4227,River Godavari,"Pochara Water Falls, Adilabad",7.5,7.42,375,2,6,0.19,Less than 1.8,11,,,,6,8,53,42,13,4,0.0,125,27,14,11,13,216,173,9,,0.31,0.09,4,0.29,23.72,0.61
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5.8,8.09,484,3,0.4,,Less than 1.8,24,,,,4,1,165,48,10,4,,175,38,19.44,20,36,290,,4,BDL,,0.09,2,0.29,30.59,0.84
13,River Godavari,River Godavari at Mancherial,5.2,7.98,748,3,0.5,,Less than 1.8,21,,,,6,1,225,76,14,4,,240,54,25.52,32,56,452,,6,BDL,,0.09,3,0.52,33.3,1.11
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5.8,8.29,642,3,0.51,,Less than 1.8,21,,,,4,10,190,76,12,4,,208,56,16.52,30,55,408,,6,BDL,,0.09,2,0.58,36.22,1.17
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",3.8,11.45,1324,4,1.2,,Less than 1.8,26,,,,14,52,345,156,22,4,,365,66,48.6,86,132,844,,38,0.41,,0.18,4,0.62,43.67,2.12
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,5.41,8.04,722,3,0.42,,Less than 1.8,32,,,,6,1,185,84,12,4,,225,42,29.16,60,64,452,,6,BDL,,0.09,4,0.48,37.68,1.31
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,4.8,7.88,968,4,2.17,,Less than 1.8,32,,,,8,1,225,158,18,4,,260,50,32.8,70,120,580,,12,BDL,,0.09,3,0.72,49.72,2.29
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6.2,8.06,282,3,0.3,,Less than 1.8,22,,,,2,1,105,24,7.6,4,,115,30,9.72,12,16,174,,4,BDL,,0.09,2,0.28,22.83,0.46
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",5.8,7.42,342,3,0.42,,Less than 1.8,32,,,,4,1,125,30,10,4,,132,32,12.64,16,24,196,,6,BDL,,0.09,2,0.32,27.94,0.64
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,6.1,7.92,420,3,0.5,,Less than 1.8,34,,,,5,1,136,38,10,4,,148,34,15.31,24,30,243,,6,BDL,,BDL,2,0.38,30.22,0.76
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,5.2,7.4,410,3,0.8,,Less than 1.8,38,,,,8,1,130,38,12,4,,140,30,15.79,28,32,260,,8,BDL,,BDL,3,0.4,32.6,0.83
2369,River Godavari,River Godavari at Burgampahad,6,7.6,351,3,0.7,,Less than 1.8,32,,,,6,1,120,30,12,4,,130,24,17.01,26,34,218,,4,BDL,,BDL,2,0.42,31.47,0.75
4662,River Godavari,River godavari Kaleshwaram,6.2,8.14,380,2.2,0.14,,Less than 1.8,24,,,,6,10,130,34,8,4,,138,38,10.45,18,26,236,,4,BDL,,0.09,2,0.16,28.68,0.68
