Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Free Ammonia (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
2360,River Godavari,River Godavari at Basara,6.3,7.42,461,2.2,8,0.18,BDL,11,,,,15,12,52,39,14,2.6,0.02,81.13,16,10,14,15,259,191.66,7,,0.32,0.09,4,0.27,27.52,0.73
4255,River Godavari,Ali sagar Reservior,6.5,7.31,431,2.1,9,0.21,BDL,10,,,,11,16,64,47,10,1.9,0.01,94.36,18,12,13,18,247,183,10,,0.21,0.09,5,0.31,28.05,0.81
4227,River Godavari,"Pochara Water Falls, Adilabad",6.6,7.41,234,2.1,4,0.15,BDL,6,,,,4,8,44,34,6,1.1,0.01,67.9,14,8,8,11,136,95,5,,0.18,0.09,3,0.23,25.08,0.58
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",4.8,7.92,498,3,0.34,,BDL,26,,,,6,BDL,165,41,12,BDL,,182,42,18.71,29,32,310,,6,0.06,,0.09,3,0.53,27.24,0.73
13,River Godavari,"River Godavari at Mancherial (BM-Jan, Apr & Oct)",4.5,7.7,702,4,0.19,,BDL,32,,,,8,BDL,205,72,16,BDL,,236,52,25.76,34,48,432,,7,BDL,,0.09,3,0.55,30.32,0.96
2364,River Godavari,River Godavari at Ramagundam upstream near dam,4,8.04,590,3,0.68,,BDL,24,,,,8,BDL,165,68,14,BDL,,195,42,21.87,28,42,384,,14,BDL,,0.09,3,0.7,31.47,0.92
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",3,10.65,1390,6,0.83,,BDL,25,,,,18,35,355,156,28,2.8,,385,88,40.09,86,128,864,,26,0.32,,0.04,4,0.82,41.63,2.01
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,3.8,7.66,665,4,0.71,,BDL,32,,,,9,BDL,168,88,18,BDL,,225,48,25.52,38,48,412,,17,BDL,,0.09,4,0.82,31.2,0.98
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,4.4,7.32,848,4,2.14,,BDL,26,,,,11,BDL,195,122,22,BDL,,225,50,24.3,63,95,534,,10,BDL,,0.09,4,0.68,47.3,1.95
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,5.3,8.03,508,3,1.15,,BDL,20,,,,8,BDL,136,68,28,4.2,,165,38,17.01,18,38,308,,8,BDL,,0.09,3,0.62,32.85,0.91
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6,8.01,268,3,1.27,,BDL,24,,,,22,BDL,94,21,12,BDL,,102,24,10.21,10,14,168,,24,BDL,,0.09,2,0.36,22.54,0.43
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",5.5,8.06,292,3,0.38,,BDL,32,,,, ,BDL,106,26,16,BDL,,116,25.6,12.64,12,17,184,,28,BDL,,0.09,2,0.38,23.76,0.49
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,6.2,7.6,320,2.2,0.26,,BDL,14,,,,4,BDL,80,20,8,BDL,,84,17.6,9.72,10,15,138,,4,BDL,,0.09,2,0.22,27.36,0.5
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,5.8,7.31,310,3,0.32,,BDL,20,,,,4,BDL,88,24,8,BDL,,92,19.2,10.69,12,18,158,,6,BDL,,0.09,2,0.24,29.27,0.58
2369,River Godavari,River Godavari at Burgampahad,6.2,7.74,235,3,0.62,,BDL,24,,,,4,BDL,80,21,8,BDL,,88,20.8,8.75,16,16,146,,8,BDL,,0.09,2,0.22,27.75,0.52
4662,River Godavari,River godavari Kaleshwaram,6,7.99,368,2.1,0.21,,BDL,26,,,,22,BDL,126,30,8,BDL,,134,28.8,15.07,14,22,232,,26,BDL,,0.09,2,0.46,25.94,0.58
4256,River Godavari,"Lower Manair Dam, Karimnagar",5.4,7.59,405,4,0.22,,BDL,22,,,,8,BDL,112,44,12,BDL,,124,27.2,13.61,26,34,258,,6,BDL,,0.09,3,0.44,36.63,0.94
1158,River Godavari,"River Maneru at Somanpally (BM-Jan, Apr & Oct)",5.4,7.94,510,5,1.55,,BDL,26,,,,13,BDL,145,53,71,5.6,,158,34.4,17.5,31,42,314,,12,0.35,,0.1,4,0.86,35.89,1.03
4257,River Godavari,"Maneru river D/S of municipal dump site, Karimnagar",Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,River Godavari,River Maneru at Thummala cheruvu/Madannapet,5,7.71,431,3,0.92,,BDL,24,,,,18,BDL,124,48,12,BDL,,176,37.6,19.93,26,18,267,,31,BDL,,0.09,2,0.34,17.97,0.42
4664,River Godavari,River Maneru at Ghattepalli (V) near Sulthanabad,4.8,7.79,984,6,0.36,,BDL,17,,,,18,BDL,270,116,42,BDL,,295,66,31.59,46,85,612,,8,0.82,,0.01,4,0.99,38.11,1.52
1157,River Godavari,River Manjeera at Raipally,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4258,River Godavari,"Singoor Dam Reservoir,",7.1,7.44,480,2.2,10,0.23,BDL,12,,,,9,20,71,46,18,3.4,0.03,112.59,22,14,19,15,284,214,11,,0.23,0.09,5,0.28,21.58,0.62
1781,River Godavari,Manjeera at Ganapathi sugars,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374,River Godavari,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,6.1,7.31,1445,2.6,10,0.29,BDL,41,,,,27,24,182,162,22,4.2,0.02,269.86,52,34,18,57,825,620,18,,0.33,0.03,9,0.36,30.66,1.51
2375,River Godavari,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,5.9,7.42,1289,2.3,7,0.31,BDL,39,,,,24,16,154,137,16,3,0.02,230.17,46,28,15,47,743,557,25,,0.38,0.02,7,0.42,30.02,1.35
4226,River Godavari,River Manjeera at Yedu Payala Temple,7.4,6.9,1001,2.7,11,0.22,BDL,15,,,,6,28,134,112,20,3.8,0.01,193.72,38,24,27,46,562,421,10,,0.14,0.09,9,0.31,32.85,1.44
2372,River Godavari,Kinnerasani after confluence of KTPS ash pond effluents,5.7,7.7,460,3,1.48,,BDL,21,,,,8,BDL,154,38,14,BDL,,164,37.6,17.01,24,31,290,,8,0.32,,0.09,4,0.59,28.49,0.74
2373,River Godavari,Kunavaram at Sabari,7.5,7.87,88,2.2,0.1,,BDL,12,,,,3,BDL,26,10,6,BDL,,28,6.4,2.92,6,8,56,,3,BDL,,0.09,1,0.1,37.26,0.46
4250,River Godavari,"Palair Reservoir, Khammam",6.4,7.48,428,3,1.16,,BDL,24,,,,6,BDL,138,38,10,BDL,,154,32.8,17.5,21,26,280,,4,BDL,,0.09,2,0.12,26.53,0.64
4251,River Godavari,"D/S of Munneru River, Prakash Nagar, Khammam",4.5,7.39,318,3,1.64,,BDL,24,,,,20,BDL,102,30,20,BDL,,116,25.6,12.64,22,22,196,,12,0.02,,0.09,3,0.48,28.52,0.63
3080,River Godavari,U/s of Karakavagu at Paloncha,6,7.51,602,3,1.29,,BDL,24,,,,6,BDL,168,68,14,BDL,,196,44,20.9,34,48,392,,6,0.24,,0.12,3,0.38,34.3,1.05
3081,River Godavari,D/s of Karakavagu at Paloncha,5.8,7.55,638,4,0.98,,BDL,30,,,,8,BDL,178,72,16,BDL,,212,43.2,25.27,31,46,412,,8,0.03,,0.16,3,0.42,31.66,0.97
2349,River Godavari,Nakka vagu at Bachugudem,2.4,7.44,1692,8,9,0.46,BDL,70,,,,26,32,208,160,52,9.8,0.09,294.56,52,40,43,67,952,701,47,,0.45,BDL,7,0.26,32.52,1.7
4665,River Godavari,Outlet of KTPP Ash Pond Joining Moranchavagu,4.9,8.37,673,3,0.68,,BDL,32,,,,22,15,186,71,20,BDL,,235,54,24.3,38,42,392,,32,0.82,,0.09,3,0.84,27.66,0.84
1784,River Krishna,River Krishna at Thangadi,5.4,7.84,472,3,0.86,,BDL,40,,,,4,BDL,110,67,8,BDL,,118,24.8,13.61,32,54,307,,4,BDL,,0.09,2,0.46,49.33,1.53
