Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,7.6,7.36,336,2.1,2,0.09,17,49,5,,,,7,8,84,46,14,2.8,0.4,Less than 0.01,104.35,22,12,5,15,194,138,10,,0.15,0.5,2,0.2,23.26,0.64
4255,River Godavari,Ali sagar Reservoir,7.5,7.24,329,2.1,2,0.12,Less than 1.8,8,Less than 1.8,,,,6,5,80,44,20,3.7,0.4,Less than 0.01,100,20,12,5,14,190,133,10,,0.12,0.5,3,0.2,22.67,0.61
4227,River Godavari,"Pochara Water Falls, Adilabad",7.1,7.13,440,2.1,2,0.15,430,Greater than 1600,240,,,,9,12,104,68,18,3.4,0.4,Less than 0.01,144.04,28,18,6,19,259,186,11,,0.16,0.5,3,0.2,21.72,0.69
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5.9,8.3,585,2.1,1.4,,Less than 1.8,8,Less than 1.8,,,,7,10,145,46,13,1.5,0.4,Less than 0.01,175,36,20.66,84,57,351,,12,0.2,,0.5,6,0.2,40.27,1.87
13,River Godavari,River Godavari at Mancherial,5.8,8.33,588,2.1,0.7,,Less than 1.8,Less than 1.8,Less than 1.8,,,,6,10,135,79,14,1.5,0.4,Less than 0.01,158,34,17.74,48,63,364,,16,0.2,,0.5,5,0.2,45.31,2.17
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",5.2,10.22,850,2.1,0.76,,Less than 1.8,17,Less than 1.8,,,,14,25,160,108,28,1.5,0.4,Less than 0.01,195,32,27.95,78,88,480,,12,0.2,,0.5,10,0.2,47.76,2.73
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,6.1,8.36,542,2.1,1,,5,33,Less than 1.8,,,,12,10,105,44,14,1.5,0.4,Less than 0.01,125,22,17.01,76,52,329,,16,0.2,,0.5,5,0.2,46.08,2.02
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,6,8.1,559,2.2,0.86,,Less than 1.8,10,Less than 1.8,,,,8,10,95,75,16,1.5,0.4,Less than 0.01,116,30,9.96,43,57,346,,12,0.2,,0.5,5,0.2,50.2,2.3
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5.7,8.28,586,2.2,0.82,,Less than 1.8,5,Less than 1.8,,,,6,10,110,70,16,1.5,0.4,Less than 0.01,135,30,14.58,58,60,352,,14,0.2,,0.5,5,0.2,47.85,2.24
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,5.3,8.33,534,2.1,0.91,,Less than 1.8,10,Less than 1.8,,,,9,10,115,55,15,1.5,0.4,Less than 0.01,125,24,15.79,48,52,320,,14,0.2,,0.5,4,0.2,46.33,2.02
4662,River Godavari,River godavari Kaleshwaram,6,8.32,272,2.1,0.67,,Less than 1.8,8,Less than 1.8,,,,7,15,50,38,10,1.5,0.4,Less than 0.01,58,17,8,22,30,160,,14,0.2,,0.5,3,0.2,45.01,1.5
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6.2,8.2,210,2.2,0.76,,Less than 1.8,12,Less than 1.8,,,,4,5,30,30,14,1.5,0.4,Less than 0.01,40,10,3.65,20,24,120,,12,0.2,,0.5,3,0.68,54.23,1.65
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",6.2,8.17,219,2.2,0.96,,Less than 1.8,5,Less than 1.8,,,,6,5,40,28,14,1.5,0.4,Less than 0.01,45,10,4.86,17,24,128,,14,0.2,,0.5,3,0.95,51.52,1.55
