Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,6.8,8.04,763,2.4,16,0.05,5.8,22,3.7,,,,3.2,16,170,93,28,8,,,199.95,130,69.95,52,17.0,67,40,473.06,331.14,5,,0.05,BDL,3.35,0.32,29.77,1.07
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,6.9,7.56,610,3.1,22,0.1,6.2,25,3.6,,,,3.6,20,135,83,36,7,,,209.96,150,59.96,60,14.57,50,21,378.2,264.74,6,,0.07,BDL,2.8,0.45,17.56,0.52
4255,River Godavari,Ali sagar Reservoir,Nizamabad,6.8,8.09,462,3.5,9,0.05,4,22,Less than  1.8,,,,2.6,16,140,75,40,8,,,164.96,95,69.96,38,17,35,25,314,219.8,7,,0.12,BDL,3.1,0.36,24.25,0.78
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,6.9,7.44,406,2.8,10,0.06,6.2,20,2,,,,4.3,12,120,64,30,8,,,140,80,60,32,15,25,20,251.72,176.2,8,,0.37,BDL,2.33,0.28,23.01,0.68
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Peddapalli,6.2,8.1,398,1.8,0.66,,Less than 1.8,32,Less than 1.8,,,,6,5,102,27,24,1.5,0.4,,92,50,0,42,22.36,39,,246,,10,0.69,,0.5,,0.61,,
0013,River Godavari,River Godavari at Mancherial,Peddapalli,6.2,7.99,406,1.8,0.74,,Less than 1.8,21,Less than 1.8,,,,7,5,114,45,28,1.5,0.4,,120,70,0,50,29.16,16,,252,,10,0.45,,0.5,,0.55,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,5.8,9.93,810,4,1.8,,17,170,Less than 1.8,,,,18,20,190,110,81,4.48,1.72,,195,110,0,85,47.38,63,,510,,22,1.85,,0.5,,0.87,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,6,7.87,442,1.8,1.6,,Less than 1.8,33,Less than 1.8,,,,6,5,106,56,24,1.5,0.4,,110,66,0,44,26.73,28,,274,,10,0.82,,0.5,,0.65,,
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,Ramagundem,6.2,7.46,439,1,0.8,,Less than 1.8,17,Less than 1.8,,,,6,5,122,34,8,1.5,0.4,,130,78,0,52,31.59,36,,276,,10,0.35,,0.5,,0.49,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,6,7.64,448,1.4,1.8,,Less than 1.8,38,Less than 1.8,,,,8,5,120,44,32,1.5,0.4,,130,70,0,60,31.59,35,,278,,10,0.69,,0.5,,0.55,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,6.1,7.35,519,1.2,1.6,,Less than 1.8,31,Less than 1.8,,,,6,5,124,56,15,1.5,0.4,,135,82,0,53,32.8,38,,324,,10,0.73,,0.5,,0.59,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,6.2,7.84,421,1,1.5,,Less than 1.8,26,Less than 1.8,,,,5,5,108,42,8,1.5,0.4,,110,60,0,42,26.73,30,,258,,10,0.84,,0.5,,0.79,,
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,6.3,7.99,430,1,1.4,,Less than 1.8,32,Less than 1.8,,,,5,5,138,38,32,1.5,0.4,,145,74,0,55,35.23,12,,268,,10,0.41,,0.5,,0.59,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,6.1,7.64,273,1.8,1.8,,Less than 1.8,26,Less than 1.8,,,,4,5,85,24,12,1.5,0.4,,95,60,0,35,23.09,12,,170,,10,0.39,,0.5,,0.59,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,6.2,7.65,225,1,1.4,,Less than 1.8,33,Less than 1.8,,,,6,5,75,20,8,1.5,0.4,,80,45,0,35,19.44,8,,144,,10,0.43,,0.5,,0.63,,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.1,7.51,254,1.8,1.8,,Less than 1.8,38,Less than 1.8,,,,5,5,72,33,20,1.5,0.4,,80,41,0,39,19.44,10,,154,,10,0.33,,0.5,,0.47,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.1,7.71,227,1.8,1.6,,Less than 1.8,32,Less than 1.8,,,,4,5,72,28,24,1.5,0.4,,76,46,0,30,18.47,10,,142,,10,0.47,,0.5,,0.55,,
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,6.2,7.63,247,1.8,2,,Less than 1.8,32,Less than 1.8,,,,6,5,74,24,36,1.5,0.4,,78,40,0,38,18.95,13,,158,,10,0.45,,0.5,,0.53,,
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,6.1,7.79,416,1.8,2.2,,Less than 1.8,21,Less than 1.8,,,,6,5,102,44,20,1.5,0.4,,105,60,0,45,25.52,31,,262,,10,0.75,,0.5,,0.55,,
