Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,7,7.12,670,2.8,14,0.12,2,20,Less than 1.8,,,,2.6,12,208,82,25,6,BDL,BDL,232,140,56,92,22,32,40,408,250,5,,0.12,BDL,2.4,0.14,27.16,1.15
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,6.8,7.13,580,2.3,24,0.08,2,17,Less than 1.8,,,,2,16,120,98,21,3,BDL,BDL,208,120,48,88,21,40,45,360,220,6,,0.09,BDL,3,0.28,31.79,1.36
4255,River Godavari,Ali sagar Reservoir,Nizamabad,7.2,6.82,410,2.2,15,0.05,3.6,20,1.8,,,,3.5,12,108,50,19,5,BDL,BDL,152,100,40,52,13,30,32,260,160,8,,0.04,BDL,4,0.1,30.52,1.12
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,6.8,7.65,472,2.7,16,0.15,3.7,25,2,,,,3,18,104,80,23,4,BDL,BDL,160,80,32,80,19,32,30,300,190,10,,0.1,BDL,2.6,0.15,28.8,1.04
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Peddapalli,6.2,7.54,290,1,1.26,,Less than 1.8,26,Less than 1.8,,,,12,5,85,25,8,1.5,0.4,,105,55,22,50,12.15,9,,182,110,10,0.22,,0.5,,0.68,#,#
0013,River Godavari,River Godavari at Mancherial,Peddapalli,6.2,7.47,292,1,1.36,,Less than 1.8,132,Less than 1.8,,,,13,5,82,32,8,1.5,0.4,,100,60,24,40,9.72,12,,181,100,10,0.2,,0.5,,0.72,#,#
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,6.1,9.97,741,1,2.8,,Less than 1.8,27,Less than 1.8,,,,18,15,210,86,12,1.2,0.4,,220,115,46,105,25.52,31,,466,280,24,0.36,,0.5,,0.52,#,#
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,6,7.8,487,1.2,1.86,,Less than 1.8,34,Less than 1.8,,,,14,5,105,64,16,1.5,0.4,,120,80,32,40,9.72,32,,312,200,10,0.42,,0.5,,0.56,#,#
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,Peddapalli,6.2,7.63,420,1.2,12.9,,Less than 1.8,46,Less than 1.8,,,,12,5,120,34,16,3.36,0.4,,130,80,32,50,12.15,21,,264,160,10,0.43,,0.5,,0.58,#,#
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,6,7.62,488,1.8,1.58,,Less than 1.8,39,Less than 1.8,,,,8,5,130,48,24,1.5,0.4,,145,85,34,60,14.58,34,,302,180,10,0.4,,0.5,,0.74,#,#
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,6.2,7.57,455,1,1.8,,Less than 1.8,32,Less than 1.8,,,,6,5,135,42,16,1.5,0.4,,150,80,32,70,17.01,26,,282,160,10,0.44,,0.5,,0.66,#,#
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,6.1,7.64,457,1.2,1.92,,Less than 1.8,25,Less than 1.8,,,,7,5,100,56,28,1.5,0.4,,110,75,30,35,8.5,31,,288,180,10,0.36,,0.5,,0.54,#,#
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,6.2,7.6,297,1,1.8,,Less than 1.8,39,Less than 1.8,,,,8,5,80,32,22,1.5,0.4,,95,50,20,45,10.94,12,,184,60,10,1.02,,0.5,,0.86,#,#
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,6.2,7.79,97,1,1.2,,Less than 1.8,21,Less than 1.8,,,,16,5,30,12,5,1.5,0.4,,35,20,8,15,3.65,6,,58,30,10,0.25,,0.5,,0.57,#,#
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,6.2,7.46,97,1,1.14,,Less than 1.8,26,Less than 1.8,,,,8,5,22,14,5,1.5,0.4,,45,20,8,25,6.08,10,,59,30,10,0.21,,0.5,,0.63,#,#
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.2,7.59,505,1,1.3,,Less than 1.8,34,Less than 1.8,,,,28,5,130,52,10,1.5,0.4,,150,65,26,85,20.66,32,,293,180,22,0.38,,0.5,,0.54,#,#
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.1,7.63,515,1.2,1.5,,11,33,Less than 1.8,,,,26,5,95,71,12,1.5,0.4,,110,55,22,55,13.37,42,,299,180,24,0.3,,0.5,,0.59,#,#
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,6.2,7.75,298,1,3.7,,Less than 1.8,24,Less than 1.8,,,,8,5,65,36,5,1.5,0.4,,70,45,18,25,6.08,23,,190,120,10,0.23,,0.5,,0.62,#,#
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,6,7.7,249,1.2,1.52,,Less than 1.8,40,Less than 1.8,,,,34,5,70,32,20,1.5,0.4,,85,70,28,15,3.65,13,,152,160,34,0.48,,0.5,,0.68,#,#
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,6,7.56,459,1.1,3.56,,Less than 1.8,40,Less than 1.8,,,,11,5,120,44,16,1.5,0.4,,130,75,30,55,13.37,28,,284,180,10,0.34,,0.5,,0.55,#,#
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Jayashankar Bhoopalpalli,5.6,7.93,443,2,1.4,,Less than 1.8,40,Less than 1.8,,,,16,5,90,58,24,1.5,0.4,,145,110,44,35,8.5,32,,260,360,24,1.86,,0.5,,0.96,#,#
