Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,7.4,7.15,411,2,4,0.15,Less than 2,12,,,,11,16,59,48,10,2.65,1.67,0.01,82.88,20,8,6,18,230,153,5,Not analysed,0.31,Less than 0.01,4,0.15,30.67,0.86
4255,River Godavari,Ali sagar Reservior,7.6,6.98,248,2,3,0.19,Less than 2,6,,,,4,8,24,28,6,1.13,0.71,0.0,41.44,10,4,5,11,140,96,7,Not analysed,0.33,Less than 0.01,2,0.19,35.09,0.74
4227,River Godavari,"Pochara Water Falls, Adilabad",7,7.04,390,2,5,0.23,Less than 2,10,,,,9,20,104,78,12,1.8,1.43,0.01,159.02,34,18,14,24,270,259,6,Not analysed,0.32,Less than 0.01,5,0.21,23.87,0.82
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5.6,7.48,562,3,0.6,Not Analysed,Less than 2,22,,,,4,Less than 1,185,48,8,Less than 1,Not Analysed,,210,42,25.52,18,27,320,Not aNot analysedlysed,4,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,21.53,0.81
13,River Godavari,River Godavari at Mancherial,5.6,7.49,480,3,0.4,Not Analysed,Less than 2,16,,,,4,Less than 1,150,46,10,Less than 1,Not Analysed,,175,34,21.87,18,26,266,Not aNot analysedlysed,4,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,24.03,0.85
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",1,11.05,736,3,3.2,Not Analysed,Less than 2,30,,,,20,25,196,82,22,Less than 1,Not Analysed,,255,44,35.23,48,48,466,Not aNot analysedlysed,24,1,Not analysed,Less than 0.01,4,0.48,28.49,1.3
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,5.4,7.47,563,3,0.76,Not Analysed,Less than 2,26,,,,6,Less than 1,210,32,16,Less than 1,Not Analysed,,215,38,29.16,16,26,326,Not aNot analysedlysed,6,0.12,Not analysed,Less than 0.01,2,0.48,20.51,0.77
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,5.2,7.42,476,3,1.8,Not Analysed,Less than 2,22,,,,6,Less than 1,205,22,14,Less than 1,Not Analysed,,215,46,24.3,12,16,299,Not aNot analysedlysed,6,Less than 0.01,Not analysed,Less than 0.01,2,0.48,13.72,0.47
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5.6,7.51,552,3,1.2,Not Analysed,Less than 2,20,,,,4,Less than 1,170,54,10,Less than 1,Not Analysed,,175,32,23.09,30,48,350,Not aNot analysedlysed,4,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,36.86,1.57
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,4.6,7.43,590,3,2.6,Not Analysed,Less than 2,24,,,,6,Less than 1,210,38,18,Less than 1,Not Analysed,,236,46,29.4,24,24,352,Not aNot analysedlysed,8,Less than 0.01,Not analysed,Less than 0.01,2,0.64,17.85,0.68
4662,River Godavari,River godavari Kaleshwaram,6.2,7.97,467,3,1.2,Not Analysed,Less than 2,78,,,,4,Less than 1,130,52,10,Less than 1,Not Analysed,,165,38,17.01,22,27,276,Not aNot analysedlysed,6,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,25.84,0.91
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",6.1,8.02,426,2,2,Not Analysed,Less than 2,26,,,,4,Less than 1,130,47,10,Less than 1,Not Analysed,,172,32,22.36,16,18,258,Not aNot analysedlysed,4,Less than 0.01,Not analysed,0.22,2,Less than 0.01,18.21,0.59
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",sample was not collected by RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,5,7.84,373,3,1.12,Not Analysed,Less than 2,18,,,,4,Less than 1,115,38,9,Less than 1,Not Analysed,,130,26,15.79,15,24,220,Not aNot analysedlysed,6,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,28.12,0.91
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,4.8,7.95,398,3,1.98,Not Analysed,Less than 2,26,,,,6,Less than 1,135,42,10,Less than 1,Not Analysed,,150,32,17.01,18,28,254,Not aNot analysedlysed,8,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,28.4,0.99
2369,River Godavari,River Godavari at Burgampahad,5.1,7.82,362,3,1.36,Not Analysed,Less than 2,38,,,,8,Less than 1,140,26,10,Less than 1,Not Analysed,,160,34,18.22,16,14,230,Not aNot analysedlysed,6,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,15.69,0.48
2373,River Godavari,Kunavaram at Sabari,6.5,7.4,106,2,0,Not Analysed,Less than 2,18,,,,4,Less than 1,30,12,8,Less than 1,Not Analysed,,35,8,3.65,6,8,66,Not aNot analysedlysed,2,Less than 0.01,Not analysed,Less than 0.01,1,Less than 0.01,23,0.5
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",6,7.88,399,3,0.32,Not Analysed,Less than 2,18,,,,4,Less than 1,140,27,9,Less than 1,Not Analysed,,150,32,17.01,16,20,242,Not aNot analysedlysed,4,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,22.08,0.71
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,5.2,7.9,862,4,3.46,Not Analysed,Less than 2,32,,,,8,Less than 1,225,98,26,Less than 1,Not Analysed,,260,64,24.3,70,80,552,Not aNot analysedlysed,6,0.28,Not analysed,Less than 0.01,4,0.42,39.5,2.15
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,5.1,7.57,722,3,0.58,Not Analysed,Less than 2,30,,,,10,Less than 1,245,60,16,Less than 1,Not Analysed,,270,56,31.59,31,42,426,Not aNot analysedlysed,14,1.02,Not analysed,Less than 0.01,4,0.16,20,0.8
1158,River Maneru / Manair,River Maneru at Somanpally,5,7.97,602,4,0.2,Not Analysed,Less than 2,20,,,,4,Less than 1,215,46,12,Less than 1,Not Analysed,,255,66,21.87,22,22,350,Not aNot analysedlysed,6,Less than 0.01,Not analysed,Less than 0.01,2,0.5,15.6,0.6
4258,River Manjeera,"Singoor Dam Reservoir,",6.5,7.45,396,2.2,4,0.26,Less than 2,10,,,,4,4,37,27,8,1.51,0.95,0.01,49.68,10,6,5,12,229,172,5,Not analysed,0.29,Less than 0.01,2,0.26,33.17,0.74
1157,River Manjeera,River Manjeera at Raipally,6.8,7.48,392,2,3,0.27,Less than 2,8,,,,5,12,54,48,10,1.89,1.19,0.02,81.13,16,10,8,18,223,161,8,Not analysed,0.36,Less than 0.01,3,0.23,31.39,0.87
1781,River Manjeera,Manjeera at Ganapathi sugars,6.3,7.27,827,2,10,0.21,Less than 2,12,,,,8,24,128,116,20,4.91,3.1,0.03,206.95,40,26,31,43,465,354,11,Not analysed,0.23,Less than 0.01,7,0.31,30.08,1.3
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,6.4,7.49,1265,2.8,13,0.23,Less than 2,40,,,,11,32,174,145,20,3.7,2.38,0.04,254.87,46,34,32,57,731,556,20,Not analysed,0.34,Less than 0.01,11,0.25,31.4,1.55
