Station code,water_bodies,Station name,District,RO,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,Nizamabad,6.5,7.21,650,2.1,4,0.1,6.1,25,1.8,,,,5,8,126,84,14,5,0.1,0.01,204,42,24,7,22,369,274,12,,0.1,0.1,3,0.18,18.63,0.67
4255,River Godavari,Ali sagar Reservoir,Nizamabad,Nizamabad,6.3,7.15,396,2.1,4,0.13,6,17,3.7,,,,10,12,94,52,16,5,0.1,0.01,136,28,16,7,17,228,159,10,,0.1,0.1,4,0.21,20.67,0.63
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,Nizamabad,6.4,6.82,722,2.1,3,0.1,5.5,24,Less than  1.8,,,,6,8,162,112,18,5,0.1,0.01,270,52,34,12,27,414,301,9,,0.1,0.1,5,0.28,17.43,0.71
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,Ramagundam,5.6,7.84,497,2.1,1.1,,Less than 1.8,33,Less than  1.8,,,,5,5,130,48,10,5,0.1,0.01,150,36.8,14.09,28,,288,,10,0.1,,0.1,,0.1,,
13,River Godavari,River Godavari at Mancherial,Mancherial,Ramagundam,5.5,7.75,498,2.1,0.8,,2,33,Less than  1.8,,,,5,5,135,38,10,5,0.1,0.01,156,38,14.82,27,,289,,9,0.1,,0.1,,0.1,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,Ramagundam,3.8,10.8,1184,2.3,0.2,,Less than 1.8,33,Less than  1.8,,,,5,40,310,112,21,5,1.5,1.45,340,84,31.59,72,,702,,5,0.68,,0.1,,0.1,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,Ramagundam,4.9,8.11,509,2.1,0.5,,Less than 1.8,43,Less than  1.8,,,,7,5,145,38,12,5,0.1,0.01,160,38.4,15.55,23,,301,,8,0.1,,0.1,,0.1,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,Ramagundam,5,7.66,498,2.1,0.7,,2,43,Less than  1.8,,,,5,5,135,46,14,5,0.1,0.01,145,35.2,13.85,30,,300,,13,0.1,,0.1,,0.1,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,Ramagundam,5.4,7.75,497,2.1,0.5,,Less than 1.8,27,Less than  1.8,,,,5,5,135,57,10,5,0.1,0.01,142,32.8,14.58,32,,284,,9,0.1,,0.1,,0.1,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,Ramagundam,5,7.61,495,2.1,0.4,,2,33,Less than  1.8,,,,5,5,140,38,12,5,0.1,0.01,155,38,14.58,26,,318,,7,0.1,,0.1,,0.1,,
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,Warangal,5.8,7.94,344,2.1,0.4,,2,180,Less than  1.8,,,,6,5,90,31,10,5,0.1,0.01,102,21,12,18,,192,,10,0.1,,0.1,,0.16,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,Warangal,5.9,8.22,339,2.1,0.18,,Less than 1.8,33,Less than  1.8,,,,6,5,90,36,10,5,0.1,0.01,105,24.8,10.45,25,,204,,16,0.1,,0.1,,0.1,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,Warangal,5.8,8.08,336,2.1,0.2,,Less than 1.8,37,Less than  1.8,,,,6.2,5,90,32,10,5,0.1,0.01,102,26,8.99,18,,204,,17,0.1,,0.1,,0.1,,
