Station code,water_bodies,Station name,District,RO,Responsible Zonal Lab,Monitoring date,Sampling time,Use of Water in Downstream,Human activities,Major polluting,Visible Effluent,Weather,Depth (mtrs.),Floating matter,Colour,Odour,Flow (m3/Sec),Water Temp. (OC),DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,,,
2360,River Godavari,River Godavari at Basara,Nirmal,Nizamabad,Nizamabad,ZL-RCP,2023-10-04 00:00:00,08:35:00,"Bathing, Fishing and Irrigation","Bating, Washing & Fishing",None,None,Clear,8 Mtrs,Yes,Clear,None,Low,6.7,7.74,745,4,16,0.05,5.6,21,3.7,,,,3,14,165,81,42,8,,,200,125,50,75,18,71,42,439.55,312.08,6,,0.05,BDL,2.5,0.33,31.0,1.15,,,
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,Mancherial,Nizamabad,ZL-RCP,2023-10-04 00:00:00,09:35:00,"Bathing, Washing, Fishing and Irrigation","Bating, Washing & Fishing",None,None,Clear,7 Mtrs,Yes,Clear,None,Low,6.8,7.54,1102,4.2,35,0.14,6.1,25,3.6,,,,4.2,30,245,105,48,12,,,310,210,84,100,24,90,42,650.18,461.63,8,,0.09,BDL,3.8,0.41,22.48,0.89,,,
4255,River Godavari,Ali sagar Reservoir,Nizamabad,Nizamabad,Nizamabad,ZL-RCP,2023-10-04 00:00:00,10:25:00,"Fishing, Boating, Drinking Purpose and Irrigation",Fishing & Boating,None,None,Clear,8 Mtrs,Yes,Clear,None,Low,6.5,7.19,565,3.8,14,0.07,4,22,Less than 1.8,,,,2.7,14,150,86,44,8,,,190,110,44,80,19,45,32,333.35,236.68,7,,0.14,BDL,3.5,0.4,26.43,0.93,,,
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,Adilabad,Nizamabad,ZL-RCP,2023-10-05 00:00:00,10:30:00,Irrigation & Bathing, Bathing & Toursium Spot,None,None,Clear,6 Mtrs,No,Clear,None,Low,7.2,7.62,833,3.2,22,0.09,6.1,20,2,,,,5.5,24,170,96,42,10,,,220,135,54,85,21,58,36,491.47,348.94,10,,0.22,BDL,3.9,0.31,25.6,0.94,,,
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Peddapalli,Ramagundam,Warangal,06.10.2023,10.50 am,"irrigation,cultivation","bathing,washing,fishing",none,none,clear,Greater than 1mt,none ,clear,odourfree,,26,6.2,7.92,412,1.6,1,,Less than 1.8,25,Less than 1.8,,,,2,5,100,42,16,1.5,0.4,,102,66,26.4,36,8.75,26,,260,160,6,0.6,,0.5,,0.2,,,,,
0013,River Godavari,River Godavari at Mancherial,Peddapalli,Ramagundam,Warangal,06.10.2023,10.45 am,"irrigation,cultivation","bathing,washing,fishing",none,none,clear,Greater than 1mt,none ,clear,odourfree,,26,6.2,7.78,416,1.2,1,,Less than 1.8,33,Less than 1.8,,,,4,5,99,52,8,1.5,0.4,,110,72,28.8,38,9.23,28,,255,180,8,0.2,,0.5,,0.2,,,,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,Ramagundam,Warangal,06.10.2023,09.55 am,others,others,industrial,none,clear,Greater than 1mt,yes,light green,odourfree,,26,5,10.22,789,2.2,1.2,,1.8,120,Less than 1.8,,,,4,10,168,112,20,1.5,0.4,,240,156,62.4,84,20.41,48,,502,360,5,0.4,,0.5,,0.4,,,,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,Ramagundam,Warangal,06.10.2023,09.15 am,others,others,none,none,clear,Greater than 1 mt,none,light green,odourfree,,24,6,7.65,444,1.8,1.6,,Less than 1.8,48,Less than 1.8,,,,2,5,92,56,16,1.5,0.4,,116,78,31.2,38,9.23,42,,266,200,7,0.2,,0.5,,0.2,,,,,
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,Ramagundem,Peddapalli,Ramagundem,06.10.2023,09.50 am,"irigation,fishing","cultivation boating,fishing",none,none,clear,Greater than  1 mt,none ,clear,odourless,,28,6.2,7.25,480,1.4,1.08,,Less than 1.8,24,Less than 1.8,,,,4,5,120,55,16,1.5,0.4,,130,80,32,50,12.15,28,,304,240,10,0.2,,0.5,,0.62,,,,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,Ramagundam,Warangal,06.10.2023,09.00 am,"irrigation,fishing",fishing,none,none,cloudy,Greater than 1 mt,no,clear,odourfree,,26,6.1,7.75,446,1.8,1,,Less than 1.8,40,Less than 1.8,,,,6,5,86,62,24,1.5,0.4,,108,68,27.2,40,9.72,44,,266,180,6,0.2,,0.5,,0.2,,,,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,Ramagundam,Warangal,06.10.2023,10.20 am,"irrigation,fishing",fishing,none,none,clear,Greater than 1 mt,none ,clear,odourfree,,27,6.1,7.21,512,1.8,1.8,,Less than 1.8,34,Less than 1.8,,,,4,5,96,66,16,1.5,0.4,,118,76,30.4,42,10.21,48,,302,200,6,0.2,,0.5,,0.2,,,,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,Ramagundam,Warangal,06.10.2023,08.25 am,"irrigation,fishing",fishing,none,none,clear,Greater than 1 mt,none ,clear,odourfree,,26,6.2,7.66,488,1.6,2,,Less than 1.8,94,Less than 1.8,,,,6,5,92,62,20,1.5,0.4,,120,80,32,40,9.72,46,,302,180,8,0.4,,0.5,,0.2,,,,,
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,Warangal,Warangal,09.10.2023,11.00 am,"irrigation,fishing",bathing,others,none,raining,Less than 50cm,no,clear,odourfree,,27,6.2,8.02,388,1.4,0.45,,Less than 1.8,24,Less than 1.8,,,,4,5,100,39,8,1.5,0.4,,110,65,26,45,10.94,32,,218,182,10,0.24,,0.5,,0.45,,,,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,Warangal,Warangal,10.10.2023,11.30 am,irrigation,others,others,none,clear,Greater than 50 cm,no,brown,odourless,,26,6.2,8.04,384,1.4,0.76,,Less than 1.8,26,Less than 1.8,,,,4,5,110,32,16,1.5,0.4,,112,66,26.4,46,11.18,30,,240,160,10,0.38,,0.5,,0.46,,,,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,Warangal,Warangal,10.10.2023,12.05 AM,irrigation,others,others,none,cloudy,Greater than 50 cm,no,browm,odpourless,,28,6.2,8.06,388,1.4,1.22,,Less than 1.8,27,Less than 1.8,,,,8,5,140,22,16,1.5,0.4,,142,96,38.4,46,11.18,16,,246,184,12,0.42,,0.5,,0.61,,,,,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,Kothagudem,Warangal,04.10.2023,10.30 am,others,bathing,none,none,clear,Less than 100 cm,no,light brown,odourfree,,28.2,6.2,7.75,328,1.6,0.43,,Less than 1.8,26,Less than 1.8,,,,5,5,98,30,20,1.5,0.4,,98,54,21.6,44,10.69,18,,218,150,10,0.59,,0.5,,0.45,,,,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,Kothagudem,Warangal,04.10.2023,10.00 am,others,"boating,bathing,washing,tourism spot",none,none,sunny,Less than 100 cm,no,brown,odourfree,,26.6,6.1,7.69,349,1.8,0.55,,Less than 1.8,27,Less than 1.8,,,,6,5,96,32,24,1.5,0.4,,100,62,24.8,38,9.23,22,,224,162,10,0.65,,0.5,,0.48,,,,,
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,Kothagudem,Warangal,04.10.2023,09.20 am,cultivation,others,none,none,clear,Less than 100 cm,no,light brown,odourfree,,28,6,7.65,370,2.2,3.2,,Less than 1.8,220,Less than 1.8,,,,9,5,90,48,31,1.5,0.4,,94,55,22,39,9.48,32,,222,134,18,0.86,,0.5,,0.72,,,,,
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,Ramagundam,Warangal,07.10.2023,10.15 am,irrigation,"cultivation boating,fishing",none,none,clear,Greater than  1mt,none ,clear,odourfree,,26,6.1,7.55,403,1,1.58,,Less than 1.8,27,1.8,,,,3,5,102,42,12,1.5,0.4,,105,65,26,40,9.72,26,,255,166,10,0.2,,0.5,,0.7,,,,,
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,Karimnagar,Warangal,07.10.2023,10.00 am,irrigation,"cultivation boating,fishing",none,none,clear,Greater than 1 mt,none ,clear,odourfree,,26,0.3,6.9,904,6.2,5.21,,21,350,Less than 1.8,,,,10,5,230,98,67,5.6,1.24,,250,155,62,95,23.09,54,,594,312,13,0.21,,0.5,,1.06,,,,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,Ramagundam,Warangal,07.10.2023,09.10 am,irrigation,fishing,none,none,clear,Greater than 1 mt,clear,clear,odourfree,,26,6,6.9,872,1.6,3.28,,Less than 1.8,58,Less than 1.8,,,,11,5,220,93,20,1.5,0.4,,235,140,56,95,23.09,52,,532,302,20,0.2,,0.5,,0.85,,,,,
