Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,,
2360,River Godavari,River Godavari at Basara,Nirmal,7.2,7.69,680,3.1,10,0.04,3.6,22,1.8,,,,2,6,152,108,24,6,BDL,BDL,210,50,125,21,85,50,52,418,293,6,,0.05,BDL,2,0.1,34.67,1.56,,
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,7.4,7.5,849,2.2,15,0.03,2,20,Less than 1.8,,,,2.2,10,220,121,20,5,BDL,BDL,275,54,135,34,140,45,53,522,365,6,,0.06,BDL,3.1,0.21,29.33,1.39,,
4255,River Godavari,Ali sagar Reservoir,Nizamabad,7.4,7.43,506,2.1,10,0.02,3.5,21,2,,,,2.5,6,150,91,14,4,BDL,BDL,195,44,110,21,85,24,39,311,218,7,,0.05,BDL,2,0.1,29.97,1.21,,
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,7.2,7.7,755,2.6,12,0.09,5.6,22,3.5,4.5,,,2.5,10,220,91,16,4,BDL,BDL,265,66,165,24,100,46,45,464,325,8,,0.1,BDL,3,0.12,26.86,1.21,,
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Peddapalli,6.6,8.21,475,1.1,1.2,,Less than 1.8,39,Less than 1.8,,,,10,5,80,66,8,1.5,0.4,,85,16,40,11,45,40,#,300,210,10,0.65,,0.5,,0.54,#,#,,
13,River Godavari,River Godavari at Mancherial,Peddapalli,6.6,7.75,505,1.1,1.4,,Less than 1.8,32,Less than 1.8,,,,12,5,100,69,12,1.5,0.4,,125,22,55,17,70,36,#,316,210,10,0.62,,0.5,,0.49,#,#,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,5.8,8.39,924,1.6,3.2,,4,140,Less than 1.8,,,,14,10,225,132,20,4.48,1.1,,240,46,115,30,125,86,#,550,380,12,0.82,,0.5,,0.63,#,#, ,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,6.5,7.97,502,1.2,1.8,,Less than 1.8,26,Less than 1.8,,,,12,5,110,62,16,1.5,0.4,,105,20,50,13,55,32,#,328,220,11,0.73,,0.5,,0.61,#,#,,
5497,River Godavari,River Godawari D/S afer confluence of Ramagundem fertilize and chemicals Ltd(RFCL)Discharge into river,Ramagundem,6.4,7.43,1266,1.8,8.8,,14.5,94,Less than 1.8,,,,13,5,285,135,44,6.72,2.2,,295,64,160,33,135,92,#,772,520,10,1.82,,0.5,,0.66,#,#,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,6.5,7.72,504,1,3.2,,Less than 1.8,39,Less than 1.8,,,,8,5,140,52,8,1.5,0.4,,135,28,70,16,65,33,#,324,260,10,0.69,,0.5,,0.59,#,#,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,6.5,7.76,660,1,3.9,,Less than 1.8,40,Less than 1.8,,,,10,5,155,62,12,1.5,0.4,,175,36,90,21,85,56,#,432,440,10,0.67,,0.5,,0.63,#,#,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,6.6,7.97,545,1.1,2.44,,Less than 1.8,49,Less than 1.8,,,,12,5,166,42,18,1.5,0.4,,280,60,150,32,130,32,#,340,440,10,0.72,,0.5,,0.71,#,#,,14.0
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,6.6,7.65,593,1.2,1.6,,Less than 1.8,24,Less than 1.8,,,,14,5,165,52,5,1.5,0.4,,180,38,95,21,85,42,#,370,260,10,0.57,,0.5,,0.53,#,#,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,6.6,7.86,402,1,0.7,,Less than 1.8,26,Less than 1.8,,,,14,5,110,42,12,1.5,0.4,,110,26,65,11,45,38,#,240,150,10,0.48,,0.5,,0.32,#,#,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,6.5,7.88,353,1.1,0.6,,Less than 1.8,32,Less than 1.8,,,,14,5,120,32,18,1.5,0.4,,95,20,50,11,45,12,#,220,150,10,0.59,,0.5,,0.28,#,#,,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.5,8.07,364,1,2.1,,Less than 1.8,39,Less than 1.8,,,,12,5,110,32,5,1.5,0.4,,120,28,70,12,50,24,#,230,150,20,0.37,,0.5,,0.82,#,#,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.4,8.32,346,1,1.5,,Less than 1.8,40,Less than 1.8,,,,10,5,115,29,5,1.5,0.4,,105,22,55,12,50,22,#,220,150,20,0.42,,0.5,,0.85,#,#,,
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,6.4,8.02,399,1,14.6,,Less than 1.8,70,Less than 1.8,,,,16,5,115,30,8,1.5,0.4,,110,24,60,12,50,22,#,250,170,20,0.43,,0.5,,0.73,#,#,,
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,6.3,7.57,420,1.6,3.6,,Less than 1.8,70,Less than 1.8,,,,11,5,105,44,20,4.48,0.6,,120,26,65,13,55,26,#,268,180,10,0.52,,0.5,,0.75,#,#,,
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,6,7.63,438,1.8,5.9,,Less than 1.8,94,Less than 1.8,,,,9,5,115,44,26,5.6,0.6,,125,28,70,13,55,28,#,270,190,11,0.47,,0.5,,0.68,,,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,6.1,7.79,488,1.2,3.5,,Less than 1.8,49,Less than 1.8,,,,12,5,90,64,32,5.6,1.1,,110,24,60,12,50,42,#,326,220,10,0.68,,0.5,,0.66,#,#,,
