Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),COD (mg/L),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2360,River Godavari,River Godavari at Basara,7.1,7.47,426,15,2.1,2,0.13,Less than 2,11,,,,13,12,56,46,15,2.8,,Less than 0.01,81.13,16,10,6,16,236,170,6,Not Analysed,0.25,Less than 0.01,2,0.12,29.23,0.77
4255,River Godavari,Ali sagar Reservior,7.5,7.19,244,7,2.1,2,0.16,Less than 2,4,,,,6,Less than 1,42,25,7,1.3,,Less than 0.01,54.67,12,6,5,9,138,105,4,Not Analysed,0.31,Less than 0.01,2,0.15,25.37,0.53
4227,River Godavari,"Pochara Water Falls, Adilabad",6.8,7.06,490,14,2.2,6,0.21,Less than 2,12,,,,12,16,98,82,14,2.6,,Less than 0.01,152.28,28,20,9,25,309,257,8,Not Analysed,0.35,Less than 0.01,4,0.16,25.54,0.88
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",5.3,8.12,588,12,3,0.82,Not Analysed,Less than 2,20,,,,5,Less than 1,195,56,12,Less than 1,Not Analysed,,230,46,27.95,21,29,364,Not Analysed,6,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,21.22,0.83
13,River Godavari,River Godavari at Mancherial,5.4,7.98,496,8,3,0.6,Not Analysed,Less than 2,18,,,,6,Less than 1,165,53,8,Less than 1,Not Analysed,,200,38,25.52,22,28,307,Not Analysed,5,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,22.99,0.86
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",1.2,10.94,825,36,4,1.96,Not Analysed,Less than 2,32,,,,26,30,225,86,36,Less than 1,Not Analysed,,280,66,27.95,53,54,520,Not Analysed,28,0.92,Not Analysed,Less than 0.01,6,0.44,28.88,1.4
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,5.1,8.12,489,18,3,0.8,Not Analysed,Less than 2,22,,,,8,Less than 1,160,44,18,Less than 1,Not Analysed,,190,34,25.52,19,24,306,Not Analysed,4,0.16,Not Analysed,Less than 0.01,2,0.62,21.2,0.75
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,5.4,8.15,489,16,3,1.84,Not Analysed,Less than 2,26,,,,8,Less than 1,190,32,16,Less than 1,Not Analysed,,215,56,18.22,18,16,320,Not Analysed,7,Less than 0.01,Not Analysed,Less than 0.01,4,Less than 0.01,13.6,0.47
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5.2,7.76,568,12,3,1.87,Not Analysed,Less than 2,22,,,,6,Less than 1,170,68,12,Less than 1,Not Analysed,,185,48,15.79,28,49,360,Not Analysed,6,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,36.12,1.56
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,4.4,8.11,575,24,4,2.84,Not Analysed,Less than 2,26,,,,8,Less than 1,230,36,24,Less than 1,Not Analysed,,250,52,29.16,22,24,358,Not Analysed,8,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,17.04,0.66
