Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR,
2360,River Godavari,River Godavari at Basara,7.1,7.43,364,2.1,4,0.06,1.8,15,Less than  1.8,,,,7,12,82,52,20,3.4,0.4,Less than 0.01,120,22,16,5,11,210,163,10,,0.05,0.5,2,0.2,16.14,0.43,
4255,River Godavari,Ali sagar Reservoir,7,7.26,256,2.1,3,0.04,Less than  1.8,12,Less than  1.8,,,,3,8,54,36,22,3.9,0.4,Less than 0.01,80,16,10,5,8,147,112,10,,0.06,0.5,1,0.2,17.33,0.38,
4227,River Godavari,"Pochara Water Falls, Adilabad",6.9,7.49,489,2.1,3,0.09,7,43,2,,,,6,12,96,58,18,2.8,0.4,Less than 0.01,134.05,24,18,5,13,282,209,10,,0.09,0.5,3,0.2,16.91,0.49,
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",6.2,8.1,497,2.4,0.4,,Less than 1.8,11,Less than 1.8,,,,4,5,178,33,24,1.5,0.4,Less than 0.01,192,40.8,21.87,24,27,298,,10,0.2,,0.5,3,0.2,22.96,0.84,
13,River Godavari,River Godavari at Mancherial,5.5,7.76,496,3,0.26,,Less than 1.8,Less than 1.8,Less than 1.8,,,,4,5,175,38,28,1.5,0.4,Less than 0.01,192,44,19.93,28,32,298,,10,0.2,,0.5,1.8,0.2,26.26,1.0,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",3.2,9.89,1188,4,0.4,,Less than 1.8,4,Less than 1.8,,,,6.8,29,215,129,52,1.5,0.4,Less than 0.01,224,47,26,90,122,712,,12,0.2,,0.5,6,0.26,53.18,3.53,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,5.7,7.99,495,2.4,0.3,,Less than 1.8,7,Less than 1.8,,,,4,5,175,52,32,1.5,0.4,Less than 0.01,210,32,31.59,18,22,298,,10,0.2,,0.5,1.6,0.2,18.29,0.66,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,5.7,7.31,501,2.6,0.4,,Less than 1.8,7,Less than 1.8,,,,5,5,165,38,36,1.5,0.4,Less than 0.01,175,34,21.87,21,34,302,,10,0.2,,0.5,2.2,0.2,29.23,1.11,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,5.5,7.74,540,3,0.4,,Less than 1.8,10,Less than 1.8,,,,6,5,155,42,22,1.5,0.4,Less than 0.01,170,34,20.66,32,36,306,,10,0.2,,0.5,2.6,0.2,30.98,1.2,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,5.6,7.94,560,2.6,0.4,,Less than 1.8,11,Less than 1.8,,,,6.2,5,170,56,28,1.5,0.4,Less than 0.01,195,38,24.3,19,32,320,,10,0.2,,0.5,1.7,0.2,25.96,0.99,
