Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
2360,River Godavari,River Godavari at Basara,Nirmal,7.5,7.54,724,1.9,11,0.06,6,19,3.6,,,,5,16,156,148,22,20,0.4,0.01,348,200,80,148,36,62,30,456,324,10,,0.05,0.5,1.5,0.46,20.54,0.65
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,7.2,7.12,906,2.8,11,0.08,6.1,21,3.7,,,,6,12,170,124,30,15,0.4,0.01,332,160,64,173,42,95,35,574,405,10,,0.08,0.5,1.6,0.32,25.66,0.84
4255,River Godavari,Ali sagar Reservoir,Nizamabad,5.6,7.2,488,2.4,4,0.09,4.1,25,Less than 1.8,,,,4,12,152,80,26,8,0.4,0.01,208,100,40,107,26,35,25,310,218,10,,0.11,0.5,4.2,0.3,26.5,0.74
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,7.2,7.78,825,3.5,10,0.12,6.3,23,2,,,,5,16,148,130,36,14,0.4,0.01,316,160,64,156,38,66,22,522,369,10,,0.3,0.5,3.2,0.34,17.73,0.52
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,6.3,7.98,470,1.6,1.02,,Less than 1.8,38,Less than 1.8,,,,5.8,5,95,64,30,1.5,0.4,0.02,110,66,26.4,44,10.69,35,,290,,10,0.2,,0.5,,0.42,,
0013,River Godavari,River Godavari at Mancherial,Mancherial,6.2,7.86,420,1.4,1.2,,Less than 1.8,39,Less than 1.8,,,,4.2,5,90,54,27,1.5,0.4,0.02,115,69,27.6,46,11.18,32,,264,,10,0.2,,0.5,,0.46,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,5.8,9.28,881,2.4,1.28,,Less than 1.8,27,Less than 1.8,,,,2.8,55,190,162,46,2.8,0.4,0.21,205,123,49.2,82,19.93,88,,546,,10,0.38,,0.5,,0.62,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,6.2,8.54,455,1.3,2.2,,Less than 1.8,34,Less than 1.8,,,,3.5,35,105,88,23,1.5,0.4,0.07,112,67.2,26.88,44.8,10.89,44,,280,,10,0.2,,0.5,,0.48,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,6.2,8.35,473,1.4,2.06,,Less than 1.8,38,Less than 1.8,,,,4.9,30,110,79,31,1.5,0.4,0.04,116,69.6,27.84,46.4,11.28,54,,294,,10,0.2,,0.5,,0.54,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,6.3,8.33,493,1.2,2.07,,Less than 1.8,39,Less than 1.8,,,,4.2,35,110,80,20,1.5,0.4,0.04,114,68.4,27.36,45.6,11.08,62,,306,,10,0.2,,0.5,,0.52,,
